Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,58.5,59.34,58.07,59.23,56.95,4060100
2017-05-25,59.53,59.7,58.92,59.3,57.02,2772200
2017-05-26,59.23,59.72,59.04,59.51,57.22,1534400
2017-05-30,59.54,60.48,59.41,60.37,58.05,2576400
2017-05-31,59.45,60.81,59.45,60.34,58.02,2552400
2017-06-01,60.01,60.77,59.81,60.73,58.39,2100400
2017-06-02,60.8,61.15,60.76,60.81,58.47,1665500
2017-06-05,60.8,60.84,60.33,60.4,58.07,1473300
2017-06-06,60.14,60.55,60.1,60.1,57.79,1968000
2017-06-07,60.26,60.77,59.98,60.63,58.3,1617500
2017-06-08,60.63,60.73,59.71,60.15,57.83,3486600
2017-06-09,60.31,60.45,59.13,59.21,56.93,2352300
2017-06-12,59.14,59.41,58.12,58.99,56.72,2579600
2017-06-13,59.07,59.64,58.93,59.28,57.0,1527000
2017-06-14,59.54,59.78,59.05,59.38,57.09,1202800
2017-06-15,59.22,59.29,58.82,59.21,56.93,1091800
2017-06-16,59.37,59.79,59.24,59.51,57.22,2157500
2017-06-19,59.58,60.67,59.58,60.55,58.22,2383700
2017-06-20,60.55,60.92,60.3,60.33,58.01,1821700
2017-06-21,60.31,60.53,59.67,59.79,57.49,2247900
2017-06-22,59.94,60.8,59.61,60.61,58.28,3473200
2017-06-23,60.59,60.59,59.5,59.77,57.47,2879800
2017-06-26,59.79,59.95,59.15,59.24,56.96,1535500
2017-06-27,59.13,59.57,58.84,58.88,56.61,1060300
2017-06-28,59.27,59.7,59.2,59.4,57.11,1191500
2017-06-29,59.35,59.63,58.49,58.8,56.66,1356800
2017-06-30,59.0,59.57,58.84,59.31,57.15,1593800
2017-07-03,59.59,59.98,59.13,59.13,56.98,1489600
2017-07-05,59.19,60.05,59.19,59.77,57.6,1639000
2017-07-06,59.46,59.77,59.07,59.22,57.07,2249500
2017-07-07,59.53,60.07,59.33,59.63,57.46,965400
2017-07-10,59.48,60.05,59.38,59.86,57.68,1146000
2017-07-11,59.99,60.16,59.46,59.8,57.63,2976000
2017-07-12,60.33,60.99,60.16,60.73,58.52,1439400
2017-07-13,61.25,61.31,60.67,61.19,58.97,2059600
2017-07-14,61.28,61.66,60.92,61.52,59.28,1285500
2017-07-17,61.6,61.84,61.4,61.55,59.31,1332700
2017-07-18,61.43,61.54,60.95,61.21,58.98,1520100
2017-07-19,61.32,61.64,61.17,61.38,59.15,1512200
2017-07-20,61.45,61.55,60.81,60.98,58.76,2009400
2017-07-21,60.83,61.6,60.76,61.37,59.14,1283200
2017-07-24,61.38,61.58,61.25,61.5,59.26,973800
2017-07-25,61.57,61.66,60.38,60.54,58.34,1692000
2017-07-26,60.58,60.81,59.39,59.72,57.55,2520700
2017-07-27,59.82,60.24,59.6,59.91,57.73,1945000
2017-07-28,59.91,60.23,59.61,60.08,57.9,1236400
2017-07-31,60.32,60.62,59.76,59.79,57.62,1038700
2017-08-01,60.04,60.29,59.81,59.94,57.76,1323600
2017-08-02,60.0,60.33,59.52,60.2,58.01,1121500
2017-08-03,60.15,60.44,59.97,60.37,58.17,982900
2017-08-04,60.52,60.74,60.01,60.13,57.94,778800
2017-08-07,60.16,60.89,60.01,60.87,58.66,975700
2017-08-08,60.67,60.98,60.08,60.14,57.95,1162300
2017-08-09,60.07,60.23,59.38,59.68,57.51,1965000
2017-08-10,59.35,59.5,58.22,58.57,56.44,2471500
2017-08-11,58.7,59.7,58.69,59.33,57.17,1511600
2017-08-14,59.8,60.04,59.55,59.62,57.45,2409800
2017-08-15,59.7,59.88,59.11,59.38,57.22,2933300
2017-08-16,62.15,62.42,60.76,62.14,59.88,6892000
2017-08-17,62.0,62.07,60.78,60.86,58.65,3501600
2017-08-18,60.76,61.72,60.28,61.25,59.02,2357900
2017-08-21,61.09,62.0,60.96,61.74,59.5,1486100
2017-08-22,61.87,63.02,61.85,62.96,60.67,1666400
2017-08-23,62.72,63.37,62.6,62.77,60.49,1445700
2017-08-24,62.87,63.15,62.35,62.68,60.4,1584500
2017-08-25,63.06,63.14,62.67,62.9,60.61,1352800
2017-08-28,63.1,63.58,62.97,63.46,61.15,1290400
2017-08-29,63.04,63.63,63.02,63.49,61.18,1206600
2017-08-30,63.4,63.93,63.39,63.9,61.58,1072500
2017-08-31,64.0,64.83,63.9,64.72,62.37,1930100
2017-09-01,64.9,65.18,64.21,64.38,62.04,1224600
2017-09-05,64.02,64.48,63.81,64.29,61.95,910200
2017-09-06,64.56,64.81,64.05,64.71,62.36,974500
2017-09-07,64.85,65.25,64.49,65.14,62.77,1075800
2017-09-08,65.15,65.68,64.83,65.02,62.66,1587700
2017-09-11,65.5,66.27,65.38,66.11,63.71,1770000
2017-09-12,66.27,66.42,65.89,66.14,63.74,1081900
2017-09-13,65.91,66.22,65.41,65.44,63.06,2042600
2017-09-14,65.31,65.87,65.16,65.68,63.29,1481000
2017-09-15,65.68,66.13,65.62,65.96,63.56,2296000
2017-09-18,66.09,66.3,65.7,66.08,63.68,1562000
2017-09-19,66.25,66.45,66.0,66.17,63.76,1238000
2017-09-20,66.31,66.36,65.77,66.09,63.69,1186000
2017-09-21,65.88,66.14,65.63,65.92,63.52,874800
2017-09-22,65.85,66.27,65.71,65.78,63.39,1296200
2017-09-25,65.8,65.9,64.44,64.73,62.38,1841800
2017-09-26,64.65,64.9,63.91,64.11,61.78,1615200
2017-09-27,64.27,64.66,64.05,64.39,62.05,1272500
2017-09-28,64.25,64.62,63.97,63.98,61.65,1126200
2017-09-29,64.0,64.28,63.72,64.2,61.87,1672800
2017-10-02,64.29,65.07,64.21,64.87,62.64,1693900
2017-10-03,65.06,65.78,65.06,65.15,62.91,1216400
2017-10-04,65.15,65.87,65.15,65.83,63.57,745600
2017-10-05,65.85,65.99,65.52,65.7,63.44,1974100
2017-10-06,65.68,66.38,65.66,66.36,64.08,1405100
2017-10-09,66.49,66.77,66.02,66.56,64.27,1542300
2017-10-10,66.68,66.86,66.22,66.6,64.31,1143100
2017-10-11,66.68,66.97,66.34,66.62,64.33,1794800
2017-10-12,66.65,67.6,66.54,67.54,65.22,1455000
2017-10-13,67.63,67.82,66.89,66.99,64.69,943100
2017-10-16,67.2,67.37,66.77,66.91,64.61,1473400
2017-10-17,66.68,66.68,65.99,66.12,63.85,1711800
2017-10-18,66.38,66.58,66.07,66.44,64.16,1150500
2017-10-19,66.44,66.97,66.06,66.88,64.58,1359100
2017-10-20,67.19,67.53,67.07,67.25,64.94,1506100
2017-10-23,67.45,67.68,66.93,67.02,64.72,1267600
2017-10-24,67.31,67.55,66.88,67.32,65.01,1975700
2017-10-25,67.9,68.52,67.03,67.39,65.07,1795000
2017-10-26,67.53,67.83,67.2,67.71,65.38,1417900
2017-10-27,67.81,68.01,67.41,67.97,65.63,1441000
2017-10-30,67.8,67.93,67.1,67.49,65.17,846600
2017-10-31,67.74,68.17,67.54,68.03,65.69,1614400
2017-11-01,68.2,68.44,67.84,68.02,65.68,1357300
2017-11-02,68.08,68.38,67.81,68.13,65.79,1856900
2017-11-03,68.09,68.67,68.01,68.37,66.02,1072300
2017-11-06,68.27,68.45,67.87,68.22,65.87,995700
2017-11-07,68.32,68.64,68.04,68.25,65.9,956500
2017-11-08,68.1,68.33,67.77,68.11,65.77,977600
2017-11-09,67.92,67.98,66.91,67.47,65.15,1665000
2017-11-10,67.35,67.58,66.7,66.81,64.51,1704300
2017-11-13,66.45,67.39,66.25,67.13,64.82,1536400
2017-11-14,66.98,67.8,66.89,67.46,65.14,2426200
2017-11-15,67.29,67.56,66.91,67.31,65.0,2042300
2017-11-16,67.5,68.95,67.45,68.74,66.38,2300400
2017-11-17,68.53,69.09,68.29,68.79,66.43,1823100
2017-11-20,69.28,70.23,68.95,69.96,67.56,4143500
2017-11-21,70.05,70.81,67.7,69.91,67.51,5330000
2017-11-22,69.14,69.37,68.3,68.69,66.33,3041600
2017-11-24,68.84,69.39,68.78,69.36,66.98,1015400
2017-11-27,69.22,69.49,69.17,69.31,66.93,1439300
2017-11-28,69.56,70.93,69.42,70.59,68.16,2473400
2017-11-29,70.5,70.84,68.45,68.69,66.33,1904000
2017-11-30,68.97,69.59,68.21,69.24,66.86,1922500
2017-12-01,69.19,70.0,67.23,68.69,66.33,2516500
2017-12-04,68.94,69.17,66.18,66.24,63.96,2899400
2017-12-05,66.2,67.0,65.73,65.83,63.57,2384000
