Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,46.74,47.43,46.65,46.77,45.39,3885100
2017-05-25,46.99,48.12,46.82,48.02,46.61,5441800
2017-05-26,47.79,48.82,47.73,48.74,47.31,5979300
2017-05-30,48.32,48.58,47.79,47.96,46.55,5512900
2017-05-31,48.2,48.48,47.53,48.41,46.99,4486100
2017-06-01,48.5,49.36,48.3,49.05,47.61,4421400
2017-06-02,49.56,50.47,49.37,49.52,48.06,7708600
2017-06-05,49.53,49.95,49.4,49.74,48.28,5466700
2017-06-06,49.47,50.1,49.32,49.74,48.28,4473500
2017-06-07,49.44,50.91,48.8,50.86,49.36,7078400
2017-06-08,50.86,51.87,50.41,51.43,49.92,6544300
2017-06-09,51.61,51.95,50.25,50.27,48.79,7204300
2017-06-12,50.1,50.22,48.1,49.48,48.02,8597900
2017-06-13,49.56,49.91,48.84,49.45,47.99,5153300
2017-06-14,49.64,49.78,48.89,49.39,47.94,4027800
2017-06-15,49.14,49.32,48.37,49.11,47.66,4579600
2017-06-16,48.9,49.45,48.62,48.79,47.35,6622100
2017-06-19,49.13,49.72,48.82,49.66,48.2,4104300
2017-06-20,49.22,49.36,48.01,48.03,46.62,6035100
2017-06-21,48.33,48.64,48.13,48.43,47.0,3469500
2017-06-22,50.5,50.56,48.79,48.97,47.53,9792100
2017-06-23,49.0,49.1,48.47,48.63,47.2,12682000
2017-06-26,48.81,49.78,48.54,48.78,47.34,3992900
2017-06-27,48.6,49.56,48.5,48.5,47.07,4264400
2017-06-28,48.82,49.8,48.81,49.25,47.8,4259700
2017-06-29,49.28,49.69,48.82,49.62,48.16,6170100
2017-06-30,49.92,50.51,49.6,50.32,48.84,6618700
2017-07-03,50.78,51.28,50.37,50.39,48.91,2906500
2017-07-05,50.44,51.55,50.18,51.26,49.75,5157500
2017-07-06,50.97,52.58,50.86,52.05,50.52,7021400
2017-07-07,52.3,53.38,52.18,53.03,51.47,6597000
2017-07-10,52.98,53.16,52.23,52.66,51.11,4600000
2017-07-11,52.58,52.66,51.47,51.61,50.09,4545700
2017-07-12,53.12,53.83,52.45,53.8,52.22,8348400
2017-07-13,53.4,54.48,53.15,53.81,52.23,5346700
2017-07-14,53.8,54.28,53.34,54.22,52.62,4537900
2017-07-17,54.21,54.28,53.85,53.87,52.28,3727400
2017-07-18,53.83,53.84,53.02,53.15,51.59,4101400
2017-07-19,52.26,53.19,51.78,52.61,51.06,5774700
2017-07-20,52.72,52.78,52.1,52.34,50.8,4836200
2017-07-21,52.13,52.55,51.45,51.91,50.38,4544400
2017-07-24,51.79,52.03,51.24,51.28,49.77,4876400
2017-07-25,51.5,51.9,50.55,50.61,49.12,4484900
2017-07-26,50.63,51.17,50.01,51.01,49.51,4776100
2017-07-27,50.34,50.34,48.75,50.0,48.53,10260300
2017-07-28,49.02,50.67,48.73,50.49,49.0,9153400
2017-07-31,50.85,51.23,50.04,50.44,48.96,6062900
2017-08-01,51.13,52.0,50.32,51.06,49.56,5045300
2017-08-02,50.89,51.18,49.9,50.45,48.97,4679700
2017-08-03,50.56,51.2,50.36,50.55,49.06,3231400
2017-08-04,50.67,50.92,50.39,50.8,49.3,2993500
2017-08-07,50.82,51.13,50.46,50.58,49.09,3016700
2017-08-08,50.68,50.78,49.89,50.0,48.53,4274400
2017-08-09,49.74,49.92,49.23,49.4,47.95,5020800
2017-08-10,49.03,49.34,48.19,48.55,47.22,5441400
2017-08-11,48.5,48.79,47.44,48.35,47.02,5610700
2017-08-14,48.86,49.17,48.5,48.81,47.47,2996500
2017-08-15,48.76,49.0,48.35,48.52,47.19,3149600
2017-08-16,48.64,48.73,48.27,48.41,47.08,4187300
2017-08-17,48.25,48.34,45.8,46.03,44.77,10304200
2017-08-18,46.3,46.3,45.44,45.55,44.3,6242800
2017-08-21,45.73,46.09,45.41,45.71,44.45,4353900
2017-08-22,45.85,45.93,45.33,45.41,44.16,4019700
2017-08-23,45.17,45.24,43.52,43.97,42.76,8159200
2017-08-24,44.13,44.15,42.67,42.92,41.74,7057500
2017-08-25,43.09,45.43,43.01,45.25,44.01,11738400
2017-08-28,45.23,45.37,44.78,44.95,43.72,6969300
2017-08-29,44.53,44.85,44.38,44.56,43.34,5195100
2017-08-30,44.54,44.77,43.89,44.32,43.1,5472600
2017-08-31,44.54,44.94,44.43,44.74,43.51,3799600
2017-09-01,44.85,45.47,44.65,45.31,44.07,4569400
2017-09-05,44.79,45.28,43.84,43.92,42.71,8501600
2017-09-06,43.09,44.68,42.61,44.31,43.09,8796700
2017-09-07,44.19,44.63,43.53,43.84,42.64,5095000
2017-09-08,43.81,44.11,43.49,43.6,42.4,4684600
2017-09-11,44.01,46.09,44.0,45.86,44.6,7921600
2017-09-12,45.9,46.48,45.63,46.29,45.02,6325100
2017-09-13,46.35,47.58,46.1,47.0,45.71,7288200
2017-09-14,46.79,46.94,46.12,46.19,44.92,5360500
2017-09-15,45.3,46.04,45.19,46.0,44.74,14846200
2017-09-18,46.02,46.3,45.27,45.31,44.07,4601200
2017-09-19,45.28,45.66,44.03,44.38,43.16,6884600
2017-09-20,44.92,45.56,44.46,45.42,44.17,4708100
2017-09-21,45.47,46.57,44.99,46.29,45.02,5864400
2017-09-22,46.57,47.46,46.35,47.06,45.77,5342000
2017-09-25,46.98,47.96,46.89,47.7,46.39,6363200
2017-09-26,47.84,48.26,47.23,47.58,46.27,4706000
2017-09-27,47.1,48.1,46.63,46.85,45.56,6183200
2017-09-28,46.78,48.6,46.78,47.49,46.19,8367800
2017-09-29,47.49,47.85,47.23,47.49,46.19,4904300
2017-10-02,47.52,47.93,47.22,47.73,46.42,4911700
2017-10-03,47.66,50.59,47.63,50.51,49.12,10261800
2017-10-04,50.5,51.67,50.49,50.73,49.34,7454500
2017-10-05,50.85,50.99,50.26,50.56,49.17,4212300
2017-10-06,50.7,51.59,50.65,51.3,49.89,4240500
2017-10-09,51.23,51.48,50.4,50.6,49.21,3691500
2017-10-10,52.0,53.25,51.98,53.03,51.57,9387100
2017-10-11,53.1,53.74,52.33,52.83,51.38,5396800
2017-10-12,52.72,52.83,52.34,52.65,51.2,2942800
2017-10-13,52.67,52.86,52.26,52.7,51.25,2960300
2017-10-16,52.52,52.68,51.93,52.27,50.83,3262300
2017-10-17,52.72,52.82,51.87,52.07,50.64,3651200
2017-10-18,52.11,52.44,51.86,52.03,50.6,2542400
2017-10-19,51.57,51.83,49.63,51.51,50.1,7568200
2017-10-20,51.56,52.24,51.53,51.93,50.5,3643400
2017-10-23,51.92,51.95,50.87,50.98,49.58,3456500
2017-10-24,51.02,52.1,50.55,51.95,50.52,3654900
2017-10-25,51.78,51.78,50.61,51.02,49.62,4658300
2017-10-26,52.0,53.19,48.32,48.61,47.28,12079000
2017-10-27,48.41,48.89,47.33,47.56,46.25,8591500
2017-10-30,47.65,47.67,46.83,47.25,45.95,5402500
2017-10-31,47.22,47.6,46.79,46.82,45.53,4596600
2017-11-01,48.0,48.2,47.37,47.84,46.53,4354500
2017-11-02,47.79,47.93,47.09,47.36,46.06,2410700
2017-11-03,47.36,47.61,46.8,47.45,46.15,4037100
2017-11-06,47.46,48.1,47.28,47.51,46.21,4249500
2017-11-07,47.51,47.54,46.4,46.46,45.18,3756400
2017-11-08,46.42,46.98,45.84,46.37,45.1,3198800
2017-11-09,45.85,46.35,45.36,45.77,44.51,3561500
2017-11-10,45.64,46.12,45.56,45.82,44.66,2433000
2017-11-13,45.63,45.86,45.33,45.74,44.58,1772400
2017-11-14,45.3,45.97,45.27,45.81,44.65,1827100
2017-11-15,45.71,47.31,45.45,47.19,45.99,5223100
2017-11-16,47.26,48.06,47.24,47.68,46.47,4461400
2017-11-17,47.6,47.75,47.19,47.39,46.19,2324800
2017-11-20,47.33,47.88,47.12,47.69,46.48,2436000
2017-11-21,47.89,48.92,47.54,48.65,47.42,2796200
2017-11-22,48.58,48.97,48.27,48.66,47.43,2326900
2017-11-24,48.66,48.76,48.35,48.56,47.33,1352400
2017-11-27,48.61,48.83,48.3,48.42,47.19,2630800
