Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,89.38,90.32,88.55,89.97,82.66,1260500
2017-05-25,90.0,91.43,89.83,91.11,83.71,1047100
2017-05-26,91.19,91.5,90.91,91.0,83.61,891900
2017-05-30,90.66,91.39,90.53,91.03,83.64,1248400
2017-05-31,91.33,91.79,90.75,91.77,84.31,1870200
2017-06-01,91.71,93.3,91.44,93.14,85.57,1326900
2017-06-02,93.5,93.84,92.71,93.58,85.98,1285000
2017-06-05,93.2,93.57,92.51,93.32,85.74,1050800
2017-06-06,93.19,93.2,91.46,91.69,84.24,1377400
2017-06-07,91.95,92.23,91.45,91.93,84.46,1182800
2017-06-08,91.93,92.19,91.21,91.57,84.13,1113600
2017-06-09,91.28,92.31,91.03,92.1,84.62,1157100
2017-06-12,91.89,92.63,91.89,92.36,84.86,816500
2017-06-13,92.51,93.0,92.03,93.0,85.44,636400
2017-06-14,93.0,94.59,92.9,93.9,86.27,901900
2017-06-15,93.5,95.18,92.75,94.43,86.76,1733300
2017-06-16,94.54,94.56,91.74,92.53,85.01,1880600
2017-06-19,92.61,94.02,91.76,93.75,86.13,1072900
2017-06-20,93.75,93.9,92.81,93.25,85.67,1089100
2017-06-21,93.34,95.65,92.95,95.62,87.85,1092700
2017-06-22,95.7,97.67,95.5,96.37,88.54,1730000
2017-06-23,96.5,96.81,95.3,95.82,88.04,1624100
2017-06-26,96.2,96.72,95.63,95.99,88.19,1171100
2017-06-27,95.92,96.7,95.1,95.53,87.77,1253100
2017-06-28,96.17,97.11,96.07,96.38,88.55,897600
2017-06-29,96.68,97.85,95.39,95.76,87.98,1053300
2017-06-30,94.94,95.23,93.35,94.53,86.85,1236100
2017-07-03,94.86,95.36,94.4,94.7,87.01,527400
2017-07-05,94.91,95.68,94.25,95.22,87.48,908900
2017-07-06,94.69,95.19,92.24,92.51,84.99,951100
2017-07-07,93.04,94.26,92.74,93.91,86.28,1158700
2017-07-10,93.65,94.54,92.28,92.49,84.98,1255300
2017-07-11,92.65,92.65,91.15,92.18,84.69,911500
2017-07-12,92.84,93.7,92.61,93.21,85.64,655100
2017-07-13,93.55,93.79,92.32,92.86,85.32,788800
2017-07-14,93.06,93.42,92.53,92.96,85.41,859000
2017-07-17,93.05,93.37,92.55,92.71,85.18,1017700
2017-07-18,92.68,92.68,90.97,91.37,83.95,1299300
2017-07-19,91.56,91.67,90.3,91.17,83.76,1331600
2017-07-20,91.2,92.35,90.62,91.95,84.48,1136400
2017-07-21,91.82,92.08,91.44,91.62,84.18,604400
2017-07-24,91.64,93.66,91.34,93.13,85.56,1273700
2017-07-25,93.4,95.11,92.6,94.65,86.96,1413500
2017-07-26,94.27,94.73,93.41,94.21,86.56,1366100
2017-07-27,93.49,93.67,91.86,92.78,85.24,1493300
2017-07-28,93.0,94.17,92.38,93.97,86.34,869200
2017-07-31,94.3,94.42,93.25,93.82,86.2,1062100
2017-08-01,94.11,94.17,92.66,92.98,85.43,1256100
2017-08-02,92.19,92.19,89.09,91.27,83.86,2300500
2017-08-03,84.11,85.33,80.51,81.71,75.07,7434700
2017-08-04,81.71,81.97,79.58,80.83,74.26,2882900
2017-08-07,80.8,81.03,79.24,80.58,74.03,2287100
2017-08-08,80.91,82.34,80.13,80.33,73.8,1742000
2017-08-09,79.86,79.95,78.6,79.8,73.32,2620100
2017-08-10,79.43,80.03,78.13,78.88,72.47,2417100
2017-08-11,78.83,80.31,78.73,80.02,73.52,2214800
2017-08-14,80.31,80.53,79.66,80.08,73.57,2032900
2017-08-15,80.25,80.43,79.78,80.0,73.5,2126700
2017-08-16,80.29,80.58,79.53,80.03,73.53,1599800
2017-08-17,79.68,81.34,79.68,79.94,73.78,1727400
2017-08-18,79.69,79.89,78.46,78.6,72.55,2091900
2017-08-21,78.43,78.59,77.9,78.04,72.03,1455100
2017-08-22,78.24,79.46,78.09,79.23,73.13,1373000
2017-08-23,78.98,79.0,77.96,78.14,72.12,1455700
2017-08-24,78.33,78.9,77.86,78.4,72.36,1191100
2017-08-25,78.39,78.95,77.97,78.1,72.08,1154300
2017-08-28,78.38,78.88,77.69,78.66,72.6,1210900
2017-08-29,78.16,79.08,77.84,78.56,72.51,1279600
2017-08-30,78.43,78.53,77.79,78.33,72.3,1267000
2017-08-31,78.65,80.5,78.46,80.25,74.07,1301200
2017-09-01,80.46,80.61,79.22,80.24,74.06,1248400
2017-09-05,79.81,80.78,79.05,79.69,73.55,1123800
2017-09-06,80.0,80.94,79.84,80.72,74.5,1308300
2017-09-07,80.82,83.03,80.65,82.56,76.2,1825300
2017-09-08,82.54,83.94,82.33,82.5,76.15,1936800
2017-09-11,83.33,84.56,82.89,84.39,77.89,1230800
2017-09-12,84.19,84.81,83.11,83.9,77.44,1809600
2017-09-13,83.76,84.34,83.06,84.32,77.83,1310900
2017-09-14,82.32,82.32,80.44,80.69,74.47,2872100
2017-09-15,80.47,81.73,80.02,81.6,75.31,2732300
2017-09-18,81.8,82.03,80.54,80.67,74.46,1350600
2017-09-19,80.53,81.04,79.13,79.28,73.17,1648500
2017-09-20,79.47,80.09,78.34,79.5,73.38,1325000
2017-09-21,79.49,80.94,79.2,80.38,74.19,1035900
2017-09-22,80.53,81.2,80.33,81.05,74.81,835900
2017-09-25,80.23,81.36,80.14,80.98,74.74,717100
2017-09-26,81.41,82.65,81.33,82.0,75.68,1018500
2017-09-27,82.17,82.8,81.02,82.43,76.08,960900
2017-09-28,81.85,81.88,80.27,80.99,74.75,1120300
2017-09-29,81.71,83.84,81.42,82.75,76.38,1629400
2017-10-02,82.97,83.63,82.38,83.3,76.88,1933000
2017-10-03,83.33,83.73,82.52,82.88,76.5,1141700
2017-10-04,82.76,84.14,82.56,82.74,76.37,2206900
2017-10-05,84.16,85.29,83.83,84.12,77.64,2136200
2017-10-06,84.23,84.5,80.04,80.48,74.28,2919900
2017-10-09,80.21,80.49,77.87,78.35,72.31,2644100
2017-10-10,79.49,80.4,79.01,79.55,73.42,1620300
2017-10-11,79.45,80.5,79.25,80.32,74.13,1004600
2017-10-12,80.37,81.3,80.37,80.8,74.58,1195300
2017-10-13,80.42,81.41,77.77,79.44,73.32,2469300
