Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,56.32,56.5,55.92,56.14,48.95,3260200
2017-05-25,55.72,56.24,55.21,56.05,48.87,2165400
2017-05-26,55.99,56.21,55.88,56.15,48.96,1187800
2017-05-30,56.17,56.57,55.87,56.46,49.23,1189900
2017-05-31,56.57,56.96,56.57,56.75,49.48,2086000
2017-06-01,56.75,56.89,56.42,56.8,49.52,2592100
2017-06-02,57.03,57.21,56.55,57.17,49.85,1508300
2017-06-05,57.12,57.16,56.87,56.88,49.59,823600
2017-06-06,57.0,57.21,56.77,56.82,49.54,1091200
2017-06-07,56.97,57.14,56.78,56.89,49.6,1362000
2017-06-08,56.89,56.89,55.87,56.35,49.13,1367300
2017-06-09,56.13,56.42,56.02,56.29,49.08,1169300
2017-06-12,56.01,56.17,55.8,56.13,49.32,1463800
2017-06-13,56.01,56.34,55.81,56.29,49.47,1024800
2017-06-14,56.67,56.9,56.22,56.41,49.57,755500
2017-06-15,56.41,56.63,56.23,56.48,49.63,1909100
2017-06-16,56.51,57.08,56.51,57.08,50.16,1802200
2017-06-19,57.14,57.14,56.6,56.79,49.9,811200
2017-06-20,56.84,57.1,56.68,57.09,50.17,1087200
2017-06-21,57.07,57.16,56.15,56.47,49.62,1136900
2017-06-22,56.41,56.52,56.24,56.27,49.45,840600
2017-06-23,56.27,56.45,55.84,55.94,49.16,973300
2017-06-26,55.72,56.64,55.68,56.43,49.59,1393000
2017-06-27,56.19,56.49,55.7,55.89,49.11,2075600
2017-06-28,56.11,56.31,55.27,55.33,48.62,1082800
2017-06-29,54.9,55.0,54.48,54.7,48.07,1567900
2017-06-30,54.73,54.96,54.38,54.67,48.04,1944800
2017-07-03,54.85,54.92,54.13,54.13,47.57,800000
2017-07-05,54.12,54.2,53.55,53.86,47.33,1475500
2017-07-06,53.7,53.82,53.54,53.75,47.23,1082600
2017-07-07,53.77,54.38,53.73,54.14,47.58,1156400
2017-07-10,54.19,54.41,53.9,53.95,47.41,1679700
2017-07-11,54.01,54.04,53.59,53.81,47.29,862100
2017-07-12,54.3,54.52,54.15,54.4,47.8,1144700
2017-07-13,54.37,54.37,53.79,54.09,47.53,1431100
2017-07-14,54.48,54.63,54.23,54.43,47.83,720500
2017-07-17,54.47,55.01,54.18,54.89,48.24,2809200
2017-07-18,54.94,55.54,54.81,55.36,48.65,2213400
2017-07-19,55.43,55.68,55.22,55.66,48.91,1134300
2017-07-20,55.86,56.29,55.65,56.14,49.33,1198300
