Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,69.74,70.24,69.66,70.2,59.29,1997700
2017-05-25,70.17,70.93,70.08,70.8,59.8,2214200
2017-05-26,70.8,71.01,70.71,70.87,59.86,3464800
2017-05-30,70.77,71.26,70.7,71.21,60.14,2027900
2017-05-31,71.26,71.91,71.24,71.78,60.63,2857100
2017-06-01,71.65,72.22,71.4,72.21,60.99,2715100
2017-06-02,72.51,72.72,72.28,72.67,61.38,2583700
2017-06-05,72.64,72.69,72.32,72.4,61.15,2723200
2017-06-06,72.62,72.67,72.06,72.13,60.92,2485900
2017-06-07,72.26,72.71,72.07,72.62,61.34,2565300
2017-06-08,72.62,72.65,71.51,71.95,60.77,2679900
2017-06-09,71.71,72.04,71.37,71.86,60.69,2271600
2017-06-12,71.86,72.23,71.41,71.41,60.31,3169400
2017-06-13,71.33,71.68,71.05,71.65,60.52,1800200
2017-06-14,72.23,72.4,71.69,71.96,60.78,1792200
2017-06-15,71.93,72.16,71.51,72.14,60.93,2311500
2017-06-16,72.32,72.59,71.97,72.42,61.17,3326400
2017-06-19,72.42,72.47,71.74,72.06,60.86,2076300
2017-06-20,72.1,72.57,72.02,72.56,61.28,2486600
2017-06-21,72.6,72.97,72.2,72.4,61.15,6134900
2017-06-22,72.2,72.45,71.76,71.79,60.63,2172100
2017-06-23,71.75,72.09,71.43,71.55,60.43,2431800
2017-06-26,71.29,72.2,71.19,71.87,60.7,2026000
2017-06-27,71.5,71.61,70.63,70.72,59.73,3003600
2017-06-28,70.91,71.08,70.12,70.15,59.25,2553900
2017-06-29,69.82,69.82,69.19,69.6,58.78,3112100
2017-06-30,69.77,70.11,69.47,69.47,58.68,2130200
2017-07-03,69.69,69.69,68.93,69.0,58.28,1592000
2017-07-05,69.05,69.1,68.62,68.82,58.13,2735700
2017-07-06,68.69,69.15,68.47,69.02,58.29,2147800
2017-07-07,69.01,69.41,68.83,69.15,58.4,1747500
2017-07-10,69.4,69.47,68.89,68.89,58.19,1567600
2017-07-11,69.0,69.05,68.67,68.84,58.14,1813100
2017-07-12,69.4,69.53,68.97,68.99,58.27,2287800
2017-07-13,68.9,69.1,68.28,68.28,57.67,3489100
