Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,11.36,11.83,11.36,11.75,9.94,8910000
2017-05-25,11.71,11.81,11.67,11.78,9.96,4913100
2017-05-26,11.76,11.85,11.68,11.79,9.97,2565100
2017-05-30,11.76,11.79,11.68,11.7,9.89,2884000
2017-05-31,11.73,11.79,11.58,11.68,9.88,6780000
2017-06-01,11.68,11.95,11.64,11.95,10.11,4574400
2017-06-02,11.99,12.0,11.82,11.91,10.07,5061600
2017-06-05,11.87,11.94,11.71,11.71,9.9,3925400
2017-06-06,11.8,12.0,11.65,11.91,10.07,7884800
2017-06-07,11.92,11.92,11.55,11.57,9.78,5520300
2017-06-08,11.57,11.6,11.43,11.56,9.78,3954000
2017-06-09,11.53,11.72,11.53,11.72,9.91,2672400
2017-06-12,11.73,11.83,11.72,11.75,9.94,4502500
2017-06-13,11.71,11.96,11.67,11.93,10.09,4702600
2017-06-14,11.97,12.05,11.88,11.91,10.07,4336800
2017-06-15,11.82,12.05,11.76,11.92,10.08,5362700
2017-06-16,11.94,11.98,11.86,11.92,10.08,7206400
2017-06-19,11.93,11.97,11.86,11.91,10.07,2659000
2017-06-20,11.89,11.91,11.78,11.9,10.06,2305000
2017-06-21,11.93,11.94,11.64,11.67,9.87,2671000
2017-06-22,11.65,11.7,11.49,11.57,9.78,4758600
2017-06-23,11.6,11.7,11.5,11.56,9.78,6861300
2017-06-26,11.63,11.84,11.63,11.68,9.88,5189400
2017-06-27,11.65,11.72,11.5,11.5,9.73,4684300
2017-06-28,11.54,11.6,11.27,11.33,9.58,6527700
2017-06-29,11.25,11.31,11.11,11.16,9.44,5909300
2017-06-30,11.18,11.25,11.11,11.11,9.4,4224400
2017-07-03,11.15,11.19,10.96,11.01,9.31,2754900
2017-07-05,11.0,11.09,10.85,10.87,9.19,5348800
2017-07-06,10.81,10.83,10.6,10.68,9.03,5693800
2017-07-07,10.69,10.77,10.63,10.76,9.1,5535100
2017-07-10,10.85,10.98,10.8,10.94,9.25,6330200
2017-07-11,10.95,10.99,10.87,10.93,9.24,4824000
2017-07-12,11.09,11.22,10.99,11.1,9.39,6016700
2017-07-13,11.12,11.23,11.0,11.02,9.32,5105400
2017-07-14,11.11,11.15,11.01,11.03,9.33,4242800
2017-07-17,11.05,11.13,10.97,11.12,9.4,3358400
2017-07-18,11.12,11.3,11.09,11.24,9.51,4629800
2017-07-19,11.28,11.34,11.21,11.32,9.57,3800400
2017-07-20,11.35,11.43,11.26,11.37,9.62,2791500
2017-07-21,11.38,11.44,11.33,11.42,9.66,3197300
2017-07-24,11.42,11.45,11.31,11.32,9.57,2906800
2017-07-25,11.35,11.36,11.22,11.24,9.51,4625000
2017-07-26,11.24,11.24,11.04,11.16,9.44,5336200
2017-07-27,11.16,11.24,11.02,11.1,9.39,5997300
2017-07-28,11.09,11.11,10.96,10.98,9.29,4831600
2017-07-31,11.0,11.26,10.99,11.18,9.45,17391400
2017-08-01,11.06,11.23,11.0,11.2,9.57,6287700
2017-08-02,11.15,11.16,10.92,11.05,9.45,6518100
2017-08-03,11.14,11.24,11.06,11.12,9.51,7349200
