Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,62.23,62.84,62.17,62.6,54.47,11406200
2017-05-25,62.85,63.24,62.55,63.12,54.92,9920700
2017-05-26,63.0,63.9,62.91,63.55,55.29,8817100
2017-05-30,63.3,64.32,63.26,64.1,55.77,6358300
2017-05-31,64.19,64.19,63.52,63.63,55.36,7493000
2017-06-01,63.81,64.04,63.63,63.9,55.6,5146700
2017-06-02,63.56,64.35,63.45,64.24,55.89,5736900
2017-06-05,64.0,64.15,63.78,63.83,55.54,3251100
2017-06-06,63.57,63.65,63.05,63.31,55.08,4157900
2017-06-07,63.4,63.42,63.08,63.16,54.95,4203700
2017-06-08,63.16,64.21,63.06,63.66,55.39,4868400
2017-06-09,63.83,64.21,63.32,64.18,55.84,7128900
2017-06-12,64.0,64.4,63.82,63.82,55.81,5646900
2017-06-13,63.88,64.33,63.64,64.23,56.17,4715000
2017-06-14,64.04,64.35,63.63,64.25,56.18,3026200
2017-06-15,63.81,64.13,63.36,63.81,55.8,4895700
2017-06-16,63.97,64.0,63.57,63.79,55.78,7611900
2017-06-19,64.13,64.18,63.72,63.95,55.92,3090800
2017-06-20,63.8,63.92,63.33,63.39,55.43,3907500
2017-06-21,63.89,63.94,63.16,63.22,55.28,4468200
2017-06-22,63.0,63.28,62.83,63.05,55.13,2749400
2017-06-23,63.18,63.36,62.81,63.02,55.11,8461800
2017-06-26,63.22,63.65,63.09,63.18,55.25,3839800
2017-06-27,63.26,64.0,63.21,63.41,55.45,4986700
2017-06-28,63.67,64.15,63.67,63.84,55.82,3792400
2017-06-29,64.31,64.53,63.25,63.5,55.53,4376300
2017-06-30,63.67,63.69,62.28,62.52,54.67,7731600
2017-07-03,62.82,63.91,62.82,63.29,55.34,3229100
2017-07-05,63.4,63.55,62.46,62.78,54.9,7149000
2017-07-06,62.78,63.79,62.77,63.08,55.16,6088000
2017-07-07,63.23,63.44,62.98,63.35,55.4,3360700
2017-07-10,63.08,63.3,62.98,63.07,55.15,3140600
2017-07-11,63.14,63.27,62.73,62.91,55.01,2883400
2017-07-12,62.91,63.59,62.79,63.19,55.26,2686600
2017-07-13,63.36,64.29,63.18,64.13,56.08,5507900
2017-07-14,63.8,64.24,63.49,64.11,56.06,2767900
2017-07-17,64.0,64.22,63.53,64.05,56.01,3466300
2017-07-18,63.83,64.08,63.52,63.87,55.85,3980900
2017-07-19,63.92,64.19,63.73,64.19,56.13,2871700
2017-07-20,64.22,64.35,63.81,64.23,56.17,3488500
2017-07-21,64.16,64.28,63.86,64.2,56.14,3542700
2017-07-24,64.2,64.62,64.05,64.53,56.43,2928000
2017-07-25,64.94,65.42,64.91,65.29,57.09,4960000
2017-07-26,65.31,65.47,65.01,65.19,57.0,4458900
2017-07-27,65.17,66.03,65.09,65.17,56.99,4289300
2017-07-28,65.25,65.52,65.06,65.27,57.07,2838500
2017-07-31,65.41,65.65,65.14,65.45,57.23,3144500
2017-08-01,65.73,65.74,65.28,65.48,57.26,3261700
2017-08-02,65.29,65.94,65.1,65.9,57.63,3848500
2017-08-03,66.08,67.3,65.1,66.06,57.77,8492600
2017-08-04,66.17,66.23,64.79,65.08,56.91,5074100
2017-08-07,64.76,65.08,64.5,64.98,56.82,5301200
2017-08-08,64.94,65.08,64.39,64.57,56.46,3143600
2017-08-09,64.01,64.44,63.64,64.01,55.97,5601400
2017-08-10,63.73,63.85,62.92,63.0,55.09,4375100
2017-08-11,63.14,63.21,62.51,62.65,54.78,3676300
2017-08-14,63.17,63.41,62.84,62.88,54.98,3256300
2017-08-15,63.16,63.44,63.0,63.03,55.12,3065400
2017-08-16,63.2,63.3,62.81,62.97,55.06,2656900
2017-08-17,62.76,62.76,61.64,61.67,53.93,5174900
2017-08-18,61.46,61.83,61.16,61.34,53.64,4494700
2017-08-21,61.3,61.35,60.92,61.29,53.59,3000300
2017-08-22,61.35,61.51,60.94,61.22,53.53,4843600
2017-08-23,60.88,61.05,60.66,60.77,53.14,5306000
2017-08-24,60.79,60.94,60.17,60.23,52.67,5389700
2017-08-25,60.31,60.91,60.13,60.78,53.15,5877600
2017-08-28,60.66,60.71,60.27,60.66,53.04,6586400
2017-08-29,60.2,60.42,60.02,60.21,52.65,4870000
2017-08-30,60.17,60.34,60.1,60.2,52.64,4420100
2017-08-31,60.41,60.54,60.06,60.48,52.89,7299900
2017-09-01,60.58,61.03,60.44,60.7,53.08,3747100
2017-09-05,60.43,60.68,59.46,59.65,52.16,8071600
2017-09-06,59.72,59.96,59.42,59.47,52.0,5938100
2017-09-07,59.39,59.47,58.06,58.27,50.95,6648600
2017-09-08,58.03,60.23,57.9,59.78,52.27,10069200
2017-09-11,60.36,61.06,59.98,60.77,53.14,8147100
2017-09-12,60.84,61.23,60.71,61.2,53.52,4310400
2017-09-13,60.9,60.98,60.51,60.74,53.11,5493200
2017-09-14,60.5,60.56,59.6,59.81,52.58,5383300
2017-09-15,59.67,60.04,59.4,59.62,52.41,9334400
2017-09-18,59.66,59.8,59.23,59.39,52.21,7293400
2017-09-19,59.34,59.77,59.21,59.49,52.3,4093000
2017-09-20,59.44,60.33,59.44,60.12,52.85,6049700
2017-09-21,60.22,60.71,60.14,60.5,53.18,4354800
2017-09-22,60.37,61.01,60.21,60.71,53.37,4407200
2017-09-25,60.31,61.19,60.31,61.01,53.63,4405300
2017-09-26,60.8,60.85,60.01,60.47,53.16,7686500
2017-09-27,60.9,61.52,60.51,61.25,53.84,5967300
2017-09-28,61.23,61.32,60.71,60.97,53.6,4896300
2017-09-29,61.24,61.88,61.13,61.39,53.97,4337000
2017-10-02,61.72,61.94,61.38,61.86,54.38,3864100
2017-10-03,61.78,61.92,61.28,61.63,54.18,4423300
2017-10-04,61.6,61.7,61.42,61.58,54.13,2404300
2017-10-05,61.64,62.17,61.43,61.98,54.48,3652000
2017-10-06,62.26,62.43,62.0,62.26,54.73,3647100
2017-10-09,62.24,62.31,61.61,61.78,54.31,2594900
2017-10-10,61.0,61.93,61.0,61.78,54.31,4099700
2017-10-11,61.72,61.88,61.45,61.84,54.36,5740900
2017-10-12,61.75,62.75,61.66,62.55,54.99,6179700
2017-10-13,62.43,63.37,62.24,63.16,55.52,7080400
2017-10-16,63.37,64.05,63.14,63.98,56.24,6550000
2017-10-17,63.85,64.09,63.47,63.63,55.94,5381800
2017-10-18,63.88,63.97,63.25,63.44,55.77,4442700
2017-10-19,63.24,65.15,63.07,65.07,57.2,7182000
2017-10-20,65.34,65.55,64.82,64.87,57.03,6871200
2017-10-23,65.16,65.35,64.8,64.96,57.1,4108700
2017-10-24,65.02,65.19,64.8,65.13,57.25,3823000
2017-10-25,65.18,65.38,64.86,65.1,57.23,4016400
2017-10-26,65.43,65.45,64.44,64.85,57.01,4041400
2017-10-27,64.76,64.89,63.97,64.55,56.74,4020200
2017-10-30,64.01,64.99,64.01,64.78,56.95,4030100
2017-10-31,64.68,64.95,64.44,64.61,56.8,3191500
2017-11-01,64.92,65.09,64.51,64.66,56.84,3027400
2017-11-02,64.58,65.3,64.4,64.98,57.12,4032100
2017-11-03,62.09,63.48,61.72,62.0,54.5,14417400
2017-11-06,61.8,62.73,61.6,62.49,54.93,7610700
2017-11-07,62.62,63.08,61.93,62.13,54.62,5968800
2017-11-08,62.12,62.26,61.55,61.67,54.21,4741300
2017-11-09,61.5,62.39,61.31,62.24,54.71,4575000
2017-11-10,62.08,62.33,61.91,62.06,54.56,4422300
2017-11-13,61.68,62.1,61.6,62.0,54.5,3605000
2017-11-14,61.61,61.92,61.26,61.46,54.03,6800100
2017-11-15,61.05,61.66,60.92,61.14,53.75,4100300
2017-11-16,61.35,61.41,59.95,60.06,52.8,5642200
2017-11-17,59.78,60.15,59.41,60.06,52.8,5569700
2017-11-20,60.0,60.02,59.3,59.69,52.47,6349100
2017-11-21,59.84,59.97,59.52,59.63,52.42,4372500
2017-11-22,59.56,59.67,59.23,59.23,52.07,3042100
2017-11-24,59.46,59.48,58.98,59.03,51.89,1744100
2017-11-27,59.1,59.19,58.69,58.76,51.65,4204700
2017-11-28,58.76,60.03,58.52,59.82,52.59,6705500
2017-11-29,60.14,61.1,60.03,60.3,53.01,7727400
2017-11-30,60.63,60.63,59.69,59.96,52.71,6667200
2017-12-01,60.07,60.2,58.98,59.88,52.64,4537800
2017-12-04,60.42,60.48,59.04,59.26,52.09,5815800
2017-12-05,59.25,59.94,58.92,59.53,52.33,4877100
2017-12-06,59.75,60.57,59.72,60.03,52.77,4234400
2017-12-07,59.82,60.03,59.42,59.55,52.63,3591600
2017-12-08,59.63,59.67,59.19,59.51,52.59,3401100
2017-12-11,59.36,59.82,59.22,59.79,52.84,4163500
2017-12-12,59.75,60.15,59.66,59.93,52.97,3681200
2017-12-13,59.92,59.93,58.92,58.97,52.12,5373100
2017-12-14,59.0,59.15,57.85,58.11,51.36,6959100
2017-12-15,58.37,59.52,58.37,59.39,52.49,8447100
2017-12-18,59.66,60.04,59.32,59.58,52.66,5630800
2017-12-19,60.0,60.08,59.75,59.78,52.83,3995300
2017-12-20,59.84,60.14,59.59,60.0,53.03,4377300
2017-12-21,60.25,60.67,60.02,60.08,53.1,4941500
2017-12-22,60.27,60.36,59.11,59.31,52.42,4266300
2017-12-26,59.22,59.79,59.19,59.43,52.52,2358300
2017-12-27,59.29,59.56,59.19,59.54,52.62,2841400
2017-12-28,59.7,60.02,59.44,60.0,53.03,2373000
2017-12-29,59.97,60.21,59.58,59.58,52.66,2837600
2018-01-02,60.0,60.0,59.12,59.5,52.59,3769600
2018-01-03,59.38,60.28,59.27,60.16,53.17,4959200
2018-01-04,60.42,61.05,60.28,60.4,53.38,4170600
2018-01-05,60.64,60.79,60.37,60.65,53.6,3726100
2018-01-08,60.46,60.53,60.14,60.25,53.25,3229200
2018-01-09,60.36,61.28,60.25,60.63,53.58,6669100
2018-01-10,60.64,61.35,60.55,61.0,53.91,12261300
2018-01-11,61.24,61.46,61.05,61.15,54.04,6536500
2018-01-12,60.95,61.22,60.79,60.97,53.88,6240100
2018-01-16,61.14,61.3,60.89,61.06,53.96,6078900
2018-01-17,61.4,61.59,61.19,61.42,54.28,4935700
2018-01-18,61.56,61.78,61.03,61.53,54.38,5402100
2018-01-19,61.67,61.85,61.33,61.55,54.4,6498700
2018-01-22,61.36,61.36,60.44,61.0,53.91,7217600
2018-01-23,60.85,62.5,60.71,62.34,55.1,10001200
2018-01-24,62.47,64.54,62.41,64.32,56.85,10387500
2018-01-25,64.35,64.89,63.83,64.8,57.27,6113400
2018-01-26,64.62,64.91,64.24,64.68,57.16,5014100
2018-01-29,64.64,65.05,64.22,64.26,56.79,4270500
2018-01-30,63.57,64.32,63.11,63.35,55.99,4555700
2018-01-31,63.67,64.1,63.34,63.92,56.49,4909500
2018-02-01,63.74,64.28,63.3,64.17,56.71,4120500
2018-02-02,63.88,63.97,62.87,63.04,55.71,4294400
2018-02-05,62.29,62.6,60.45,60.63,53.58,8578200
2018-02-06,59.68,60.68,59.04,60.26,53.26,12035700
2018-02-07,60.0,61.3,59.68,60.47,53.44,7719800
2018-02-08,60.45,60.62,58.27,58.28,51.51,7377600
2018-02-09,61.35,61.7,58.35,60.22,53.22,15132000
2018-02-12,60.35,60.42,59.14,59.61,52.68,6074100
2018-02-13,59.13,59.75,58.68,59.43,52.52,4948300
2018-02-14,59.12,59.62,58.68,59.41,52.51,6742100
2018-02-15,59.66,59.8,58.97,59.23,52.35,7869700
2018-02-16,59.1,59.91,58.91,59.47,52.56,6828600
2018-02-20,59.27,60.16,59.23,60.04,53.06,5349100
2018-02-21,59.81,61.36,59.74,60.18,53.19,7203200
2018-02-22,60.32,60.96,59.87,59.96,52.99,23186900
2018-02-23,60.24,60.5,59.59,60.07,53.09,5612000
2018-02-26,59.97,60.2,58.47,59.01,52.15,11793300
2018-02-27,58.98,59.63,58.16,58.23,51.46,8559300
2018-02-28,58.58,58.85,57.34,57.34,50.68,9170500
2018-03-01,57.34,57.61,56.08,56.47,49.91,9758600
2018-03-02,56.11,56.61,55.07,56.51,49.94,8435000
2018-03-05,56.32,57.9,56.32,57.62,50.92,9483100
2018-03-06,57.9,58.25,57.08,58.03,51.29,5520400
2018-03-07,57.56,58.21,57.17,57.31,50.65,5873100
2018-03-08,57.44,57.47,55.53,56.27,49.73,12077600
2018-03-09,56.68,56.95,55.98,56.57,50.0,9719800
2018-03-12,56.68,57.48,56.42,56.61,50.03,7615600
2018-03-13,56.77,56.97,55.63,55.94,49.44,7670200
2018-03-14,55.76,55.87,54.61,54.93,48.83,8079300
2018-03-15,54.93,55.18,54.55,54.66,48.59,8167800
2018-03-16,54.66,54.9,54.03,54.3,48.27,11138300
2018-03-19,54.37,54.77,53.98,54.45,48.4,7014300
2018-03-20,54.64,55.82,54.6,55.63,49.45,9030100
2018-03-21,55.63,56.4,55.26,55.84,49.63,10173500
2018-03-22,55.3,55.93,54.73,54.81,48.72,9088200
2018-03-23,55.0,55.18,53.34,53.41,47.47,8215100
2018-03-26,54.07,54.86,53.81,54.21,48.19,6978100
2018-03-27,54.37,54.98,53.45,53.78,47.8,6637700
2018-03-28,53.88,55.0,53.49,54.52,48.46,6870600
2018-03-29,54.57,54.78,54.13,54.42,48.37,4538000
2018-04-02,54.23,54.39,52.42,53.12,47.22,7341400
2018-04-03,53.21,53.84,53.01,53.73,47.76,5608900
2018-04-04,53.03,54.3,52.75,54.22,48.19,4606400
2018-04-05,54.43,54.76,54.15,54.55,48.49,4993800
2018-04-06,54.14,54.48,53.09,53.6,47.64,5138200
2018-04-09,53.66,54.09,53.08,53.3,47.38,4697200
2018-04-10,53.82,54.14,53.45,53.52,47.57,3824500
