Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,56.72,56.91,56.52,56.84,51.64,542400
2017-05-25,57.0,57.57,56.82,57.55,52.28,764200
2017-05-26,57.42,57.54,57.11,57.12,51.89,854800
2017-05-30,56.81,57.15,56.55,56.97,51.76,970800
2017-05-31,56.81,56.94,56.34,56.73,51.9,1357100
2017-06-01,56.88,57.46,56.72,57.46,52.56,1224100
2017-06-02,57.33,57.55,57.06,57.35,52.46,533600
2017-06-05,57.24,57.49,56.88,56.91,52.06,791300
2017-06-06,56.7,56.7,56.19,56.25,51.46,589900
2017-06-07,56.49,57.14,56.23,56.93,52.08,1002200
2017-06-08,56.93,57.44,56.87,57.39,52.5,785600
2017-06-09,57.5,57.95,57.23,57.88,52.95,703000
2017-06-12,57.87,58.06,57.73,58.05,53.1,919500
2017-06-13,58.19,58.56,58.08,58.13,53.18,859100
2017-06-14,58.01,58.19,57.65,57.97,53.03,1354600
2017-06-15,57.76,58.84,57.74,58.81,53.8,1583900
2017-06-16,58.77,59.03,58.56,58.97,53.94,1256100
2017-06-19,58.99,59.11,58.74,59.01,53.98,738800
2017-06-20,58.92,59.09,58.66,58.66,53.66,576100
2017-06-21,58.87,58.97,57.83,57.9,52.97,753800
2017-06-22,57.67,57.86,57.1,57.1,52.23,688900
2017-06-23,57.18,57.34,56.7,56.71,51.88,1197700
2017-06-26,56.95,57.17,56.71,56.86,52.01,1143200
2017-06-27,56.88,56.99,56.43,56.51,51.69,1184400
2017-06-28,56.83,57.51,56.64,57.39,52.5,917900
2017-06-29,57.71,57.75,56.61,57.02,52.16,860900
2017-06-30,57.35,57.45,56.98,57.25,52.37,813100
2017-07-03,57.6,58.01,57.53,57.53,52.63,449100
2017-07-05,57.62,57.74,57.34,57.49,52.59,696100
2017-07-06,57.42,57.75,57.08,57.16,52.29,714300
2017-07-07,57.53,58.07,57.32,57.71,52.79,633700
2017-07-10,57.71,57.84,57.4,57.46,52.56,883600
2017-07-11,57.46,57.72,56.72,56.76,51.92,788500
2017-07-12,56.94,57.26,56.75,56.87,52.02,783700
2017-07-13,56.96,57.68,56.8,57.56,52.65,623200
2017-07-14,57.35,57.73,57.08,57.61,52.7,549900
2017-07-17,57.6,57.69,57.17,57.5,52.6,790200
2017-07-18,57.11,57.72,57.11,57.56,52.65,469400
2017-07-19,57.75,57.75,57.26,57.69,52.77,522400
2017-07-20,57.8,58.27,57.78,58.27,53.3,637900
2017-07-21,58.12,58.78,58.12,58.65,53.65,755300
2017-07-24,58.69,58.91,58.32,58.83,53.82,565500
2017-07-25,59.33,59.5,59.0,59.1,54.06,433900
2017-07-26,59.13,59.18,58.56,58.67,53.67,572800
2017-07-27,58.68,58.78,56.2,58.03,53.08,802600
2017-07-28,58.62,59.64,57.81,59.41,54.35,800600
2017-07-31,59.57,59.57,58.74,58.79,53.78,731900
2017-08-01,59.03,59.33,58.88,59.19,54.15,485600
2017-08-02,59.08,59.18,58.72,59.02,53.99,652200
2017-08-03,59.08,59.08,58.57,58.65,53.65,490900
2017-08-04,58.87,59.11,58.61,59.02,53.99,735200
2017-08-07,59.0,59.12,58.67,58.91,53.89,598300
2017-08-08,58.78,58.97,58.68,58.81,53.8,533700
2017-08-09,58.72,59.04,58.72,58.9,53.88,430200
2017-08-10,58.65,58.97,58.43,58.61,53.62,924300
2017-08-11,58.63,58.98,58.35,58.42,53.44,546200
2017-08-14,58.82,58.99,58.71,58.86,53.84,551500
2017-08-15,59.04,59.17,58.61,58.72,53.72,331400
2017-08-16,58.96,59.38,58.87,58.91,53.89,501400
2017-08-17,58.86,59.12,57.83,57.85,52.92,422200
2017-08-18,57.74,58.13,57.52,57.94,53.0,581800
2017-08-21,57.9,58.32,57.67,58.13,53.18,576300
2017-08-22,58.29,58.63,58.0,58.62,53.62,505900
2017-08-23,58.39,58.69,58.18,58.21,53.25,427000
2017-08-24,58.28,58.4,58.01,58.31,53.34,667300
2017-08-25,58.54,58.68,58.33,58.38,53.4,487000
2017-08-28,58.43,58.63,58.23,58.3,53.33,408100
2017-08-29,57.87,58.15,57.76,58.04,53.09,497200
2017-08-30,57.7,58.14,57.68,57.82,53.25,637000
2017-08-31,58.01,58.21,57.74,57.9,53.32,688700
2017-09-01,58.01,58.37,57.92,57.92,53.34,437900
2017-09-05,57.7,57.99,57.19,57.71,53.15,1466100
2017-09-06,57.96,58.39,57.29,58.18,53.58,692100
2017-09-07,58.2,58.27,57.55,57.68,53.12,629700
2017-09-08,57.59,59.92,57.53,59.69,54.97,1378200
2017-09-11,59.49,60.33,59.19,60.04,55.29,1529000
2017-09-12,60.13,61.44,59.41,60.32,55.55,861400
2017-09-13,60.18,60.3,59.28,59.96,55.22,1032800
2017-09-14,60.02,60.19,59.64,60.0,55.26,1356000
2017-09-15,59.94,60.56,59.75,60.38,55.61,1816700
2017-09-18,60.34,60.62,60.13,60.4,55.63,993400
2017-09-19,60.4,60.77,60.29,60.37,55.6,820000
2017-09-20,60.52,60.85,60.26,60.72,55.92,766100
2017-09-21,60.72,60.83,60.46,60.67,55.87,575800
2017-09-22,60.65,61.03,60.51,60.99,56.17,785500
2017-09-25,60.91,61.06,60.48,60.88,56.07,1026300
2017-09-26,60.82,61.66,60.74,61.48,56.62,1183500
2017-09-27,61.87,61.87,61.19,61.63,56.76,1039500
2017-09-28,61.65,61.75,61.36,61.51,56.65,578400
2017-09-29,61.2,61.63,61.13,61.55,56.69,798800
2017-10-02,61.68,61.74,60.97,61.69,56.81,858200
2017-10-03,61.63,62.07,61.52,62.0,57.1,618200
2017-10-04,61.65,61.73,60.87,61.6,56.73,602000
2017-10-05,61.6,61.9,61.52,61.8,56.92,471900
2017-10-06,61.97,62.12,61.53,61.76,56.88,578400
2017-10-09,61.75,61.9,61.45,61.6,56.73,578500
2017-10-10,61.56,61.87,61.52,61.87,56.98,533000
2017-10-11,61.84,61.86,61.58,61.72,56.84,497100
2017-10-12,61.77,62.14,61.75,62.04,57.14,470000
2017-10-13,62.0,62.31,61.78,62.02,57.12,390900
2017-10-16,62.07,62.21,61.49,62.12,57.21,485200
2017-10-17,62.22,62.36,61.71,61.88,56.99,603900
2017-10-18,61.98,62.39,61.75,62.13,57.22,564100
2017-10-19,62.0,62.64,61.83,62.64,57.69,623900
2017-10-20,63.11,63.14,62.75,62.92,57.95,558500
2017-10-23,63.02,63.14,62.5,62.96,57.98,512800
2017-10-24,62.94,63.2,62.66,62.83,57.86,576000
2017-10-25,62.8,62.91,62.21,62.54,57.6,538800
2017-10-26,62.74,62.91,62.1,62.25,57.33,759400
2017-10-27,62.85,63.2,61.91,62.54,57.6,844800
2017-10-30,62.5,62.84,62.14,62.74,57.78,758200
2017-10-31,62.57,63.37,62.57,63.33,58.32,761500
2017-11-01,63.57,64.05,63.45,63.6,58.57,607700
2017-11-02,63.67,64.06,62.75,63.88,58.83,919300
2017-11-03,63.59,63.93,63.31,63.69,58.66,523500
2017-11-06,63.38,64.24,63.38,64.14,59.07,672000
2017-11-07,64.19,64.45,63.43,63.71,58.67,794700
2017-11-08,63.63,63.78,63.33,63.53,58.51,663200
2017-11-09,63.3,63.77,63.14,63.65,58.62,317200
2017-11-10,63.66,64.2,63.36,64.08,59.02,590400
2017-11-13,63.98,64.32,63.69,63.94,58.89,589600
2017-11-14,63.75,65.12,63.67,65.1,59.95,1245800
2017-11-15,65.0,65.44,64.65,65.33,60.17,997100
2017-11-16,65.44,65.94,65.34,65.83,60.63,1333300
