Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,47.54,47.92,47.16,47.62,47.62,1957600
2017-05-25,47.68,48.4,47.56,48.06,48.06,3859700
2017-05-26,48.0,48.17,47.14,47.39,47.39,1445400
2017-05-30,47.29,47.67,47.05,47.43,47.43,1617700
2017-05-31,47.52,47.57,46.81,47.15,47.15,1991200
2017-06-01,47.23,48.32,47.08,48.3,48.3,1923900
2017-06-02,48.69,48.79,48.07,48.53,48.53,2031000
2017-06-05,48.45,49.06,48.39,48.91,48.91,1918400
2017-06-06,48.89,49.06,48.35,48.45,48.45,1697400
2017-06-07,48.49,48.75,48.19,48.54,48.54,2338500
2017-06-08,48.55,48.94,48.3,48.91,48.91,1371400
2017-06-09,49.12,49.33,47.64,48.13,48.13,1958400
2017-06-12,47.84,49.65,47.66,49.52,49.52,2931100
2017-06-13,49.96,50.65,49.56,49.63,49.63,2209700
2017-06-14,49.84,49.95,48.97,49.25,49.25,1859900
2017-06-15,48.88,49.36,48.71,49.19,49.19,1502400
2017-06-16,48.92,49.57,48.5,49.5,49.5,5036200
2017-06-19,49.86,50.24,49.34,49.49,49.49,1925900
2017-06-20,49.47,49.68,48.61,48.64,48.64,1320400
2017-06-21,48.78,49.34,48.43,49.28,49.28,1502900
2017-06-22,49.19,50.61,48.97,50.02,50.02,2648900
2017-06-23,50.12,51.51,49.92,51.3,51.3,6359000
2017-06-26,51.3,51.65,50.5,50.87,50.87,1569500
2017-06-27,50.73,51.14,50.0,50.0,50.0,1778900
2017-06-28,50.26,50.8,50.06,50.63,50.63,1171200
2017-06-29,50.28,50.45,49.13,50.24,50.24,2711000
2017-06-30,50.53,50.53,49.64,49.81,49.81,1545800
2017-07-03,50.15,50.73,50.01,50.09,50.09,959400
2017-07-05,50.27,51.02,50.01,50.95,50.95,1770100
2017-07-06,50.63,50.63,49.27,49.36,49.36,2523900
2017-07-07,49.55,50.13,49.18,49.24,49.24,2019900
2017-07-10,49.31,49.78,49.11,49.65,49.65,1472500
2017-07-11,49.63,50.27,49.5,49.83,49.83,1005200
2017-07-12,50.14,50.83,50.07,50.55,50.55,1508600
2017-07-13,50.64,50.64,50.06,50.08,50.08,1085500
2017-07-14,50.2,50.68,50.1,50.62,50.62,1187100
2017-07-17,50.89,52.46,50.89,51.77,51.77,2520400
2017-07-18,51.69,51.83,51.19,51.53,51.53,1742300
2017-07-19,51.63,52.24,51.58,52.1,52.1,1195500
2017-07-20,52.1,52.64,51.8,52.36,52.36,1377200
2017-07-21,52.25,52.45,51.81,52.13,52.13,1303100
2017-07-24,52.15,52.45,52.04,52.37,52.37,1615400
2017-07-25,52.36,53.45,52.08,53.28,53.28,3503300
2017-07-26,49.95,50.0,45.41,45.49,45.49,15168500
2017-07-27,45.67,46.99,45.41,46.01,46.01,4634800
2017-07-28,46.06,47.27,45.9,46.89,46.89,2993400
2017-07-31,46.97,47.28,46.25,47.14,47.14,2572700
2017-08-01,47.43,47.63,47.12,47.53,47.53,1984400
2017-08-02,47.43,47.56,46.95,47.51,47.51,1763800
2017-08-03,47.56,48.19,47.46,48.04,48.04,1871300
2017-08-04,48.09,48.42,47.81,47.87,47.87,1394000
2017-08-07,47.96,47.99,47.22,47.31,47.31,1580100
2017-08-08,47.17,47.68,46.9,47.27,47.27,1443100
2017-08-09,47.18,47.86,46.74,47.4,47.4,1627500
2017-08-10,47.05,47.2,46.31,46.31,46.31,1849000
2017-08-11,46.38,46.62,46.18,46.37,46.37,1422800
2017-08-14,46.59,47.29,46.46,46.82,46.82,1997000
2017-08-15,46.82,47.09,46.13,46.34,46.34,1686700
2017-08-16,46.41,46.74,45.87,46.29,46.29,1722700
2017-08-17,46.39,46.4,45.37,45.4,45.4,1517600
2017-08-18,45.46,45.86,45.18,45.36,45.36,1378800
2017-08-21,45.29,45.39,44.65,44.91,44.91,1317600
2017-08-22,45.04,45.89,45.04,45.81,45.81,1285700
2017-08-23,45.55,45.76,45.32,45.42,45.42,1141800
2017-08-24,45.51,45.67,45.1,45.23,45.23,1202600
2017-08-25,45.49,45.49,44.95,44.98,44.98,1760600
2017-08-28,45.06,45.25,44.91,45.14,45.14,1111400
2017-08-29,44.81,45.86,44.71,45.71,45.71,1985700
2017-08-30,45.72,46.53,45.64,46.47,46.47,1820200
2017-08-31,46.63,47.35,46.53,47.15,47.15,1721400
2017-09-01,47.28,47.65,47.05,47.08,47.08,1149400
2017-09-05,46.86,47.0,45.81,46.17,46.17,1645500
2017-09-06,46.23,46.97,46.1,46.89,46.89,1566400
2017-09-07,46.98,47.0,46.61,46.8,46.8,1472400
2017-09-08,46.95,46.95,45.94,46.0,46.0,1691100
2017-09-11,46.29,46.62,46.22,46.47,46.47,1364300
2017-09-12,46.45,46.98,46.26,46.8,46.8,1306400
2017-09-13,46.74,46.91,46.53,46.68,46.68,1133800
2017-09-14,46.57,46.66,46.13,46.6,46.6,1521100
