Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,111.71,112.55,111.55,112.05,104.57,548600
2017-05-25,112.53,113.7,112.26,112.59,105.07,635900
2017-05-26,112.5,113.06,112.2,112.86,105.32,601000
2017-05-30,112.79,112.89,111.44,112.46,104.95,772000
2017-05-31,112.28,113.73,111.89,113.6,106.01,1136200
2017-06-01,113.68,114.29,112.89,113.36,105.79,813600
2017-06-02,113.4,114.4,113.06,114.09,106.47,605100
2017-06-05,113.8,114.49,113.16,113.61,106.02,689500
2017-06-06,113.5,113.96,112.62,112.68,105.15,754600
2017-06-07,112.68,113.17,112.38,112.8,105.27,1068500
2017-06-08,112.8,114.76,112.37,114.27,106.64,1440700
2017-06-09,114.75,116.64,114.09,115.4,107.69,1131500
2017-06-12,115.22,115.4,110.97,111.19,103.76,1804700
2017-06-13,112.33,112.91,110.98,112.66,105.44,1111600
2017-06-14,112.61,112.66,108.56,109.27,102.27,1710400
2017-06-15,107.96,108.0,103.63,106.05,99.25,2579100
2017-06-16,106.2,108.12,105.85,108.09,101.16,1704100
2017-06-19,108.5,109.23,106.9,108.33,101.39,1114700
2017-06-20,107.85,109.14,107.0,107.74,100.83,804900
2017-06-21,107.57,107.62,105.87,106.19,99.38,1274100
2017-06-22,106.47,106.7,105.11,105.2,98.46,1180000
2017-06-23,105.31,105.91,104.42,104.85,98.13,3099700
2017-06-26,105.11,106.56,104.25,105.02,98.29,1826300
2017-06-27,105.39,105.69,104.3,104.47,97.77,1313000
2017-06-28,105.13,107.33,104.63,106.92,100.07,1201500
2017-06-29,107.18,107.26,103.77,104.67,97.96,985700
2017-06-30,105.22,106.53,105.12,105.54,98.77,807200
2017-07-03,106.34,106.53,105.34,106.03,99.23,555400
2017-07-05,106.0,108.66,106.0,108.02,101.1,1356400
2017-07-06,107.86,109.08,107.3,108.05,101.12,1173700
2017-07-07,108.32,110.45,108.15,109.99,102.94,1567300
2017-07-10,110.21,111.9,110.0,111.34,104.2,1443600
2017-07-11,111.68,113.08,110.85,112.95,105.71,1321700
2017-07-12,113.5,117.13,113.38,116.54,109.07,2115100
2017-07-13,116.6,119.0,116.6,117.68,110.14,2336800
2017-07-14,118.37,118.99,117.01,117.57,110.03,1723100
2017-07-17,117.66,117.77,116.46,116.86,109.37,863700
2017-07-18,116.82,118.18,116.17,117.73,110.18,688900
2017-07-19,117.97,119.59,116.66,119.16,111.52,1215400
2017-07-20,119.0,119.16,117.64,117.91,110.35,928700
2017-07-21,117.99,118.88,117.59,118.34,110.75,1017200
2017-07-24,118.53,119.39,117.84,118.6,111.0,1596600
2017-07-25,119.5,119.5,118.4,118.8,111.18,1128000
2017-07-26,119.16,119.28,117.0,117.2,109.69,870700
2017-07-27,117.81,118.31,115.2,116.37,108.91,955900
2017-07-28,116.36,116.98,115.9,116.5,109.03,1388000
2017-07-31,116.8,117.01,115.73,115.8,108.38,925200
2017-08-01,116.06,117.68,115.3,117.43,109.9,916200
2017-08-02,117.5,119.96,117.05,119.45,111.79,1527100
2017-08-03,119.79,119.96,118.48,118.8,111.18,1321400
2017-08-04,118.97,119.99,118.75,119.6,111.93,1077200
2017-08-07,120.62,123.48,120.0,123.08,115.19,3815400
2017-08-08,119.13,119.17,113.68,115.41,108.01,5311600
2017-08-09,114.66,115.71,111.23,113.16,105.91,2603600
2017-08-10,112.5,112.51,110.25,110.95,103.84,2603500
2017-08-11,110.0,110.28,108.6,109.36,102.35,2137700
2017-08-14,110.14,111.48,110.05,110.83,103.73,1620100
2017-08-15,111.0,112.43,110.01,111.88,104.71,1179300
2017-08-16,112.0,113.84,111.26,113.42,106.15,1289000
2017-08-17,113.94,113.94,112.0,112.11,104.92,1046000
2017-08-18,112.04,113.32,111.56,112.59,105.37,872700
2017-08-21,112.65,113.59,112.23,113.48,106.21,686000
2017-08-22,113.89,116.19,113.77,115.82,108.4,974200
2017-08-23,115.57,116.41,115.11,115.39,107.99,609300
2017-08-24,115.63,116.27,114.72,114.86,107.5,948100
2017-08-25,115.13,115.46,114.26,114.95,107.58,605600
2017-08-28,115.93,116.0,114.46,115.43,108.03,594800
2017-08-29,114.8,114.8,113.47,114.46,107.12,627300
2017-08-30,114.55,115.54,113.86,115.17,107.79,717600
2017-08-31,116.22,117.15,115.96,116.26,108.81,909200
2017-09-01,117.06,118.86,116.63,118.63,111.03,909300
2017-09-05,119.0,120.03,116.16,116.67,109.19,1177800
