Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,45.0,45.13,44.47,44.63,42.01,7565600
2017-05-25,44.76,45.33,44.55,45.02,42.38,8662600
2017-05-26,44.87,45.5,44.75,45.5,42.83,6633400
2017-05-30,45.47,45.74,45.21,45.56,42.89,6593500
2017-05-31,45.66,46.04,45.33,45.88,43.19,13082100
2017-06-01,45.97,46.26,45.8,46.0,43.3,7176800
2017-06-02,46.22,46.86,45.9,46.8,44.05,9523900
2017-06-05,46.63,47.24,46.51,46.72,43.98,6807600
2017-06-06,46.57,47.21,46.48,46.57,43.84,7806200
2017-06-07,46.7,47.34,46.62,47.26,44.49,8026500
2017-06-08,47.4,47.47,46.93,47.43,44.65,7936100
2017-06-09,47.62,47.86,43.41,44.74,42.12,20477200
2017-06-12,44.14,44.5,42.32,44.34,41.74,20623500
2017-06-13,44.91,45.5,44.28,44.85,42.22,12330600
2017-06-14,45.08,45.29,43.37,43.98,41.4,10697300
2017-06-15,43.19,43.67,42.83,43.16,40.63,11523000
2017-06-16,43.19,43.9,43.06,43.11,40.58,10775100
2017-06-19,43.7,44.39,43.63,44.29,41.69,9649900
2017-06-20,44.26,44.59,43.3,43.36,40.82,9083700
2017-06-21,43.41,43.82,43.09,43.62,41.06,9713600
2017-06-22,43.69,43.92,43.08,43.34,40.8,7632100
2017-06-23,43.45,44.3,43.41,44.09,41.5,13947700
2017-06-26,44.47,44.65,42.91,43.25,40.71,10911400
2017-06-27,43.0,43.1,41.83,41.89,39.43,12734900
2017-06-28,41.9,42.78,41.42,42.69,40.19,14308300
2017-06-29,42.35,42.46,40.79,41.44,39.01,12362500
2017-06-30,41.81,42.02,41.09,41.31,38.89,10044100
2017-07-03,41.33,41.96,40.98,41.01,38.6,6519500
2017-07-05,41.28,42.23,41.25,42.12,39.65,10942500
2017-07-06,41.72,42.59,41.56,42.11,39.64,11934200
2017-07-07,42.36,43.8,42.36,43.54,40.99,10748700
2017-07-10,43.6,44.5,43.51,44.21,41.62,10357900
2017-07-11,44.21,45.5,44.04,45.4,42.74,13527400
2017-07-12,45.68,45.98,44.84,45.28,42.62,10395800
2017-07-13,45.28,45.66,44.99,45.3,42.64,9036100
2017-07-14,45.38,46.13,45.35,46.12,43.41,8085700
2017-07-17,46.2,46.45,45.68,46.15,43.44,7679900
2017-07-18,46.02,46.63,45.68,46.62,43.89,6594200
2017-07-19,46.9,47.21,46.74,47.18,44.41,9533900
2017-07-20,47.11,47.34,46.37,47.25,44.48,8782300
2017-07-21,46.78,47.0,46.23,46.81,44.06,7539500
2017-07-24,46.68,47.02,46.56,46.78,44.04,8495500
2017-07-25,46.63,46.67,45.85,46.4,43.68,7271900
2017-07-26,46.61,47.47,46.52,47.45,44.67,9161300
