Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,123.0,123.64,121.06,121.81,108.54,1394600
2017-05-25,122.37,123.03,121.86,122.61,109.26,965400
2017-05-26,122.29,123.0,122.01,122.3,108.98,643300
2017-05-30,121.9,122.47,121.1,121.1,107.91,893900
2017-05-31,121.08,121.33,118.84,120.79,107.63,2325700
2017-06-01,121.66,123.22,121.09,123.13,109.72,1699100
2017-06-02,122.11,123.27,120.8,122.67,109.31,1560000
2017-06-05,122.59,123.89,122.1,122.21,108.9,699200
2017-06-06,121.06,121.89,120.11,120.92,107.75,701400
2017-06-07,121.6,122.61,121.21,121.95,108.67,832700
2017-06-08,121.95,124.82,121.79,123.26,109.83,767300
2017-06-09,124.14,126.57,123.8,126.49,112.71,740500
2017-06-12,126.31,128.0,126.31,127.43,113.55,1076800
2017-06-13,128.04,128.36,126.81,127.25,113.39,851900
2017-06-14,125.97,127.88,125.23,127.83,113.91,973900
2017-06-15,127.0,129.77,126.97,129.61,115.49,1750600
2017-06-16,129.93,130.4,129.18,130.35,116.15,1338000
2017-06-19,131.0,133.02,130.48,132.12,117.73,1132200
2017-06-20,131.46,132.1,130.67,130.68,116.45,548600
2017-06-21,130.72,130.82,128.02,128.24,114.27,879000
2017-06-22,128.05,128.06,126.25,126.35,112.59,1190400
2017-06-23,127.16,127.16,125.28,125.55,111.87,2733900
2017-06-26,125.96,127.25,125.07,126.19,112.45,880000
2017-06-27,126.8,127.46,125.72,125.79,112.09,956500
2017-06-28,127.01,129.29,126.98,128.41,114.42,906100
2017-06-29,130.47,131.27,127.22,128.02,114.08,901000
2017-06-30,128.65,129.06,127.14,127.29,113.43,833500
2017-07-03,128.54,131.49,128.06,130.14,115.96,539400
2017-07-05,130.39,131.67,129.25,131.13,116.85,895500
2017-07-06,130.95,131.45,128.88,129.15,115.08,797400
2017-07-07,129.27,131.7,128.97,131.31,117.01,634100
2017-07-10,131.14,133.5,130.53,132.85,118.38,696600
2017-07-11,133.14,133.22,130.56,131.44,117.12,784000
2017-07-12,131.63,133.63,131.58,133.31,118.79,991500
2017-07-13,133.71,134.48,133.05,134.19,119.57,669800
2017-07-14,132.46,135.47,132.41,134.74,120.06,804900
2017-07-17,134.55,135.63,134.31,134.72,120.05,715700
2017-07-18,133.84,134.62,133.02,134.57,119.91,1278300
2017-07-19,134.91,136.63,134.69,136.04,121.22,1141900
2017-07-20,136.31,137.37,135.79,136.79,121.89,754000
2017-07-21,136.66,137.39,136.08,136.34,121.49,840500
2017-07-24,136.24,137.7,136.13,137.56,122.58,697500
2017-07-25,139.44,139.91,138.15,138.84,123.72,1060900
2017-07-26,142.51,145.88,140.0,144.65,128.89,2653400
2017-07-27,145.22,145.22,142.17,142.5,126.98,1216000
2017-07-28,142.46,144.96,141.24,144.45,128.72,1240400
2017-07-31,144.74,145.37,143.58,144.88,129.1,1362400
2017-08-01,145.57,146.23,144.67,145.92,130.03,1189600
2017-08-02,145.77,147.19,145.1,145.52,129.67,1468000
2017-08-03,144.72,147.03,144.72,146.25,131.07,919500
2017-08-04,148.05,148.75,147.36,147.84,132.49,923100
2017-08-07,147.72,148.51,147.26,147.29,132.0,1234500
2017-08-08,147.0,149.99,146.7,148.8,133.35,943300
2017-08-09,147.59,148.13,146.43,147.95,132.59,964100
2017-08-10,146.9,147.43,143.5,143.79,128.86,1427200
2017-08-11,144.41,145.1,143.04,143.36,128.48,1009700
2017-08-14,145.34,146.33,144.84,145.14,130.07,723900
2017-08-15,146.27,147.02,144.43,144.9,129.86,730200
2017-08-16,145.73,146.33,143.1,143.36,128.48,810900
2017-08-17,142.88,143.36,138.54,138.74,124.34,1569000
2017-08-18,138.63,139.69,137.8,138.8,124.39,1793800
2017-08-21,138.75,138.75,136.97,137.46,123.19,820100
2017-08-22,138.13,139.24,137.98,138.79,124.38,759300
2017-08-23,137.66,139.94,136.73,138.51,124.13,1411000
2017-08-24,139.1,139.84,138.31,138.4,124.03,1066500
2017-08-25,139.24,139.59,138.1,138.61,124.22,1730500
2017-08-28,139.07,139.43,136.93,137.75,123.45,1644400
2017-08-29,136.11,138.07,134.85,137.38,123.12,1508400
2017-08-30,137.43,138.05,137.05,137.2,122.96,763900
2017-08-31,137.94,138.77,137.43,138.51,124.13,863900
2017-09-01,138.72,140.24,138.71,139.82,125.31,706700
2017-09-05,138.61,139.51,135.31,135.67,121.59,945200
2017-09-06,136.44,136.45,134.37,135.1,121.08,979600
2017-09-07,135.2,135.29,131.2,132.16,118.44,1046700
2017-09-08,132.16,133.52,131.6,132.77,118.99,841400
2017-09-11,134.93,136.73,134.23,136.54,122.37,1089000
2017-09-12,137.56,138.11,136.24,137.64,123.35,837600
2017-09-13,137.07,138.08,136.74,137.66,123.37,740100
2017-09-14,137.6,139.28,137.6,139.01,124.58,1280800
2017-09-15,138.97,140.37,138.89,139.86,125.34,1808200
2017-09-18,140.26,141.02,139.12,140.86,126.24,1504400
2017-09-19,141.14,141.81,140.42,141.23,126.57,1767100
2017-09-20,141.64,142.56,139.35,141.49,126.8,776100
2017-09-21,141.64,142.61,140.97,142.12,127.37,720200
2017-09-22,141.56,143.65,141.56,142.92,128.08,526100
2017-09-25,142.33,143.43,142.09,143.15,128.29,721500
2017-09-26,143.53,144.72,143.21,144.35,129.37,997200
2017-09-27,146.24,148.5,146.01,147.91,132.56,927700
2017-09-28,147.77,148.46,146.72,147.75,132.41,680600
2017-09-29,147.75,149.19,147.75,148.51,133.09,701400
2017-10-02,148.28,149.41,147.79,148.67,133.24,837400
2017-10-03,149.22,150.25,148.44,149.45,133.94,537200
2017-10-04,149.75,151.03,149.11,149.87,134.31,753900
2017-10-05,150.09,151.51,149.68,150.55,134.92,1022200
2017-10-06,150.69,151.98,149.52,150.99,135.32,580800
2017-10-09,151.12,151.4,150.11,150.63,134.99,668600
2017-10-10,150.9,151.64,150.6,151.25,135.55,852500
2017-10-11,151.39,151.97,150.47,151.83,136.07,518600
2017-10-12,152.0,153.28,151.77,152.58,136.74,733600
2017-10-13,152.55,153.75,152.07,152.91,137.04,736000
2017-10-16,153.55,153.99,153.01,153.39,137.47,578100
2017-10-17,153.54,153.54,152.17,152.35,136.53,592900
2017-10-18,152.56,153.46,152.4,152.74,136.88,504500
2017-10-19,151.42,152.71,150.46,152.45,136.62,585800
2017-10-20,153.7,154.31,153.01,154.12,138.12,793900
2017-10-23,154.29,154.75,153.9,154.18,138.17,745900
2017-10-24,154.98,155.26,153.5,153.97,137.99,1459400
2017-10-25,156.15,159.57,154.24,157.06,140.76,1418700
2017-10-26,158.07,163.04,157.54,162.8,145.9,1514500
2017-10-27,162.4,162.57,160.18,160.62,143.95,736600
2017-10-30,160.37,160.77,157.95,158.3,141.87,894900
2017-10-31,158.36,158.87,156.54,156.54,140.29,624500
2017-11-01,157.72,158.62,156.73,157.38,141.04,567400
2017-11-02,157.66,160.58,157.66,160.56,143.89,1225600
2017-11-03,159.55,160.69,159.11,159.59,143.77,755400
2017-11-06,159.28,161.27,159.28,160.65,144.72,596000
2017-11-07,160.75,161.98,158.79,159.23,143.44,675700
2017-11-08,158.92,160.1,158.38,159.99,144.13,511900
2017-11-09,158.91,160.25,157.57,159.05,143.28,662900
2017-11-10,158.93,159.65,157.09,157.22,141.63,580100
2017-11-13,156.05,157.77,155.53,157.32,141.72,580500
2017-11-14,156.18,157.33,155.07,157.11,141.53,686300
2017-11-15,155.88,158.75,155.27,157.39,141.78,768600
2017-11-16,158.51,158.92,156.71,157.08,141.5,800800
2017-11-17,156.56,158.84,156.56,158.28,142.59,640400
2017-11-20,158.36,160.69,157.8,160.65,144.72,792700
2017-11-21,161.22,161.45,158.96,159.76,143.92,529200
2017-11-22,159.95,160.89,158.96,159.58,143.76,438400
2017-11-24,160.4,160.4,159.06,159.56,143.74,181300
2017-11-27,159.97,161.26,159.03,159.25,143.46,1133700
2017-11-28,159.93,162.37,159.32,161.75,145.71,1335900
2017-11-29,162.99,166.04,162.91,163.56,147.34,950400
2017-11-30,164.31,166.14,162.98,163.23,147.05,1538600
2017-12-01,163.32,164.13,157.73,162.47,146.36,1098500
2017-12-04,165.06,166.99,164.93,165.55,149.14,1030100
2017-12-05,165.49,166.31,163.9,164.36,148.06,980000
2017-12-06,163.93,166.46,163.93,164.77,148.43,649500
2017-12-07,164.17,168.29,164.0,167.6,150.98,804000
2017-12-08,168.19,169.94,167.39,169.86,153.02,886200
2017-12-11,169.45,170.35,167.66,167.78,151.14,738000
2017-12-12,168.23,169.61,167.93,168.6,151.88,831900
2017-12-13,168.06,168.37,166.42,166.42,149.92,846600
2017-12-14,166.92,167.62,165.07,165.45,149.05,649200
2017-12-15,166.73,169.03,165.66,167.93,151.28,1335600
2017-12-18,169.49,171.09,169.1,170.02,153.16,882600
2017-12-19,171.0,171.95,170.18,171.33,154.34,863800
2017-12-20,173.02,173.62,170.63,171.1,154.13,768400
2017-12-21,171.65,173.22,171.34,171.7,154.68,824700
2017-12-22,172.63,172.63,170.41,171.51,154.5,426400
2017-12-26,171.8,172.51,170.92,171.1,154.13,415000
2017-12-27,171.43,171.47,170.63,170.94,153.99,539300
2017-12-28,171.16,171.86,170.75,171.61,154.59,443700
2017-12-29,171.76,172.42,169.4,169.47,152.67,619700
2018-01-02,170.64,170.72,168.85,169.91,153.06,812400
2018-01-03,169.95,170.19,168.67,169.07,152.31,798700
2018-01-04,169.74,171.41,169.6,169.69,152.86,870200
2018-01-05,170.32,170.48,169.65,170.27,153.39,819200
2018-01-08,170.38,172.27,169.23,172.0,154.95,1006300
2018-01-09,172.97,176.17,172.89,174.08,156.82,1639400
2018-01-10,173.92,176.08,173.44,175.83,158.4,901900
2018-01-11,176.62,179.41,176.33,178.98,161.23,726800
2018-01-12,179.64,182.37,178.75,182.04,163.99,1153200
2018-01-16,183.59,183.9,176.89,177.31,159.73,1618500
2018-01-17,177.47,179.27,175.66,178.47,160.77,1202400
2018-01-18,178.5,180.9,177.23,177.57,159.96,752500
2018-01-19,178.01,180.42,177.04,178.81,161.08,1246700
2018-01-22,178.9,179.29,176.81,177.94,160.3,1131800
2018-01-23,177.27,178.76,176.27,178.31,160.63,1142100
2018-01-24,179.29,180.52,177.22,180.31,162.43,1537100
2018-01-25,179.41,180.34,172.41,173.13,155.96,1920100
2018-01-26,173.77,179.93,172.7,179.84,162.01,1487300
2018-01-29,179.54,180.99,177.08,177.45,159.86,887700
2018-01-30,175.99,176.87,171.84,172.01,154.95,1190600
2018-01-31,172.67,173.79,167.44,168.7,151.97,1458800
2018-02-01,168.61,171.17,168.22,171.08,154.12,1172500
2018-02-02,169.99,171.05,166.8,167.5,150.89,1095400
2018-02-05,165.77,167.62,159.83,160.39,144.49,1739300
2018-02-06,154.52,161.84,154.03,160.56,144.64,1900200
2018-02-07,159.33,164.34,159.0,160.11,144.23,1313200
2018-02-08,160.1,160.9,152.45,152.5,137.38,1608300
2018-02-09,154.78,155.64,148.62,153.88,138.62,1484600
2018-02-12,155.64,158.1,154.75,155.91,140.45,1079000
2018-02-13,154.78,157.48,153.62,156.62,141.09,1544600
2018-02-14,155.49,160.84,154.53,160.55,144.63,1068600
2018-02-15,161.59,161.75,157.41,159.0,143.98,909800
2018-02-16,158.15,160.88,158.08,159.81,144.71,769800
2018-02-20,158.57,160.95,157.65,158.76,143.76,771900
2018-02-21,159.05,163.88,158.49,159.38,144.32,988000
2018-02-22,160.63,161.18,157.73,158.01,143.08,784200
2018-02-23,158.89,160.41,158.51,160.28,145.14,771000
2018-02-26,161.28,162.67,160.45,162.32,146.99,662500
2018-02-27,162.24,163.85,159.71,159.77,144.68,1005400
2018-02-28,160.12,161.38,156.36,156.44,141.66,1211300
2018-03-01,156.33,157.19,152.34,153.66,139.14,1309400
2018-03-02,151.35,152.1,147.9,150.91,136.65,1661200
2018-03-05,149.56,156.06,148.0,155.62,140.92,1318200
2018-03-06,156.32,156.51,154.02,155.57,140.87,645900
