Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,128.66,129.72,128.66,129.3,117.24,1497500
2017-05-25,129.57,132.01,129.0,131.05,118.83,1457100
2017-05-26,131.19,131.44,130.49,131.11,118.88,899200
2017-05-30,131.01,137.12,130.8,132.12,119.8,2070900
2017-05-31,132.48,133.66,131.13,131.19,118.95,2548900
2017-06-01,131.95,131.97,131.0,131.83,119.53,1221900
2017-06-02,132.43,133.1,131.79,132.49,120.13,1368100
2017-06-05,132.34,132.64,131.16,131.61,119.34,1508100
2017-06-06,131.73,132.52,131.24,131.7,119.42,1884100
2017-06-07,131.77,132.08,130.1,131.82,119.53,1679800
2017-06-08,131.82,132.19,129.38,130.97,118.75,1995700
2017-06-09,130.43,131.71,129.81,130.28,118.13,1607200
2017-06-12,128.97,129.18,125.24,129.18,117.13,2057900
2017-06-13,129.25,130.28,128.93,130.19,118.05,1311700
2017-06-14,131.34,131.96,130.17,130.5,118.33,1274700
2017-06-15,129.52,131.56,129.16,130.87,119.25,1247400
2017-06-16,131.14,132.25,130.56,131.95,120.23,1823800
2017-06-19,132.29,132.98,131.63,132.33,120.58,1445900
2017-06-20,132.18,132.68,130.5,131.2,119.55,1360900
2017-06-21,131.19,131.45,130.32,130.61,119.01,1641900
2017-06-22,131.0,131.54,130.65,130.87,119.25,1272900
2017-06-23,130.98,131.93,130.58,131.88,120.17,1694000
2017-06-26,132.2,132.52,131.1,132.46,120.7,1286100
2017-06-27,134.6,136.06,133.99,135.75,123.7,4168800
2017-06-28,135.65,136.29,134.27,134.53,122.58,2121600
2017-06-29,133.33,133.33,131.82,132.82,121.03,1998700
2017-06-30,132.93,133.67,132.18,132.32,120.57,2480300
2017-07-03,132.62,133.17,130.82,131.41,119.74,1252800
2017-07-05,131.27,132.51,131.05,132.25,120.51,1707700
2017-07-06,131.56,132.13,131.0,131.54,119.86,1249200
2017-07-07,132.08,133.8,131.37,133.14,121.32,1254200
2017-07-10,133.64,133.66,131.2,131.21,119.56,1272100
2017-07-11,131.18,131.82,130.91,130.93,119.3,1112600
2017-07-12,131.8,134.25,131.46,133.88,121.99,1135400
2017-07-13,133.88,134.49,133.56,134.14,122.23,955500
2017-07-14,134.93,136.33,134.88,136.04,123.96,1202400
2017-07-17,136.07,136.4,134.74,135.4,123.38,1458900
2017-07-18,135.32,138.0,135.07,136.18,124.09,2272400
2017-07-19,135.6,136.67,134.33,135.42,123.39,2758000
2017-07-20,135.68,137.45,135.67,136.24,124.14,2082100
2017-07-21,135.99,137.07,135.62,136.9,124.74,1542700
2017-07-24,136.97,137.98,136.1,137.07,124.9,1367500
2017-07-25,137.72,137.73,136.04,136.62,124.49,1205300
2017-07-26,136.32,137.99,136.28,137.87,125.63,1338000
2017-07-27,139.12,139.5,134.0,134.86,122.88,2933600
2017-07-28,135.17,138.79,134.81,138.34,126.06,1972600
2017-07-31,138.67,139.13,135.75,136.33,124.22,2386700
2017-08-01,136.23,136.42,135.51,135.97,123.9,2375000
2017-08-02,136.08,138.14,135.63,137.97,125.72,2409000
2017-08-03,138.06,138.18,136.84,137.15,124.97,1661900
2017-08-04,137.5,138.01,137.15,137.57,125.35,927900
2017-08-07,137.38,138.16,136.95,138.07,125.81,976600
2017-08-08,137.49,137.56,136.17,136.63,124.5,1333500
2017-08-09,136.37,138.39,136.33,137.85,125.61,1319300
2017-08-10,137.3,138.11,136.81,136.83,124.68,1032700
2017-08-11,137.19,137.77,136.29,136.68,124.54,870800
2017-08-14,137.4,140.02,137.4,139.97,127.54,1648500
2017-08-15,139.66,140.16,138.92,139.69,127.29,1386100
2017-08-16,140.0,141.13,139.68,141.09,128.56,1334600
