Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,35.9,36.08,35.8,36.07,36.07,1591600
2017-05-25,36.25,37.06,36.22,37.01,37.01,3968400
2017-05-26,37.01,37.1,36.27,36.61,36.61,2476400
2017-05-30,36.61,36.87,36.38,36.81,36.81,2613200
2017-05-31,36.95,37.01,36.33,36.85,36.85,10437200
2017-06-01,36.88,37.24,36.08,37.13,37.13,6295200
2017-06-02,37.16,38.13,37.03,38.06,38.06,5124800
2017-06-05,38.06,38.72,38.06,38.58,38.58,3714000
2017-06-06,38.39,39.32,38.31,38.84,38.84,2593600
2017-06-07,39.06,39.19,38.71,39.01,39.01,2499600
2017-06-08,38.88,39.33,38.68,39.32,39.32,2341600
2017-06-09,39.39,39.64,36.75,37.37,37.37,4062800
2017-06-12,36.87,37.44,35.75,37.44,37.44,4614800
2017-06-13,37.74,38.34,37.35,37.94,37.94,2521600
2017-06-14,37.96,38.35,37.23,37.76,37.76,2202400
2017-06-15,37.34,37.83,36.98,37.81,37.81,2158000
2017-06-16,38.09,38.29,37.76,37.9,37.9,6232400
2017-06-19,38.36,39.42,38.36,39.17,39.17,3276400
2017-06-20,39.02,39.47,38.7,38.76,38.76,2343600
2017-06-21,38.84,39.71,38.81,39.54,39.54,3336400
2017-06-22,39.5,39.87,39.0,39.69,39.69,2161200
2017-06-23,39.77,40.74,39.72,40.4,40.4,6110400
2017-06-26,40.44,40.57,39.0,39.44,39.44,3654800
2017-06-27,39.35,39.65,38.13,38.21,38.21,3023600
2017-06-28,38.49,38.96,37.94,38.82,38.82,2954800
2017-06-29,38.69,38.79,36.93,37.49,37.49,2922800
2017-06-30,37.61,37.8,37.19,37.45,37.45,2188400
2017-07-03,37.76,37.78,36.59,36.72,36.72,1431200
2017-07-05,36.78,37.38,36.78,37.15,37.15,3682000
2017-07-06,36.62,36.92,36.05,36.36,36.36,2538400
2017-07-07,36.51,37.29,36.51,37.19,37.19,2890400
2017-07-10,37.22,37.69,36.98,37.34,37.34,2691200
2017-07-11,37.39,38.31,37.39,38.29,38.29,2201600
2017-07-12,38.75,39.01,38.57,38.85,38.85,2450800
2017-07-13,38.97,39.16,38.41,38.69,38.69,1501200
2017-07-14,38.76,38.92,38.53,38.78,38.78,1204000
2017-07-17,38.83,38.92,38.2,38.81,38.81,1489200
2017-07-18,38.71,39.03,38.5,39.0,39.0,1677600
2017-07-19,39.2,39.75,39.18,39.41,39.41,1766000
2017-07-20,39.58,39.65,38.82,39.2,39.2,1497600
2017-07-21,37.75,38.5,37.25,38.23,38.23,4725200
2017-07-24,38.12,39.04,38.01,38.81,38.81,2074400
2017-07-25,38.76,39.52,38.45,39.5,39.5,1620400
2017-07-26,39.59,39.75,39.25,39.3,39.3,2302400
2017-07-27,39.52,39.7,37.51,38.01,38.01,2980000
2017-07-28,37.76,38.39,37.35,37.6,37.6,3967600
2017-07-31,37.8,37.94,37.12,37.32,37.32,4039600
2017-08-01,37.61,37.61,36.83,36.95,36.95,2869200
2017-08-02,37.24,37.24,35.67,35.87,35.87,4649600
2017-08-03,35.96,36.26,35.44,36.01,36.01,7704800
2017-08-04,41.9,43.85,41.62,43.01,43.01,19990800
2017-08-07,42.51,44.12,42.38,43.44,43.44,6603600
2017-08-08,43.42,43.72,42.48,42.49,42.49,4687600
2017-08-09,42.25,42.47,41.78,41.87,41.87,4476800
2017-08-10,41.75,41.76,40.24,41.17,41.17,5966000
2017-08-11,41.13,42.2,40.85,41.42,41.42,2505200
2017-08-14,42.02,42.67,41.89,42.45,42.45,2558800
2017-08-15,42.75,43.0,42.33,42.65,42.65,2271600
