Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,128.96,129.32,128.6,129.19,123.02,1070100
2017-05-25,129.7,130.6,129.05,130.32,124.1,1309100
2017-05-26,130.32,130.55,129.89,130.01,123.8,961300
2017-05-30,129.93,130.95,129.62,130.71,124.47,902400
2017-05-31,131.11,131.62,130.13,130.91,124.66,1891100
2017-06-01,131.28,131.64,130.83,131.64,125.36,1071100
2017-06-02,131.46,131.89,131.0,131.4,125.13,2006600
2017-06-05,131.3,132.34,130.94,131.0,124.75,1597600
2017-06-06,130.36,130.96,129.82,130.46,124.23,1138000
2017-06-07,131.02,131.54,130.26,131.41,125.14,1216900
2017-06-08,131.41,132.15,131.27,131.71,125.42,1138200
2017-06-09,131.82,132.81,131.74,132.64,126.31,1219900
2017-06-12,132.48,133.03,132.22,133.03,126.68,1431300
2017-06-13,133.23,134.55,133.08,134.06,127.66,1755100
2017-06-14,134.0,135.19,133.72,135.01,128.56,995800
2017-06-15,134.55,135.87,134.55,135.65,129.17,986800
2017-06-16,135.81,136.49,135.36,136.46,129.95,1519500
2017-06-19,137.0,137.28,136.44,136.8,130.27,1233900
2017-06-20,136.62,136.86,136.11,136.15,129.65,1247800
2017-06-21,135.89,136.24,135.24,135.3,128.84,1580200
2017-06-22,134.96,135.46,134.17,134.25,127.84,1072000
2017-06-23,134.29,134.38,132.39,132.4,126.08,1889000
2017-06-26,132.5,133.41,132.39,133.03,126.68,1264100
2017-06-27,133.28,133.31,132.55,132.58,126.25,1065300
2017-06-28,133.11,134.18,132.72,133.98,127.58,814700
2017-06-29,134.92,134.92,132.28,132.84,126.5,947300
2017-06-30,133.32,133.55,132.19,132.95,126.6,1535900
2017-07-03,133.59,133.99,132.93,133.16,126.8,558600
2017-07-05,133.37,133.54,132.72,132.97,126.62,1275600
2017-07-06,133.21,134.18,132.38,133.39,127.02,1191200
2017-07-07,133.72,135.48,133.5,135.01,128.56,914100
2017-07-10,134.93,135.82,134.46,135.3,128.84,966700
2017-07-11,135.45,135.55,133.94,134.04,127.64,815200
2017-07-12,134.37,135.23,133.85,134.66,128.23,809800
2017-07-13,134.66,135.73,134.35,135.63,129.16,740300
2017-07-14,135.23,136.59,134.64,136.22,129.72,872900
2017-07-17,136.13,137.06,135.82,136.84,130.31,816800
2017-07-18,136.27,137.6,136.12,137.41,130.85,600300
2017-07-19,137.66,138.07,137.19,138.07,131.48,694600
2017-07-20,137.95,139.06,137.82,138.84,132.21,769900
2017-07-21,138.48,139.37,138.48,139.14,132.5,807400
2017-07-24,139.28,140.12,138.6,139.63,132.96,1076800
2017-07-25,140.59,141.31,139.9,140.0,133.32,773500
2017-07-26,140.0,140.14,138.86,138.95,132.32,797700
2017-07-27,138.9,138.94,135.6,135.91,129.42,1623000
2017-07-28,135.91,138.95,135.86,138.67,132.4,1046600
2017-07-31,139.01,139.52,138.15,138.17,131.92,898200
2017-08-01,138.67,139.7,138.15,139.59,133.28,980400
2017-08-02,139.35,139.66,138.4,139.23,132.94,1425800
2017-08-03,139.18,139.37,138.0,138.97,132.69,1429700
2017-08-04,140.0,141.45,138.01,138.95,132.67,1109900
2017-08-07,138.7,140.11,138.58,138.77,132.5,944900
2017-08-08,138.46,138.89,138.32,138.58,132.31,1034000
2017-08-09,138.25,140.32,138.25,140.19,133.85,755400
2017-08-10,139.33,140.07,138.76,138.85,132.57,842300
2017-08-11,139.44,139.52,138.31,138.39,132.13,708800
2017-08-14,139.43,140.07,139.0,139.66,133.35,680800
2017-08-15,140.13,140.34,139.23,139.28,132.98,838600
2017-08-16,139.5,140.21,139.19,139.32,133.02,883600
2017-08-17,139.3,139.73,136.68,136.7,130.52,1210400
2017-08-18,136.5,137.61,136.32,136.52,130.35,1345600
2017-08-21,136.74,138.35,136.25,138.17,131.92,1278900
2017-08-22,138.65,139.63,138.18,139.57,133.26,1153900
2017-08-23,139.01,139.35,138.13,138.22,131.97,807000
2017-08-24,138.35,138.82,137.72,137.78,131.55,724800
2017-08-25,138.41,138.69,137.85,138.05,131.81,726300
2017-08-28,138.34,138.84,137.97,138.38,132.12,656700
2017-08-29,137.5,138.2,137.02,137.9,131.67,944400
2017-08-30,137.79,138.67,137.55,138.15,131.9,733900
2017-08-31,138.3,139.27,138.1,139.16,132.87,1403700
2017-09-01,139.45,139.74,138.82,138.86,132.58,825000
2017-09-05,138.77,141.06,138.48,140.35,134.0,1361200
2017-09-06,140.91,141.11,139.88,140.23,133.89,1072400
2017-09-07,140.26,140.56,138.31,138.61,132.34,1142700
2017-09-08,138.6,143.13,138.52,142.64,136.19,1630600
2017-09-11,143.12,144.81,141.9,142.66,136.21,1290600
