Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,143.28,144.92,142.88,144.14,128.23,1081000
2017-05-25,144.15,144.51,143.32,144.12,128.22,781300
2017-05-26,143.84,144.27,143.55,143.91,128.03,694200
2017-05-30,143.65,144.3,143.34,143.97,128.08,885200
2017-05-31,143.83,144.31,142.98,144.06,128.16,1494000
2017-06-01,144.46,145.93,144.0,145.08,129.07,1085100
2017-06-02,145.47,147.5,144.78,146.79,130.59,1192100
2017-06-05,146.61,146.83,144.87,144.96,128.96,1291900
2017-06-06,144.48,144.83,143.85,144.12,128.22,770800
2017-06-07,144.58,144.68,143.18,143.36,127.54,883000
2017-06-08,143.36,144.16,142.53,143.5,127.66,1065800
2017-06-09,143.67,146.09,143.67,145.85,129.75,1152400
2017-06-12,145.5,146.18,144.23,144.43,128.49,1199700
2017-06-13,144.42,146.32,144.04,146.27,130.13,831400
2017-06-14,146.27,146.35,144.81,145.56,129.5,774100
2017-06-15,144.79,146.54,144.71,145.21,129.19,2037700
2017-06-16,145.66,146.0,144.65,145.51,129.45,1735700
2017-06-19,146.37,147.38,145.82,146.15,130.02,1268600
2017-06-20,145.24,145.8,144.62,144.74,128.77,801400
2017-06-21,144.91,145.65,143.31,143.48,127.65,749900
2017-06-22,143.32,144.53,143.2,144.25,128.33,1007800
2017-06-23,144.6,145.03,143.81,144.94,128.95,4010200
2017-06-26,145.03,145.54,144.58,144.91,128.92,1150900
2017-06-27,145.05,145.51,143.83,143.83,127.96,796500
2017-06-28,145.17,145.25,144.4,144.84,128.86,869700
2017-06-29,144.19,144.46,140.78,141.77,126.96,891700
2017-06-30,141.97,143.86,141.89,143.06,128.11,938100
2017-07-03,143.73,144.74,143.5,144.29,129.21,411600
2017-07-05,144.15,144.49,142.45,142.61,127.71,718700
2017-07-06,142.31,143.44,141.99,142.13,127.28,533600
2017-07-07,142.43,144.13,142.07,144.01,128.96,708700
2017-07-10,143.54,144.52,143.08,143.5,128.51,591100
2017-07-11,143.62,143.72,142.19,142.77,127.85,645400
2017-07-12,143.25,144.24,143.18,143.73,128.71,948700
2017-07-13,143.9,144.68,143.29,144.37,129.29,1004800
2017-07-14,144.66,145.78,144.35,145.57,130.36,1013600
2017-07-17,145.43,146.08,145.24,145.55,130.34,1195100
2017-07-18,144.59,145.5,144.59,145.24,130.07,757300
2017-07-19,145.18,146.21,144.82,146.21,130.93,1478500
2017-07-20,146.02,146.34,145.13,146.01,130.75,1299900
2017-07-21,145.89,145.89,144.65,145.64,130.42,1226600
2017-07-24,145.33,145.33,144.32,144.94,129.8,1308200
2017-07-25,145.99,146.55,144.73,145.04,129.89,1284700
2017-07-26,144.96,145.16,143.82,143.9,128.87,1108100
2017-07-27,144.08,144.3,142.71,143.65,128.64,1243200
2017-07-28,143.98,144.19,142.62,143.49,128.5,928900
2017-07-31,144.18,144.23,141.88,142.15,127.3,1826700
2017-08-01,148.0,149.64,146.15,148.92,133.36,4473400
2017-08-02,148.34,148.9,146.98,148.11,132.64,3983700
2017-08-03,148.47,148.6,146.7,146.92,131.57,1860000
2017-08-04,147.41,148.04,147.02,147.22,131.84,804500
2017-08-07,147.94,147.94,146.93,147.3,131.91,866600
2017-08-08,147.21,147.29,145.63,145.85,130.61,866100
2017-08-09,145.84,146.36,145.57,146.25,130.97,1162800
2017-08-10,145.52,146.0,144.89,145.02,129.87,1054200
2017-08-11,143.81,145.79,143.81,144.6,129.49,1068600
2017-08-14,145.48,147.43,145.37,146.64,131.32,1337800
2017-08-15,146.5,146.91,145.8,146.81,131.47,1319200
2017-08-16,147.0,148.16,146.91,148.08,132.61,1232300
2017-08-17,147.88,148.1,145.53,145.54,130.33,1207600
2017-08-18,145.43,146.35,144.8,145.76,130.53,1402400
2017-08-21,145.74,145.75,144.92,145.15,129.98,1584700
2017-08-22,145.84,146.8,145.4,145.95,130.7,1232400
2017-08-23,145.36,145.76,144.95,145.16,129.99,2214400
2017-08-24,145.47,145.81,144.91,145.23,130.06,953800
2017-08-25,145.05,146.47,145.05,146.01,130.75,953200
2017-08-28,146.68,146.7,145.35,145.78,130.55,540600
2017-08-29,144.79,145.48,144.64,145.37,130.18,458600
2017-08-30,145.35,145.84,145.12,145.51,130.31,879200
2017-08-31,146.0,146.0,145.24,145.37,130.18,1192700
2017-09-01,145.66,146.11,145.04,145.65,130.43,992800
2017-09-05,145.15,145.81,143.87,144.47,129.38,1748700
2017-09-06,144.37,144.9,143.86,144.5,129.4,2832400
2017-09-07,144.5,144.58,143.79,144.37,129.29,2214300
2017-09-08,144.33,145.37,144.03,144.97,129.82,1715400
2017-09-11,146.01,149.38,145.37,149.18,133.59,3024700
2017-09-12,149.85,151.42,149.08,149.28,133.68,2061200
2017-09-13,149.01,149.56,148.52,149.2,133.61,1540700
2017-09-14,149.61,150.45,148.77,150.07,134.39,1558800
2017-09-15,150.02,150.36,149.48,150.13,134.44,1750600
2017-09-18,150.15,150.95,149.68,150.95,135.18,2531000
2017-09-19,150.91,151.3,150.08,150.5,134.78,2621900
2017-09-20,150.83,151.14,150.06,150.98,135.21,2491400
2017-09-21,150.74,151.47,150.25,151.05,135.27,1587000
2017-09-22,151.0,151.22,150.16,150.26,134.56,2424600
2017-09-25,150.3,151.58,149.94,151.53,135.7,1273500
2017-09-26,151.77,151.98,150.9,150.98,135.21,698100
2017-09-27,151.3,151.58,150.1,151.32,135.51,942100
2017-09-28,151.45,152.26,151.18,151.34,135.53,1089200
2017-09-29,151.5,151.6,150.46,151.22,135.42,971200
2017-10-02,151.04,152.76,150.55,152.2,136.3,1081000
2017-10-03,152.54,153.49,151.72,153.19,137.18,791200
2017-10-04,153.05,153.57,152.73,152.9,136.92,774800
2017-10-05,153.23,153.34,152.43,153.31,137.29,807000
2017-10-06,152.36,153.33,152.02,153.3,138.14,1315000
2017-10-09,153.36,153.36,152.56,152.74,137.63,690800
2017-10-10,152.81,153.28,152.17,153.19,138.04,1068100
2017-10-11,153.17,153.17,151.93,152.93,137.81,696400
2017-10-12,152.57,153.4,152.49,153.34,138.17,588000
2017-10-13,153.5,154.41,153.41,153.46,138.28,1388000
2017-10-16,153.89,154.26,152.25,153.22,138.07,926600
2017-10-17,153.68,153.95,152.8,153.47,138.29,585700
2017-10-18,153.59,153.82,152.05,153.2,138.05,1114600
2017-10-19,152.82,153.23,152.02,152.86,137.74,929200
2017-10-20,153.65,154.74,153.6,154.22,138.97,812200
2017-10-23,154.15,154.41,153.25,153.6,138.41,883600
2017-10-24,153.47,154.27,153.47,153.85,138.63,802000
2017-10-25,153.88,154.82,153.18,154.59,139.3,1694800
2017-10-26,159.85,161.96,158.62,161.39,145.43,2326500
2017-10-27,161.3,162.86,160.72,160.88,144.97,1047600
2017-10-30,160.96,161.12,159.44,159.95,144.13,852100
2017-10-31,160.78,160.78,159.19,159.43,143.66,866100
2017-11-01,159.69,160.64,158.53,159.92,144.1,899400
2017-11-02,160.19,160.78,158.17,159.41,143.64,881700
2017-11-03,159.68,159.68,158.38,159.25,143.5,460700
2017-11-06,159.48,159.96,158.57,158.8,143.09,434700
2017-11-07,159.38,159.98,158.97,159.77,143.97,638600
2017-11-08,159.78,161.1,159.71,160.94,145.02,672600
2017-11-09,160.02,162.31,159.67,160.55,144.67,1257100
2017-11-10,160.2,160.94,159.81,160.3,144.45,585300
2017-11-13,162.53,163.56,161.36,162.76,146.66,1935100
2017-11-14,161.77,162.27,161.01,162.15,146.11,1232100
2017-11-15,161.26,161.63,160.24,160.86,144.95,770300
2017-11-16,161.1,161.98,160.87,161.18,145.24,1206100
2017-11-17,160.83,162.37,160.35,161.58,145.6,923300
2017-11-20,161.55,162.49,161.26,161.57,145.59,695900
2017-11-21,162.1,162.68,161.76,162.29,146.24,474000
