Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,36.79,37.1,36.7,36.97,35.24,1978000
2017-05-25,37.18,37.34,36.99,37.28,35.54,1873800
2017-05-26,37.28,37.43,37.17,37.4,35.65,1893600
2017-05-30,37.26,37.49,37.26,37.44,35.69,1938600
2017-05-31,37.5,37.58,37.26,37.3,35.56,5432800
2017-06-01,37.48,37.66,37.42,37.56,35.81,2234800
2017-06-02,37.65,37.81,37.48,37.78,36.01,1834200
2017-06-05,37.78,38.08,37.68,37.79,36.03,1975200
2017-06-06,37.61,37.96,37.61,37.78,36.01,1671200
2017-06-07,37.92,37.99,37.71,37.96,36.18,1432600
2017-06-08,37.96,38.12,37.76,38.09,36.31,2085000
2017-06-09,38.1,38.33,37.63,37.88,36.11,2568200
2017-06-12,37.71,37.79,37.31,37.71,35.95,2392000
2017-06-13,37.81,38.03,37.81,37.96,36.18,2339800
2017-06-14,37.94,38.08,37.8,37.97,36.19,2118600
2017-06-15,37.6,38.06,37.49,38.01,36.31,2205200
2017-06-16,38.01,38.24,37.78,37.81,36.12,4471800
2017-06-19,37.95,38.03,37.65,37.83,36.13,2930000
2017-06-20,37.79,37.88,37.47,37.47,35.8,2450400
2017-06-21,37.47,37.53,37.28,37.37,35.69,3083600
2017-06-22,37.37,37.41,37.1,37.19,35.52,2073600
2017-06-23,37.24,37.6,37.1,37.54,35.86,3229200
2017-06-26,37.65,37.8,37.33,37.38,35.71,1903800
2017-06-27,37.33,37.35,37.12,37.12,35.45,2372600
2017-06-28,37.4,37.62,37.19,37.56,35.87,1670600
2017-06-29,37.55,37.55,36.63,36.88,35.23,1845600
2017-06-30,37.03,37.12,36.67,36.91,35.26,2894400
2017-07-03,37.15,37.16,36.55,36.55,34.91,1160600
2017-07-05,36.77,36.92,36.53,36.88,35.23,2353400
2017-07-06,36.42,36.64,36.17,36.24,34.62,2910200
2017-07-07,36.44,36.83,36.38,36.69,35.05,1917800
2017-07-10,36.56,36.96,36.47,36.88,35.23,2050400
2017-07-11,36.88,37.0,36.69,36.83,35.18,1449800
2017-07-12,37.08,37.33,36.95,37.29,35.62,2049000
2017-07-13,37.31,37.48,37.24,37.29,35.63,1319200
2017-07-14,37.33,37.33,37.17,37.28,35.61,2105600
2017-07-17,37.28,37.6,37.16,37.42,35.75,1390400
2017-07-18,37.31,37.5,37.22,37.46,35.78,1517000
2017-07-19,37.58,37.83,37.51,37.79,36.1,1583000
2017-07-20,37.74,37.89,37.56,37.83,36.14,1971200
2017-07-21,37.72,37.9,37.62,37.78,36.09,1652600
2017-07-24,37.85,37.92,37.63,37.82,36.13,2235200
2017-07-25,37.94,38.09,37.7,37.92,36.22,3213200
2017-07-26,38.1,38.74,37.01,37.47,35.79,4573400
2017-07-27,37.49,37.97,37.41,37.92,36.22,4070200
2017-07-28,37.97,38.13,37.62,38.06,36.36,2915400
2017-07-31,38.24,38.43,38.03,38.31,36.6,2947800
2017-08-01,38.88,38.88,38.4,38.69,36.96,2207200
2017-08-02,38.81,38.99,38.72,38.92,37.18,2977600
2017-08-03,38.87,39.19,38.78,38.92,37.17,4195400
2017-08-04,39.03,39.06,38.74,38.83,37.09,2411600
2017-08-07,38.79,39.04,38.79,38.99,37.25,2253800
2017-08-08,38.82,39.17,38.82,38.99,37.24,1710200
2017-08-09,38.88,39.29,38.76,39.24,37.49,2271600
2017-08-10,39.03,39.18,38.87,38.88,37.14,3700200
2017-08-11,39.01,39.08,38.85,38.99,37.24,2202800
2017-08-14,39.19,39.68,39.13,39.55,37.78,2733600
2017-08-15,39.62,39.69,39.46,39.46,37.69,3829800
2017-08-16,39.58,39.85,39.51,39.66,37.89,1874400
2017-08-17,39.53,39.73,39.44,39.47,37.71,2582200
2017-08-18,39.42,39.49,39.18,39.21,37.46,1748000
2017-08-21,39.15,39.39,39.06,39.35,37.59,1617400
2017-08-22,39.46,39.88,39.46,39.85,38.07,2062800
2017-08-23,39.6,39.97,39.45,39.7,37.92,2021200
2017-08-24,39.74,39.75,39.49,39.69,37.92,1396200
2017-08-25,39.9,40.07,39.79,39.9,38.11,2623000
2017-08-28,40.0,40.0,39.78,39.88,38.09,1469200
2017-08-29,39.67,40.17,39.54,40.08,38.29,1571600
2017-08-30,40.05,40.24,39.99,40.15,38.36,1968200
2017-08-31,40.25,40.56,40.17,40.47,38.66,2157200
2017-09-01,40.49,40.58,40.15,40.44,38.63,1733800
2017-09-05,40.35,40.45,39.93,40.17,38.38,1643800
2017-09-06,40.33,40.37,40.02,40.29,38.49,1629400
2017-09-07,40.35,40.42,40.13,40.26,38.45,1386000
2017-09-08,40.13,40.45,40.03,40.26,38.46,1418600
2017-09-11,40.51,41.03,40.49,40.97,39.14,2047600
2017-09-12,40.97,41.15,40.88,41.06,39.22,1514400
2017-09-13,41.03,41.06,40.71,40.86,39.03,1584400
2017-09-14,40.76,41.15,40.76,41.1,39.27,1564800
2017-09-15,41.08,41.3,40.92,41.29,39.53,2264600
2017-09-18,41.28,41.51,41.12,41.4,39.64,2149200
2017-09-19,41.53,41.58,41.33,41.53,39.77,1366800
2017-09-20,41.62,41.62,41.2,41.49,39.73,1311800
2017-09-21,41.6,41.68,41.38,41.57,39.8,1456800
2017-09-22,41.69,41.9,41.42,41.47,39.71,3236400
2017-09-25,41.43,41.46,40.78,40.96,39.22,2659400
2017-09-26,41.03,41.08,40.78,40.81,39.07,1736600
2017-09-27,40.99,41.12,40.84,40.99,39.24,2270200
2017-09-28,40.87,41.19,40.84,41.14,39.39,1624600
2017-09-29,41.74,42.44,41.51,42.32,40.52,3695800
2017-10-02,42.38,42.45,42.19,42.38,40.58,3066000
2017-10-03,42.5,42.59,42.35,42.5,40.69,1976800
2017-10-04,42.49,42.94,42.38,42.88,41.06,2024800
2017-10-05,43.03,43.15,42.83,43.15,41.31,2005400
2017-10-06,43.06,43.29,42.99,43.29,41.45,1590400
2017-10-09,43.3,43.4,43.16,43.28,41.43,2047200
2017-10-10,43.32,43.54,43.25,43.51,41.66,1546800
2017-10-11,43.5,43.51,43.26,43.39,41.54,1378600
2017-10-12,43.38,43.9,43.35,43.88,42.02,1434600
2017-10-13,43.97,44.0,43.54,43.6,41.75,4190200
