Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,57.94,58.53,56.88,58.51,56.75,7286700
2017-05-25,58.97,59.44,58.73,59.22,57.44,7899100
2017-05-26,59.16,59.2,58.01,58.28,56.53,7019200
2017-05-30,58.48,58.67,57.77,58.58,56.82,5037400
2017-05-31,58.6,58.81,58.12,58.58,56.82,9548000
2017-06-01,58.81,59.57,58.7,59.56,57.77,10169600
2017-06-02,59.65,59.74,59.02,59.65,57.86,4950700
2017-06-05,59.76,60.46,59.56,59.8,58.01,3818300
2017-06-06,59.93,60.24,59.44,59.84,58.05,3923100
2017-06-07,60.06,60.85,60.02,60.53,58.71,6441400
2017-06-08,60.65,60.69,59.56,60.55,58.73,6513700
2017-06-09,60.63,61.1,56.95,58.03,56.29,12888000
2017-06-12,57.06,57.17,55.41,56.76,55.06,16120500
2017-06-13,57.46,58.05,56.69,57.9,56.16,7157700
2017-06-14,58.03,59.03,57.58,58.45,56.7,8272500
2017-06-15,57.4,59.47,57.19,58.91,57.14,8690600
2017-06-16,58.76,59.39,58.48,58.8,57.04,9273400
2017-06-19,59.16,60.42,59.16,60.32,58.51,5140300
2017-06-20,60.49,61.1,60.09,60.15,58.35,5876700
2017-06-21,60.5,60.94,60.14,60.68,58.86,5385300
2017-06-22,60.73,61.58,60.34,61.16,59.33,5402100
2017-06-23,61.03,61.09,60.16,60.44,58.63,13794600
2017-06-26,60.68,61.18,59.58,60.22,58.41,4319100
2017-06-27,60.11,60.11,58.06,58.29,56.54,7195100
2017-06-28,58.55,58.83,57.8,58.81,57.05,7829700
2017-06-29,58.4,58.5,56.22,57.58,55.85,8881400
2017-06-30,57.93,58.12,57.17,57.57,55.84,6358700
2017-07-03,57.77,57.99,56.15,56.26,54.57,4136000
2017-07-05,56.66,57.55,55.86,57.16,55.45,6107700
2017-07-06,56.57,57.09,56.31,56.62,54.92,6628500
2017-07-07,56.75,58.36,56.61,58.09,56.35,6223300
2017-07-10,58.28,58.92,57.97,58.51,56.75,4690400
2017-07-11,58.43,58.57,57.68,57.98,56.24,4498800
