Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,192.45,193.17,191.33,192.31,163.12,583300
2017-05-25,193.04,194.01,191.04,192.17,163.0,713400
2017-05-26,191.85,193.04,190.6,191.32,162.28,685100
2017-05-30,191.4,192.17,190.44,191.32,162.28,811700
2017-05-31,191.63,192.52,191.24,191.24,162.21,1561700
2017-06-01,191.3,191.75,188.88,190.61,161.68,1148300
2017-06-02,191.41,195.84,190.88,195.64,165.95,953400
2017-06-05,195.25,199.52,194.19,199.1,168.88,900200
2017-06-06,198.61,198.69,193.55,193.69,164.29,805400
2017-06-07,194.25,194.87,193.77,194.74,165.18,735200
2017-06-08,194.74,195.18,191.26,194.21,164.73,671500
2017-06-09,194.0,195.23,193.33,194.99,165.4,761400
2017-06-12,194.36,194.93,192.33,193.55,164.17,851800
2017-06-13,193.72,194.34,192.36,193.69,164.29,555100
2017-06-14,195.52,196.07,194.5,195.34,165.69,829500
2017-06-15,194.59,197.47,194.48,195.96,166.22,523400
2017-06-16,196.05,197.07,195.39,196.1,166.34,1143800
2017-06-19,196.67,197.7,195.67,196.68,166.83,588100
2017-06-20,196.83,197.76,193.62,195.39,165.74,829300
2017-06-21,195.28,195.33,192.58,194.56,165.03,614700
2017-06-22,195.42,195.42,193.14,193.85,164.43,614300
2017-06-23,193.9,195.02,193.52,194.03,164.58,655100
2017-06-26,194.72,195.04,193.63,194.41,164.9,428000
2017-06-27,193.93,195.54,192.56,192.81,163.55,878300
2017-06-28,192.44,192.8,191.49,192.53,164.52,748700
2017-06-29,192.41,192.59,190.25,192.01,164.08,625400
2017-06-30,192.71,194.19,191.64,192.17,164.21,617400
2017-07-03,192.81,194.67,192.03,194.28,166.02,637300
2017-07-05,194.49,196.13,192.74,193.74,165.55,634500
2017-07-06,193.29,193.62,188.03,188.19,160.81,843700
2017-07-07,188.66,190.08,188.42,189.3,161.76,422500
2017-07-10,189.26,189.84,186.69,186.84,159.66,421400
2017-07-11,187.14,187.35,184.6,186.31,159.21,444900
2017-07-12,187.63,188.98,186.56,186.97,159.77,524000
2017-07-13,186.84,188.24,186.25,186.95,159.75,485200
2017-07-14,187.97,188.84,187.35,187.71,160.4,505100
2017-07-17,187.65,190.2,187.04,190.04,162.39,464200
2017-07-18,190.41,190.41,188.3,188.4,160.99,594200
2017-07-19,188.5,190.22,188.16,190.17,162.5,453800
2017-07-20,190.34,191.78,189.99,190.12,162.46,445000
2017-07-21,189.99,191.37,188.9,191.15,163.34,397600
2017-07-24,191.42,191.42,189.16,189.16,161.64,537600
2017-07-25,189.66,189.77,186.44,187.84,160.51,642100
2017-07-26,187.83,191.51,187.38,191.12,163.32,429800
2017-07-27,190.49,191.55,188.74,190.55,162.83,666800
2017-07-28,190.86,192.57,190.42,192.5,164.5,458200
2017-07-31,192.5,192.88,191.08,192.35,164.37,577200
2017-08-01,192.69,193.16,191.49,192.12,164.17,607600
2017-08-02,191.61,192.39,190.52,191.29,163.46,520200
2017-08-03,188.0,190.85,184.74,187.81,160.49,1108300
2017-08-04,187.67,189.39,187.4,187.87,160.54,513600
2017-08-07,187.89,189.16,187.19,188.44,161.03,448800
2017-08-08,188.43,189.71,187.47,188.55,161.12,726000
2017-08-09,188.31,189.64,188.04,189.27,161.74,610700
2017-08-10,188.85,189.96,188.44,189.05,161.55,427300
2017-08-11,189.4,189.54,188.09,188.51,161.09,397300
2017-08-14,189.11,192.09,189.11,191.57,163.7,736400
2017-08-15,191.41,192.19,190.33,192.07,164.13,633100
2017-08-16,192.58,193.41,190.42,191.2,163.38,537500
2017-08-17,191.3,192.01,190.31,190.38,162.68,578400
2017-08-18,190.13,190.13,188.28,188.99,161.5,577300
2017-08-21,189.25,190.78,188.51,190.31,162.62,604100
2017-08-22,190.43,191.2,188.15,189.08,161.57,594800
2017-08-23,189.01,190.3,188.98,189.78,162.17,624700
2017-08-24,190.0,190.92,189.1,189.34,161.79,706700
2017-08-25,189.74,190.34,188.96,188.99,161.5,599100
2017-08-28,189.04,189.55,187.74,188.33,160.93,839500
2017-08-29,188.45,189.89,187.22,187.28,160.03,538500
2017-08-30,187.16,187.16,185.68,186.92,159.73,627600
2017-08-31,187.34,188.33,187.14,187.73,160.42,997500
2017-09-01,188.12,189.44,187.66,188.0,160.65,572100
2017-09-05,186.5,187.77,182.14,186.68,159.52,1037100
2017-09-06,186.89,187.6,185.21,185.53,158.54,1238000
2017-09-07,185.83,186.88,184.99,185.99,158.93,1334100
2017-09-08,185.83,188.08,185.52,186.76,159.59,999900
2017-09-11,187.2,188.55,186.29,188.55,161.12,909600
2017-09-12,188.26,188.59,183.2,184.63,157.77,844200
2017-09-13,184.57,185.16,183.66,183.84,157.1,668200
2017-09-14,183.83,184.03,182.37,183.73,157.0,908200
2017-09-15,183.9,184.98,182.53,183.77,157.04,1318400
2017-09-18,183.82,184.59,182.32,183.17,156.52,964900
2017-09-19,183.17,183.6,181.11,181.72,155.28,993900
2017-09-20,181.85,182.49,180.14,180.8,154.5,618400
2017-09-21,180.86,181.52,179.79,179.81,153.65,544400
2017-09-22,180.05,180.37,178.45,178.52,152.55,464600
2017-09-25,179.48,180.46,178.38,179.31,153.22,1268100
2017-09-26,179.33,179.66,178.68,179.1,153.04,1053400
2017-09-27,179.32,179.32,177.62,178.16,152.24,865000
2017-09-28,176.66,178.65,176.66,178.6,153.84,766000
2017-09-29,177.97,179.26,177.71,178.42,153.69,894600
2017-10-02,179.0,179.41,177.41,177.59,152.97,630400
2017-10-03,177.59,178.13,176.87,177.69,153.06,632000
2017-10-04,177.77,180.18,177.17,180.0,155.05,662900
2017-10-05,180.77,183.14,180.26,180.44,155.43,679200
2017-10-06,180.19,180.19,178.11,178.9,154.1,651000
2017-10-09,178.71,179.53,178.51,178.75,153.97,672800
2017-10-10,178.87,180.28,178.43,178.5,153.76,734500
2017-10-11,178.62,180.79,178.5,179.98,155.03,645900
2017-10-12,180.25,181.31,179.65,180.96,155.88,575500
2017-10-13,181.88,182.0,180.55,180.6,155.57,815000
2017-10-16,180.58,180.61,179.1,179.2,154.36,514200
2017-10-17,178.9,180.02,178.87,180.02,155.07,575000
2017-10-18,179.75,180.12,178.97,180.08,155.12,524600
2017-10-19,179.99,180.65,179.26,180.6,155.57,736900
2017-10-20,180.95,181.34,179.65,181.19,156.07,722000
2017-10-23,181.44,182.14,180.7,181.98,156.76,624400
2017-10-24,181.44,181.7,179.31,179.51,154.63,638800
2017-10-25,179.71,181.16,179.31,180.48,155.46,539200
2017-10-26,181.4,181.4,179.81,180.66,155.62,537400
2017-10-27,180.34,182.1,180.1,181.65,156.47,452900
2017-10-30,181.22,182.16,180.6,181.89,156.68,555300
2017-10-31,180.65,183.52,177.94,181.33,156.2,661500
2017-11-01,181.33,183.54,180.76,183.4,157.98,609900
2017-11-02,183.44,183.86,178.72,180.35,155.35,723800
2017-11-03,179.52,182.85,178.58,181.97,156.75,492000
2017-11-06,182.41,184.83,182.41,183.39,157.97,489500
2017-11-07,183.61,184.95,182.37,183.76,158.29,520800
2017-11-08,183.66,186.79,183.19,186.69,160.81,605000
2017-11-09,186.34,188.39,186.08,187.47,161.48,627200
2017-11-10,187.09,188.91,186.55,187.16,161.22,460400
2017-11-13,187.33,188.64,186.54,188.11,162.04,399900
2017-11-14,188.07,188.25,186.48,187.51,161.52,757300
2017-11-15,187.55,188.08,184.5,184.69,159.09,576000
2017-11-16,184.98,186.88,184.34,186.09,160.3,752000
2017-11-17,186.09,186.09,183.81,184.37,158.81,472100
2017-11-20,184.5,184.66,183.66,183.94,158.44,415500
