Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,238.46,240.01,236.97,239.6,200.31,1639200
2017-05-25,241.11,241.56,238.73,240.86,201.36,1901000
2017-05-26,240.9,241.6,238.32,241.21,201.66,1312000
2017-05-30,240.5,241.39,239.0,239.82,200.49,2936400
2017-05-31,242.52,242.89,237.56,239.48,200.21,4483000
2017-06-01,241.6,241.87,233.81,234.59,196.12,6377400
2017-06-02,248.54,255.82,244.15,254.53,212.79,10861300
2017-06-05,254.0,256.78,250.2,252.21,210.85,3953200
2017-06-06,250.77,255.34,250.62,253.86,212.23,2965300
2017-06-07,253.68,255.85,252.97,254.28,212.58,2929000
2017-06-08,255.0,256.1,252.32,254.95,213.14,2827300
2017-06-09,255.51,256.0,241.45,243.34,203.44,5819100
2017-06-12,240.4,243.11,235.75,242.67,202.88,5487200
2017-06-13,244.96,247.91,241.67,242.94,203.1,3085300
2017-06-14,243.57,244.95,237.63,240.54,201.1,3450900
2017-06-15,235.34,239.49,235.27,237.99,199.81,2752700
2017-06-16,238.93,239.43,235.13,236.25,198.35,3581900
2017-06-19,244.81,244.81,240.35,241.15,202.46,2851900
2017-06-20,242.0,243.65,239.85,239.99,201.49,2442900
2017-06-21,243.58,245.91,241.92,245.12,205.8,3499800
2017-06-22,245.51,246.41,243.08,244.04,204.89,1866600
2017-06-23,243.54,246.87,242.79,245.26,205.91,3498500
2017-06-26,245.99,247.9,241.2,242.75,203.81,3210300
2017-06-27,241.36,241.99,235.23,235.33,197.58,3358200
2017-06-28,236.59,241.73,234.5,241.05,202.38,2453300
2017-06-29,238.7,238.97,230.57,234.04,196.49,3451300
2017-06-30,236.27,236.69,232.86,233.05,195.66,2653400
2017-07-03,234.51,235.24,229.08,229.76,192.9,2112300
2017-07-05,231.0,232.33,229.11,231.61,194.45,2969900
2017-07-06,227.56,235.73,227.5,235.04,197.33,2633400
2017-07-07,235.3,240.19,235.27,239.62,201.18,2473100
2017-07-10,240.51,241.94,238.81,241.77,202.98,2249900
2017-07-11,242.0,242.6,239.39,240.89,202.25,2050200
2017-07-12,243.0,247.18,241.06,246.42,206.89,2771000
2017-07-13,247.12,249.87,246.55,247.31,207.64,2040000
2017-07-14,248.63,250.4,247.85,250.29,210.14,1441700
2017-07-17,250.79,252.36,248.86,249.02,209.07,1874600
2017-07-18,247.26,250.93,246.06,250.88,210.63,1300300
2017-07-19,252.0,254.54,250.55,254.4,213.59,2552600
2017-07-20,254.5,255.0,252.35,253.43,212.77,1213500
2017-07-21,251.53,253.52,250.46,253.11,212.51,1550400
2017-07-24,253.29,253.68,251.69,253.03,212.44,1363800
2017-07-25,252.8,254.41,250.18,254.3,213.5,1612300
2017-07-26,254.69,258.19,254.62,257.01,215.78,1997100
2017-07-27,258.21,258.49,248.95,250.95,210.69,3201000
2017-07-28,248.92,251.12,247.5,250.37,210.21,3191900
2017-07-31,250.98,252.45,245.46,246.66,207.09,1890200
2017-08-01,248.23,250.0,246.96,248.39,208.54,1758200
2017-08-02,254.6,257.28,251.06,253.36,212.72,3697000
2017-08-03,252.81,253.0,247.23,250.29,210.14,2344700
2017-08-04,250.74,250.97,248.12,249.17,209.2,1345400
2017-08-07,249.39,252.89,248.9,252.44,211.94,1873000
2017-08-08,251.98,254.29,250.42,251.36,211.04,2043900
2017-08-09,249.53,250.36,247.52,249.17,209.2,2125600
2017-08-10,246.66,247.0,240.46,240.71,202.09,2903300
2017-08-11,240.05,245.24,238.7,244.17,205.0,1697600
2017-08-14,246.86,251.25,246.0,250.91,210.66,1673600
2017-08-15,253.12,254.06,251.27,253.69,212.99,2094200
2017-08-16,254.32,254.74,251.81,253.42,212.77,1539400
2017-08-17,253.0,254.25,246.65,246.95,207.33,2279300
2017-08-18,247.33,251.48,246.13,249.37,209.37,2012600
2017-08-21,251.89,251.89,246.18,249.62,209.58,2069300
2017-08-22,251.83,256.19,251.0,255.19,214.25,2691700
2017-08-23,253.92,258.91,253.39,256.92,215.7,2792800
2017-08-24,258.67,259.36,251.1,255.05,214.13,5211900
2017-08-25,252.25,254.4,243.78,245.59,206.19,6909900
2017-08-28,247.04,247.64,242.5,243.25,204.23,3417400
2017-08-29,241.29,244.58,240.03,241.73,202.95,3353600
2017-08-30,241.56,246.34,240.88,246.02,206.55,2192400
2017-08-31,246.62,252.53,245.55,252.07,211.63,2949100
2017-09-01,252.33,255.34,252.3,252.73,212.19,2324200
2017-09-05,250.12,252.73,247.02,249.05,209.1,2430600
2017-09-06,250.61,251.31,247.7,249.38,209.37,1399600
2017-09-07,249.79,250.0,246.13,246.55,207.0,1608800
2017-09-08,245.92,246.4,243.1,244.11,204.95,1809400
2017-09-11,247.08,248.24,246.01,247.74,208.0,1687800
2017-09-12,249.66,249.74,245.5,247.14,207.49,1839600
2017-09-13,245.82,247.91,245.15,246.24,206.74,2966400
2017-09-14,244.62,247.51,243.24,246.95,207.33,2864500
2017-09-15,247.63,251.19,245.11,250.55,210.36,5006600
2017-09-18,251.05,252.83,248.61,249.82,210.6,2574300
2017-09-19,251.17,251.85,248.33,249.76,210.55,2208800
2017-09-20,249.74,249.88,237.86,242.91,204.78,5701000
2017-09-21,242.46,242.7,238.18,240.38,202.64,2862000
2017-09-22,238.34,240.75,238.12,239.24,201.68,2310000
2017-09-25,237.19,237.81,231.53,235.51,198.54,3869200
2017-09-26,237.88,239.95,235.31,237.27,200.02,3901000
2017-09-27,239.5,242.67,238.58,240.58,202.81,2648900
2017-09-28,239.51,243.36,239.5,242.94,204.8,2193200
2017-09-29,242.94,244.28,241.51,242.54,204.46,1731900
2017-10-02,245.31,245.31,239.75,240.47,202.72,1943100
2017-10-03,240.08,240.95,237.89,239.5,201.9,2561100
2017-10-04,238.78,242.33,237.51,242.0,204.01,2327100
2017-10-05,243.27,245.74,242.37,243.67,205.42,2281100
2017-10-06,240.3,245.75,240.3,245.74,207.16,1748900
2017-10-09,246.0,247.25,245.39,246.42,207.73,1655100
2017-10-10,247.53,248.16,243.04,245.99,207.37,1534800
2017-10-11,245.21,251.17,245.14,250.4,211.09,2660300
2017-10-12,250.42,251.28,248.28,248.74,209.69,2006700
2017-10-13,250.15,250.84,247.47,247.96,209.03,1525700
2017-10-16,248.58,249.47,245.62,246.67,207.95,1489900
2017-10-17,245.84,245.94,242.34,242.62,204.53,2696500
2017-10-18,243.33,244.61,239.8,244.0,205.69,1990500
2017-10-19,240.82,244.37,238.36,244.29,205.94,2584400
2017-10-20,246.96,247.0,243.76,244.24,205.9,2354800
2017-10-23,245.18,245.65,242.71,244.27,205.92,2341800
2017-10-24,245.07,248.14,244.11,247.68,208.8,2288700
2017-10-25,245.88,248.93,244.23,245.82,207.23,2095500
2017-10-26,247.27,247.85,243.76,243.76,205.49,2444600
2017-10-27,244.57,252.99,242.79,252.9,213.2,4475300
2017-10-30,253.3,262.2,253.27,261.23,220.22,5020200
2017-10-31,262.5,266.7,261.3,263.91,222.48,3284500
2017-11-01,264.24,265.64,256.89,259.29,218.58,2733300
2017-11-02,262.17,264.64,248.87,259.5,218.76,6719600
2017-11-03,264.03,278.0,257.11,273.63,230.67,12050300
2017-11-06,278.3,281.8,270.03,277.52,233.95,7808800
2017-11-07,272.54,274.5,267.54,271.32,228.73,3678900
2017-11-08,269.33,273.82,267.24,272.4,229.64,3025400
2017-11-09,268.64,270.4,262.5,265.64,223.94,3098000
2017-11-10,265.79,266.64,263.6,264.96,223.36,2033800
