Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,183.46,185.4,183.46,185.25,174.56,2424700
2017-05-25,185.63,187.42,185.59,187.07,176.27,2363300
2017-05-26,186.73,187.61,186.27,186.59,175.82,1735800
2017-05-30,186.76,187.42,186.19,186.88,176.09,2231600
2017-05-31,187.37,188.26,186.72,187.63,176.8,5186700
2017-06-01,187.41,187.91,184.53,187.32,176.51,2870200
2017-06-02,187.82,191.7,187.65,190.23,179.25,3034300
2017-06-05,190.07,190.74,188.81,188.95,178.04,2522100
2017-06-06,188.41,188.86,186.69,186.75,175.97,2725000
2017-06-07,186.85,188.54,186.39,188.1,177.24,2383500
2017-06-08,188.1,191.07,187.7,189.93,178.97,2340300
2017-06-09,190.0,190.99,189.25,190.03,179.06,3344900
2017-06-12,190.3,190.53,188.05,190.0,179.03,2730100
2017-06-13,190.05,191.56,189.35,191.09,180.06,1882700
2017-06-14,191.05,193.38,190.82,192.38,181.28,2210000
2017-06-15,191.43,195.55,191.37,195.45,184.17,2894100
2017-06-16,196.01,197.95,195.81,196.44,185.1,6939100
2017-06-19,197.88,199.47,197.0,199.08,187.59,2726400
2017-06-20,198.75,201.24,198.31,198.33,186.88,3077400
2017-06-21,199.58,199.71,197.56,199.17,187.67,3151100
2017-06-22,199.25,200.41,199.18,199.44,187.93,3339300
2017-06-23,199.26,202.35,198.68,202.23,190.56,4310100
2017-06-26,202.77,204.39,199.94,199.98,188.44,3077600
2017-06-27,199.8,200.92,198.89,198.89,187.41,2296900
2017-06-28,199.5,200.95,199.3,199.62,188.1,2096800
2017-06-29,199.62,199.76,196.45,197.46,186.06,2428900
2017-06-30,198.5,199.44,197.39,197.75,186.34,2225600
2017-07-03,198.07,199.44,197.75,198.59,187.13,1511200
2017-07-05,199.3,202.14,198.86,201.81,190.16,2716700
2017-07-06,201.64,202.49,200.78,201.48,189.85,2737400
2017-07-07,202.24,203.28,201.26,202.37,190.69,3090400
2017-07-10,202.32,204.58,202.19,203.96,192.19,2701900
2017-07-11,204.0,206.66,204.0,206.27,194.36,2815800
2017-07-12,206.95,208.61,206.32,206.44,194.52,2817400
2017-07-13,206.8,207.0,205.35,206.23,194.33,1943600
2017-07-14,206.8,208.73,206.74,208.51,196.47,3229000
2017-07-17,208.73,209.72,208.56,209.0,196.94,2416000
2017-07-18,209.11,209.19,207.53,208.24,196.22,1942300
2017-07-19,209.43,210.93,208.99,210.88,198.71,2258400
2017-07-20,211.1,211.25,209.92,210.28,198.14,2235100
2017-07-21,209.99,212.2,209.41,212.14,199.89,2098400
2017-07-24,212.0,212.64,211.4,212.18,199.93,2392700
2017-07-25,213.22,214.0,211.95,212.46,200.2,2889000
2017-07-26,223.48,233.98,223.02,233.45,219.97,14140000
2017-07-27,237.13,242.68,236.7,241.0,227.09,10860600
2017-07-28,240.82,242.0,238.55,241.27,227.34,4602400
2017-07-31,241.85,246.49,241.82,242.46,228.46,5777300
2017-08-01,243.38,243.99,239.16,239.44,225.62,5018400
2017-08-02,239.06,241.56,237.88,237.95,224.21,5119900
2017-08-03,237.06,239.59,236.04,238.25,224.5,5112700
2017-08-04,238.58,239.73,236.38,237.71,223.99,5590500
2017-08-07,237.6,241.43,237.21,240.23,226.36,3674700
2017-08-08,239.91,240.52,238.93,239.5,225.68,4871500
2017-08-09,238.01,238.7,234.1,234.31,222.1,5680400
2017-08-10,234.03,236.16,231.91,232.88,220.75,6817700
2017-08-11,232.76,235.4,230.94,234.88,222.64,3461700
2017-08-14,236.01,237.48,235.72,237.15,224.79,2953500
2017-08-15,237.21,239.64,236.01,239.17,226.71,2851100
2017-08-16,239.7,240.26,237.41,237.59,225.21,3012700
2017-08-17,237.38,237.6,235.25,235.59,223.32,2810900
2017-08-18,235.0,237.26,234.57,235.77,223.49,2939500
2017-08-21,235.77,236.94,234.35,235.68,223.4,2545400
2017-08-22,236.16,239.89,236.11,239.75,227.26,2915700
2017-08-23,239.36,239.36,237.19,238.09,225.68,2518300
2017-08-24,238.52,238.9,236.6,238.74,226.3,2553100
2017-08-25,239.0,239.09,235.6,235.89,223.6,2270300
2017-08-28,236.22,237.55,234.61,237.18,224.82,2395000
2017-08-29,237.21,241.17,236.08,240.49,227.96,3535500
2017-08-30,240.99,241.44,239.0,240.46,227.93,2801100
2017-08-31,241.0,241.1,238.41,239.66,227.17,3075800
2017-09-01,239.66,242.53,239.17,240.33,227.81,3270700
2017-09-05,240.3,240.36,236.23,237.0,224.65,3866600
2017-09-06,237.53,237.86,234.34,234.62,222.4,4252700
2017-09-07,234.75,236.54,234.29,236.31,224.0,2994500
2017-09-08,235.75,239.39,235.21,238.78,226.34,3404200
2017-09-11,239.5,241.85,239.31,240.59,228.05,3628100
2017-09-12,240.59,241.71,238.95,240.58,228.05,2702700
2017-09-13,240.0,243.48,237.09,241.93,229.32,4529100
2017-09-14,243.0,245.61,242.5,245.23,232.45,4995200
2017-09-15,247.36,249.95,246.21,249.0,236.03,9033300
2017-09-18,249.97,253.79,248.91,253.08,239.89,5193000
2017-09-19,253.08,255.17,251.63,252.46,239.31,4124700
2017-09-20,253.26,256.69,252.25,255.46,242.15,3853200
2017-09-21,256.13,256.99,254.42,256.04,242.7,2809400
2017-09-22,256.31,259.3,256.13,256.45,243.09,3475600
2017-09-25,256.97,256.97,251.5,254.32,241.07,3479200
2017-09-26,254.6,256.48,253.54,253.7,240.48,2173600
2017-09-27,255.27,258.77,253.97,255.28,241.98,3840100
2017-09-28,254.11,255.8,251.17,254.27,241.02,2586100
2017-09-29,253.85,255.26,252.59,254.21,240.96,2531100
2017-10-02,254.65,255.99,253.53,255.99,242.65,2685100
2017-10-03,255.99,258.26,254.69,255.46,242.15,3163400
2017-10-04,256.12,257.13,254.07,255.76,242.43,3031000
2017-10-05,255.28,258.99,254.78,258.89,245.4,3940200
2017-10-06,258.0,258.9,257.06,258.58,245.11,2736400
2017-10-09,259.0,259.0,257.11,258.39,244.93,2146100
2017-10-10,259.74,261.06,257.2,260.93,247.33,2740700
2017-10-11,261.32,261.65,259.02,261.44,247.82,2890300
2017-10-12,260.95,262.98,260.0,261.91,248.26,2577900
2017-10-13,262.9,263.79,260.74,260.74,247.15,2243900
2017-10-16,261.5,262.0,259.69,259.75,246.22,1818900
2017-10-17,256.49,259.05,256.26,258.62,245.15,2515900
2017-10-18,258.47,260.73,256.66,260.04,246.49,2051700
2017-10-19,258.98,259.1,256.03,259.04,245.54,2589200
2017-10-20,260.36,264.83,259.44,264.75,250.96,3955900
2017-10-23,265.13,265.98,262.14,262.32,248.65,3302400
2017-10-24,263.24,267.21,263.24,266.0,252.14,4401600
2017-10-25,264.78,266.0,254.5,258.42,244.96,7895300
2017-10-26,259.72,261.44,257.31,259.27,245.76,3419100
2017-10-27,258.26,259.5,255.8,256.46,243.1,2899200
2017-10-30,255.45,260.41,255.33,259.25,245.74,3025900
2017-10-31,259.34,259.93,257.47,257.98,244.54,2742800
2017-11-01,258.29,259.41,256.24,258.5,245.03,2929500
2017-11-02,258.31,263.24,258.0,262.63,248.95,2529900
2017-11-03,262.42,263.79,260.08,261.75,248.11,2610800
2017-11-06,262.62,265.84,262.53,264.07,250.31,2911600
2017-11-07,264.07,267.28,264.07,266.13,252.26,3205400
2017-11-08,266.14,267.62,265.29,265.57,251.73,2841800
2017-11-09,265.01,266.75,259.56,262.7,250.35,3215900
2017-11-10,262.11,262.5,259.6,260.85,248.59,1740600
2017-11-13,261.67,263.36,260.49,262.42,250.08,2604100
2017-11-14,262.0,262.4,260.2,261.76,249.46,2358200
2017-11-15,261.42,264.77,260.15,262.86,250.5,2510500
2017-11-16,263.76,265.04,263.34,263.7,251.3,2710200
2017-11-17,262.82,263.74,262.03,262.26,249.93,1724800
2017-11-20,263.0,265.62,262.76,264.63,252.19,2447400
2017-11-21,266.24,267.0,264.71,266.99,254.44,2267100
2017-11-22,267.0,267.48,264.53,265.15,252.69,1471400
2017-11-24,265.26,266.57,264.53,265.88,253.38,788900
2017-11-27,265.38,266.84,264.72,265.58,253.1,1772200
2017-11-28,267.0,268.01,265.23,267.99,255.39,2262100
