Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,23.44,23.47,23.22,23.36,21.06,58823200
2017-05-25,23.41,23.58,23.22,23.25,20.96,60443500
2017-05-26,23.23,23.42,23.17,23.24,20.95,50399500
2017-05-30,23.13,23.21,22.88,22.91,20.65,61307900
2017-05-31,22.78,22.8,22.09,22.41,20.27,138636300
2017-06-01,22.48,22.64,22.3,22.63,20.47,69725100
2017-06-02,22.27,22.59,22.16,22.45,20.3,79722300
2017-06-05,22.44,22.7,22.39,22.41,20.27,51590300
2017-06-06,22.2,22.41,22.07,22.23,20.1,71735600
2017-06-07,22.3,22.62,22.27,22.6,20.44,66429700
2017-06-08,22.62,23.21,22.6,22.97,20.77,93685900
2017-06-09,23.22,23.67,23.21,23.67,21.41,108254300
2017-06-12,23.82,24.04,23.73,23.78,21.51,85829900
2017-06-13,23.95,24.11,23.66,23.77,21.5,68047300
2017-06-14,23.55,23.81,23.2,23.76,21.49,102352400
2017-06-15,23.55,23.95,23.47,23.54,21.29,69707500
2017-06-16,23.56,23.62,23.37,23.43,21.19,57745800
2017-06-19,23.61,24.0,23.6,23.91,21.62,58587800
2017-06-20,23.91,23.99,23.48,23.49,21.24,59693500
2017-06-21,23.5,23.57,23.07,23.13,20.92,72432800
2017-06-22,23.12,23.2,22.9,22.93,20.74,64763300
2017-06-23,23.11,23.11,22.74,22.82,20.64,85399600
2017-06-26,22.91,23.14,22.73,22.89,20.7,61307800
2017-06-27,23.1,23.6,23.0,23.27,21.05,88257800
2017-06-28,23.53,23.96,23.53,23.88,21.6,119049300
2017-06-29,24.58,24.67,24.04,24.32,22.0,150501200
2017-06-30,24.62,24.62,24.17,24.26,21.94,84005200
2017-07-03,24.46,24.91,24.44,24.68,22.32,58129700
2017-07-05,24.8,24.95,24.62,24.92,22.54,76172500
2017-07-06,24.9,25.11,24.69,24.71,22.35,84465400
2017-07-07,24.92,25.0,24.65,24.83,22.46,54478800
2017-07-10,24.72,24.99,24.64,24.89,22.51,54632800
2017-07-11,24.88,24.91,24.46,24.6,22.25,69410600
2017-07-12,24.42,24.6,24.3,24.35,22.02,68708700
2017-07-13,24.43,24.63,24.37,24.62,22.27,55533400
2017-07-14,24.2,24.32,23.82,24.21,21.9,92625400
2017-07-17,24.22,24.22,23.93,24.02,21.72,81522000
2017-07-18,23.91,24.06,23.61,23.9,21.62,107981400
2017-07-19,24.05,24.2,23.81,24.06,21.76,74140100
2017-07-20,24.02,24.12,23.83,23.94,21.65,62793500
2017-07-21,23.84,23.96,23.66,23.8,21.52,65922500
2017-07-24,23.74,24.03,23.73,23.91,21.62,51382700
2017-07-25,24.25,24.67,24.24,24.48,22.14,86154700
2017-07-26,24.67,24.67,24.14,24.21,21.9,65704700
2017-07-27,24.26,24.45,24.03,24.11,21.81,62902100
2017-07-28,24.05,24.21,23.96,24.03,21.73,50143400
2017-07-31,24.12,24.3,24.09,24.12,21.81,62272000
2017-08-01,24.29,24.49,24.27,24.45,22.11,52782500
2017-08-02,24.44,24.59,24.26,24.59,22.24,55317100
2017-08-03,24.55,24.6,24.32,24.37,22.04,53210600
2017-08-04,24.68,25.08,24.65,24.97,22.58,105206600
2017-08-07,25.01,25.05,24.9,24.96,22.57,41860900
2017-08-08,24.95,25.35,24.82,24.9,22.52,73399300
2017-08-09,24.6,24.77,24.46,24.74,22.37,56910400
2017-08-10,24.58,24.58,24.09,24.12,21.81,78023700
2017-08-11,24.07,24.24,23.8,23.86,21.58,68157400
2017-08-14,24.23,24.49,24.17,24.42,22.09,54989500
2017-08-15,24.75,24.85,24.45,24.47,22.13,45143200
2017-08-16,24.54,24.62,24.08,24.19,21.88,59188900
2017-08-17,24.07,24.17,23.62,23.64,21.38,78969300
2017-08-18,23.56,23.9,23.45,23.62,21.36,60461200
2017-08-21,23.58,23.64,23.14,23.38,21.14,70124800
2017-08-22,23.6,23.89,23.57,23.83,21.55,59228600
2017-08-23,23.61,23.97,23.59,23.76,21.49,39825500
2017-08-24,23.93,23.94,23.68,23.84,21.56,39178700
2017-08-25,23.89,24.07,23.75,23.77,21.5,43511900
2017-08-28,23.84,23.9,23.57,23.72,21.45,37155000
2017-08-29,23.22,23.7,23.12,23.58,21.33,60897200
2017-08-30,23.73,24.04,23.56,23.87,21.7,58412900
2017-08-31,24.03,24.04,23.78,23.89,21.72,62362400
2017-09-01,23.9,24.18,23.8,24.09,21.9,56233900
2017-09-05,23.83,23.83,23.23,23.31,21.19,108605400
2017-09-06,23.49,23.58,23.21,23.41,21.28,64188900
2017-09-07,23.38,23.41,22.75,22.97,20.88,103501200
2017-09-08,22.93,23.23,22.85,22.89,20.81,68365000
2017-09-11,23.22,23.41,23.08,23.36,21.23,73741000
2017-09-12,23.46,24.03,23.45,23.95,21.77,99658500
2017-09-13,23.92,24.35,23.87,24.33,22.12,86339800
2017-09-14,24.38,24.54,24.2,24.24,22.03,70051000
2017-09-15,24.21,24.41,24.15,24.38,22.16,85937600
2017-09-18,24.42,24.77,24.41,24.7,22.45,68076400
2017-09-19,24.7,24.99,24.62,24.86,22.6,56218100
2017-09-20,24.88,25.24,24.67,25.06,22.78,82289900
2017-09-21,25.05,25.28,24.92,25.16,22.87,57864000
2017-09-22,25.01,25.07,24.85,25.02,22.74,61446000
2017-09-25,24.94,25.08,24.58,24.76,22.51,62361700
2017-09-26,24.83,24.96,24.69,24.81,22.55,53012700
2017-09-27,25.31,25.64,25.18,25.41,23.1,92877400
2017-09-28,25.59,25.64,25.34,25.45,23.13,64991400
2017-09-29,25.41,25.48,25.31,25.34,23.03,66232600
2017-10-02,25.46,25.65,25.39,25.62,23.29,54001400
2017-10-03,25.75,25.93,25.62,25.86,23.51,55946900
2017-10-04,25.86,25.95,25.7,25.71,23.37,53402800
2017-10-05,25.77,26.23,25.66,26.13,23.75,62636900
2017-10-06,26.25,26.3,26.04,26.21,23.83,53900600
2017-10-09,26.26,26.27,25.76,25.85,23.5,55172500
2017-10-10,25.83,25.95,25.71,25.93,23.57,46133800
2017-10-11,25.93,25.93,25.65,25.83,23.48,51652300
2017-10-12,25.87,25.93,25.34,25.45,23.13,71770000
2017-10-13,25.38,26.0,25.12,25.83,23.48,104196900
2017-10-16,25.87,26.33,25.87,26.24,23.85,71927200
2017-10-17,26.37,26.43,26.11,26.2,23.82,48644400
2017-10-18,26.34,26.55,26.33,26.48,24.07,55382500
2017-10-19,26.2,26.59,26.15,26.58,24.16,54542700
2017-10-20,27.04,27.18,26.9,27.17,24.7,83764700
2017-10-23,27.22,27.43,27.09,27.16,24.69,69607700
2017-10-24,27.35,27.84,27.34,27.68,25.16,90346500
2017-10-25,27.89,27.92,27.34,27.63,25.12,81265300
2017-10-26,27.69,27.98,27.68,27.74,25.22,55342500
2017-10-27,27.68,27.96,27.62,27.8,25.27,58856700
2017-10-30,27.65,27.76,27.46,27.6,25.09,51357600
2017-10-31,27.64,27.72,27.34,27.39,24.9,50311200
2017-11-01,27.64,27.73,27.36,27.53,25.03,46527700
2017-11-02,27.51,27.94,27.28,27.87,25.33,59692000
2017-11-03,27.73,27.82,27.62,27.82,25.29,37816100
2017-11-06,27.74,27.82,27.62,27.75,25.23,37261000
2017-11-07,27.74,27.77,27.02,27.18,24.71,68342100
2017-11-08,26.96,26.96,26.49,26.79,24.35,83128200
2017-11-09,26.49,26.66,26.12,26.49,24.08,95448600
2017-11-10,26.59,26.74,26.46,26.51,24.1,61105300
2017-11-13,26.26,26.48,26.14,26.4,24.0,55902200
2017-11-14,26.26,26.35,26.08,26.24,23.85,61596800
2017-11-15,25.99,26.93,25.81,26.79,24.35,98274900
2017-11-16,26.91,27.05,26.74,26.76,24.33,54565200
2017-11-17,26.51,26.73,26.44,26.62,24.2,48420700
2017-11-20,26.74,26.84,26.54,26.74,24.31,46328800
2017-11-21,26.8,26.86,26.69,26.73,24.3,57749100
2017-11-22,26.77,26.9,26.59,26.66,24.23,38103200
2017-11-24,26.72,26.74,26.57,26.59,24.17,14273600
2017-11-27,26.52,26.92,26.51,26.59,24.17,44828600
2017-11-28,26.62,27.7,26.57,27.64,25.13,99765000
2017-11-29,28.02,28.49,27.84,28.28,25.71,119728400
2017-11-30,28.62,28.72,28.08,28.17,25.72,122131900
2017-12-01,28.25,28.51,27.5,28.1,25.65,137774800
2017-12-04,28.85,29.31,28.82,29.06,26.53,145661700
2017-12-05,29.1,29.3,28.85,28.93,26.41,91349800
2017-12-06,28.73,28.97,28.57,28.64,26.15,74593800
2017-12-07,28.89,28.97,28.37,28.78,26.27,80706100
2017-12-08,29.02,29.09,28.76,29.05,26.52,60991300
2017-12-11,29.03,29.17,28.9,28.94,26.42,54001900
2017-12-12,29.32,29.5,28.91,29.32,26.77,76017200
2017-12-13,29.31,29.44,28.83,28.84,26.33,79980600
2017-12-14,29.06,29.18,28.71,28.73,26.23,60615800
2017-12-15,28.91,29.18,28.74,29.04,26.51,129859400
2017-12-18,29.29,29.5,29.27,29.48,26.91,70548600
2017-12-19,29.6,29.64,29.37,29.45,26.89,67984100
2017-12-20,29.76,29.84,29.45,29.48,26.91,81271200
2017-12-21,29.59,29.98,29.58,29.82,27.22,72953200
2017-12-22,29.98,30.03,29.62,29.88,27.28,54203000
2017-12-26,29.74,29.94,29.58,29.78,27.19,42371200
2017-12-27,29.66,29.73,29.6,29.73,27.14,35111800
2017-12-28,29.73,29.82,29.66,29.8,27.2,37914900
2017-12-29,29.85,29.88,29.52,29.52,26.95,40672000
2018-01-02,29.75,29.9,29.61,29.9,27.3,57121600
2018-01-03,29.9,29.94,29.69,29.8,27.2,57865700
2018-01-04,29.97,30.44,29.88,30.19,27.56,76512500
2018-01-05,30.37,30.42,30.05,30.33,27.69,56445200
2018-01-08,30.23,30.27,30.05,30.12,27.5,42914800
2018-01-09,30.2,30.54,30.13,30.27,27.63,69479100
2018-01-10,30.37,30.73,30.31,30.55,27.89,63532800
2018-01-11,30.66,30.69,30.45,30.66,27.99,59318300
2018-01-12,30.88,31.2,30.77,31.19,28.47,66371600
2018-01-16,31.74,31.79,31.03,31.24,28.52,104467900
2018-01-17,31.0,31.29,30.34,31.18,28.46,124382900
2018-01-18,31.33,31.71,31.21,31.48,28.74,76463800
2018-01-19,31.58,31.74,31.46,31.72,28.96,66491000
2018-01-22,31.67,31.94,31.58,31.94,29.16,53848800
2018-01-23,31.86,32.13,31.79,31.92,29.14,56531400
2018-01-24,32.01,32.21,31.82,32.09,29.3,81585000
2018-01-25,32.24,32.25,31.93,32.09,29.3,62265800
2018-01-26,32.11,32.2,31.95,32.2,29.4,52699900
2018-01-29,32.25,32.45,32.18,32.28,29.47,59126500
2018-01-30,31.95,32.2,31.85,31.88,29.1,60555800
2018-01-31,32.05,32.29,31.95,32.0,29.21,65734100
2018-02-01,32.0,32.5,31.96,32.5,29.67,62367400
2018-02-02,32.44,32.67,31.86,31.95,29.17,96971900
2018-02-05,31.12,31.98,29.15,30.26,27.62,155908300
2018-02-06,29.41,31.29,29.3,31.2,28.48,165878400
2018-02-07,31.12,31.74,30.86,31.25,28.53,101180500
2018-02-08,31.31,31.38,29.73,29.74,27.15,128981300
2018-02-09,30.17,30.61,29.13,30.33,27.69,143071100
2018-02-12,30.62,31.44,30.54,31.12,28.41,95055100
2018-02-13,31.04,31.4,30.76,31.18,28.46,76727300
2018-02-14,31.17,32.03,31.06,32.0,29.21,97251500
2018-02-15,32.39,32.47,31.87,32.21,29.4,68117400
2018-02-16,32.0,32.26,31.92,31.97,29.19,62137800
