Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,58.02,58.46,57.85,58.34,55.09,2402200
2017-05-25,58.45,59.41,58.32,59.14,55.85,3216100
2017-05-26,59.07,59.11,58.45,58.64,55.38,2014100
2017-05-30,58.7,59.49,58.53,59.35,56.05,2559900
2017-05-31,59.44,59.78,59.16,59.31,56.16,4111600
2017-06-01,59.51,60.33,59.19,60.0,56.82,2820200
2017-06-02,60.03,60.16,59.62,59.72,56.55,3219800
2017-06-05,60.38,60.45,59.54,59.59,56.43,2714500
2017-06-06,59.52,59.82,59.28,59.39,56.24,3043900
2017-06-07,59.54,59.7,59.29,59.6,56.44,2088000
2017-06-08,59.63,59.96,59.46,59.76,56.59,4531100
2017-06-09,59.87,60.06,58.57,58.91,55.78,3069900
2017-06-12,58.69,58.78,57.14,57.15,54.12,5790900
2017-06-13,57.38,58.15,57.24,57.88,54.81,3731600
2017-06-14,58.11,58.79,57.68,57.98,54.9,2427700
2017-06-15,57.55,58.1,57.32,57.93,54.86,3264900
2017-06-16,58.08,58.35,57.74,57.93,54.86,6522800
2017-06-19,58.22,59.72,58.22,59.55,56.39,4703700
2017-06-20,59.68,60.12,59.68,59.88,56.7,3074900
2017-06-21,60.03,60.47,59.93,60.05,56.86,2411000
2017-06-22,60.0,60.99,59.91,60.68,57.46,3070500
2017-06-23,60.68,61.51,60.45,61.38,58.12,3900600
2017-06-26,61.38,61.52,60.96,60.98,57.74,1911300
2017-06-27,60.92,61.07,60.59,60.69,57.47,2546800
2017-06-28,60.94,61.25,60.77,60.87,57.64,2152500
2017-06-29,60.81,60.81,59.73,60.16,56.97,2062100
2017-06-30,60.41,60.76,60.27,60.54,57.33,2428600
2017-07-03,60.78,60.88,60.16,60.24,57.04,1354600
2017-07-05,60.41,60.86,60.22,60.71,57.49,1782900
2017-07-06,60.44,60.67,60.01,60.16,56.97,3123100
2017-07-07,60.38,60.83,60.23,60.72,57.5,2561800
2017-07-10,60.62,60.72,60.26,60.55,57.34,1542600
2017-07-11,61.34,61.39,60.35,60.63,57.41,2592400
2017-07-12,60.79,61.44,60.73,61.28,58.03,1505500
2017-07-13,61.36,61.42,60.79,61.3,58.05,1736200
2017-07-14,61.28,62.25,61.21,62.11,58.81,1951300
2017-07-17,62.1,62.38,61.91,62.2,58.9,2730000
2017-07-18,62.38,62.49,61.96,62.14,58.84,2239100
2017-07-19,62.34,62.51,62.11,62.45,59.14,3049300
2017-07-20,62.51,63.08,62.26,63.04,59.69,2394400
2017-07-21,62.89,63.14,62.6,62.67,59.34,2798800
2017-07-24,62.82,62.88,62.47,62.73,59.4,1669200
2017-07-25,62.98,63.01,61.68,62.09,58.79,3074400
2017-07-26,61.05,61.72,60.13,61.22,57.97,4118900
2017-07-27,61.64,61.64,59.88,60.38,57.18,3414600
2017-07-28,60.4,60.84,60.15,60.73,57.51,2054400
2017-07-31,60.78,61.04,60.36,60.48,57.27,2042600
2017-08-01,60.88,61.18,60.56,60.71,57.49,2650200
2017-08-02,60.69,60.69,59.27,59.5,56.34,3536800
2017-08-03,59.1,59.79,58.81,59.59,56.43,2017900
2017-08-04,59.76,60.14,59.45,59.88,56.7,1594200
2017-08-07,59.84,59.91,59.49,59.73,56.56,1858600
2017-08-08,59.66,60.0,59.36,59.72,56.55,1969600
2017-08-09,59.72,60.1,59.5,60.02,56.83,2196800
2017-08-10,59.66,59.98,59.43,59.71,56.54,2939200
2017-08-11,59.62,60.37,59.62,59.84,56.66,2213800
2017-08-14,60.07,60.58,60.06,60.23,57.03,1976400
2017-08-15,60.19,60.95,60.13,60.8,57.57,2161200
2017-08-16,61.0,61.53,60.81,61.36,58.1,2965500
2017-08-17,61.03,61.48,60.77,60.82,57.59,2608700
2017-08-18,60.72,61.27,60.62,60.87,57.64,2308200
2017-08-21,60.79,61.15,60.53,61.11,57.87,1677800
2017-08-22,61.02,62.21,61.02,62.15,58.85,1789700
2017-08-23,62.0,62.07,61.32,61.45,58.19,2734200
2017-08-24,61.69,61.83,61.46,61.51,58.25,2286100
2017-08-25,61.79,61.79,61.45,61.51,58.25,2389300
2017-08-28,61.64,61.81,61.54,61.64,58.37,2386400
2017-08-29,61.42,61.62,61.2,61.41,58.15,1562200
2017-08-30,61.3,61.71,61.29,61.48,58.37,1918700
2017-08-31,61.78,62.13,61.61,62.04,58.9,3532700
2017-09-01,62.11,62.5,61.93,62.23,59.08,2214900
2017-09-05,61.99,62.44,61.83,62.18,59.03,1772600
2017-09-06,62.3,62.68,62.18,62.53,59.37,1498200
2017-09-07,62.64,63.0,62.35,62.84,59.66,1724600
2017-09-08,62.93,64.4,62.73,63.28,60.08,2583000
2017-09-11,63.63,64.32,63.57,64.28,61.03,2711600
2017-09-12,64.4,64.56,63.83,64.15,60.9,1840400
2017-09-13,64.15,64.75,64.04,64.61,61.34,2482500
2017-09-14,64.36,64.74,64.18,64.32,61.07,1864500
2017-09-15,64.11,64.33,63.88,63.96,60.72,4525600
2017-09-18,64.07,64.31,63.93,64.31,61.06,1547200
2017-09-19,64.28,64.35,63.92,64.02,60.78,1825500
2017-09-20,64.15,64.51,64.06,64.28,61.03,1680100
2017-09-21,64.21,64.32,63.35,63.38,60.17,1595000
2017-09-22,63.48,63.75,63.34,63.51,60.3,2352300
2017-09-25,63.51,63.55,62.57,62.76,59.58,1679000
2017-09-26,62.86,62.88,62.43,62.52,59.36,1301600
2017-09-27,62.62,62.86,61.94,62.46,59.3,2310900
2017-09-28,62.28,62.53,61.86,62.34,59.19,1529100
2017-09-29,62.29,62.77,62.15,62.75,59.57,1579100
2017-10-02,62.92,63.4,62.9,63.16,59.96,1811600
2017-10-03,62.97,63.12,62.45,62.62,59.45,1648800
2017-10-04,62.74,63.01,62.61,62.9,59.72,1902800
2017-10-05,62.74,62.89,62.55,62.71,59.54,1792300
2017-10-06,62.62,63.09,62.42,62.91,59.73,2513100
2017-10-09,63.05,63.05,61.11,61.45,58.34,2610200
2017-10-10,61.37,61.76,60.78,61.71,58.59,2264700
2017-10-11,61.73,62.16,61.62,62.01,58.87,2280900
2017-10-12,62.01,62.58,61.87,62.53,59.37,1460000
2017-10-13,62.59,62.87,62.29,62.82,59.64,2837100
2017-10-16,62.9,63.71,62.9,63.65,60.43,2715100
2017-10-17,63.59,64.18,63.33,63.92,60.69,2484400
2017-10-18,63.9,64.11,63.54,63.84,60.61,1340100
2017-10-19,63.94,64.06,62.81,63.47,60.26,3306700
2017-10-20,63.71,63.91,63.4,63.59,60.37,2738600
2017-10-23,63.75,64.67,63.71,64.12,60.88,1798900
2017-10-24,64.14,64.39,63.5,64.35,61.09,4001500
2017-10-25,63.24,65.0,62.52,64.38,61.12,3117200
2017-10-26,64.53,65.43,64.21,64.93,61.64,2264900
2017-10-27,64.94,65.7,64.75,65.68,62.36,2460400
2017-10-30,65.37,65.42,64.24,64.57,61.3,2891500
2017-10-31,64.82,64.95,64.2,64.47,61.21,2679300
2017-11-01,64.6,64.86,64.19,64.2,60.95,1848700
2017-11-02,64.04,64.41,63.76,64.07,60.83,1775000
2017-11-03,63.88,65.1,63.78,64.9,61.62,1629300
2017-11-06,65.1,65.17,64.32,64.36,61.1,2178900
