Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,40.64,40.65,40.02,40.08,33.17,2612915
2017-05-25,40.51,41.1,40.11,40.64,33.63,3295615
2017-05-26,40.71,41.02,40.11,40.83,33.79,2669075
2017-05-30,40.82,41.46,40.58,41.42,34.28,4517895
2017-05-31,40.92,41.76,40.48,41.71,34.93,6292124
2017-06-01,41.9,43.05,41.79,42.71,35.76,5402474
2017-06-02,42.63,42.79,41.9,42.4,35.5,3674137
2017-06-05,42.29,42.31,41.68,41.93,35.11,3335942
2017-06-06,41.65,41.79,40.32,40.67,34.05,4723113
2017-06-07,40.7,41.42,40.56,41.37,34.64,2863160
2017-06-08,41.37,41.84,40.67,40.79,34.15,2702969
2017-06-09,41.02,42.55,40.74,42.28,35.4,3174142
2017-06-12,42.34,44.65,42.34,43.5,36.42,5824909
2017-06-13,43.53,43.71,42.78,43.34,36.29,1799340
2017-06-14,43.34,43.34,42.08,42.72,35.77,3025949
2017-06-15,42.51,42.8,41.41,42.09,35.24,3500957
2017-06-16,41.94,42.22,40.62,41.68,34.9,4742411
2017-06-19,41.89,41.95,40.59,41.93,35.11,2929340
2017-06-20,41.93,42.39,40.94,42.38,35.48,4425244
2017-06-21,42.31,42.61,41.35,41.62,34.84,2772241
2017-06-22,41.62,43.31,41.41,42.72,35.77,3077409
2017-06-23,42.63,43.27,42.37,43.22,36.19,3671663
2017-06-26,43.23,43.81,43.2,43.42,36.35,1918092
2017-06-27,43.44,44.47,43.44,43.99,36.83,3253557
2017-06-28,44.06,44.75,43.79,43.86,36.73,2690475
2017-06-29,44.17,44.61,43.3,43.81,36.68,2889385
2017-06-30,44.03,44.21,43.4,43.57,36.48,4264681
2017-07-03,43.94,45.03,43.9,44.92,37.61,1537467
2017-07-05,44.93,45.25,43.32,43.74,36.63,4602011
2017-07-06,40.09,40.37,37.35,37.58,31.47,17708768
2017-07-07,37.76,38.25,36.31,36.47,30.53,12550973
2017-07-10,36.39,36.49,35.44,35.69,29.88,9015256
2017-07-11,35.69,35.84,35.04,35.4,29.64,5859793
2017-07-12,35.76,35.81,35.13,35.71,29.9,4642956
2017-07-13,35.97,36.83,35.91,36.69,30.72,5315884
2017-07-14,36.78,37.11,36.66,36.82,30.83,3058730
2017-07-17,36.9,37.44,36.72,36.77,30.78,2623182
2017-07-18,36.69,36.77,35.87,36.1,30.22,3338416
2017-07-19,35.58,36.18,35.39,36.04,30.17,3215705
2017-07-20,36.11,36.56,35.8,36.42,30.49,2128011
2017-07-21,36.32,36.51,35.94,36.33,30.42,2782508
2017-07-24,36.06,36.18,35.68,35.78,29.96,2412274
2017-07-25,35.95,37.23,35.78,36.73,30.75,3711742
