Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,51.51,51.83,50.29,50.42,44.18,7871200
2017-05-25,57.45,61.95,56.3,61.25,53.68,33404100
2017-05-26,60.41,60.88,58.88,58.97,51.68,14895700
2017-05-30,58.8,59.82,58.7,59.28,51.95,5326200
2017-05-31,59.32,59.44,58.71,59.39,52.05,5726700
2017-06-01,59.36,60.34,59.17,60.3,52.84,3448800
2017-06-02,60.3,60.35,59.23,59.67,52.29,4695700
2017-06-05,59.82,59.87,59.18,59.52,52.16,3514100
2017-06-06,59.5,59.57,58.42,58.53,51.29,4255100
2017-06-07,58.82,59.61,58.69,59.38,52.04,4086900
2017-06-08,59.38,59.96,58.97,59.11,51.8,3208600
2017-06-09,59.02,59.34,57.81,58.13,50.94,5689900
2017-06-12,57.9,58.03,57.12,57.12,50.06,7552500
2017-06-13,56.76,58.12,56.7,57.85,51.0,3965500
2017-06-14,57.48,57.82,56.61,57.48,50.67,4202200
2017-06-15,56.73,57.0,55.73,56.55,49.85,4095200
2017-06-16,56.09,56.46,55.17,55.65,49.06,6589500
2017-06-19,56.03,56.1,55.38,55.79,49.18,3148600
2017-06-20,55.88,56.02,54.85,54.93,48.43,2352800
2017-06-21,55.11,55.48,54.77,55.17,48.64,2029500
2017-06-22,55.13,55.67,54.65,55.22,48.68,2178400
2017-06-23,54.99,55.46,54.83,55.18,48.65,4088400
2017-06-26,55.67,56.54,55.62,56.29,49.62,4117000
2017-06-27,56.38,57.12,56.08,56.18,49.53,2455200
2017-06-28,56.52,57.35,56.39,56.77,50.05,2434700
2017-06-29,56.86,57.33,56.36,57.26,50.48,3980300
2017-06-30,57.6,58.07,57.32,57.33,50.54,2981500
2017-07-03,57.87,59.37,57.85,59.22,52.21,2795700
2017-07-05,59.12,59.69,58.07,58.15,51.26,3588500
2017-07-06,58.0,58.15,57.32,57.42,50.62,1895400
2017-07-07,57.52,58.08,57.34,57.87,51.02,2509600
2017-07-10,55.18,55.51,53.1,54.23,47.81,11380200
2017-07-11,54.32,54.66,53.03,53.69,47.33,5179000
2017-07-12,54.1,54.17,53.01,53.3,46.99,3989700
2017-07-13,53.69,54.9,53.6,54.66,48.19,4392900
2017-07-14,55.03,56.47,55.0,55.26,48.72,3585900
2017-07-17,55.13,56.34,55.07,56.0,49.37,2895400
2017-07-18,55.99,56.53,55.69,55.79,49.18,2285400
2017-07-19,56.13,56.51,55.97,56.17,49.52,2094700
2017-07-20,56.04,56.18,52.97,53.96,47.57,8002000
2017-07-21,53.24,54.5,53.16,54.14,47.73,4666500
2017-07-24,54.0,55.27,54.0,54.8,48.31,3322800
2017-07-25,55.25,55.92,54.97,55.32,48.77,3468300
2017-07-26,55.45,55.87,55.02,55.57,48.99,2128500
2017-07-27,55.4,57.14,55.23,57.05,50.29,3249300
2017-07-28,57.16,57.79,57.05,57.64,50.81,2519800
2017-07-31,57.68,58.78,57.68,58.34,51.43,3036800
2017-08-01,58.6,59.6,58.55,59.48,52.44,4210300
2017-08-02,59.51,60.1,58.26,59.38,52.35,3763000
2017-08-03,59.41,60.51,59.31,59.69,52.62,2213400
2017-08-04,59.88,60.46,59.79,60.28,53.14,2006600
2017-08-07,60.49,61.78,60.35,61.76,54.45,3529100
2017-08-08,61.82,62.36,61.38,61.48,54.2,2467300
2017-08-09,61.21,61.89,60.71,61.07,53.84,2573100
2017-08-10,60.7,60.7,59.76,59.78,52.7,2760200
2017-08-11,59.77,60.55,59.77,60.07,52.96,2186200
2017-08-14,60.58,60.89,60.31,60.71,53.52,2284100
2017-08-15,60.57,60.65,58.93,58.97,51.99,3282500
