Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,41.57,41.65,40.85,41.35,31.83,3629800
2017-05-25,41.7,41.94,41.43,41.7,32.1,2258900
2017-05-26,41.53,41.86,41.5,41.7,32.1,2092900
2017-05-30,41.54,41.74,41.41,41.61,32.03,2426300
2017-05-31,41.7,41.79,41.2,41.79,32.17,2892600
2017-06-01,42.0,42.9,41.7,42.75,32.91,2167500
2017-06-02,42.52,42.92,42.34,42.76,32.92,2954700
2017-06-05,42.78,43.1,42.68,42.81,32.95,1998900
2017-06-06,42.46,42.76,42.37,42.55,32.75,1561100
2017-06-07,42.73,42.76,42.33,42.51,32.72,1754700
2017-06-08,42.51,43.14,42.43,42.9,33.02,2187300
2017-06-09,43.04,43.76,43.04,43.68,33.62,2005400
2017-06-12,43.71,44.09,43.61,43.9,33.79,2431900
2017-06-13,44.0,44.31,43.96,44.14,33.98,2162000
2017-06-14,43.99,44.24,43.72,44.2,34.02,1852500
2017-06-15,43.75,44.7,43.63,44.5,34.26,2986000
2017-06-16,44.46,44.46,43.96,44.13,33.97,2976200
2017-06-19,44.34,45.21,44.28,44.84,34.52,2098700
2017-06-20,44.62,44.82,44.5,44.51,34.26,1789700
2017-06-21,44.76,44.76,44.11,44.26,34.07,1891900
2017-06-22,44.11,44.7,43.99,44.34,34.13,1641700
2017-06-23,44.48,44.5,43.83,43.98,33.86,3415200
2017-06-26,44.23,44.41,43.88,44.24,34.06,2183300
2017-06-27,44.41,44.71,44.29,44.46,34.22,1462200
2017-06-28,44.69,45.07,44.62,44.87,34.7,1844900
2017-06-29,45.36,45.6,44.28,44.55,34.45,1250300
2017-06-30,44.95,45.0,44.52,44.79,34.63,1544200
2017-07-03,45.12,45.43,45.01,45.07,34.85,1038200
2017-07-05,45.26,45.37,44.85,45.24,34.98,1290000
2017-07-06,45.07,45.51,44.89,44.92,34.73,1648300
2017-07-07,45.14,45.65,45.01,45.42,35.12,1312000
2017-07-10,45.19,45.79,45.19,45.54,35.21,1627800
2017-07-11,45.57,45.59,44.95,45.4,35.11,1526600
2017-07-12,45.53,46.39,45.44,45.98,35.55,3117200
2017-07-13,46.11,46.51,46.04,46.32,35.82,1654600
2017-07-14,46.1,46.61,46.04,46.27,35.78,2124200
2017-07-17,46.13,46.28,45.98,46.15,35.69,1754300
2017-07-18,45.94,46.3,45.89,46.24,35.76,1013400
2017-07-19,46.41,46.6,46.28,46.57,36.01,1093000
2017-07-20,46.6,47.05,46.52,46.81,36.2,2493300
2017-07-21,46.74,46.96,46.6,46.67,36.09,1072100
2017-07-24,46.26,46.73,46.26,46.66,36.08,1032600
2017-07-25,47.13,47.58,46.97,47.28,36.56,1365500
2017-07-26,47.31,47.65,47.12,47.22,36.51,2537400
2017-07-27,47.32,47.45,45.45,45.9,35.49,2767700
2017-07-28,45.77,45.83,44.3,44.69,34.56,2309800
2017-07-31,44.72,44.96,44.4,44.78,34.63,2966900
2017-08-01,45.0,45.08,44.54,44.72,34.58,2059400
2017-08-02,44.63,44.72,43.54,43.94,33.98,3146700
2017-08-03,43.92,44.05,43.62,43.83,33.89,1272700
2017-08-04,44.12,44.12,43.52,43.8,33.87,1693500
2017-08-07,43.82,43.9,43.5,43.59,33.71,1581700
2017-08-08,43.54,43.94,43.54,43.65,33.75,2163400
2017-08-09,43.28,43.71,43.28,43.59,33.71,1499700
2017-08-10,43.33,43.55,42.61,42.63,32.96,1940900
2017-08-11,42.66,43.1,42.63,42.75,33.06,1383700
2017-08-14,43.07,43.28,42.91,43.02,33.27,1250200
2017-08-15,43.1,43.28,42.67,42.89,33.17,1360700
2017-08-16,43.05,43.39,42.78,42.83,33.12,1223200
2017-08-17,42.7,42.91,42.06,42.06,32.52,1826600
2017-08-18,41.99,42.23,41.83,41.83,32.35,1796700
2017-08-21,41.76,41.94,41.62,41.77,32.3,1372400
2017-08-22,41.9,42.6,41.9,42.51,32.87,2398100
2017-08-23,42.26,42.78,42.21,42.35,32.75,1740800
2017-08-24,42.47,42.53,42.23,42.39,32.78,2014900
2017-08-25,42.63,42.83,42.56,42.67,33.0,2055200
2017-08-28,42.84,42.9,42.5,42.6,32.94,1480600
2017-08-29,42.12,42.48,41.93,42.4,32.79,965100
2017-08-30,42.45,42.69,42.33,42.61,32.95,1083800
