Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,219.15,220.38,218.23,218.95,218.95,109300
2017-05-25,219.33,221.6,218.5,221.41,221.41,92200
2017-05-26,218.71,221.68,217.95,220.98,220.98,89100
2017-05-30,220.62,222.14,219.83,221.71,221.71,82400
2017-05-31,221.73,223.65,221.73,223.48,223.48,108200
2017-06-01,224.5,225.41,222.5,225.05,225.05,82600
2017-06-02,224.9,229.97,224.03,228.35,228.35,102200
2017-06-05,228.0,229.27,227.02,227.58,227.58,93000
2017-06-06,226.82,228.05,225.31,226.35,226.35,102100
2017-06-07,226.42,228.98,225.55,228.78,228.78,80000
2017-06-08,228.48,230.31,226.53,229.26,229.26,152700
2017-06-09,229.43,230.4,225.16,227.31,227.31,244000
2017-06-12,227.15,227.15,221.73,221.73,221.73,193600
2017-06-13,222.11,224.28,221.63,222.63,222.63,167100
2017-06-14,223.79,224.5,219.37,220.61,220.61,172000
2017-06-15,219.26,220.85,218.16,220.37,220.37,62800
2017-06-16,220.71,221.63,219.68,220.61,220.61,304300
2017-06-19,220.8,225.68,219.98,225.03,225.03,210100
2017-06-20,224.64,226.91,221.03,223.67,223.67,72700
2017-06-21,224.7,226.98,224.14,226.11,226.11,109900
2017-06-22,226.22,226.62,222.61,223.35,223.35,131000
2017-06-23,223.89,224.23,221.87,222.5,222.5,175400
2017-06-26,222.63,223.19,220.98,221.44,221.44,70100
2017-06-27,220.49,221.34,218.1,218.23,218.23,79400
2017-06-28,224.0,226.99,222.2,226.41,226.41,367000
2017-06-29,227.44,228.26,222.6,224.16,224.16,141800
2017-06-30,225.86,226.98,223.61,226.31,226.31,138200
2017-07-03,226.75,228.24,225.89,227.18,227.18,54200
2017-07-05,227.03,233.51,227.03,231.69,231.69,184400
2017-07-06,230.62,230.87,225.49,225.49,225.49,176600
2017-07-07,225.81,230.0,225.81,229.0,229.0,65200
2017-07-10,228.87,229.74,225.33,225.59,225.59,148800
2017-07-11,225.77,227.58,224.72,225.79,225.79,61600
2017-07-12,227.28,227.9,225.82,226.94,226.94,118000
2017-07-13,229.25,231.72,226.09,231.65,231.65,153600
2017-07-14,231.2,232.07,230.06,231.37,231.37,70100
2017-07-17,231.13,232.7,231.13,232.01,232.01,62200
2017-07-18,231.22,233.76,230.77,233.53,233.53,61200
2017-07-19,234.01,236.09,232.73,236.0,236.0,187900
2017-07-20,237.03,238.0,233.6,233.84,233.84,112100
2017-07-21,233.6,234.58,231.17,231.59,231.59,114400
2017-07-24,230.79,235.47,230.54,235.14,235.14,128800
2017-07-25,235.25,236.75,233.88,235.42,235.42,280100
2017-07-26,236.32,239.91,232.64,238.95,238.95,165400
2017-07-27,239.56,239.6,234.96,237.72,237.72,177600
2017-07-28,237.59,239.38,234.36,236.36,236.36,104600
2017-07-31,236.65,236.65,234.58,235.63,235.63,71200
2017-08-01,236.38,238.11,234.37,237.71,237.71,94100
2017-08-02,237.79,239.67,235.58,238.6,238.6,87200
2017-08-03,238.22,242.79,234.57,242.28,242.28,111200
2017-08-04,220.0,229.18,215.0,227.31,227.31,608300
2017-08-07,226.86,226.86,223.6,223.8,223.8,284300
2017-08-08,223.55,223.55,220.66,220.99,220.99,169500
2017-08-09,220.44,221.83,216.74,218.94,218.94,181100
2017-08-10,217.76,219.48,215.0,215.0,215.0,199600
2017-08-11,215.0,218.34,213.42,215.89,215.89,232900
2017-08-14,218.99,223.77,217.68,220.0,220.0,284300
2017-08-15,219.67,219.67,215.29,216.28,216.28,154600
2017-08-16,216.82,217.79,214.8,217.03,217.03,107700
2017-08-17,216.34,217.39,212.26,212.4,212.4,175400
2017-08-18,211.9,215.17,208.95,212.43,212.43,210800
2017-08-21,212.21,213.44,210.57,212.27,212.27,200500
2017-08-22,212.78,220.84,212.78,220.36,220.36,182700
2017-08-23,219.42,221.0,216.38,217.77,217.77,144100
2017-08-24,218.04,218.28,216.12,216.59,216.59,76100
2017-08-25,217.33,217.76,215.29,215.84,215.84,108800
2017-08-28,216.31,218.08,215.23,216.93,216.93,98500
2017-08-29,215.58,217.42,214.69,216.76,216.76,90700
2017-08-30,216.56,218.86,216.56,217.84,217.84,101700
2017-08-31,218.48,219.19,216.5,217.82,217.82,146600
2017-09-01,218.26,219.76,216.4,219.03,219.03,150000
2017-09-05,218.45,219.46,215.57,215.98,215.98,160300
2017-09-06,216.38,217.79,214.0,216.68,216.68,100800
2017-09-07,216.86,217.13,215.44,215.44,215.44,120100
2017-09-08,212.89,220.36,212.02,218.42,218.42,217600
2017-09-11,218.4,220.53,218.32,218.86,218.86,227100
2017-09-12,217.26,219.39,216.96,218.04,218.04,149500
2017-09-13,217.01,221.79,216.53,220.47,220.47,266400
2017-09-14,220.15,225.87,219.74,224.37,224.37,315600
2017-09-15,224.37,227.98,224.02,227.91,227.91,424400
2017-09-18,228.47,231.71,227.19,229.59,229.59,184400
2017-09-19,229.77,230.7,229.1,230.35,230.35,162500
2017-09-20,230.84,233.97,229.93,233.15,233.15,207700
2017-09-21,232.64,232.64,229.83,230.89,230.89,205400
2017-09-22,231.22,231.76,227.32,228.68,228.68,180100
2017-09-25,228.6,228.78,224.7,225.37,225.37,139000
2017-09-26,226.05,226.05,222.06,223.0,223.0,184100
