Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,47.18,47.2,46.72,46.96,41.72,3306900
2017-05-25,47.14,47.52,47.04,47.38,42.1,4328100
2017-05-26,47.16,47.59,47.1,47.41,42.12,3552500
2017-05-30,47.22,47.28,46.84,47.1,41.85,5535800
2017-05-31,47.1,47.28,46.6,47.12,41.86,7474900
2017-06-01,47.21,47.46,46.91,47.42,42.13,5793900
2017-06-02,47.11,47.7,47.07,47.51,42.21,5914100
2017-06-05,47.6,47.96,47.5,47.54,42.24,4560400
2017-06-06,47.13,47.36,46.77,47.23,41.96,7250800
2017-06-07,47.32,48.0,47.21,47.9,42.56,5634300
2017-06-08,47.9,48.69,47.88,48.39,42.99,5542300
2017-06-09,48.67,49.46,48.5,49.4,43.89,5112700
2017-06-12,49.26,49.66,49.1,49.1,43.62,3779400
2017-06-13,49.35,49.75,49.26,49.57,44.04,4104100
2017-06-14,49.13,49.85,49.0,49.77,44.22,3556500
2017-06-15,49.5,49.92,49.45,49.78,44.23,3288800
2017-06-16,49.82,49.94,49.63,49.89,44.33,5546200
2017-06-19,50.0,50.39,49.92,50.28,44.67,3335900
2017-06-20,50.14,50.32,49.86,49.86,44.3,3855400
2017-06-21,50.0,50.0,49.54,49.59,44.06,3285700
2017-06-22,49.5,49.74,49.29,49.55,44.02,2636500
2017-06-23,49.71,49.71,49.01,49.17,43.69,5800700
2017-06-26,49.35,49.64,49.18,49.55,44.02,3301600
2017-06-27,49.83,50.01,49.63,49.68,44.14,3654000
2017-06-28,49.99,50.77,49.96,50.6,44.96,4606700
2017-06-29,51.54,51.59,50.55,51.01,45.32,5053300
2017-06-30,51.43,51.43,50.84,51.02,45.33,3461700
2017-07-03,51.31,52.07,51.26,51.83,46.05,2584000
2017-07-05,52.03,52.34,51.62,52.27,46.44,3957700
2017-07-06,52.2,52.23,51.2,51.23,45.52,5161200
2017-07-07,51.42,51.85,51.23,51.75,45.98,3130400
2017-07-10,51.67,52.08,51.61,51.88,46.09,2310500
2017-07-11,51.88,51.95,51.45,51.47,45.73,3142000
2017-07-12,51.21,51.46,51.14,51.45,45.71,3053700
2017-07-13,51.55,52.08,51.43,52.06,46.25,2784800
2017-07-14,51.69,52.5,51.6,52.36,46.52,3938400
2017-07-17,52.88,53.54,52.39,53.35,47.4,6866600
2017-07-18,52.91,53.54,52.82,53.53,47.56,6323000
2017-07-19,53.3,53.62,52.62,53.06,47.14,9438500
2017-07-20,53.56,54.59,53.26,53.91,47.9,7372900
2017-07-21,53.75,54.03,53.22,53.36,47.41,5666000
2017-07-24,53.35,53.59,53.29,53.47,47.51,3947200
2017-07-25,54.19,54.41,53.67,53.73,47.74,3639100
2017-07-26,53.73,54.07,53.24,53.39,47.44,3498300
2017-07-27,53.38,53.47,52.39,52.86,46.96,3618100
2017-07-28,52.72,52.96,52.35,52.66,47.0,2255200
2017-07-31,52.9,53.18,52.86,53.03,47.33,3611800
2017-08-01,53.35,53.83,53.16,53.71,47.94,5325200
2017-08-02,53.62,53.93,53.56,53.91,48.12,4387800
2017-08-03,53.82,53.95,53.67,53.82,48.04,2849100
2017-08-04,53.94,54.29,53.87,54.02,48.21,3150900
2017-08-07,54.02,54.03,53.6,53.71,47.94,3025900
2017-08-08,53.61,54.09,53.57,53.79,48.01,3007900
2017-08-09,53.58,54.1,53.48,54.04,48.23,4394200
2017-08-10,53.53,53.7,51.91,51.95,46.37,8383100
2017-08-11,52.05,52.68,52.04,52.19,46.58,5932600
2017-08-14,52.7,53.14,52.66,52.83,47.15,5114000
2017-08-15,53.3,53.54,52.96,53.15,47.44,3827600
2017-08-16,53.38,53.43,52.68,52.88,47.2,4273400
