Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,1829.13,1850.0,1829.13,1848.74,1848.74,408500
2017-05-25,1850.0,1870.39,1848.4,1860.43,1860.43,532300
2017-05-26,1861.55,1869.48,1852.64,1863.9,1863.9,419600
2017-05-30,1857.67,1863.65,1845.6,1857.45,1857.45,484100
2017-05-31,1862.38,1877.09,1850.0,1877.09,1877.09,560900
2017-06-01,1878.25,1894.77,1870.43,1890.82,1890.82,433800
2017-06-02,1899.04,1902.0,1881.02,1895.96,1895.96,463300
2017-06-05,1889.71,1900.25,1888.89,1891.58,1891.58,327600
2017-06-06,1888.94,1908.92,1886.9,1889.86,1889.86,459600
2017-06-07,1890.2,1894.84,1878.48,1890.37,1890.37,380100
2017-06-08,1894.0,1899.13,1884.73,1892.38,1892.38,339000
2017-06-09,1890.0,1895.31,1826.54,1842.12,1842.12,667000
2017-06-12,1835.0,1839.47,1781.11,1812.99,1812.99,1001800
2017-06-13,1825.73,1854.77,1822.62,1843.52,1843.52,512000
2017-06-14,1845.0,1855.56,1815.01,1831.61,1831.61,551800
2017-06-15,1814.0,1819.59,1791.61,1809.2,1809.2,625000
2017-06-16,1816.08,1816.08,1797.36,1802.61,1802.61,523800
2017-06-19,1815.78,1855.9,1812.02,1851.6,1851.6,562400
2017-06-20,1850.0,1858.82,1844.22,1850.64,1850.64,378800
2017-06-21,1854.59,1870.0,1848.04,1867.78,1867.78,305600
2017-06-22,1870.8,1874.89,1861.0,1862.93,1862.93,278800
2017-06-23,1859.55,1876.62,1855.22,1874.28,1874.28,359900
2017-06-26,1880.0,1896.05,1867.64,1876.34,1876.34,406500
2017-06-27,1871.29,1882.05,1852.61,1858.25,1858.25,339400
2017-06-28,1864.66,1898.68,1861.75,1890.21,1890.21,499900
2017-06-29,1881.12,1889.69,1850.5,1876.99,1876.99,516900
2017-06-30,1884.05,1887.01,1870.04,1870.52,1870.52,461200
2017-07-03,1877.67,1884.32,1836.08,1843.13,1843.13,335000
2017-07-05,1845.5,1869.28,1841.37,1866.01,1866.01,374900
2017-07-06,1851.15,1877.3,1845.01,1872.3,1872.3,422600
2017-07-07,1873.86,1921.4,1873.86,1918.5,1918.5,631000
2017-07-10,1920.0,1936.22,1911.46,1921.82,1921.82,360800
2017-07-11,1920.89,1933.55,1903.9,1929.15,1929.15,318400
2017-07-12,1939.22,1951.4,1937.0,1946.18,1946.18,344200
2017-07-13,1950.0,1950.0,1934.73,1940.7,1940.7,291100
2017-07-14,1949.47,1955.62,1942.88,1950.87,1950.87,302300
