Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,57.81,58.15,56.84,56.93,34.28,2024300
2017-05-25,56.8,57.08,54.76,54.84,33.02,4413700
2017-05-26,54.9,55.64,54.75,55.45,33.39,2353600
2017-05-30,55.17,55.65,54.62,55.07,33.16,2319000
2017-05-31,54.35,55.42,54.21,55.15,33.21,3906100
2017-06-01,55.15,55.53,54.32,55.53,33.44,2748800
2017-06-02,55.01,55.14,54.25,54.95,33.09,2309900
2017-06-05,54.86,55.22,54.69,54.73,32.96,1577000
2017-06-06,54.59,55.71,54.33,55.6,33.48,3228800
2017-06-07,55.49,55.62,53.42,54.28,32.69,4172000
2017-06-08,54.28,54.7,53.85,54.34,32.72,2626400
2017-06-09,54.42,55.79,54.28,55.53,33.44,3154700
2017-06-12,56.17,56.43,55.64,56.16,33.82,3176700
2017-06-13,56.03,57.07,55.6,57.07,34.37,2917300
2017-06-14,56.77,56.78,55.33,56.11,33.79,3816600
2017-06-15,55.65,56.62,55.65,56.32,33.92,2633300
2017-06-16,56.58,57.53,55.86,57.29,34.5,3687700
2017-06-19,57.25,57.25,56.37,56.55,34.05,1794700
2017-06-20,55.76,56.17,55.29,55.47,33.4,4323000
2017-06-21,55.36,55.47,54.41,54.85,33.03,3700100
2017-06-22,54.78,55.07,54.15,54.52,32.83,6118800
2017-06-23,54.39,54.76,53.57,53.99,32.51,6400100
2017-06-26,54.23,54.43,53.68,53.7,32.34,1978800
2017-06-27,53.78,54.06,53.32,53.37,32.14,2195700
2017-06-28,53.58,54.07,53.36,53.5,32.22,1995400
2017-06-29,53.68,54.42,53.21,53.52,32.23,3293700
2017-06-30,54.06,54.92,53.73,54.51,32.83,5106100
2017-07-03,55.0,57.73,54.57,57.68,34.73,4124500
2017-07-05,40.8,40.82,37.25,37.25,32.2,5883300
2017-07-06,38.09,38.09,36.52,37.01,31.99,5133800
2017-07-07,38.14,38.59,36.12,37.91,32.77,6086000
2017-07-10,37.63,38.17,36.8,37.23,32.18,4721500
2017-07-11,37.31,37.78,36.89,37.35,32.29,2796200
2017-07-12,37.77,37.99,37.25,37.37,32.31,3268800
2017-07-13,37.45,37.65,36.69,36.84,31.85,4086800
2017-07-14,37.0,37.49,36.91,37.35,32.29,2874700
2017-07-17,37.71,38.37,37.64,37.64,32.54,3926100
2017-07-18,37.52,37.78,36.73,36.75,31.77,3279000
2017-07-19,36.59,37.09,36.36,36.54,31.59,4235200
2017-07-20,36.59,36.9,34.86,34.97,30.23,6623500
2017-07-21,34.73,34.88,33.44,34.12,29.5,7851700
2017-07-24,34.26,34.46,33.88,34.36,29.7,2850900
2017-07-25,34.81,35.28,34.77,35.25,30.47,2979800
2017-07-26,35.58,36.18,35.22,36.05,31.16,3826000
2017-07-27,35.97,37.04,35.7,36.16,31.26,4730100
2017-07-28,34.85,37.5,34.23,37.1,32.07,4263800
2017-07-31,37.14,37.17,36.43,36.89,31.89,3318800
2017-08-01,36.82,36.83,35.41,35.7,30.86,2955200
2017-08-02,35.36,35.55,35.03,35.35,30.56,3405700
2017-08-03,35.26,35.51,35.07,35.31,30.52,3200200
2017-08-04,35.42,35.54,35.06,35.23,30.46,3115500
2017-08-07,35.1,35.27,34.4,34.56,29.88,2058600
2017-08-08,34.75,35.47,34.64,34.94,30.2,2155700
2017-08-09,34.79,35.29,34.76,35.02,30.42,2267000
2017-08-10,35.01,35.29,34.57,34.7,30.14,1984500
2017-08-11,34.51,34.89,34.28,34.29,29.79,1193200
2017-08-14,34.51,34.54,34.14,34.26,29.76,1933500
2017-08-15,34.03,34.42,34.03,34.31,29.81,2158600
2017-08-16,34.37,34.51,33.76,33.83,29.39,1383400
2017-08-17,33.79,34.09,32.75,32.8,28.49,2230700
2017-08-18,32.74,33.13,32.43,32.77,28.47,3248500
2017-08-21,32.77,32.99,32.46,32.54,28.27,2354700
2017-08-22,32.62,32.95,32.43,32.69,28.4,1874800
2017-08-23,32.51,33.24,32.51,33.04,28.7,1580000
2017-08-24,33.09,33.09,32.54,32.82,28.51,1787200
2017-08-25,32.88,33.41,32.87,33.26,28.89,2037100
2017-08-28,33.27,33.4,32.82,33.25,28.88,2518100
2017-08-29,33.1,33.81,33.1,33.75,29.32,2253000
2017-08-30,33.6,33.73,33.24,33.51,29.11,1637300
2017-08-31,33.99,34.35,33.46,33.9,29.45,3648400
2017-09-01,33.97,34.44,33.73,34.3,29.8,1724400
2017-09-05,34.83,35.45,34.49,34.97,30.38,4386800
2017-09-06,35.39,35.74,34.72,34.74,30.18,3353300
2017-09-07,34.77,35.25,34.29,34.75,30.19,2086000
2017-09-08,34.77,34.98,34.06,34.42,29.9,3019000
2017-09-11,34.52,35.6,34.37,35.48,30.82,2849500
2017-09-12,35.38,36.4,35.24,35.96,31.24,3548600
2017-09-13,35.94,36.73,35.9,36.09,31.35,4303400
2017-09-14,36.35,37.14,36.2,36.38,31.6,4785700
2017-09-15,36.37,36.91,36.37,36.9,32.06,8293100
