Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,40.08,40.38,40.08,40.32,38.62,2238235
2017-05-25,40.52,40.79,40.38,40.72,39.0,1447669
2017-05-26,40.64,40.73,40.52,40.69,38.97,1557986
2017-05-30,40.48,40.9,40.22,40.83,39.2,2411694
2017-05-31,40.8,41.05,40.7,40.9,39.27,2616054
2017-06-01,40.97,41.53,40.81,41.42,39.77,1467248
2017-06-02,41.42,41.82,41.29,41.36,39.71,2103728
2017-06-05,41.4,41.55,41.11,41.2,39.56,3606879
2017-06-06,41.08,41.43,40.98,40.99,39.36,1744856
2017-06-07,41.12,41.12,40.69,40.73,39.11,1799928
2017-06-08,40.65,40.81,40.15,40.51,38.9,2268990
2017-06-09,40.51,40.59,40.14,40.28,38.68,1918822
2017-06-12,40.1,40.46,40.06,40.43,38.82,2200381
2017-06-13,40.46,41.24,40.41,41.21,39.57,2195188
2017-06-14,41.25,41.54,41.19,41.28,39.64,2959946
2017-06-15,40.84,41.17,40.64,41.15,39.51,1517029
2017-06-16,41.34,41.5,40.88,41.16,39.52,2697560
2017-06-19,41.32,41.99,41.1,41.89,40.22,2167883
2017-06-20,41.76,42.1,41.56,41.79,40.12,2185964
2017-06-21,41.76,42.22,41.6,41.78,40.12,1799117
2017-06-22,41.78,41.98,41.67,41.67,40.01,2212397
2017-06-23,41.74,42.3,41.52,42.07,40.39,5109925
2017-06-26,42.09,42.46,42.05,42.29,40.6,1865079
2017-06-27,42.28,42.42,41.9,42.09,40.41,2346682
2017-06-28,42.21,42.73,42.15,42.52,40.83,2543633
2017-06-29,42.55,42.59,41.81,42.03,40.36,1632154
2017-06-30,42.1,42.41,42.1,42.21,40.53,1695457
2017-07-03,42.44,42.76,42.37,42.47,40.78,931003
2017-07-05,42.51,42.87,42.4,42.58,40.88,2580489
2017-07-06,42.43,42.59,41.98,42.02,40.35,2025909
2017-07-07,42.13,42.38,42.01,42.3,40.61,1826210
2017-07-10,42.12,42.38,42.03,42.16,40.48,2096804
2017-07-11,42.2,42.2,41.58,41.66,40.0,3314342
2017-07-12,41.84,42.07,41.65,41.96,40.29,1930691
2017-07-13,42.03,42.09,41.65,41.72,40.06,1303081
2017-07-14,41.87,42.3,41.87,42.1,40.42,2168719
2017-07-17,42.07,42.44,41.93,42.43,40.74,1802377
2017-07-18,42.38,42.48,42.26,42.42,40.73,1287825
2017-07-19,42.5,42.62,42.26,42.53,40.84,1223430
2017-07-20,42.5,42.65,42.19,42.42,40.73,1435907
2017-07-21,42.33,42.96,42.27,42.92,41.21,1477708
2017-07-24,42.86,42.98,42.58,42.68,40.98,1372665
2017-07-25,42.95,43.06,42.44,42.51,40.82,1690309
2017-07-26,42.55,42.67,42.34,42.41,40.72,1335037
2017-07-27,42.43,42.45,42.01,42.29,40.6,1692838
2017-07-28,42.3,42.37,41.82,41.89,40.22,1659901
2017-07-31,42.0,42.02,41.5,41.9,40.23,2683184
2017-08-01,42.08,42.24,41.91,41.99,40.32,2582500
2017-08-02,41.85,42.04,41.58,41.88,40.21,2376979
2017-08-03,41.8,42.09,40.16,40.61,38.99,4254534
2017-08-04,40.57,40.81,40.13,40.56,38.94,2918937
2017-08-07,40.7,41.43,40.7,41.17,39.53,3441928
2017-08-08,41.05,41.26,40.94,41.09,39.45,3614112
2017-08-09,40.89,41.29,40.1,40.28,38.68,3598641
2017-08-10,40.22,40.45,39.99,40.05,38.45,2081476
2017-08-11,39.9,40.34,39.9,40.16,38.56,1659275
2017-08-14,40.48,40.85,40.48,40.64,39.02,1395892
2017-08-15,40.5,40.6,40.21,40.32,38.71,1938911
2017-08-16,40.54,40.88,40.51,40.82,39.19,1226983
2017-08-17,40.6,40.8,40.19,40.27,38.67,3943525
2017-08-18,40.19,40.31,39.91,40.12,38.52,2245830
2017-08-21,40.07,40.16,39.47,39.59,38.01,2373907
2017-08-22,39.62,39.88,39.62,39.76,38.18,1350518
2017-08-23,39.58,39.69,39.27,39.39,37.82,1783524
2017-08-24,39.53,39.55,38.94,39.21,37.65,1653095
2017-08-25,39.39,39.4,39.04,39.3,37.73,1598992
2017-08-28,39.33,39.36,39.02,39.08,37.52,1666361
2017-08-29,38.95,39.08,38.79,39.06,37.5,1843668
2017-08-30,38.91,39.6,38.89,39.51,38.03,1640681
2017-08-31,39.72,40.44,39.72,39.99,38.5,2097198
2017-09-01,40.21,40.34,40.03,40.15,38.65,1535429
2017-09-05,40.12,40.24,39.78,39.99,38.5,3402970
2017-09-06,40.09,40.17,39.62,40.0,38.5,2168295
2017-09-07,40.03,40.26,39.54,40.26,38.76,2244546
2017-09-08,40.25,40.36,40.08,40.28,38.77,1970140
2017-09-11,40.55,41.16,40.42,40.94,39.41,2671595
2017-09-12,40.95,41.07,40.69,40.72,39.2,1443622
2017-09-13,40.66,40.73,40.25,40.36,38.85,1648667
2017-09-14,40.27,40.55,40.1,40.41,38.9,1976327
2017-09-15,40.33,40.54,40.27,40.53,39.01,2115281
2017-09-18,40.73,40.85,40.61,40.78,39.26,1538903
2017-09-19,41.07,41.07,40.31,40.61,39.09,1560625
2017-09-20,40.66,40.94,40.61,40.78,39.26,1543872
2017-09-21,40.71,40.9,40.57,40.8,39.27,1254731
2017-09-22,40.79,41.14,40.68,41.0,39.47,1748024
2017-09-25,41.06,41.06,40.59,40.81,39.28,2465968
2017-09-26,40.91,41.04,40.74,40.97,39.44,1713490
2017-09-27,40.99,41.22,40.69,40.99,39.46,3171633
2017-09-28,40.85,41.49,40.85,41.42,39.87,1949885
2017-09-29,41.37,41.4,41.01,41.3,39.76,3090377
