Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,54.45,54.45,53.47,53.82,46.28,6460700
2017-05-25,53.89,54.58,53.69,54.39,46.77,8493100
2017-05-26,54.37,54.82,53.9,53.97,46.41,4968200
2017-05-30,53.93,54.24,53.76,53.93,46.37,7137500
2017-05-31,54.14,54.35,53.86,53.95,46.39,8140700
2017-06-01,54.0,54.53,53.88,54.53,46.89,6561600
2017-06-02,54.71,55.17,54.51,54.97,47.27,7470900
2017-06-05,53.76,54.36,52.21,52.36,45.02,18743100
2017-06-06,52.3,52.4,51.63,51.66,44.42,11724700
2017-06-07,51.86,52.58,51.56,52.57,45.2,10562700
2017-06-08,52.57,53.36,52.55,52.85,45.44,8687200
2017-06-09,52.77,54.18,52.65,53.75,46.22,7553100
2017-06-12,53.75,54.36,53.49,54.36,46.74,8766700
2017-06-13,54.19,54.32,53.9,54.19,46.6,4776800
2017-06-14,54.24,54.81,54.13,54.52,46.88,5622400
2017-06-15,54.49,54.73,54.02,54.28,46.67,5679700
2017-06-16,54.52,54.6,53.61,54.46,46.83,12535400
2017-06-19,54.46,55.37,54.32,55.22,47.48,6210600
2017-06-20,55.27,56.41,55.1,55.66,47.86,7461100
2017-06-21,55.75,56.58,55.6,56.07,48.21,8783600
2017-06-22,56.27,57.9,56.15,57.33,49.3,8289600
2017-06-23,57.27,57.36,56.24,56.64,48.7,20794800
2017-06-26,56.72,57.27,56.35,56.92,48.94,5595900
2017-06-27,56.8,56.86,55.85,55.9,48.07,5477500
2017-06-28,56.15,56.38,55.77,55.87,48.04,5126300
2017-06-29,55.91,56.13,55.49,55.82,48.0,5037800
2017-06-30,55.99,56.07,55.68,55.72,47.91,4679700
2017-07-03,56.27,56.88,56.18,56.27,48.38,6257600
2017-07-05,56.27,56.39,55.55,56.35,48.79,5887400
2017-07-06,56.1,56.21,55.2,55.28,47.86,5546100
2017-07-07,55.51,56.0,55.08,55.91,48.41,5487500
2017-07-10,56.1,56.32,55.82,55.93,48.43,4050800
2017-07-11,55.81,56.1,55.1,55.33,47.91,4630300
2017-07-12,55.64,56.24,54.85,55.04,47.66,9081000
2017-07-13,55.06,55.18,54.22,54.67,47.34,8130900
2017-07-14,54.81,55.45,54.5,55.15,47.75,6042900
2017-07-17,55.28,55.53,54.58,54.79,47.44,3719200
2017-07-18,54.77,54.82,54.42,54.74,47.4,3701400
2017-07-19,54.77,55.2,54.61,55.07,47.68,3321700
2017-07-20,55.28,55.72,55.18,55.44,48.0,3862400
2017-07-21,55.41,55.77,55.38,55.65,48.18,5009100
2017-07-24,55.65,55.94,55.15,55.6,48.14,6700900
2017-07-25,55.86,56.18,55.77,55.95,48.44,7312900
2017-07-26,55.95,56.15,55.5,55.98,48.47,8049300
2017-07-27,53.33,54.44,52.06,54.24,46.96,21645100
2017-07-28,54.24,55.59,53.94,55.27,47.86,9099600
2017-07-31,55.59,57.2,55.5,56.9,49.27,10824300
2017-08-01,57.15,57.17,55.67,56.11,48.58,11075300
2017-08-02,56.29,56.45,55.1,55.23,47.82,6294200
2017-08-03,55.1,55.88,55.08,55.5,48.06,5484400
2017-08-04,55.56,56.22,55.52,55.95,48.44,4161500
2017-08-07,56.0,56.35,55.57,56.3,48.75,5126000
2017-08-08,56.35,57.57,56.3,56.91,49.28,7887200
2017-08-09,56.79,57.56,56.51,57.4,49.7,7675600
2017-08-10,57.25,57.25,56.55,56.59,49.0,5134600
2017-08-11,56.61,57.01,56.41,56.73,49.12,4060500
2017-08-14,56.96,57.76,56.7,57.62,49.89,5654300
2017-08-15,57.66,57.99,57.5,57.87,50.11,5843300
2017-08-16,57.33,57.69,56.94,57.5,49.79,7881300
2017-08-17,57.48,57.53,56.73,56.77,49.15,4393700
2017-08-18,56.68,56.94,56.41,56.42,48.85,4809900
2017-08-21,56.42,56.92,56.25,56.64,49.04,4879400
2017-08-22,56.79,57.8,56.65,57.67,49.93,4441000
2017-08-23,57.63,58.17,57.43,57.87,50.11,4017400
2017-08-24,57.98,58.34,57.8,58.17,50.37,4471000
2017-08-25,58.29,58.67,58.18,58.37,50.54,4070300
2017-08-28,58.64,58.89,58.45,58.58,50.72,3292300
2017-08-29,58.35,59.02,58.18,58.86,50.96,3983700
2017-08-30,58.87,59.7,58.82,59.38,51.41,5327800
2017-08-31,59.63,60.75,59.61,60.48,52.37,9716900
2017-09-01,60.36,60.65,59.72,59.9,51.86,6283700
2017-09-05,59.54,60.22,59.39,59.81,51.79,4310400
2017-09-06,60.0,60.29,59.77,59.87,51.84,5389300
2017-09-07,60.5,63.47,60.49,62.84,54.41,17301900
2017-09-08,62.74,63.18,62.23,62.62,54.22,6579300
2017-09-11,62.62,63.14,62.14,62.72,54.31,6086500
2017-09-12,62.44,63.09,62.42,63.02,54.57,4780700
2017-09-13,62.88,63.08,62.23,62.48,54.1,4357000
2017-09-14,62.38,63.11,62.32,62.69,54.28,5347100
2017-09-15,62.9,63.38,62.31,62.48,54.1,10407600
2017-09-18,62.49,63.21,62.27,62.7,54.29,6975900
2017-09-19,62.7,63.13,62.59,62.93,54.49,4844300
2017-09-20,62.92,63.72,62.72,63.49,54.97,5561300
2017-09-21,63.35,63.74,63.03,63.33,54.83,5250100
2017-09-22,63.33,63.55,63.04,63.36,54.86,3667700
2017-09-25,63.33,63.69,63.06,63.19,54.71,5959000
2017-09-26,63.12,63.6,62.81,62.93,54.49,3497900
2017-09-27,62.78,63.15,62.57,62.95,54.51,4674200
2017-09-28,62.79,63.46,62.59,63.01,54.56,5842500
2017-09-29,63.16,63.75,63.06,63.74,55.19,5404300
2017-10-02,63.8,64.78,63.64,64.56,55.9,5991700
2017-10-03,64.41,64.79,64.17,64.29,55.67,5056200
2017-10-04,64.47,64.79,64.38,64.74,56.06,4583800
2017-10-05,64.22,64.34,63.73,63.8,55.58,6091800
2017-10-06,63.89,65.03,63.83,64.81,56.46,6161400
2017-10-09,64.76,64.86,64.08,64.15,55.88,3267700
2017-10-10,64.24,65.26,64.16,65.13,56.74,5008500
2017-10-11,65.13,65.5,64.93,65.11,56.72,3875600
2017-10-12,65.15,65.73,64.9,65.35,56.93,5339700
2017-10-13,65.51,66.1,65.14,65.29,56.87,6209100
2017-10-16,64.54,65.04,63.31,63.65,55.45,6692600
2017-10-17,63.63,64.37,63.41,64.18,55.91,5030800
2017-10-18,64.25,64.7,63.55,63.7,55.49,5594900
2017-10-19,63.82,64.69,63.68,64.67,56.33,4918800
2017-10-20,64.79,64.99,64.21,64.42,56.12,5227400
2017-10-23,64.62,64.69,63.69,63.75,55.53,5990200
2017-10-24,63.75,64.05,63.36,63.65,55.45,6197600
2017-10-25,63.46,64.56,63.41,64.0,55.75,6202900
2017-10-26,62.51,63.25,60.4,60.95,53.09,13116300
2017-10-27,60.98,61.69,59.79,59.94,52.21,9539900
2017-10-30,61.09,61.53,60.28,60.84,53.0,8443700
2017-10-31,60.94,61.9,60.68,61.66,53.71,8234200
2017-11-01,61.86,62.35,61.49,62.16,54.15,4713300
2017-11-02,62.15,62.87,61.73,62.23,54.21,4058200
2017-11-03,62.08,62.25,61.8,62.22,54.2,3327100
2017-11-06,62.24,62.27,61.28,61.68,53.73,4222600
2017-11-07,61.58,62.43,61.45,61.91,53.93,4047200
2017-11-08,61.63,62.82,61.63,62.58,54.51,4535400
2017-11-09,62.21,62.35,61.76,61.99,54.0,3671400
2017-11-10,61.75,61.75,60.34,60.86,53.02,5592100
2017-11-13,60.7,61.21,60.5,60.99,53.13,4222600
2017-11-14,60.96,61.65,60.67,61.25,53.36,3986900
2017-11-15,61.26,61.28,60.53,61.07,53.2,3349200
2017-11-16,61.25,61.97,61.01,61.87,53.9,4286200
2017-11-17,61.56,61.9,60.99,61.32,53.42,4147900
2017-11-20,61.17,61.22,60.15,60.8,52.96,4902700
2017-11-21,61.2,61.74,60.98,61.24,53.35,3968000
2017-11-22,61.28,61.77,61.0,61.14,53.26,3192200
2017-11-24,61.15,61.61,61.03,61.43,53.51,1985700
2017-11-27,61.53,61.84,61.34,61.61,53.67,3032600
2017-11-28,61.72,62.96,61.61,62.52,54.46,8515700
2017-11-29,62.43,63.39,61.9,62.9,54.79,5064200
2017-11-30,63.09,63.8,62.53,63.19,55.05,8050700
2017-12-01,63.16,63.62,62.44,63.24,55.09,4186200
2017-12-04,63.17,63.87,62.44,62.47,54.42,4893900
2017-12-05,62.66,63.0,61.63,62.02,54.03,4828800
2017-12-06,62.09,62.29,60.83,60.97,53.11,4758700
2017-12-07,60.96,61.89,60.96,61.84,53.87,5140500
2017-12-08,61.82,62.72,61.68,62.42,54.37,5310000
2017-12-11,62.22,63.41,62.09,63.02,54.9,4502900
2017-12-12,63.19,63.65,63.19,63.28,55.12,4832400
2017-12-13,63.14,63.97,63.0,63.47,55.29,4352400
2017-12-14,63.48,63.52,61.72,62.13,54.12,5507900
2017-12-15,62.57,62.84,61.97,62.41,54.37,8856800
2017-12-18,62.58,62.75,62.18,62.4,54.36,5608900
2017-12-19,62.64,62.76,61.52,61.56,53.63,5546000
2017-12-20,61.57,61.75,60.59,61.2,53.31,6980300
2017-12-21,61.45,61.8,61.03,61.5,53.57,6195600
2017-12-22,61.48,61.71,60.6,60.96,53.1,5477200
2017-12-26,60.98,61.55,60.96,61.26,53.36,3673500
2017-12-27,61.35,62.02,61.3,61.68,53.73,3722300
2017-12-28,61.6,61.85,61.37,61.77,53.81,2500500
2017-12-29,61.97,62.26,61.26,61.28,53.38,3953500
2018-01-02,61.4,61.51,60.84,61.31,53.41,6472700
2018-01-03,61.21,61.51,60.7,61.36,53.45,7433500
2018-01-04,61.0,61.82,60.78,61.75,54.14,6403200
2018-01-05,61.87,62.18,61.48,61.89,54.27,6113400
2018-01-08,61.78,62.2,61.21,61.91,54.28,4663700
2018-01-09,61.87,62.1,61.55,61.85,54.23,5156800
2018-01-10,61.52,62.07,61.18,62.01,54.37,5096300
2018-01-11,61.99,62.52,61.8,62.47,54.78,6591100
2018-01-12,62.75,63.22,62.52,62.81,55.07,5489200
2018-01-16,61.75,61.86,59.42,59.92,52.54,14471700
2018-01-17,60.33,62.0,60.28,61.85,54.23,10608500
2018-01-18,61.81,61.9,61.1,61.83,54.21,7904200
2018-01-19,62.1,62.42,61.56,62.28,54.61,7490300
2018-01-22,62.29,63.43,62.02,63.28,55.49,6748100
2018-01-23,62.99,63.68,62.8,63.43,55.62,6459900
2018-01-24,63.71,64.0,63.14,63.76,55.91,6430000
2018-01-25,64.0,64.26,63.2,63.52,55.7,6183200
2018-01-26,63.93,64.73,63.63,64.25,56.34,6727300
2018-01-29,64.12,64.96,64.08,64.43,56.49,6763300
2018-01-30,63.93,64.61,63.31,63.96,56.08,5848000
2018-01-31,63.96,64.03,61.94,62.6,54.89,8886900
2018-02-01,62.18,62.98,61.95,62.8,55.06,7133000
2018-02-02,62.89,64.29,62.85,63.48,55.66,11719200
2018-02-05,65.43,65.89,60.93,60.96,53.45,23181900
2018-02-06,59.83,61.21,58.44,60.9,53.4,18286300
2018-02-07,60.64,62.77,60.3,62.63,54.92,12176600
2018-02-08,62.55,64.77,62.53,62.69,54.97,14961700
2018-02-09,63.3,63.32,60.57,62.7,54.98,11158000
2018-02-12,62.95,63.59,62.3,63.16,55.38,7502900
2018-02-13,62.8,64.11,62.69,63.87,56.0,7519100
2018-02-14,63.59,65.94,63.27,65.35,57.3,10290600
2018-02-15,67.31,69.44,67.18,68.98,60.48,15684900
2018-02-16,68.86,70.05,68.52,68.96,60.47,10547400
2018-02-20,68.49,68.83,67.04,67.35,59.05,8703700
2018-02-21,67.34,67.75,66.51,66.53,58.33,7046200
2018-02-22,67.0,67.0,65.86,65.94,57.82,6528400
2018-02-23,66.17,68.03,66.17,67.95,59.58,5240800
2018-02-26,67.99,68.86,67.88,68.63,60.18,4229400
2018-02-27,68.54,68.88,67.82,67.84,59.48,4398500
2018-02-28,67.85,67.94,66.17,66.2,58.05,8363900
2018-03-01,66.1,66.52,64.83,65.69,57.6,7801300
2018-03-02,65.45,66.5,65.13,66.17,58.02,5391400
2018-03-05,65.83,67.14,65.6,66.82,58.59,6339600
2018-03-06,67.22,67.4,65.19,65.47,57.41,6543400
2018-03-07,64.9,66.26,64.7,66.1,57.96,5927600
2018-03-08,66.2,66.96,66.08,66.75,58.53,3728400
2018-03-09,66.95,68.05,66.67,67.92,59.55,6260900
2018-03-12,67.9,68.18,67.18,67.45,59.14,5031700
2018-03-13,67.81,68.22,66.27,66.68,58.47,5905800
2018-03-14,67.08,67.26,66.27,66.63,58.42,4859300
2018-03-15,66.76,66.93,66.21,66.25,58.09,3422200
2018-03-16,66.18,67.44,66.18,66.6,58.4,9506100
2018-03-19,66.62,66.98,65.18,66.07,57.93,5553700
2018-03-20,66.38,67.16,65.72,66.43,58.25,6307400
