Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,73.9,74.94,73.9,74.88,68.93,474600
2017-05-25,75.0,76.03,74.79,75.78,69.76,498500
2017-05-26,75.56,75.88,75.16,75.16,69.19,424000
2017-05-30,74.95,75.69,74.75,75.24,69.26,485400
2017-05-31,75.48,75.98,74.99,75.89,69.86,1089000
2017-06-01,76.0,77.39,75.97,77.39,71.24,657700
2017-06-02,77.43,78.0,77.27,77.65,71.48,566200
2017-06-05,77.69,77.69,76.83,76.88,70.77,470400
2017-06-06,76.57,77.01,75.69,75.85,69.82,795200
2017-06-07,76.07,76.37,75.73,76.08,70.03,419900
2017-06-08,76.0,76.13,74.63,74.74,68.8,651000
2017-06-09,74.75,75.24,73.55,74.24,68.34,692000
2017-06-12,74.1,74.5,73.57,74.5,68.58,369600
2017-06-13,74.56,75.19,74.41,75.19,69.52,277700
2017-06-14,75.25,75.67,74.67,75.16,69.5,252700
2017-06-15,74.37,75.79,74.25,75.7,69.99,306200
2017-06-16,75.49,75.79,75.13,75.36,69.68,1444600
2017-06-19,75.87,76.13,75.54,76.05,70.32,342300
2017-06-20,76.01,76.23,75.64,75.65,69.95,282100
2017-06-21,75.92,76.2,75.55,75.92,70.2,461900
2017-06-22,75.99,76.34,75.25,76.21,70.47,386200
2017-06-23,76.36,77.02,76.28,76.44,70.68,478700
2017-06-26,76.61,76.8,76.19,76.53,70.76,248000
2017-06-27,76.26,76.36,75.57,75.58,69.88,319600
2017-06-28,75.86,76.29,75.43,76.02,70.29,287900
2017-06-29,75.95,76.15,74.44,75.08,69.42,412900
2017-06-30,75.33,76.07,75.13,75.56,69.87,361300
2017-07-03,75.74,76.16,75.1,75.21,69.54,191600
2017-07-05,75.28,76.31,75.25,75.62,69.92,319400
2017-07-06,75.21,75.29,74.37,74.49,68.88,434300
2017-07-07,74.49,75.38,74.3,75.23,69.56,310300
2017-07-10,75.11,75.43,74.67,74.77,69.14,486900
2017-07-11,74.76,74.76,73.91,74.52,68.9,345000
2017-07-12,75.1,75.68,75.1,75.32,69.64,291100
2017-07-13,75.47,75.62,74.66,74.82,69.18,330100
2017-07-14,75.0,75.53,75.0,75.21,69.54,270000
2017-07-17,75.28,75.44,74.47,74.8,69.16,319600
2017-07-18,74.61,74.99,74.28,74.61,68.99,316700
2017-07-19,74.98,75.56,74.44,75.53,69.84,343700
2017-07-20,75.63,75.73,75.13,75.25,69.58,294300
2017-07-21,74.93,75.43,74.83,75.26,69.59,336200
2017-07-24,75.28,76.07,75.1,75.99,70.26,335600
2017-07-25,76.09,76.87,75.86,76.66,70.88,649600
2017-07-26,76.65,76.87,76.06,76.08,70.35,284400
2017-07-27,76.38,76.44,75.02,75.5,69.81,444600
2017-07-28,75.55,75.75,75.27,75.46,69.77,376100
2017-07-31,75.68,76.09,75.2,75.86,70.14,349200
2017-08-01,76.19,76.54,76.06,76.48,70.72,245100
2017-08-02,76.3,76.3,75.5,75.71,70.0,322000
2017-08-03,75.7,76.34,75.45,76.34,70.59,363000
2017-08-04,76.46,76.46,75.3,75.66,69.96,327900
2017-08-07,75.75,76.1,75.22,75.6,69.9,322700
2017-08-08,75.46,75.6,74.79,75.06,69.4,360700
2017-08-09,74.78,75.19,74.36,74.65,69.02,659600
2017-08-10,72.96,73.65,71.58,72.28,66.83,1124600
2017-08-11,71.84,74.37,71.84,74.27,68.67,785600
2017-08-14,75.08,75.82,74.36,75.73,70.02,443700
2017-08-15,75.81,76.36,75.56,76.08,70.35,331000
2017-08-16,76.1,77.42,75.89,77.09,71.28,428700
2017-08-17,77.09,77.64,76.41,76.46,70.7,584800
2017-08-18,76.31,76.94,75.89,76.3,70.55,614800
2017-08-21,76.2,76.84,76.06,76.4,70.64,455800
2017-08-22,76.62,76.94,76.21,76.89,71.1,442700
2017-08-23,76.65,77.37,76.27,76.96,71.16,473400
2017-08-24,77.23,77.29,76.55,76.59,70.82,493000
2017-08-25,76.88,77.16,76.5,76.87,71.08,550400
2017-08-28,77.05,77.22,76.62,76.91,71.11,320400
2017-08-29,76.65,77.15,76.45,76.78,70.99,403800
2017-08-30,76.73,76.9,76.29,76.76,70.98,336700
2017-08-31,76.92,78.24,76.71,78.13,72.24,664300
2017-09-01,78.14,78.25,77.47,78.01,72.13,299000
2017-09-05,77.75,78.44,77.57,78.3,72.4,688500
2017-09-06,78.51,78.67,77.85,78.54,72.62,455100
2017-09-07,78.73,79.49,78.73,79.07,73.11,435100
2017-09-08,78.94,79.37,78.54,79.08,73.12,420400
2017-09-11,79.52,80.16,79.05,80.16,74.12,495800
2017-09-12,80.31,80.48,79.32,80.48,74.41,383300
2017-09-13,80.2,80.39,79.21,79.55,73.55,483700
2017-09-14,79.15,79.37,78.53,79.3,73.66,409600
2017-09-15,79.22,79.53,78.88,79.16,73.53,820700
2017-09-18,79.31,79.5,78.8,78.82,73.22,369300
2017-09-19,78.97,79.2,78.44,79.11,73.49,487800
2017-09-20,79.17,79.75,79.15,79.69,74.02,261200
2017-09-21,79.64,79.88,79.27,79.87,74.19,346300
2017-09-22,79.77,80.93,79.67,80.93,75.18,340300
2017-09-25,80.9,81.73,80.74,81.56,75.76,488200
2017-09-26,81.88,82.02,81.32,81.34,75.56,352300
2017-09-27,81.64,81.85,81.02,81.18,75.41,529200
2017-09-28,81.16,81.39,80.3,80.62,74.89,376000
2017-09-29,80.6,81.3,80.57,80.82,75.07,396100
2017-10-02,80.76,81.19,80.7,81.1,75.33,420800
2017-10-03,81.21,82.1,80.73,81.71,75.9,709000
2017-10-04,81.87,81.87,81.4,81.71,75.9,396200
2017-10-05,81.6,81.83,81.46,81.69,75.88,611400
2017-10-06,81.65,81.81,81.29,81.68,75.87,351100
2017-10-09,81.73,82.33,81.69,82.11,76.27,333700
2017-10-10,82.4,82.54,81.73,81.95,76.12,378200
2017-10-11,82.0,82.27,81.71,82.0,76.17,401000
2017-10-12,82.0,82.77,81.8,82.21,76.36,417500
2017-10-13,82.49,82.8,82.44,82.59,76.72,237200
2017-10-16,82.74,83.1,82.61,83.1,77.19,346000
