Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,121.91,122.33,121.43,121.87,103.47,606100
2017-05-25,122.14,122.7,121.67,122.0,103.58,503800
2017-05-26,121.69,122.0,120.74,121.35,103.02,400800
2017-05-30,121.3,121.81,120.82,120.82,102.57,417700
2017-05-31,121.11,121.72,120.78,121.32,103.0,833600
2017-06-01,120.92,122.08,120.52,121.75,103.36,617100
2017-06-02,122.5,122.83,121.82,122.36,103.88,598700
2017-06-05,122.24,122.65,121.26,122.24,103.78,412700
2017-06-06,122.18,122.18,120.22,120.93,102.67,514400
2017-06-07,121.1,121.89,121.1,121.73,103.35,714300
2017-06-08,121.73,122.61,120.87,122.6,104.09,489800
2017-06-09,122.35,125.7,122.08,125.24,106.33,889500
2017-06-12,125.18,127.14,125.1,127.11,107.91,811200
2017-06-13,126.52,127.84,125.46,126.82,107.67,657900
2017-06-14,127.3,127.78,126.03,126.62,107.5,550100
2017-06-15,125.9,127.59,125.9,127.28,108.06,599300
2017-06-16,127.54,128.04,125.64,126.12,107.07,934000
2017-06-19,126.0,126.28,124.72,125.83,106.83,528800
2017-06-20,125.7,126.38,124.35,125.96,106.94,482500
2017-06-21,125.98,126.43,124.36,125.12,106.22,409500
2017-06-22,124.88,125.85,124.2,124.84,105.99,530600
2017-06-23,124.81,126.26,124.75,125.57,106.61,776900
2017-06-26,126.11,126.51,125.39,125.73,106.74,612400
2017-06-27,125.42,125.87,123.64,123.75,105.06,834000
2017-06-28,123.71,123.87,122.79,123.39,105.39,560300
2017-06-29,122.91,123.8,122.34,123.18,105.22,643700
2017-06-30,123.5,124.02,122.63,123.02,105.08,580200
2017-07-03,123.6,125.08,123.43,124.95,106.73,298200
2017-07-05,125.03,125.09,122.61,122.99,105.05,649000
2017-07-06,122.51,122.89,119.92,119.97,102.47,626800
2017-07-07,119.97,120.81,119.6,120.13,102.61,472700
2017-07-10,120.14,121.0,117.71,117.98,100.77,805000
2017-07-11,117.87,118.18,116.77,117.7,100.53,692300
2017-07-12,118.06,119.54,118.06,119.25,101.86,512800
2017-07-13,119.59,121.01,119.26,120.37,102.82,607300
2017-07-14,120.85,122.38,120.72,121.7,103.95,502100
2017-07-17,121.69,122.41,121.04,121.56,103.83,655700
2017-07-18,121.48,121.93,118.88,119.14,101.76,832100
2017-07-19,119.1,120.63,118.87,120.36,102.81,765600
2017-07-20,120.3,120.58,118.75,118.81,101.48,510700
2017-07-21,118.6,119.28,118.28,118.91,101.57,401900
2017-07-24,119.09,119.54,118.38,119.01,101.65,490200
2017-07-25,119.5,119.5,118.33,119.27,101.88,514200
2017-07-26,119.36,120.43,118.77,120.37,102.82,410200
2017-07-27,120.15,121.45,118.72,121.21,103.53,595200
2017-07-28,121.24,122.46,120.71,122.33,104.49,701300
2017-07-31,122.32,122.77,119.92,120.91,103.28,1046700
2017-08-01,121.22,122.63,120.86,121.87,104.1,595100
2017-08-02,122.99,125.0,121.13,121.83,104.06,886600
2017-08-03,121.85,123.82,121.85,123.71,105.67,694100
2017-08-04,123.7,124.7,123.33,124.22,106.1,765400
2017-08-07,124.21,124.21,122.51,122.75,104.85,422300
2017-08-08,122.51,123.47,122.14,122.96,105.03,662700
2017-08-09,122.8,122.8,121.42,121.67,103.93,503700
2017-08-10,121.19,121.47,120.47,121.27,103.58,555200
2017-08-11,120.95,121.5,119.02,120.05,102.54,564800
2017-08-14,120.43,122.79,120.43,122.51,104.64,670200
2017-08-15,122.35,122.68,120.44,122.43,104.57,749900
2017-08-16,122.48,123.11,121.49,122.03,104.23,668400
2017-08-17,121.28,121.88,120.61,121.06,103.4,744700
2017-08-18,120.73,120.75,118.3,119.83,102.35,866200
2017-08-21,119.94,121.76,119.37,120.77,103.16,474900
2017-08-22,120.77,120.96,119.35,119.62,102.17,631300
2017-08-23,119.53,121.65,119.35,121.05,103.4,433600
2017-08-24,121.26,122.31,119.77,119.89,102.41,1021800
2017-08-25,120.38,122.01,119.56,121.46,103.75,526000
2017-08-28,121.8,122.24,119.32,120.25,102.71,630200
2017-08-29,120.22,120.56,118.89,119.5,102.07,482700
2017-08-30,119.23,120.48,118.22,120.19,102.66,409900
2017-08-31,120.46,121.27,120.05,120.6,103.01,829200
2017-09-01,120.93,122.05,120.37,121.3,103.61,513800
2017-09-05,121.3,121.98,119.69,120.37,102.82,531100
2017-09-06,120.94,121.89,120.63,120.93,103.29,410900
2017-09-07,121.17,121.48,119.79,120.91,103.28,485300
2017-09-08,120.62,120.93,119.95,120.17,102.64,444100
2017-09-11,120.83,121.37,120.26,120.71,103.11,555200
2017-09-12,120.7,121.59,119.71,120.2,102.67,414100
2017-09-13,120.0,120.38,119.34,119.96,102.46,518600
2017-09-14,119.93,122.37,119.6,122.33,104.49,510200
2017-09-15,122.68,122.68,120.61,122.4,104.55,832700
2017-09-18,122.16,122.73,121.1,121.68,103.93,813600
2017-09-19,121.59,121.63,119.47,119.64,102.19,813200
2017-09-20,120.02,120.84,119.89,120.78,103.17,630800
2017-09-21,120.66,123.69,120.66,122.84,104.92,1011400
2017-09-22,122.67,123.75,121.66,121.68,103.93,466700
2017-09-25,121.34,123.48,121.14,122.63,104.75,459700
2017-09-26,122.69,124.12,122.5,123.75,105.7,612900
2017-09-27,123.5,123.81,122.5,122.82,104.91,458600
2017-09-28,122.16,122.93,121.92,122.77,105.51,537500
2017-09-29,122.4,123.35,122.29,122.88,105.6,705900
2017-10-02,122.93,123.31,121.77,121.93,104.79,662000
2017-10-03,121.74,122.6,120.72,122.36,105.16,849400
2017-10-04,121.82,123.89,121.82,123.7,106.31,831300
2017-10-05,123.88,126.04,123.88,125.06,107.48,737500
2017-10-06,124.95,126.94,124.42,126.92,109.08,1226000
2017-10-09,126.63,127.28,126.4,127.17,109.29,738700
2017-10-10,127.07,127.98,126.51,127.1,109.23,474200
2017-10-11,127.0,128.73,127.0,128.28,110.24,602500
2017-10-12,128.1,128.48,127.25,128.0,110.0,542400
2017-10-13,128.3,128.99,127.2,128.29,110.25,502700
2017-10-16,128.31,128.72,127.77,128.38,110.33,409100
2017-10-17,128.16,128.73,127.93,128.06,110.06,506800
2017-10-18,128.12,128.65,126.66,126.67,108.86,497200
2017-10-19,126.56,126.59,123.46,123.63,106.25,909400
2017-10-20,123.87,123.93,121.99,122.93,105.65,687700
2017-10-23,123.32,123.68,122.34,122.88,105.6,413300
2017-10-24,122.6,123.04,121.37,121.42,104.35,452200
2017-10-25,121.47,122.18,120.25,121.49,104.41,563900
2017-10-26,122.25,122.25,120.4,121.28,104.23,409600
2017-10-27,121.09,121.84,120.56,121.23,104.19,452100
2017-10-30,121.09,121.81,120.31,120.81,103.82,393000
2017-10-31,120.5,121.52,119.92,121.18,104.14,577400
2017-11-01,121.24,122.74,121.08,121.98,104.83,614900
2017-11-02,122.0,123.69,121.44,122.77,105.51,682600
2017-11-03,122.07,122.13,119.74,120.68,103.71,1067600
2017-11-06,120.96,123.79,120.96,123.43,106.08,639900
2017-11-07,123.52,124.62,123.07,124.19,106.73,563200
2017-11-08,124.08,125.25,123.91,124.74,107.2,620900
2017-11-09,124.62,126.13,124.1,126.01,108.29,752400
2017-11-10,125.1,126.65,125.09,125.85,108.16,566900
2017-11-13,126.19,126.37,125.29,125.93,108.23,386700
2017-11-14,125.72,126.41,124.18,124.78,107.24,542700
2017-11-15,124.85,125.02,123.94,124.15,106.7,409300
2017-11-16,123.89,125.74,123.84,125.18,107.58,604200
2017-11-17,124.56,125.49,124.54,125.04,107.46,360000
2017-11-20,125.25,125.39,124.42,124.57,107.06,473500
2017-11-21,125.12,125.43,124.43,125.2,107.6,480400
2017-11-22,124.68,125.59,124.57,125.0,107.43,351400
2017-11-24,125.41,125.75,125.0,125.16,107.56,134900
2017-11-27,125.49,126.03,124.97,125.23,107.62,351500
2017-11-28,125.45,125.68,124.15,124.69,107.16,400700
2017-11-29,124.73,125.4,124.18,125.05,107.47,534300
2017-11-30,125.48,126.27,124.6,125.38,107.75,1001400
2017-12-01,125.93,127.13,125.34,127.13,109.26,780800
2017-12-04,127.08,128.32,126.85,127.84,109.87,1802200
2017-12-05,128.19,128.52,125.41,125.49,107.85,549100
2017-12-06,125.83,126.14,124.48,125.41,107.78,1411500
2017-12-07,125.03,125.38,123.8,123.95,106.52,836700
2017-12-08,124.37,125.03,123.29,124.66,107.13,518500
2017-12-11,124.46,125.16,124.27,125.05,107.47,511300
2017-12-12,125.59,126.53,124.71,126.18,108.44,499300
2017-12-13,126.37,127.04,125.81,126.37,108.6,761200
2017-12-14,126.38,127.14,125.85,126.71,108.9,608300
2017-12-15,127.26,129.78,127.09,129.41,111.22,2158100
2017-12-18,129.45,132.0,129.45,130.96,112.55,1882500
2017-12-19,130.88,130.88,128.33,128.84,110.73,925100
2017-12-20,128.72,128.83,127.69,127.85,109.88,1903200
2017-12-21,127.85,128.42,126.71,126.94,109.09,702500
2017-12-22,127.3,127.76,126.77,127.34,109.44,382100
2017-12-26,127.69,128.59,126.94,128.49,110.43,330900
2017-12-27,128.95,129.34,128.0,129.09,110.94,544500
2017-12-28,128.06,128.88,127.67,128.84,111.42,457100
2017-12-29,129.1,130.42,129.03,130.03,112.45,650600
2018-01-02,130.39,130.39,128.89,129.28,111.8,690000
2018-01-03,129.57,129.8,128.73,129.35,111.86,570600
2018-01-04,129.0,129.0,126.46,126.48,109.38,2079000
2018-01-05,126.83,127.97,126.52,127.86,110.57,860900
2018-01-08,127.54,128.0,125.82,126.74,109.6,724300
2018-01-09,126.05,126.4,125.22,125.4,108.44,598900
2018-01-10,124.98,124.98,123.62,124.65,107.79,582600
2018-01-11,124.91,125.15,123.73,123.86,107.11,447800
2018-01-12,123.99,124.27,122.23,122.33,105.79,636800
2018-01-16,122.74,124.54,121.44,121.56,105.12,825900
2018-01-17,122.33,122.6,120.86,122.5,105.93,844400
2018-01-18,122.07,122.31,120.68,121.18,104.79,1080900
2018-01-19,121.66,122.31,120.89,121.95,105.46,1061300
2018-01-22,121.95,123.68,121.7,123.47,106.77,1067100
2018-01-23,123.62,124.29,123.28,124.15,107.36,1083200
2018-01-24,124.08,124.63,122.89,123.24,106.57,603800
2018-01-25,123.12,123.62,121.5,122.68,106.09,846400
2018-01-26,123.21,123.62,121.84,122.97,106.34,559200
2018-01-29,122.37,122.63,121.2,121.34,104.93,604200
2018-01-30,120.89,121.74,119.36,119.42,103.27,1106800
2018-01-31,119.97,125.37,119.97,123.71,106.98,2001100
2018-02-01,123.59,123.88,119.13,119.19,103.07,1020500
2018-02-02,118.09,119.59,117.34,119.34,103.2,978000
2018-02-05,118.5,120.72,114.6,114.74,99.22,1051900
2018-02-06,112.95,115.66,111.87,115.32,99.72,1732000
2018-02-07,114.96,116.97,114.96,115.34,99.74,928000
2018-02-08,114.99,116.47,112.05,112.09,96.93,1134900
2018-02-09,113.1,116.38,111.82,115.35,99.75,941500
2018-02-12,115.59,115.82,111.57,115.14,99.57,829200
2018-02-13,115.06,116.67,114.05,116.19,100.48,736600
2018-02-14,115.67,115.67,113.32,115.46,99.85,1006300
2018-02-15,116.51,118.5,116.43,117.4,101.52,1062300
2018-02-16,117.45,120.19,117.45,119.64,103.46,911600
2018-02-20,119.49,121.17,119.1,119.39,103.24,934200
2018-02-21,119.0,119.58,115.85,115.85,100.18,1040700
2018-02-22,116.49,119.92,116.27,118.47,102.45,897800
2018-02-23,118.61,120.99,118.35,120.97,104.61,652300
2018-02-26,121.41,121.91,119.87,121.43,105.01,687700
2018-02-27,121.91,122.23,119.2,119.51,103.35,979300
2018-02-28,119.98,120.71,118.84,118.87,102.79,1065000
2018-03-01,117.87,119.7,117.08,118.0,102.04,962700
2018-03-02,118.0,119.15,117.16,118.93,102.85,639900
2018-03-05,119.27,121.81,118.92,121.36,104.95,503100
2018-03-06,121.1,122.25,120.31,122.1,105.59,495400
2018-03-07,121.7,122.85,121.11,122.74,106.14,655800
2018-03-08,123.1,123.34,121.46,122.31,105.77,522600
2018-03-09,122.45,123.76,121.44,123.62,106.9,674900
