Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,73.1,73.32,72.83,73.1,61.08,1196500
2017-05-25,73.23,73.65,73.14,73.44,61.36,1499900
2017-05-26,73.29,73.57,72.95,73.1,61.08,1245300
2017-05-30,72.8,73.61,72.56,73.55,61.45,1374600
2017-05-31,73.73,74.31,73.31,74.29,62.07,2811200
2017-06-01,74.22,75.36,73.24,75.05,62.71,2065900
2017-06-02,75.22,76.42,75.02,75.79,63.32,3086600
2017-06-05,75.72,75.83,74.79,75.45,63.04,1534400
2017-06-06,75.22,75.22,73.48,73.94,61.78,1524700
2017-06-07,74.07,74.13,73.6,74.04,61.86,1305800
2017-06-08,74.04,75.0,74.04,74.47,62.22,1330800
2017-06-09,74.43,75.28,74.3,75.2,62.83,1366400
2017-06-12,75.2,75.88,74.78,75.08,62.73,1711800
2017-06-13,75.21,75.22,74.51,74.91,62.59,1580300
2017-06-14,75.36,75.97,75.0,75.61,63.17,1385200
2017-06-15,75.37,75.95,74.77,75.94,63.45,1488200
2017-06-16,75.97,76.1,74.15,74.99,62.66,2494100
2017-06-19,75.06,76.49,74.78,76.21,63.68,1878100
2017-06-20,76.05,77.15,75.89,76.31,63.76,2230800
2017-06-21,76.35,77.72,76.3,77.48,64.74,1712200
2017-06-22,77.67,79.75,77.66,78.75,65.8,2758400
2017-06-23,78.91,79.79,78.53,79.68,66.57,9340800
2017-06-26,79.64,79.94,79.3,79.47,66.4,2042800
2017-06-27,79.58,80.37,79.08,79.25,66.22,1793600
2017-06-28,79.71,80.11,79.05,79.08,66.07,2118100
2017-06-29,78.68,79.28,77.94,78.25,65.76,1411900
2017-06-30,78.67,78.67,77.73,77.92,65.49,1929500
2017-07-03,78.09,78.77,78.09,78.29,65.8,704300
2017-07-05,78.3,78.89,77.96,78.69,66.13,1655800
2017-07-06,78.27,78.54,76.75,76.89,64.62,1840200
2017-07-07,77.13,77.26,76.7,77.19,64.87,1182600
2017-07-10,76.93,77.4,76.56,76.68,64.44,1256800
2017-07-11,76.62,76.77,75.96,76.66,64.43,1233100
2017-07-12,77.29,77.74,77.07,77.31,64.97,1425800
2017-07-13,77.42,77.9,77.08,77.56,65.18,1357500
2017-07-14,77.62,78.17,77.4,78.11,65.65,933400
2017-07-17,78.28,78.78,77.98,78.09,65.63,1459100
2017-07-18,77.81,78.09,76.67,76.97,64.69,1982500
2017-07-19,77.21,77.28,76.31,77.0,64.71,1809700
2017-07-20,77.19,77.94,77.01,77.32,64.98,1603500
2017-07-21,77.21,77.56,76.04,76.29,64.12,2052700
2017-07-24,76.21,77.37,76.21,77.07,64.77,1912900
2017-07-25,77.38,77.9,77.05,77.69,65.29,1126800
2017-07-26,77.51,78.0,77.39,77.67,65.28,1345500
2017-07-27,77.48,77.8,75.76,76.6,64.38,1640600
2017-07-28,76.71,77.79,76.16,77.61,65.23,1296700
2017-07-31,77.8,78.32,77.24,77.26,64.93,2165900
2017-08-01,77.72,77.94,77.1,77.33,64.99,1938000
2017-08-02,71.06,72.37,69.58,70.99,59.66,7309800
2017-08-03,70.16,70.49,68.33,69.36,58.29,4095800
2017-08-04,69.71,69.71,68.53,69.14,58.11,2407000
2017-08-07,69.15,69.5,68.86,69.24,58.19,2929000
2017-08-08,69.24,70.19,68.94,69.34,58.28,2082000
2017-08-09,69.16,69.22,67.76,68.23,57.34,2945200
2017-08-10,68.04,68.5,67.23,67.31,56.57,2295200
2017-08-11,67.57,67.57,66.82,66.98,56.29,1750300
2017-08-14,67.35,67.82,66.7,66.76,56.11,2046900
2017-08-15,67.1,67.49,66.41,66.43,55.83,2004000
2017-08-16,66.72,66.92,65.6,66.01,55.48,2600200
2017-08-17,65.86,66.4,65.15,65.16,54.76,2461000
2017-08-18,64.99,65.22,64.35,64.38,54.11,1428300
2017-08-21,64.3,64.62,64.06,64.36,54.09,1341200
2017-08-22,64.4,65.65,64.39,65.42,54.98,1745700
2017-08-23,65.17,65.85,64.96,65.63,55.16,2296900
2017-08-24,65.93,66.73,65.82,66.1,55.55,2282800
2017-08-25,66.15,66.39,65.96,66.08,55.54,1332900
2017-08-28,66.38,66.54,65.87,66.39,55.8,1198900
2017-08-29,66.14,66.74,66.03,66.4,55.81,1779400
2017-08-30,66.34,66.74,66.21,66.49,55.88,1696100
2017-08-31,66.47,68.04,66.47,67.46,56.7,2667900
2017-09-01,67.69,68.14,67.51,67.82,57.0,1536200
2017-09-05,67.56,68.01,67.05,67.52,56.75,2040800
2017-09-06,67.73,68.61,67.56,68.61,57.66,2881600
2017-09-07,68.49,69.09,68.31,69.06,58.04,2108300
2017-09-08,68.98,69.4,68.23,68.36,57.45,1843600
2017-09-11,68.82,69.99,68.69,69.73,58.6,2246800
2017-09-12,69.73,69.79,68.68,69.44,58.36,2049400
2017-09-13,69.07,69.56,68.75,69.29,58.23,1362500
2017-09-14,68.86,68.86,67.26,67.46,56.7,2661200
2017-09-15,67.57,67.9,67.11,67.5,56.73,4676900
2017-09-18,67.75,67.98,66.98,67.07,56.37,1592700
2017-09-19,67.01,67.28,65.95,66.26,55.69,1878700
2017-09-20,66.33,66.94,66.01,66.71,56.07,1639700
2017-09-21,66.72,67.44,66.64,66.77,56.12,1452300
2017-09-22,66.9,67.09,66.24,66.66,56.02,2181100
2017-09-25,66.43,67.5,66.41,67.34,56.6,1482400
2017-09-26,67.43,68.06,67.43,67.82,57.0,1358500
2017-09-27,67.96,68.22,67.39,68.14,57.27,1245800
2017-09-28,67.84,68.1,66.93,66.97,56.28,2323900
2017-09-29,66.76,67.6,66.57,66.92,56.63,2800400
2017-10-02,67.22,68.39,67.12,68.24,57.75,2134200
2017-10-03,68.25,68.38,67.44,67.6,57.21,1531000
2017-10-04,67.6,68.19,67.34,67.52,57.14,2333600
2017-10-05,67.63,67.93,67.32,67.64,57.24,1754700
2017-10-06,67.6,67.89,65.6,65.88,55.75,3661800
2017-10-09,65.83,65.88,64.23,64.92,54.94,3508000
2017-10-10,65.38,65.9,65.25,65.78,55.67,1607700
2017-10-11,65.71,66.04,65.54,65.82,55.7,2213500
2017-10-12,65.78,66.8,65.57,66.33,56.13,3122200
2017-10-13,66.15,66.35,63.85,64.96,54.97,3742000
2017-10-16,64.79,65.92,64.42,64.63,54.69,2449600
2017-10-17,64.49,65.22,64.1,65.08,55.08,2278700
2017-10-18,65.18,65.85,64.49,64.7,54.75,2756400
2017-10-19,64.6,66.23,64.6,66.15,55.98,1937900
2017-10-20,66.44,66.96,66.39,66.71,56.46,1493200
2017-10-23,66.77,67.18,66.51,66.65,56.4,1846600
2017-10-24,66.4,66.86,65.82,66.44,56.23,2187000
2017-10-25,66.58,67.18,66.53,67.05,56.74,2185800
2017-10-26,68.5,69.34,64.2,64.75,54.8,8325000
2017-10-27,64.49,64.63,61.64,62.01,52.48,7873500
2017-10-30,61.75,62.6,61.53,61.7,52.22,3727800
2017-10-31,61.81,63.01,60.69,61.9,52.38,5444800
2017-11-01,60.81,62.6,60.8,62.18,52.62,3484500
2017-11-02,62.47,62.91,60.33,61.07,51.68,3899500
2017-11-03,60.62,61.75,60.51,61.38,51.94,4167100
2017-11-06,60.19,60.75,57.55,60.25,50.99,4789600
2017-11-07,60.35,61.65,59.99,60.27,51.01,2385200
2017-11-08,60.27,61.07,60.06,60.99,51.61,2481500
2017-11-09,60.88,61.63,60.47,60.56,51.25,2515400
2017-11-10,60.23,60.4,58.32,58.55,49.55,8061600
2017-11-13,58.6,59.35,57.65,58.33,49.36,5398500
2017-11-14,58.32,58.43,56.69,57.07,48.3,3453800
2017-11-15,56.18,57.78,55.69,56.83,48.09,6217400
2017-11-16,56.83,57.83,56.23,57.42,48.59,4960000
2017-11-17,57.04,58.01,56.83,57.51,48.67,3800400
2017-11-20,55.96,56.6,54.66,55.0,46.55,5543600
2017-11-21,55.06,56.22,54.84,55.72,47.15,4136400
2017-11-22,55.9,57.59,55.86,56.97,48.21,4503300
2017-11-24,57.01,57.12,56.12,56.37,47.7,743100
2017-11-27,56.42,56.63,55.49,55.89,47.3,2987500
2017-11-28,55.94,57.65,55.5,57.56,48.71,2972300
2017-11-29,57.82,59.74,57.76,59.11,50.02,4802200
2017-11-30,59.3,60.1,58.38,59.19,50.09,4086300
2017-12-01,58.95,59.15,57.4,58.9,49.85,4462400
2017-12-04,59.31,61.14,59.04,61.02,51.64,6033400
2017-12-05,60.99,61.35,59.68,60.35,51.07,4211300
2017-12-06,60.41,60.94,59.44,59.72,50.54,2768500
2017-12-07,59.79,60.17,58.45,58.5,49.51,2527200
2017-12-08,58.58,59.46,58.46,58.89,49.84,2987000
2017-12-11,59.16,60.45,58.88,60.24,50.98,2966100
2017-12-12,60.29,60.76,59.68,60.26,51.0,2924400
2017-12-13,60.12,60.9,60.05,60.57,51.26,2376700
2017-12-14,60.61,62.09,60.34,60.35,51.07,3249100
2017-12-15,61.0,63.79,60.66,63.19,53.48,9027400
2017-12-18,62.94,63.0,62.05,62.39,52.8,4362800
2017-12-19,62.25,63.35,62.14,63.01,53.32,3956600
2017-12-20,63.11,63.78,63.11,63.46,53.7,3152500
2017-12-21,63.49,63.75,62.51,62.68,53.04,2017000
2017-12-22,62.95,63.2,62.3,62.49,52.88,2284900
2017-12-26,62.49,63.31,62.38,62.67,53.04,1540500
2017-12-27,62.81,62.84,62.1,62.3,52.72,1191600
2017-12-28,62.26,62.42,61.58,62.14,52.59,1207100
2017-12-29,61.93,62.12,61.26,61.27,52.24,1508800
2018-01-02,61.7,63.34,61.62,63.23,53.91,2410000
2018-01-03,63.01,63.31,62.5,62.86,53.6,1785000
2018-01-04,62.97,63.9,62.3,63.66,54.28,2728700
2018-01-05,63.57,63.92,62.71,63.22,53.9,3149900
2018-01-08,63.41,65.62,63.0,65.22,55.61,3546100
2018-01-09,65.18,67.44,64.75,67.1,57.21,5314200
2018-01-10,66.85,68.16,65.69,68.06,58.03,4363900
2018-01-11,68.19,69.17,67.78,69.11,58.92,2565800
2018-01-12,69.44,71.52,68.78,71.49,60.95,4045700
2018-01-16,71.6,73.17,71.56,72.58,61.88,4519600
2018-01-17,72.0,73.16,71.6,72.65,61.94,3370000
2018-01-18,72.3,72.72,70.89,71.71,61.14,3828400
2018-01-19,72.03,72.55,71.22,71.91,61.31,2868400
2018-01-22,72.05,73.97,72.02,73.51,62.68,3313800
2018-01-23,73.5,73.93,72.57,73.21,62.42,2217100
2018-01-24,73.98,75.35,73.59,74.69,63.68,2770700
2018-01-25,74.46,74.76,73.33,73.99,63.09,2426800
2018-01-26,74.28,75.02,74.09,74.97,63.92,1403700
