Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,140.58,141.04,140.28,140.87,126.99,1003100
2017-05-25,141.49,142.87,141.23,142.76,128.7,1001600
2017-05-26,142.67,142.87,142.24,142.24,128.23,979700
2017-05-30,141.62,142.17,141.46,141.89,127.91,844500
2017-05-31,141.96,143.26,141.83,143.19,129.09,1332400
2017-06-01,143.61,144.85,143.21,144.85,130.58,1297200
2017-06-02,144.68,145.28,144.35,145.14,130.84,1270000
2017-06-05,145.15,145.88,144.84,145.05,130.76,1091800
2017-06-06,144.6,145.16,144.14,144.18,129.98,1223600
2017-06-07,144.78,144.91,144.12,144.29,130.08,1414200
2017-06-08,144.29,145.38,144.25,144.96,130.68,1480600
2017-06-09,144.94,146.66,144.68,146.56,132.12,1225800
2017-06-12,146.57,146.57,145.2,145.68,131.33,1937400
2017-06-13,145.9,146.32,145.51,145.73,131.38,1307900
2017-06-14,145.62,146.83,145.31,146.69,132.24,1372800
2017-06-15,146.37,147.52,146.0,147.4,132.88,1225600
2017-06-16,147.95,147.95,146.38,147.58,133.04,2107000
2017-06-19,147.87,148.32,146.99,147.11,132.62,1222900
2017-06-20,147.11,147.32,146.83,146.93,132.46,1392500
2017-06-21,147.13,147.42,146.45,146.62,132.18,1205800
2017-06-22,146.62,146.62,145.55,145.55,131.21,1245500
2017-06-23,145.53,146.19,144.5,144.85,130.58,1967500
2017-06-26,144.83,145.51,144.32,145.4,131.08,1249600
2017-06-27,145.26,145.7,144.73,144.78,130.52,1179700
2017-06-28,144.9,145.77,144.9,145.63,131.93,1160100
2017-06-29,146.01,146.02,144.32,144.97,131.34,1345800
2017-06-30,145.72,145.88,144.66,145.38,131.71,1374800
2017-07-03,145.8,147.4,145.51,146.35,132.59,672700
2017-07-05,146.64,146.82,145.38,145.97,132.24,1001300
2017-07-06,146.05,146.48,145.35,145.44,131.76,1212500
2017-07-07,145.95,146.79,145.63,146.52,132.74,1043600
2017-07-10,145.98,146.16,145.27,145.28,131.62,1073300
2017-07-11,145.48,145.62,144.16,144.45,130.86,1127200
2017-07-12,144.78,145.12,144.3,144.44,130.85,1165300
2017-07-13,144.61,145.34,144.38,144.85,131.23,987600
2017-07-14,144.47,145.59,143.86,145.18,131.53,755600
2017-07-17,145.18,145.66,144.73,145.54,131.85,1081400
2017-07-18,145.51,145.8,144.7,145.7,132.0,995800
2017-07-19,146.04,146.56,145.56,146.55,132.77,1028800
2017-07-20,146.82,147.0,145.9,146.62,132.83,1381400
2017-07-21,146.28,147.46,146.28,147.0,133.17,1454700
2017-07-24,147.18,147.18,146.59,146.89,133.07,1117000
2017-07-25,147.59,148.38,146.9,147.36,133.5,2189400
2017-07-26,147.56,147.98,143.69,143.9,130.37,2864600
2017-07-27,143.6,144.99,142.65,142.98,129.53,2491400
2017-07-28,143.37,145.42,143.37,145.35,131.68,2213100
2017-07-31,145.7,146.74,145.36,146.46,132.68,1378300
2017-08-01,146.85,148.09,146.4,148.07,134.14,1319700
2017-08-02,148.22,149.23,147.84,148.92,134.91,1824200
2017-08-03,148.99,150.09,148.67,149.87,135.77,1760100
2017-08-04,149.94,150.28,149.16,149.8,135.71,843700
2017-08-07,149.51,149.97,149.22,149.31,135.27,886500
2017-08-08,149.14,149.5,148.37,148.54,134.57,964500
2017-08-09,148.46,149.34,148.01,149.29,135.25,872900
2017-08-10,148.63,149.03,148.23,148.33,134.38,1101500
2017-08-11,148.73,148.82,146.3,146.44,132.67,2126600
2017-08-14,146.83,147.96,146.75,147.4,133.54,1300700
2017-08-15,147.81,148.75,147.73,147.97,134.05,847500
2017-08-16,148.41,148.94,147.88,148.02,134.1,904900
2017-08-17,147.8,148.02,145.89,145.95,132.22,910400
2017-08-18,145.25,146.34,145.25,145.44,131.76,1054100
2017-08-21,145.58,145.79,144.76,145.33,131.66,1289300
2017-08-22,145.42,145.56,144.85,145.31,131.64,1054600
2017-08-23,144.8,145.27,143.94,144.24,130.67,1024500
2017-08-24,144.36,144.54,142.6,142.76,129.33,1523800
2017-08-25,142.8,144.15,142.65,143.63,130.12,1312600
2017-08-28,143.29,143.29,140.59,141.78,128.45,1541100
2017-08-29,140.59,142.35,140.59,141.89,128.54,1242600
2017-08-30,142.53,142.53,141.12,141.16,127.88,1223700
2017-08-31,141.6,141.74,140.54,141.42,128.12,1858500
2017-09-01,141.47,142.28,140.31,140.49,127.28,1397100
2017-09-05,139.3,139.99,136.54,136.85,123.98,2436300
2017-09-06,137.1,139.15,136.28,137.71,124.76,2861600
2017-09-07,137.45,137.66,133.82,134.88,122.19,2786300
2017-09-08,134.43,142.75,134.04,140.85,127.6,4374300
2017-09-11,142.71,146.84,142.71,145.88,132.16,4895200
2017-09-12,145.89,147.02,145.24,147.01,133.18,2330200
2017-09-13,146.42,146.84,144.2,144.55,130.95,1809300
2017-09-14,144.59,144.59,141.6,142.79,129.36,1712000
2017-09-15,142.79,143.66,142.46,143.51,130.01,2307700
2017-09-18,143.72,144.06,142.67,143.57,130.07,974600
2017-09-19,143.52,144.57,142.9,143.47,129.98,1590300
2017-09-20,143.9,144.3,142.7,143.88,130.35,1080700
2017-09-21,143.81,144.67,142.94,142.95,129.51,944900
2017-09-22,142.75,143.09,141.64,142.59,129.18,1009600
2017-09-25,142.59,143.39,141.82,143.21,129.74,1119200
2017-09-26,142.86,142.86,140.87,141.61,128.29,1635000
2017-09-27,142.54,142.54,141.6,141.91,128.56,1414800
2017-09-28,141.48,142.67,141.42,142.19,129.46,1796100
