Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,85.84,86.17,85.37,86.03,84.41,662600
2017-05-25,86.29,86.63,85.82,86.28,84.66,931900
2017-05-26,86.3,86.75,85.97,86.63,85.0,968900
2017-05-30,86.58,86.88,85.86,86.65,85.02,1070800
2017-05-31,86.74,86.89,86.05,86.37,84.99,5628400
2017-06-01,86.78,86.99,86.28,86.82,85.44,1229800
2017-06-02,86.89,87.0,86.27,86.75,85.37,878700
2017-06-05,86.66,87.25,86.38,86.9,85.51,1216100
2017-06-06,86.29,87.14,86.1,86.77,85.39,1010700
2017-06-07,87.0,89.16,86.58,88.88,87.46,1619300
2017-06-08,88.69,89.83,88.69,88.98,87.56,1251800
2017-06-09,88.81,89.77,88.49,89.75,88.32,1050100
2017-06-12,89.21,89.79,89.05,89.76,88.33,942100
2017-06-13,89.94,90.09,89.21,89.93,88.5,1269100
2017-06-14,89.33,90.29,89.33,90.0,88.56,822900
2017-06-15,89.48,89.7,88.99,89.54,88.11,746900
2017-06-16,88.84,89.96,88.18,88.57,87.16,3292200
2017-06-19,88.96,89.71,88.96,89.62,88.19,858200
2017-06-20,89.59,89.81,88.6,88.96,87.54,996700
2017-06-21,89.07,89.15,88.67,88.82,87.4,609600
2017-06-22,88.82,88.94,88.44,88.57,87.16,598500
2017-06-23,88.71,89.26,88.59,88.77,87.35,850200
2017-06-26,88.8,89.65,88.8,89.62,88.19,704500
2017-06-27,89.62,90.06,89.39,90.01,88.57,847400
2017-06-28,90.06,90.76,89.7,90.55,89.11,772400
2017-06-29,91.24,91.3,90.05,91.0,89.55,750800
2017-06-30,91.11,91.8,91.0,91.4,89.94,910000
2017-07-03,91.83,92.29,91.54,91.91,90.44,538100
2017-07-05,92.21,93.55,92.16,93.03,91.55,1392100
2017-07-06,92.96,93.41,92.13,92.18,90.71,918700
2017-07-07,92.32,93.29,91.4,92.98,91.5,1044800
2017-07-10,93.01,93.2,92.62,92.69,91.21,751100
2017-07-11,92.58,93.04,92.05,92.79,91.31,618600
2017-07-12,92.52,92.71,91.64,91.94,90.47,801000
2017-07-13,92.35,92.68,91.12,92.54,91.06,710600
