Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,34.06,34.31,33.8,34.27,34.27,2724400
2017-05-25,34.32,34.87,34.3,34.76,34.76,2108000
2017-05-26,34.7,35.29,34.57,34.93,34.93,2226300
2017-05-30,34.87,35.12,34.71,34.93,34.93,1549600
2017-05-31,34.99,35.4,34.83,35.14,35.14,4856600
2017-06-01,35.15,35.43,34.71,34.98,34.98,2589800
2017-06-02,35.03,35.43,35.03,35.27,35.27,1871200
2017-06-05,35.31,35.65,35.31,35.52,35.52,1277900
2017-06-06,35.4,35.6,35.28,35.41,35.41,1357700
2017-06-07,35.48,35.61,35.2,35.35,35.35,1745200
2017-06-08,35.41,35.54,35.2,35.44,35.44,1079000
2017-06-09,35.53,35.69,34.19,34.72,34.72,1375700
2017-06-12,34.47,34.52,33.56,34.23,34.23,3393400
2017-06-13,34.46,34.74,34.35,34.4,34.4,2156000
2017-06-14,34.55,34.69,33.96,34.34,34.34,1247300
2017-06-15,33.97,34.49,33.65,34.15,34.15,1187500
2017-06-16,34.08,34.37,33.9,34.18,34.18,2408000
2017-06-19,34.31,34.49,34.04,34.26,34.26,2862700
2017-06-20,34.25,34.66,34.01,34.09,34.09,1521700
2017-06-21,34.22,34.44,33.96,34.27,34.27,1959900
2017-06-22,34.36,34.41,34.02,34.28,34.28,1122300
2017-06-23,34.28,34.47,34.21,34.26,34.26,2101100
2017-06-26,34.36,34.52,34.17,34.3,34.3,1083400
2017-06-27,34.21,34.23,33.64,33.69,33.69,1064600
2017-06-28,33.92,34.22,33.58,34.09,34.09,1137800
2017-06-29,33.95,34.08,33.03,33.44,33.44,1341200
2017-06-30,33.55,33.77,33.35,33.49,33.49,1210100
2017-07-03,33.58,33.61,32.96,33.07,33.07,677700
2017-07-05,33.12,33.35,32.97,33.27,33.27,1714500
2017-07-06,33.13,33.39,32.85,33.28,33.28,2019800
2017-07-07,33.35,33.85,33.13,33.67,33.67,1588600
2017-07-10,33.69,34.05,33.54,33.9,33.9,918800
2017-07-11,33.86,34.23,33.82,34.15,34.15,1012700
2017-07-12,34.37,34.78,34.19,34.73,34.73,1205000
2017-07-13,34.8,34.8,34.34,34.45,34.45,1009700
2017-07-14,34.52,34.84,34.39,34.73,34.73,958900
2017-07-17,34.63,34.79,34.54,34.71,34.71,925000
2017-07-18,34.69,34.84,34.51,34.81,34.81,1181600
2017-07-19,34.89,35.4,34.83,35.32,35.32,1594800
2017-07-20,35.31,35.31,34.75,35.09,35.09,1578900
2017-07-21,34.92,35.1,34.82,34.98,34.98,1537700
2017-07-24,34.98,35.1,34.76,35.07,35.07,3595400
2017-07-25,35.5,36.84,35.26,36.64,36.64,5680900
2017-07-26,36.76,37.5,36.7,37.18,37.18,3781400
2017-07-27,37.36,37.51,36.45,36.98,36.98,2409200
2017-07-28,36.78,37.27,36.77,37.01,37.01,1183500
2017-07-31,37.03,37.29,36.7,36.9,36.9,1737600
2017-08-01,36.96,37.09,36.68,36.72,36.72,1832500
2017-08-02,36.84,36.88,35.95,36.05,36.05,2928900
2017-08-03,36.18,36.28,35.96,36.21,36.21,2723200
2017-08-04,36.19,36.36,35.91,36.2,36.2,2344000
2017-08-07,36.22,36.78,36.22,36.63,36.63,1466400
2017-08-08,36.61,36.95,36.52,36.8,36.8,2028000
2017-08-09,36.58,36.66,36.4,36.56,36.56,1622100
2017-08-10,36.43,36.56,36.07,36.19,36.19,1609700
2017-08-11,36.29,36.67,36.17,36.34,36.34,1384600
2017-08-14,36.53,37.06,36.45,37.01,37.01,1620200
2017-08-15,37.02,37.28,36.96,37.22,37.22,1429900
2017-08-16,37.15,37.7,37.02,37.56,37.56,1174400
2017-08-17,37.44,37.6,36.81,36.84,36.84,1486800
2017-08-18,36.92,37.14,36.69,36.95,36.95,967000
2017-08-21,36.88,37.0,36.69,36.99,36.99,873200
2017-08-22,37.07,37.46,36.99,37.45,37.45,1742500
2017-08-23,37.24,37.56,37.22,37.34,37.34,1220500
2017-08-24,37.44,37.48,37.01,37.18,37.18,1363700
2017-08-25,37.32,37.7,37.11,37.4,37.4,1513600
2017-08-28,37.48,37.86,37.4,37.77,37.77,1462200
2017-08-29,37.57,37.95,37.45,37.91,37.91,1537600
2017-08-30,37.9,38.44,37.85,38.36,38.36,1182700
2017-08-31,38.49,39.3,38.46,39.29,39.29,2454000
2017-09-01,39.3,39.49,38.68,38.69,38.69,1483700
2017-09-05,38.51,38.78,37.84,38.24,38.24,2631100
2017-09-06,38.37,38.49,38.09,38.27,38.27,2021400
2017-09-07,38.36,38.74,38.32,38.43,38.43,920700
2017-09-08,38.43,38.51,38.23,38.24,38.24,1053800
2017-09-11,38.13,38.13,37.47,37.61,37.61,6626400
2017-09-12,37.74,37.84,36.83,37.55,37.55,4247200
2017-09-13,37.56,37.66,37.14,37.45,37.45,4982000
2017-09-14,37.24,38.37,37.17,38.02,38.02,5948100
2017-09-15,38.0,38.5,37.76,38.27,38.27,57218100
2017-09-18,38.5,38.86,38.34,38.78,38.78,3956800
2017-09-19,38.8,38.98,38.57,38.82,38.82,4074900
2017-09-20,38.71,38.81,38.1,38.36,38.36,4066000
2017-09-21,38.49,38.51,38.2,38.43,38.43,2490100
2017-09-22,38.39,38.92,38.33,38.88,38.88,1799600
2017-09-25,38.85,38.87,38.22,38.42,38.42,1986000
2017-09-26,38.68,38.79,38.32,38.33,38.33,2499900
2017-09-27,38.5,38.97,38.5,38.92,38.92,2648900
2017-09-28,38.93,39.14,38.77,39.0,39.0,1463100
2017-09-29,39.08,39.47,38.98,39.47,39.47,3644400
2017-10-02,39.79,40.06,39.6,39.7,39.7,2115700
2017-10-03,39.81,40.16,39.7,40.06,40.06,1630300
2017-10-04,39.93,40.33,39.93,40.25,40.25,1675300
2017-10-05,40.34,40.44,40.16,40.39,40.39,1179900
2017-10-06,40.42,40.73,40.14,40.68,40.68,1943900
2017-10-09,40.68,41.08,40.68,41.01,41.01,1481300
2017-10-10,41.05,41.14,40.67,41.01,41.01,1723700
2017-10-11,41.14,41.47,41.06,41.39,41.39,2786000
2017-10-12,41.39,42.2,41.32,41.82,41.82,2278300
2017-10-13,42.0,42.19,41.89,42.0,42.0,2089900
2017-10-16,42.09,42.57,41.87,41.97,41.97,2731200
2017-10-17,42.0,42.0,41.64,41.81,41.81,1870100
2017-10-18,41.8,42.05,41.53,41.79,41.79,2926800
2017-10-19,41.66,41.87,41.32,41.81,41.81,1201800
2017-10-20,41.99,42.45,41.83,42.28,42.28,1861900
2017-10-23,42.47,42.56,42.09,42.15,42.15,1403900
2017-10-24,42.16,42.33,41.93,42.31,42.31,2299600
2017-10-25,42.23,42.42,41.85,42.22,42.22,2544700
2017-10-26,42.37,42.88,42.26,42.72,42.72,1842400
2017-10-27,41.85,43.23,41.35,43.08,43.08,2119200
2017-10-30,43.11,43.21,42.63,42.9,42.9,1471600
2017-10-31,42.91,43.19,42.71,43.16,43.16,2043800
2017-11-01,43.47,43.62,42.96,43.01,43.01,2123800
2017-11-02,43.38,43.84,43.08,43.79,43.79,1888600
2017-11-03,43.82,43.92,43.61,43.9,43.9,1359000
2017-11-06,44.0,44.34,43.69,44.29,44.29,1739100
2017-11-07,44.4,44.67,44.04,44.3,44.3,1631300
2017-11-08,44.25,44.39,43.98,44.07,44.07,2002200
2017-11-09,43.9,44.19,43.2,43.55,43.55,2664600
2017-11-10,43.51,44.16,43.41,44.04,44.04,2761600
2017-11-13,43.83,44.69,43.83,44.67,44.67,1644500
2017-11-14,44.52,44.83,44.36,44.77,44.77,2674700
2017-11-15,44.52,44.67,44.01,44.32,44.32,1728600
2017-11-16,44.57,45.39,44.42,44.86,44.86,3005200
2017-11-17,44.87,45.1,44.41,44.58,44.58,1813600
2017-11-20,44.58,45.16,44.56,44.85,44.85,2015900
2017-11-21,45.04,45.48,44.92,45.33,45.33,1054500
2017-11-22,45.41,45.49,44.96,45.0,45.0,876800
2017-11-24,45.14,45.64,45.06,45.6,45.6,474300
2017-11-27,45.51,45.51,44.99,45.14,45.14,2064000
2017-11-28,45.28,45.41,45.01,45.19,45.19,1341700
2017-11-29,45.04,45.15,43.14,43.16,43.16,2801600
2017-11-30,43.56,44.03,43.41,43.91,43.91,3407700
2017-12-01,43.66,44.08,42.79,43.72,43.72,1755800
2017-12-04,43.95,43.95,42.4,42.42,42.42,1910800
2017-12-05,42.41,43.45,42.23,42.67,42.67,2302900
2017-12-06,42.46,43.01,42.38,42.9,42.9,2088200
2017-12-07,42.96,43.58,42.96,43.55,43.55,2110500
2017-12-08,43.8,43.96,43.43,43.56,43.56,1583300
2017-12-11,43.69,43.88,43.38,43.5,43.5,1394900
2017-12-12,43.43,43.64,43.11,43.29,43.29,1920100
2017-12-13,43.31,43.54,43.02,43.06,43.06,3443400
2017-12-14,43.14,43.59,43.04,43.19,43.19,3613200
2017-12-15,43.31,43.85,42.99,43.68,43.68,16057300
2017-12-18,44.17,44.46,43.35,43.56,43.56,3283200
2017-12-19,43.47,44.1,43.42,43.76,43.76,3319100
2017-12-20,43.94,43.94,43.11,43.21,43.21,1836700
2017-12-21,43.25,43.39,42.4,42.48,42.48,1532500
