Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,57.92,58.54,57.66,58.48,55.42,1174600
2017-05-25,58.99,59.55,58.6,59.39,56.28,820800
2017-05-26,59.16,59.42,58.53,59.33,56.23,696300
2017-05-30,59.26,59.59,58.84,59.37,56.27,567100
2017-05-31,59.59,60.25,59.37,60.18,57.03,1697000
2017-06-01,60.27,61.44,60.22,61.12,57.92,891400
2017-06-02,60.93,61.59,60.83,61.24,58.04,758700
2017-06-05,61.22,61.54,60.16,61.24,58.04,699100
2017-06-06,61.02,61.58,60.96,61.39,58.18,568800
2017-06-07,61.67,62.38,61.54,62.02,58.78,986700
2017-06-08,62.18,62.91,61.5,62.64,59.37,1044600
2017-06-09,62.87,63.2,60.6,60.79,57.61,958500
2017-06-12,60.21,61.22,59.55,60.98,57.79,1286600
2017-06-13,61.07,61.77,60.98,61.56,58.34,1006100
2017-06-14,61.33,61.92,61.03,61.66,58.44,826000
2017-06-15,61.22,62.08,60.85,62.06,58.82,836200
2017-06-16,62.05,62.14,61.67,61.94,58.7,1175100
2017-06-19,62.34,62.61,61.68,62.53,59.26,843200
2017-06-20,62.35,63.17,62.18,62.89,59.6,807200
2017-06-21,63.04,63.14,62.61,62.77,59.49,549700
2017-06-22,62.84,63.22,62.38,63.17,59.87,666800
2017-06-23,63.2,65.47,63.0,65.22,61.81,2211000
2017-06-26,65.91,66.33,64.4,64.65,61.27,1034600
2017-06-27,63.96,64.71,62.88,62.9,59.61,1020000
2017-06-28,63.14,63.68,62.69,63.41,60.09,859700
2017-06-29,63.38,63.38,62.26,62.87,59.58,634300
2017-06-30,63.13,63.39,62.5,62.53,59.26,890800
2017-07-03,62.55,63.6,62.55,62.76,59.48,340900
2017-07-05,62.83,63.42,62.66,62.99,59.7,773600
2017-07-06,62.42,62.6,61.14,61.23,58.03,1284100
2017-07-07,61.38,62.5,61.28,62.36,59.1,1088400
2017-07-10,62.3,62.85,62.29,62.63,59.36,717500
2017-07-11,62.4,63.43,62.4,63.23,59.92,718500
2017-07-12,63.2,64.0,63.2,63.45,60.13,530400
2017-07-13,63.54,63.99,63.19,63.35,60.04,664900
2017-07-14,63.34,63.77,62.75,63.56,60.24,983100
2017-07-17,63.5,63.85,63.18,63.72,60.39,492500
2017-07-18,63.54,63.84,63.12,63.59,60.27,704700
2017-07-19,63.56,64.52,63.56,64.06,60.71,608300
