Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,64.82,64.89,64.3,64.36,62.26,1286100
2017-05-25,64.67,65.2,64.55,65.1,62.98,1547300
2017-05-26,65.15,65.18,64.73,64.95,62.83,1643300
2017-05-30,64.78,65.47,64.36,65.43,63.29,2422000
2017-05-31,65.4,65.58,64.88,65.35,63.22,2820000
2017-06-01,65.5,66.86,65.42,66.7,64.52,1399500
2017-06-02,66.74,67.67,66.44,67.42,65.22,1737900
2017-06-05,67.63,69.28,67.07,67.91,65.69,3871800
2017-06-06,67.94,69.25,67.75,68.23,66.0,2470400
2017-06-07,68.35,68.74,67.77,68.17,65.95,1683900
2017-06-08,68.12,68.42,67.56,68.11,65.89,1188800
2017-06-09,68.01,68.16,66.05,66.28,64.12,2163500
2017-06-12,67.37,67.37,64.79,65.79,63.64,2853800
2017-06-13,65.82,66.64,65.7,66.47,64.3,1438300
2017-06-14,66.53,66.98,65.46,65.95,63.8,1141600
2017-06-15,65.55,66.07,65.15,65.93,63.78,1630900
2017-06-16,65.89,66.29,65.53,66.04,63.88,2867000
2017-06-19,66.17,67.4,65.89,67.34,65.14,1222800
2017-06-20,67.32,67.46,66.8,66.85,64.67,1067100
2017-06-21,67.0,67.52,66.86,67.15,64.96,921400
2017-06-22,66.89,67.72,66.77,67.34,65.14,961700
2017-06-23,67.57,68.41,67.15,68.32,66.09,2342400
2017-06-26,68.33,68.71,67.15,67.31,65.11,1384500
2017-06-27,67.21,67.39,66.28,66.34,64.17,1273900
2017-06-28,66.56,67.29,65.93,67.15,64.96,1015000
2017-06-29,67.06,67.14,65.36,66.13,63.97,1953800
2017-06-30,66.52,66.83,66.16,66.47,64.3,1355100
2017-07-03,66.77,66.98,65.13,65.5,63.36,1249300
2017-07-05,65.67,66.89,65.34,66.58,64.41,1125400
2017-07-06,66.18,66.57,64.95,65.03,62.91,1495900
2017-07-07,65.29,66.04,65.18,65.74,63.59,2035100
2017-07-10,65.48,65.65,64.62,65.34,63.21,2626700
2017-07-11,65.18,65.46,64.84,65.31,63.18,1393000
2017-07-12,66.16,66.5,65.57,65.71,63.57,1202800
2017-07-13,65.94,65.95,64.79,65.22,63.09,930400
2017-07-14,65.35,65.99,65.31,65.83,63.68,1022400
2017-07-17,65.85,66.45,65.56,66.23,64.07,2333000
2017-07-18,66.17,66.22,65.48,66.16,64.0,1033700
2017-07-19,66.34,66.34,65.46,65.57,63.43,979100
2017-07-20,65.71,65.93,65.26,65.46,63.32,1043800
2017-07-21,65.21,65.83,65.12,65.38,63.25,1050900
2017-07-24,65.25,65.77,65.0,65.74,63.59,969000
2017-07-25,65.82,65.97,65.31,65.55,63.41,1340200
2017-07-26,65.57,65.9,64.43,64.62,62.51,1521100
2017-07-27,63.43,64.08,62.57,63.52,61.45,3185500
2017-07-28,64.6,65.61,64.17,64.6,62.49,2793100
2017-07-31,64.48,65.4,64.04,64.37,62.27,1670600
2017-08-01,64.48,64.97,64.15,64.81,62.69,1660500
2017-08-02,64.81,64.85,63.88,64.08,61.99,1654100
2017-08-03,63.9,64.29,63.25,63.58,61.51,1753600
2017-08-04,63.56,63.97,62.9,63.08,61.02,1282200
2017-08-07,63.14,63.65,62.74,63.38,61.31,1530000
2017-08-08,63.18,63.49,62.86,63.16,61.1,1200400
2017-08-09,62.97,63.05,62.36,62.49,60.45,1680000
2017-08-10,62.58,62.71,61.55,61.6,59.59,1603800
2017-08-11,61.85,62.32,61.53,62.11,60.08,1158600
2017-08-14,62.36,63.25,62.35,62.91,60.86,1339600
2017-08-15,62.96,63.61,62.67,63.44,61.37,1119500
2017-08-16,63.45,64.01,63.15,63.96,61.87,1759600
2017-08-17,63.81,64.69,63.3,63.36,61.29,2644200
2017-08-18,63.28,64.57,63.19,64.25,62.15,2250000
2017-08-21,64.19,64.97,63.69,64.93,62.81,1809400
2017-08-22,65.01,65.55,64.76,65.37,63.24,1239500
2017-08-23,65.22,65.39,64.6,64.77,62.66,1388000
