Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,320.2,332.28,318.3,329.04,329.04,1789300
2017-05-25,329.59,336.28,329.0,333.76,333.76,2180000
2017-05-26,334.38,338.91,333.01,337.44,337.44,926700
2017-05-30,336.49,340.0,334.85,338.92,338.92,1062400
2017-05-31,340.0,345.85,338.73,345.55,345.55,2012000
2017-06-01,346.5,354.05,339.47,346.39,346.39,2390000
2017-06-02,348.11,353.37,347.5,353.03,353.03,1586300
2017-06-05,355.0,355.0,343.72,344.43,344.43,1479000
2017-06-06,344.46,345.52,341.71,342.83,342.83,1042000
2017-06-07,343.66,347.01,341.64,345.88,345.88,966000
2017-06-08,344.9,345.24,333.38,337.45,337.45,1990800
2017-06-09,338.51,340.13,329.97,332.84,332.84,1442800
2017-06-12,330.9,339.24,329.04,338.65,338.65,1395700
2017-06-13,335.99,344.22,335.99,341.81,341.81,1106300
2017-06-14,342.83,344.17,336.13,338.33,338.33,1276600
2017-06-15,336.81,340.57,333.5,338.34,338.34,1318700
2017-06-16,335.94,340.99,331.08,340.22,340.22,2406100
2017-06-19,342.0,345.19,339.97,340.26,340.26,1883700
2017-06-20,337.95,339.93,329.43,333.61,333.61,2161100
2017-06-21,333.85,335.37,332.87,333.88,333.88,1045900
2017-06-22,333.93,340.24,333.54,334.13,334.13,1116000
2017-06-23,334.79,335.43,326.4,330.8,330.8,3100600
2017-06-26,331.68,333.64,330.17,332.65,332.65,941900
2017-06-27,330.75,332.29,327.14,329.87,329.87,1448200
2017-06-28,330.56,340.95,329.24,340.3,340.3,1513300
2017-06-29,339.38,340.19,332.13,335.74,335.74,2025200
2017-06-30,338.29,338.41,332.4,336.85,336.85,1394600
2017-07-03,338.26,339.45,328.65,328.67,328.67,793700
2017-07-05,329.23,335.24,328.8,335.11,335.11,1341900
2017-07-06,334.01,335.52,331.06,332.18,332.18,1251900
2017-07-07,332.08,334.43,330.58,332.43,332.43,870500
2017-07-10,333.13,338.4,332.1,336.6,336.6,1016000
2017-07-11,337.12,339.85,334.44,337.85,337.85,953300
2017-07-12,340.79,344.83,339.05,342.65,342.65,1071200
2017-07-13,343.07,343.23,338.0,339.04,339.04,930200
2017-07-14,340.8,344.51,335.79,342.8,342.8,1086000
2017-07-17,342.09,345.28,341.95,342.31,342.31,967100
2017-07-18,340.98,345.42,338.4,344.63,344.63,895200
2017-07-19,345.02,347.26,342.97,346.61,346.61,1256300
2017-07-20,346.47,349.67,344.32,345.3,345.3,1244800
2017-07-21,345.3,351.87,345.3,350.07,350.07,1340200
2017-07-24,349.79,350.43,345.25,348.08,348.08,1473700
2017-07-25,349.47,350.89,346.58,348.0,348.0,881700
2017-07-26,348.8,351.68,346.03,348.77,348.77,2265800
2017-07-27,354.0,370.96,353.02,366.9,366.9,3552400
2017-07-28,365.39,372.37,361.0,370.26,370.26,1600300
2017-07-31,396.5,399.91,385.4,391.97,391.97,6272700
2017-08-01,392.84,392.97,383.73,387.42,387.42,2274000
2017-08-02,386.39,388.25,381.7,385.54,385.54,1370400
2017-08-03,384.54,387.41,383.29,384.3,384.3,1006600
2017-08-04,385.0,386.0,380.56,384.63,384.63,697900
2017-08-07,384.65,386.45,380.77,381.02,381.02,1309000
2017-08-08,380.02,393.24,378.26,389.75,389.75,1913100
2017-08-09,387.89,408.83,386.38,400.9,400.9,3978100
2017-08-10,398.69,404.06,396.72,398.68,398.68,2070000
2017-08-11,400.08,402.45,392.6,394.49,394.49,2399800
2017-08-14,398.78,405.33,397.0,401.08,401.08,2439900
2017-08-15,401.05,403.36,395.92,397.73,397.73,2258100
2017-08-16,399.35,402.49,397.18,400.78,400.78,1727300
2017-08-17,401.0,401.65,393.17,393.36,393.36,1596000
2017-08-18,391.53,396.27,390.71,392.97,392.97,1304100
2017-08-21,392.75,396.9,391.38,396.45,396.45,970800
2017-08-22,398.15,399.99,395.0,397.05,397.05,993700
2017-08-23,396.29,396.29,390.26,390.33,390.33,1280600
2017-08-24,390.09,391.53,384.24,389.23,389.23,1401100
2017-08-25,391.42,392.53,387.51,388.79,388.79,758600
2017-08-28,390.88,391.2,385.94,389.23,389.23,988000
2017-08-29,386.6,390.17,385.56,388.82,388.82,1118000
2017-08-30,388.22,395.16,388.22,393.37,393.37,953900
2017-08-31,394.54,398.88,392.66,398.54,398.54,1921800
2017-09-01,398.93,399.34,391.87,392.48,392.48,1240600
2017-09-05,392.26,395.68,388.01,393.32,393.32,1189200
2017-09-06,393.58,403.65,389.3,402.5,402.5,1664500
2017-09-07,404.04,404.72,387.89,395.64,395.64,2802000
2017-09-08,394.63,395.6,387.0,392.9,392.9,2141700
2017-09-11,394.93,397.39,380.69,381.01,381.01,2090700
2017-09-12,380.92,386.16,374.7,381.57,381.57,2719900
2017-09-13,381.48,386.0,379.48,385.13,385.13,1616200
2017-09-14,382.17,384.76,375.76,376.0,376.0,2338000
2017-09-15,375.91,377.41,367.69,369.47,369.47,5270000
2017-09-18,370.2,371.51,365.9,368.17,368.17,1870900
2017-09-19,368.39,369.84,360.43,364.02,364.02,3302200
2017-09-20,365.99,371.5,363.5,367.01,367.01,2156500
2017-09-21,365.88,366.4,359.09,361.08,361.08,2374100
2017-09-22,359.54,363.33,358.75,360.3,360.3,2078500
2017-09-25,358.24,360.04,356.11,357.58,357.58,1773000
2017-09-26,359.51,361.01,356.58,359.04,359.04,2090900
2017-09-27,359.59,365.5,356.88,362.85,362.85,2280100
2017-09-28,359.5,362.54,357.26,360.95,360.95,1198200
2017-09-29,359.77,365.01,357.68,363.42,363.42,1317400
2017-10-02,364.52,366.52,362.87,364.11,364.11,1295200
2017-10-03,363.94,370.25,363.23,369.51,369.51,1272000
