Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,160.58,162.14,160.09,161.86,158.14,854300
2017-05-25,162.58,164.28,161.64,161.65,157.94,1796900
2017-05-26,161.87,162.13,159.91,161.32,157.61,1348300
2017-05-30,161.45,162.27,161.05,161.5,157.79,1084100
2017-05-31,161.42,162.37,160.76,161.23,157.52,1130200
2017-06-01,161.79,164.8,161.2,163.95,160.18,2236100
2017-06-02,164.0,165.16,163.78,164.46,160.68,1377500
2017-06-05,164.59,165.59,163.89,164.76,160.97,1590500
2017-06-06,164.5,167.06,164.23,165.5,161.7,2165100
2017-06-07,165.92,170.0,165.9,168.48,164.61,2572400
2017-06-08,168.48,169.5,165.67,166.51,162.68,3074800
2017-06-09,166.61,168.08,165.63,166.74,162.91,1746300
2017-06-12,166.5,166.95,163.46,166.8,162.97,1595300
2017-06-13,166.82,167.75,165.88,166.55,162.72,1383800
2017-06-14,167.0,168.36,166.44,168.11,164.25,1199400
2017-06-15,167.65,168.2,166.56,167.28,163.44,1056800
2017-06-16,167.83,169.25,167.12,169.08,165.19,2008800
2017-06-19,169.08,170.5,169.08,170.26,166.35,1895600
2017-06-20,170.0,170.56,169.17,169.58,165.68,2130800
2017-06-21,169.52,171.62,169.52,170.18,166.27,1356100
2017-06-22,170.2,173.21,169.79,170.68,166.76,2192800
2017-06-23,171.0,171.15,168.9,169.61,165.71,3666200
2017-06-26,169.65,169.91,167.94,168.26,164.39,1407000
2017-06-27,168.65,169.36,166.89,167.05,163.21,1711200
2017-06-28,167.83,169.03,167.37,168.13,164.27,1271900
2017-06-29,168.5,168.86,166.06,166.7,162.87,1112000
2017-06-30,166.69,168.06,166.56,167.39,163.54,1751900
2017-07-03,168.27,168.44,166.81,167.5,163.65,854300
2017-07-05,167.55,169.32,167.25,169.16,165.27,2368300
2017-07-06,168.85,169.34,166.86,167.94,164.08,1049200
2017-07-07,168.5,170.39,168.11,169.61,165.71,1529600
2017-07-10,169.22,170.64,168.46,169.57,165.67,1759400
2017-07-11,169.65,171.34,169.18,171.16,167.23,1101000
2017-07-12,171.51,173.44,170.88,172.06,168.11,1474200
2017-07-13,172.24,174.2,171.99,173.05,169.07,1073300
2017-07-14,173.01,174.27,172.6,173.8,169.81,945800
2017-07-17,174.4,174.4,172.96,174.19,170.19,1019000
2017-07-18,174.23,174.46,170.81,172.1,168.15,1392300
2017-07-19,172.45,174.97,172.45,174.31,170.3,1240500
2017-07-20,174.31,175.05,173.58,174.49,170.48,883300
2017-07-21,174.24,175.17,173.99,174.23,170.23,726800
2017-07-24,174.14,174.91,173.63,174.53,170.52,940900
2017-07-25,175.28,175.8,173.56,173.81,169.82,1166100
2017-07-26,173.48,174.47,172.52,173.57,169.58,913000
2017-07-27,173.33,173.58,171.19,172.07,168.12,860200
2017-07-28,172.26,174.2,170.92,173.97,169.97,920300
2017-07-31,173.89,175.18,173.34,173.56,169.57,986300
2017-08-01,174.0,174.64,172.87,172.96,168.99,864300
2017-08-02,173.18,175.33,173.18,174.74,170.72,924300
2017-08-03,175.85,177.24,174.96,176.05,172.0,1574000
2017-08-04,177.99,178.5,170.55,172.55,168.58,2225500
2017-08-07,172.67,176.98,172.5,175.98,171.94,1692100
2017-08-08,175.67,176.79,174.68,175.63,171.59,1108600
2017-08-09,175.7,178.35,174.5,178.08,173.99,1508800
2017-08-10,177.38,178.57,175.12,175.36,171.33,1143700
2017-08-11,175.99,176.82,174.22,174.38,170.37,1174000
2017-08-14,175.61,177.19,175.61,176.35,172.3,795800
2017-08-15,176.83,179.5,176.62,179.16,175.04,1339100
2017-08-16,179.5,180.42,179.46,179.86,175.73,942600
2017-08-17,179.61,181.0,178.0,178.03,173.94,1065800
