Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,69.79,69.97,69.49,69.7,60.75,303400
2017-05-25,69.82,70.52,69.74,70.45,61.41,504300
2017-05-26,70.33,70.45,69.85,69.91,60.94,435800
2017-05-30,69.66,69.77,69.14,69.53,60.6,483900
2017-05-31,69.81,70.17,69.36,70.08,61.08,798500
2017-06-01,69.99,70.93,69.9,70.93,61.82,550700
2017-06-02,70.89,71.03,70.55,70.72,61.64,481200
2017-06-05,70.52,70.86,70.29,70.34,61.31,467300
2017-06-06,69.95,70.34,69.44,69.48,60.56,538800
2017-06-07,69.72,69.74,69.29,69.56,60.63,627500
2017-06-08,69.73,70.56,69.6,70.46,61.41,548300
2017-06-09,70.61,71.81,70.61,71.78,62.57,522900
2017-06-12,71.72,73.09,71.62,73.02,63.65,714900
2017-06-13,73.3,73.3,72.52,72.88,63.52,495200
2017-06-14,72.71,73.25,72.43,73.05,63.67,396800
2017-06-15,72.57,73.96,72.57,73.89,64.4,390100
2017-06-16,73.93,73.98,73.32,73.75,64.28,890700
2017-06-19,73.42,73.54,72.84,73.1,64.15,464200
2017-06-20,72.97,73.1,72.34,72.38,63.52,390100
2017-06-21,72.42,72.53,71.54,71.62,62.85,374000
2017-06-22,71.55,71.71,71.16,71.46,62.71,409600
2017-06-23,71.57,71.72,71.0,71.23,62.51,555000
2017-06-26,71.26,72.04,71.23,71.96,63.15,319800
2017-06-27,72.04,72.34,71.52,71.92,63.12,377300
2017-06-28,72.37,72.93,71.98,72.55,63.67,318300
2017-06-29,72.94,73.19,72.0,72.42,63.55,502500
2017-06-30,72.89,72.92,72.17,72.45,63.58,687000
2017-07-03,72.94,74.35,72.94,73.1,64.15,453100
2017-07-05,73.35,73.35,72.22,72.56,63.68,455100
2017-07-06,72.52,72.62,72.02,72.2,63.36,576300
2017-07-07,72.44,73.05,72.13,72.66,63.76,520700
2017-07-10,72.51,72.67,72.11,72.15,63.32,534700
2017-07-11,72.11,72.26,71.6,71.84,63.04,387500
2017-07-12,71.88,72.04,71.64,71.98,63.17,391200
2017-07-13,72.11,72.76,71.71,72.5,63.62,412600
2017-07-14,72.23,72.96,71.88,72.69,63.79,337500
2017-07-17,72.62,72.99,72.25,72.73,63.83,462200
2017-07-18,72.35,72.59,71.95,72.37,63.51,390000
2017-07-19,72.39,73.43,72.3,73.31,64.33,384700
2017-07-20,73.33,74.09,72.95,74.06,64.99,402700
2017-07-21,73.91,74.6,73.91,74.42,65.31,385200
2017-07-24,74.49,75.33,74.44,75.26,66.05,384900
