Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,74.05,74.72,73.93,74.6,66.33,2595700
2017-05-25,74.75,75.58,74.65,75.37,67.01,3410500
2017-05-26,75.18,75.63,75.11,75.45,67.08,2153800
2017-05-30,75.52,76.16,75.24,76.09,67.65,4698400
2017-05-31,76.19,76.83,76.07,76.36,67.89,6266700
2017-06-01,76.5,76.69,76.05,76.69,68.19,2638400
2017-06-02,77.0,77.11,76.5,77.11,68.56,2305000
2017-06-05,77.0,77.26,76.55,77.23,68.67,2091500
2017-06-06,77.0,77.25,76.62,77.0,68.46,2544500
2017-06-07,77.0,77.27,76.81,77.16,68.6,2099500
2017-06-08,77.16,77.16,75.52,75.79,67.39,3361600
2017-06-09,75.85,76.09,75.36,75.77,67.37,2985600
2017-06-12,75.86,76.0,75.08,75.55,67.17,2571700
2017-06-13,75.29,75.81,75.06,75.69,67.3,2591000
2017-06-14,76.17,76.35,75.6,75.88,67.47,2532800
2017-06-15,75.71,76.57,75.52,76.35,67.88,2226500
2017-06-16,76.0,76.6,75.8,76.31,67.85,3813700
2017-06-19,76.5,76.9,76.09,76.9,68.37,2889900
2017-06-20,76.87,77.24,76.33,76.35,67.88,2383200
2017-06-21,76.35,76.36,75.56,75.68,67.29,2522800
2017-06-22,75.7,75.86,75.41,75.53,67.15,2373500
2017-06-23,75.63,76.48,75.45,75.92,67.5,3114300
2017-06-26,76.15,76.19,75.81,75.89,67.47,1906700
2017-06-27,75.83,75.97,75.33,75.37,67.01,3541100
2017-06-28,75.69,75.83,75.0,75.09,66.76,2078600
2017-06-29,74.82,75.04,74.04,74.12,65.9,2882800
2017-06-30,74.31,74.47,74.12,74.13,65.91,3619100
2017-07-03,74.34,74.47,73.93,73.94,65.74,1489900
2017-07-05,74.0,74.19,73.71,73.76,65.58,2197400
2017-07-06,73.68,74.0,73.3,73.45,65.3,2854000
2017-07-07,73.69,73.76,73.15,73.34,65.21,2670400
2017-07-10,73.27,73.69,72.81,73.08,64.98,2427900
2017-07-11,73.09,73.1,72.34,72.4,64.37,3099000
2017-07-12,72.75,72.86,72.22,72.28,64.26,2192100
2017-07-13,72.21,72.59,71.79,72.23,64.22,3913500
2017-07-14,72.17,72.67,72.01,72.49,64.81,2484100
2017-07-17,72.41,72.87,72.14,72.59,64.9,3297000
2017-07-18,72.6,72.86,72.36,72.52,64.84,2872600
2017-07-19,72.42,72.68,72.29,72.49,64.81,2877400
2017-07-20,72.59,72.88,72.08,72.09,64.45,3683600
2017-07-21,69.8,73.68,69.78,73.27,65.51,7173300
2017-07-24,73.06,73.1,71.64,71.85,64.24,4678700
2017-07-25,72.33,72.33,71.47,72.05,64.42,3923400
2017-07-26,71.83,74.59,71.56,73.0,65.27,6080800
2017-07-27,73.2,73.4,72.33,72.95,65.22,4326500
2017-07-28,72.83,73.11,72.26,72.54,64.85,3407500
2017-07-31,72.45,72.78,72.18,72.2,64.55,3196200
2017-08-01,72.11,72.29,71.62,71.7,64.1,3052900
2017-08-02,71.59,71.92,71.16,71.62,64.03,3059500
2017-08-03,71.9,72.0,71.4,71.6,64.01,2660200
2017-08-04,71.84,71.88,71.27,71.48,63.91,2297300
2017-08-07,71.46,71.82,71.27,71.74,64.14,2049200
2017-08-08,71.72,72.08,71.54,71.7,64.1,1909000
2017-08-09,71.57,71.93,71.48,71.57,63.99,2486500
2017-08-10,71.4,71.84,71.21,71.55,63.97,2567900
2017-08-11,71.78,71.88,71.23,71.26,63.71,2023500
2017-08-14,71.48,71.68,71.27,71.45,63.88,3043200
2017-08-15,71.45,72.01,71.45,71.8,64.19,2307900
2017-08-16,71.79,72.0,71.51,71.93,64.31,2258600
2017-08-17,71.99,72.35,71.27,71.3,63.75,3250900
2017-08-18,71.34,71.52,71.01,71.02,63.5,3317600
2017-08-21,71.08,71.75,71.08,71.61,64.02,2436300
2017-08-22,71.68,71.96,71.45,71.64,64.05,2360600
2017-08-23,71.5,71.5,71.06,71.22,63.67,2148100
2017-08-24,71.34,71.42,70.69,70.78,63.28,3685800
2017-08-25,71.12,71.51,70.88,71.15,63.61,2162200
2017-08-28,71.28,71.33,70.66,70.9,63.39,3106100
2017-08-29,70.78,71.86,70.67,71.3,63.75,2691800
2017-08-30,71.1,71.26,70.78,70.95,63.43,2076800
