Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,69.72,69.81,68.4,69.2,57.73,1955200
2017-05-25,69.62,69.84,68.73,69.07,57.62,1406300
2017-05-26,68.93,69.67,68.73,69.22,57.75,1067800
2017-05-30,68.85,68.99,67.87,68.5,57.15,1749900
2017-05-31,68.63,68.63,67.17,68.56,57.2,2445900
2017-06-01,69.2,69.24,67.69,69.08,57.63,1361800
2017-06-02,68.25,69.08,67.63,68.57,57.21,1276500
2017-06-05,68.63,69.6,68.52,69.11,57.66,1221400
2017-06-06,68.25,68.91,67.93,68.42,57.08,1791500
2017-06-07,68.64,69.43,68.49,68.85,57.44,1199500
2017-06-08,68.85,71.53,68.6,70.79,59.06,2230400
2017-06-09,72.0,73.16,71.49,72.67,60.63,2106700
2017-06-12,72.62,73.58,72.1,72.8,60.74,1989000
2017-06-13,74.0,74.45,73.52,73.87,61.85,3165500
2017-06-14,73.3,74.51,72.59,74.26,62.18,2173100
2017-06-15,73.67,74.76,73.65,74.08,62.03,1602100
2017-06-16,74.16,75.01,73.84,74.12,62.06,4587700
2017-06-19,74.64,75.3,74.4,74.62,62.48,1361700
2017-06-20,74.42,74.44,73.12,73.28,61.36,1806000
2017-06-21,73.59,73.65,71.96,72.32,60.55,1858600
2017-06-22,72.32,72.4,71.14,71.42,59.8,2142900
2017-06-23,71.88,71.96,70.47,70.85,59.32,2141200
2017-06-26,71.03,71.75,70.46,71.07,59.51,1378000
2017-06-27,71.7,72.77,71.25,71.8,60.12,1472100
2017-06-28,72.47,72.95,71.92,71.94,60.23,2826800
2017-06-29,73.78,74.97,72.13,72.79,60.95,2187100
2017-06-30,73.1,73.67,72.46,73.24,61.32,1415500
2017-07-03,73.91,74.93,73.65,74.39,62.29,650600
2017-07-05,74.61,74.71,73.64,74.43,62.32,1277100
2017-07-06,74.55,75.05,73.97,74.13,62.07,1140900
2017-07-07,74.84,74.98,73.76,74.67,62.52,991600
2017-07-10,74.38,75.44,74.21,75.13,62.91,1259800
2017-07-11,75.19,75.72,74.73,75.23,62.99,1549900
2017-07-12,74.92,75.34,74.6,74.89,62.7,1295100
2017-07-13,75.11,75.29,74.69,75.1,62.88,1872700
2017-07-14,74.13,74.63,73.19,74.26,62.18,1606400
2017-07-17,74.15,74.67,73.64,74.52,62.39,2020100
2017-07-18,73.0,74.1,72.39,73.05,61.16,2364700
2017-07-19,73.4,73.56,71.9,72.49,60.69,2439800
2017-07-20,72.59,73.28,72.15,72.43,60.64,1947000
2017-07-21,72.11,72.91,71.72,72.46,60.67,1931800
2017-07-24,72.5,73.51,72.5,73.28,61.36,1613100
2017-07-25,74.74,75.2,73.77,74.13,62.07,1933000
2017-07-26,74.52,74.61,72.38,72.53,60.73,1626300
2017-07-27,72.66,72.66,71.11,72.01,60.29,1774400
2017-07-28,72.02,72.41,71.18,71.98,60.27,985900
2017-07-31,72.02,73.03,72.02,72.31,60.54,1671700
2017-08-01,72.96,73.09,71.92,72.31,60.54,1839900
2017-08-02,72.21,72.73,72.05,72.49,60.69,1539800
2017-08-03,72.58,73.34,72.49,72.84,60.99,2094600
2017-08-04,73.57,74.77,73.46,73.86,61.84,1109100
2017-08-07,73.9,74.23,73.33,73.43,61.48,709800
2017-08-08,73.3,74.76,73.12,73.46,61.51,1437000
2017-08-09,72.83,73.3,71.84,72.47,60.68,1096500
2017-08-10,71.98,72.11,70.36,70.81,59.29,1812900
2017-08-11,70.74,71.23,69.86,70.21,58.79,1382900
2017-08-14,71.14,71.91,70.95,71.67,60.01,1254100
2017-08-15,72.5,73.28,71.88,71.94,60.23,987200
2017-08-16,72.31,72.78,71.42,71.66,60.0,1295700
2017-08-17,71.35,71.76,69.39,69.48,58.17,1176400
2017-08-18,69.16,70.1,68.88,69.37,58.08,1523500
2017-08-21,69.41,69.51,68.45,68.77,57.58,1230400
2017-08-22,69.17,69.99,69.09,69.85,58.48,1367100
2017-08-23,69.31,70.64,69.06,70.11,58.7,702500
2017-08-24,70.39,70.86,70.14,70.37,58.92,880900
2017-08-25,70.57,70.95,70.28,70.32,58.88,724600
2017-08-28,70.54,70.59,68.99,69.24,57.97,1521000
2017-08-29,68.26,68.93,67.67,68.59,57.43,1708000
2017-08-30,68.73,69.18,68.54,68.65,57.48,1790800
2017-08-31,69.06,69.07,68.1,68.25,57.14,1906300
2017-09-01,68.47,69.76,68.33,69.3,58.02,1720000
2017-09-05,68.6,68.6,66.54,66.74,55.88,2407000
2017-09-06,67.15,67.41,66.64,66.88,56.0,1494500
2017-09-07,66.71,66.77,64.04,64.46,53.97,2036000
