Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,39.85,40.4,39.68,40.33,36.49,17023700
2017-05-25,40.55,40.8,40.23,40.34,36.5,35101100
2017-05-26,40.21,40.99,40.21,40.91,37.02,18189500
2017-05-30,41.03,41.64,40.88,41.1,37.19,25469500
2017-05-31,41.11,41.71,41.07,41.69,37.72,26340500
2017-06-01,41.63,41.83,41.46,41.66,37.7,17969800
2017-06-02,41.7,42.17,41.55,41.99,37.99,17387000
2017-06-05,42.13,42.18,41.54,41.79,37.81,14300000
2017-06-06,41.83,41.85,41.55,41.72,37.75,12869000
2017-06-07,41.79,41.96,41.64,41.89,37.9,12862700
2017-06-08,41.81,41.9,40.73,40.94,37.04,25478600
2017-06-09,40.92,41.06,40.48,40.69,36.82,20497000
2017-06-12,40.56,41.52,40.56,40.97,37.07,15749200
2017-06-13,40.79,41.27,40.78,41.22,37.3,11430000
2017-06-14,41.41,41.41,40.86,41.09,37.18,12170800
2017-06-15,40.94,41.52,40.89,41.44,37.5,12179100
2017-06-16,41.17,41.35,40.68,41.28,37.35,27387600
2017-06-19,41.83,41.92,41.2,41.8,37.82,15147400
2017-06-20,40.5,41.01,39.92,40.39,36.55,27959000
2017-06-21,40.4,40.53,40.01,40.28,36.45,20115900
2017-06-22,40.34,40.59,39.92,39.94,36.14,18584000
2017-06-23,39.93,39.97,39.35,39.5,35.74,27861300
2017-06-26,39.68,39.75,39.17,39.59,35.82,18124300
2017-06-27,39.51,39.6,39.09,39.25,35.52,25062400
2017-06-28,39.27,40.0,39.18,39.86,36.07,18067400
2017-06-29,39.57,39.77,38.28,38.87,35.17,24803600
2017-06-30,39.13,39.15,38.75,38.92,35.36,18261600
2017-07-03,39.08,39.25,38.32,38.36,34.85,11541700
2017-07-05,38.51,38.77,38.3,38.71,35.17,20074100
2017-07-06,38.51,38.59,38.14,38.25,34.75,14121900
2017-07-07,38.3,38.74,38.25,38.57,35.04,17471300
2017-07-10,38.56,38.95,38.51,38.76,35.21,13675400
2017-07-11,38.74,38.98,38.62,38.77,35.22,19858600
2017-07-12,39.23,39.31,38.99,39.02,35.45,13415500
2017-07-13,39.06,39.36,39.04,39.31,35.71,15999300
2017-07-14,39.46,39.49,38.62,39.2,35.61,19790200
2017-07-17,39.12,39.33,39.06,39.2,35.61,10835700
2017-07-18,39.29,39.3,38.8,39.18,35.6,11932000
2017-07-19,39.26,39.36,38.84,39.34,35.74,11517800
2017-07-20,39.34,39.7,39.17,39.49,35.88,14159300
2017-07-21,39.38,40.0,39.34,39.63,36.01,11648300
2017-07-24,39.65,39.7,39.26,39.47,35.86,11227300
2017-07-25,39.65,39.92,39.49,39.75,36.11,17875100
2017-07-26,39.63,39.97,39.15,39.35,35.75,25370700
2017-07-27,40.15,40.25,38.87,39.43,35.82,51419900
2017-07-28,39.35,39.6,39.14,39.52,35.91,20378100
2017-07-31,39.94,40.66,39.9,40.45,36.75,27131000
2017-08-01,40.4,40.85,40.11,40.34,36.65,18798800
2017-08-02,40.17,40.19,39.55,40.01,36.35,17281900
2017-08-03,39.63,39.99,39.51,39.7,36.07,16315000
2017-08-04,39.83,39.84,39.54,39.6,35.98,11476600
2017-08-07,39.63,39.7,39.45,39.61,35.99,12280800
2017-08-08,39.62,40.17,39.43,39.92,36.27,13626200
2017-08-09,39.54,40.67,39.35,40.63,36.91,17401800
2017-08-10,40.4,41.05,40.38,40.73,37.0,20578400
2017-08-11,40.76,41.28,40.67,41.11,37.35,16735300
2017-08-14,41.48,41.98,41.38,41.9,38.07,18477600
2017-08-15,41.96,41.99,41.24,41.5,37.7,13599400
2017-08-16,41.68,41.68,41.05,41.24,37.47,11617500
2017-08-17,41.2,41.24,40.26,40.27,36.59,15084600
2017-08-18,40.12,40.77,40.05,40.52,36.81,19547100
2017-08-21,40.53,40.94,40.47,40.8,37.07,16498100
2017-08-22,40.93,41.51,40.86,41.35,37.57,11752300
2017-08-23,41.25,41.3,40.62,40.65,36.93,11720800
2017-08-24,40.8,40.88,40.01,40.14,36.47,14401700
2017-08-25,40.32,40.55,39.92,40.2,36.52,13409700
2017-08-28,40.34,40.48,40.17,40.34,36.65,8330900
2017-08-29,40.17,40.42,40.08,40.16,36.49,9145800
2017-08-30,40.1,40.93,40.01,40.82,37.09,11902100
2017-08-31,40.89,40.98,40.52,40.61,36.9,14273400
2017-09-01,40.77,41.23,40.65,41.06,37.3,11343400
2017-09-05,40.97,41.15,40.4,40.67,36.95,11380700
2017-09-06,40.8,41.34,40.55,41.17,37.4,14572800
2017-09-07,41.25,41.25,38.21,38.6,35.07,70719000
2017-09-08,38.45,38.46,37.51,38.21,34.72,53868200
2017-09-11,38.3,38.42,37.56,37.83,34.37,29644600
2017-09-12,38.38,38.83,37.56,37.9,34.43,36773200
2017-09-13,37.89,38.31,37.88,37.96,34.49,23398200
2017-09-14,37.94,38.04,37.57,37.6,34.16,26552600
2017-09-15,37.55,37.55,36.44,36.93,33.55,62370100
2017-09-18,36.88,37.31,36.59,37.11,33.72,27256900
2017-09-19,37.07,37.42,36.67,37.3,33.89,38769700
2017-09-20,37.44,37.8,37.25,37.46,34.03,31081300
2017-09-21,37.38,37.74,37.37,37.47,34.04,18562700
2017-09-22,37.28,38.14,37.27,38.1,34.62,21749200
2017-09-25,38.07,38.11,37.53,37.91,34.44,21601800
2017-09-26,37.9,38.08,37.64,37.81,34.35,16012300
2017-09-27,37.83,38.84,37.72,38.53,35.01,24698700
2017-09-28,38.25,38.4,37.73,37.82,34.36,16361300
2017-09-29,37.82,38.51,37.61,38.48,34.96,19204300
2017-10-02,38.41,38.85,37.93,37.97,34.5,18158900
2017-10-03,37.78,38.38,37.69,38.3,34.94,18542100
2017-10-04,38.35,38.61,38.12,38.59,35.21,20979300
2017-10-05,38.6,38.78,38.09,38.35,34.99,20141600
2017-10-06,38.31,38.45,37.95,38.01,34.68,18821500
2017-10-09,37.99,38.25,37.72,37.8,34.49,10684800
2017-10-10,37.8,38.04,37.51,37.69,34.39,15016500
2017-10-11,37.64,37.64,37.2,37.42,34.14,26369100
2017-10-12,36.8,36.9,35.78,35.95,32.8,50704500
2017-10-13,35.92,36.16,35.26,36.01,32.85,43672500
2017-10-16,36.16,37.09,36.12,36.61,33.4,26664900
2017-10-17,36.57,36.73,36.44,36.47,33.27,14930300
2017-10-18,36.55,36.63,36.13,36.2,33.03,17992900
2017-10-19,36.15,37.01,36.05,36.9,33.66,25334200
2017-10-20,37.2,37.22,36.87,37.22,33.96,14577700
2017-10-23,37.27,37.27,36.52,36.55,33.35,30745800
2017-10-24,36.64,36.88,36.26,36.5,33.3,25248400
2017-10-25,36.22,36.85,36.2,36.83,33.6,26233700
2017-10-26,35.89,37.2,35.52,36.27,33.09,58632000
2017-10-27,35.93,36.92,35.34,36.79,33.56,51081700
2017-10-30,36.67,36.7,36.06,36.5,33.3,29432200
2017-10-31,36.51,36.57,35.93,36.03,32.87,21828600
2017-11-01,36.25,36.42,35.94,36.08,32.92,18199800
2017-11-02,36.09,36.09,34.92,35.15,32.07,40319000
2017-11-03,35.08,35.69,34.78,35.68,32.55,30164300
2017-11-06,35.58,36.06,35.28,35.54,32.42,23362200
2017-11-07,35.57,36.91,35.57,36.39,33.2,38113900
2017-11-08,36.51,36.63,36.07,36.21,33.04,23914900
2017-11-09,35.98,36.92,35.83,36.56,33.35,16159800
2017-11-10,36.5,37.31,36.5,36.85,33.62,18010100
2017-11-13,36.69,37.28,36.59,37.25,33.98,16256600
2017-11-14,37.01,37.06,36.61,36.86,33.63,20192100
2017-11-15,36.9,37.28,36.67,37.18,33.92,20447100
2017-11-16,36.9,37.57,36.9,37.07,33.82,21597800
2017-11-17,37.0,37.0,36.12,36.16,32.99,38138600
2017-11-20,36.1,36.35,35.75,35.83,32.69,19409500
2017-11-21,36.14,36.51,36.0,36.42,33.23,22750400
2017-11-22,36.39,36.49,36.13,36.41,33.22,16402300
2017-11-24,36.29,36.35,35.78,35.87,32.73,12296300
2017-11-27,35.78,35.87,35.31,35.55,32.43,24580500
2017-11-28,35.56,36.25,35.26,36.25,33.07,34506700
2017-11-29,37.08,37.73,36.01,37.19,33.93,33941000
2017-11-30,36.97,37.64,36.48,37.54,34.25,42859900
2017-12-01,37.15,38.7,37.11,38.43,35.06,32532600
2017-12-04,39.42,40.73,39.42,40.32,36.79,55137400
2017-12-05,39.87,40.39,39.47,39.52,36.06,28738200
2017-12-06,39.83,39.84,38.55,38.63,35.24,25463700
2017-12-07,38.5,38.57,37.75,37.89,34.57,29281700
2017-12-08,38.5,38.5,37.87,37.95,34.62,22224000
2017-12-11,38.28,38.46,37.96,38.44,35.07,23772100
2017-12-12,39.4,40.15,39.0,39.51,36.05,33637600
2017-12-13,39.51,39.54,38.5,38.58,35.2,27981100
2017-12-14,38.81,39.71,38.19,39.12,35.69,23292300
2017-12-15,39.49,39.87,38.99,39.71,36.23,47358400
2017-12-18,39.98,40.08,39.45,39.54,36.07,18523300
2017-12-19,39.46,39.54,38.86,39.14,35.71,21131900
2017-12-20,39.4,39.59,38.96,39.38,35.93,17191000
2017-12-21,39.48,41.24,39.4,40.81,37.23,34401700
2017-12-22,40.84,41.09,40.54,40.78,37.2,13571500
2017-12-26,40.64,41.01,40.63,40.82,37.24,10478700
2017-12-27,40.84,40.85,40.25,40.41,36.87,12029600
2017-12-28,40.58,40.58,40.03,40.29,36.76,9198000
2017-12-29,40.1,40.42,40.05,40.05,36.54,12231000
2018-01-02,40.86,41.11,40.05,41.07,37.62,18270300
2018-01-03,40.75,41.37,40.05,40.41,37.01,21062900
2018-01-04,40.47,40.72,40.1,40.67,37.25,18143800
2018-01-05,40.91,41.24,40.41,41.04,37.59,17007500
2018-01-08,40.77,41.03,40.29,40.48,37.08,15189500
2018-01-09,40.53,41.03,40.45,40.61,37.2,17026000
2018-01-10,40.43,41.17,40.16,41.09,37.64,20198100
2018-01-11,41.2,42.67,41.14,42.6,39.02,36703700
2018-01-12,42.57,42.71,41.93,42.44,38.87,18970000
2018-01-16,42.59,42.59,41.75,41.82,38.3,19018100
2018-01-17,42.05,42.21,41.41,41.68,38.18,17078100
2018-01-18,41.06,41.94,41.01,41.85,38.33,21817300
2018-01-19,41.95,42.58,41.79,42.5,38.93,23591700
2018-01-22,42.41,42.92,42.15,42.89,39.28,22437400
2018-01-23,42.5,42.84,41.96,42.44,38.87,19155500
2018-01-24,42.7,44.0,41.57,42.99,39.38,48918800
2018-01-25,43.12,43.53,41.98,42.14,38.6,27799100
2018-01-26,42.1,42.8,41.95,42.8,39.2,27999900
2018-01-29,42.3,42.34,41.35,41.98,38.45,21559300
2018-01-30,42.03,42.46,41.69,42.34,38.78,21398600
2018-01-31,42.29,42.73,42.08,42.53,38.96,26926300
2018-02-01,42.17,42.59,41.88,41.89,38.37,26485900
2018-02-02,41.5,42.16,40.83,41.11,37.65,32030600
2018-02-05,41.36,41.64,39.1,39.2,35.91,42367300
2018-02-06,38.92,39.8,38.5,39.67,36.34,48696300
2018-02-07,39.5,40.42,39.37,40.15,36.78,33065600
2018-02-08,39.9,40.16,38.15,38.19,34.98,34122900
2018-02-09,38.37,38.99,37.43,38.57,35.33,37376000
2018-02-12,38.6,39.07,38.27,38.54,35.3,30682500
2018-02-13,38.16,39.17,38.1,38.96,35.69,18133300
2018-02-14,38.82,39.62,38.5,39.43,36.12,21982500
2018-02-15,39.76,40.12,39.26,40.08,36.71,21687700
2018-02-16,39.99,40.42,39.69,39.79,36.45,22563900
2018-02-20,39.54,39.69,39.04,39.47,36.15,18163800
2018-02-21,39.45,39.84,39.0,39.01,35.73,14230300
2018-02-22,39.06,39.57,38.57,38.8,35.54,18800900
2018-02-23,39.15,39.65,38.91,39.5,36.18,16514400
2018-02-26,39.53,39.74,39.37,39.58,36.25,14875600
2018-02-27,38.0,38.2,36.59,36.66,33.58,69200000
2018-02-28,36.9,37.08,35.75,36.21,33.17,69818500
2018-03-01,36.44,36.87,36.2,36.54,33.47,34517600
2018-03-02,36.25,36.58,36.06,36.49,33.42,28854900
2018-03-05,36.41,37.1,36.15,36.78,33.69,29259400
2018-03-06,37.08,37.09,36.39,36.87,33.77,19795200
2018-03-07,36.82,36.82,36.03,36.12,33.08,25136500
2018-03-08,36.37,37.01,36.11,36.88,33.78,23111100
2018-03-09,37.0,37.14,36.5,37.13,34.01,23737400
2018-03-12,37.09,37.22,36.87,36.96,33.85,17947700
2018-03-13,36.99,37.11,36.22,36.43,33.37,20580700
2018-03-14,36.45,36.55,35.96,36.02,32.99,26107400
2018-03-15,36.0,36.31,35.9,36.15,33.11,22205500
2018-03-16,36.29,36.62,35.78,35.83,32.82,46607100
2018-03-19,35.6,35.87,34.88,35.3,32.33,34417400
2018-03-20,35.36,35.5,34.55,34.57,31.66,20893700
2018-03-21,34.55,35.15,34.45,34.49,31.59,21662600
2018-03-22,34.17,34.23,33.21,33.23,30.44,53922000
2018-03-23,33.65,33.73,33.15,33.17,30.38,43863100
2018-03-26,33.75,33.79,32.74,33.54,30.72,32248200
2018-03-27,33.65,33.88,32.75,32.99,30.22,31011300
2018-03-28,33.2,33.85,33.14,33.28,30.48,32906700
2018-03-29,33.46,34.52,33.33,34.17,31.3,32542600
2018-04-02,34.09,34.3,33.26,33.52,30.7,35584000
2018-04-03,33.42,33.55,32.92,33.47,30.83,29274500
2018-04-04,33.15,34.41,33.05,34.31,31.61,26401000
2018-04-05,34.57,34.81,34.35,34.6,31.87,23737400
2018-04-06,34.25,34.53,33.87,34.12,31.43,33780800
2018-04-09,34.39,34.56,33.92,33.95,31.27,17554700
2018-04-10,34.23,34.4,33.54,33.86,31.19,30537700
2018-04-11,33.59,34.07,33.54,33.56,30.91,21874300
2018-04-12,33.77,33.89,32.9,33.13,30.52,29449600
2018-04-13,33.24,33.45,32.87,33.02,30.42,24725500
2018-04-16,33.34,33.74,32.98,33.53,30.89,15267200
2018-04-17,33.75,33.85,33.05,33.27,30.65,33580500
2018-04-18,33.32,33.55,33.19,33.27,30.65,23564000
2018-04-19,33.26,33.76,33.07,33.48,30.84,21006800
2018-04-20,33.55,33.8,33.1,33.21,30.59,25272500
2018-04-23,33.24,33.92,33.17,33.87,31.2,20953200
2018-04-24,34.09,34.29,33.19,33.35,30.72,28917300
2018-04-25,33.18,34.78,33.05,34.26,31.56,39731600
2018-04-26,34.31,34.48,33.02,33.33,30.7,32554700
2018-04-27,33.07,33.11,31.8,31.81,29.3,51653800
2018-04-30,31.91,32.24,31.34,31.39,28.92,38337600
2018-05-01,31.38,32.1,31.21,32.06,29.53,25115000
2018-05-02,31.99,32.0,31.18,31.3,28.83,19864100
2018-05-03,31.15,31.26,30.55,31.01,28.57,21774300
2018-05-04,30.99,32.05,30.96,31.96,29.44,20750000
2018-05-07,32.03,32.41,31.82,32.39,29.84,18655600
2018-05-08,31.55,32.02,30.52,30.59,28.18,52988700
2018-05-09,30.57,30.97,30.43,30.73,28.31,22805200
2018-05-10,30.74,31.64,30.7,31.56,29.07,24505700
2018-05-11,31.54,31.95,31.51,31.9,29.39,14674200
2018-05-14,31.89,32.25,31.81,32.14,29.61,19657800
2018-05-15,31.98,32.03,31.73,32.01,29.49,23990300
2018-05-16,32.13,32.68,32.04,32.55,29.98,19169800
2018-05-17,32.66,32.84,32.38,32.41,29.85,23067300
2018-05-18,32.45,32.76,32.27,32.72,30.14,18067100
