Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,46.66,46.85,46.58,46.82,40.67,2672900
2017-05-25,46.81,47.44,46.72,47.41,41.18,1630900
2017-05-26,47.34,47.5,47.24,47.41,41.18,1319500
2017-05-30,47.39,47.61,47.25,47.48,41.24,2108100
2017-05-31,47.46,47.7,47.35,47.41,41.18,4071800
2017-06-01,47.4,47.68,47.14,47.68,41.42,1876000
2017-06-02,47.95,47.95,47.48,47.79,41.51,1848000
2017-06-05,47.7,47.79,47.22,47.32,41.1,2299400
2017-06-06,47.46,47.46,47.21,47.32,41.1,2264200
2017-06-07,47.39,47.64,47.26,47.52,41.28,1507900
2017-06-08,47.52,47.52,46.62,46.92,40.76,1931900
2017-06-09,46.79,47.01,46.62,46.98,40.81,1933100
2017-06-12,46.98,47.16,46.54,47.02,40.84,2375100
2017-06-13,46.97,47.28,46.87,47.27,41.06,1860400
2017-06-14,47.7,47.87,47.53,47.74,41.47,2923200
2017-06-15,47.62,48.09,47.47,48.08,41.76,1441100
2017-06-16,48.19,48.37,48.08,48.25,41.91,2661900
2017-06-19,48.28,48.31,47.77,47.96,41.66,1720600
2017-06-20,48.01,48.12,47.88,48.02,41.71,1269700
2017-06-21,48.06,48.06,47.47,47.71,41.44,1298500
2017-06-22,47.68,47.93,47.57,47.62,41.36,1272400
2017-06-23,47.59,47.75,47.25,47.31,41.09,1302500
2017-06-26,47.31,47.81,47.14,47.56,41.31,1133400
2017-06-27,47.29,47.4,46.83,47.02,40.84,1224500
2017-06-28,47.21,47.21,46.53,46.6,40.48,1528300
2017-06-29,46.22,46.49,46.02,46.33,40.24,2627500
2017-06-30,46.45,46.65,46.25,46.25,40.17,1688100
2017-07-03,46.32,46.46,46.0,46.0,39.96,1065400
2017-07-05,46.11,46.46,45.57,45.81,39.79,1664900
2017-07-06,45.7,45.81,45.55,45.7,39.7,1406200
2017-07-07,45.76,46.0,45.66,45.75,39.74,998200
2017-07-10,45.82,45.98,45.59,45.59,39.6,1118400
2017-07-11,45.68,45.71,45.34,45.57,39.58,1170600
2017-07-12,45.99,46.07,45.81,46.04,39.99,2422700
2017-07-13,46.01,46.01,45.68,45.7,39.7,2563700
2017-07-14,45.87,46.09,45.86,45.9,39.87,1922800
2017-07-17,45.89,46.0,45.73,46.0,39.96,1305400
2017-07-18,46.12,46.22,45.91,46.1,40.04,2003000
2017-07-19,46.2,46.24,45.92,46.24,40.16,1499000
2017-07-20,46.4,46.7,46.25,46.59,40.47,2046600
2017-07-21,46.56,46.79,46.33,46.75,40.61,1824100
2017-07-24,46.8,47.02,46.39,46.39,40.3,2358300
2017-07-25,46.39,46.51,46.09,46.16,40.1,1868500
2017-07-26,46.15,46.56,46.06,46.53,40.42,1701000
2017-07-27,46.46,46.89,46.44,46.89,40.73,1571400
2017-07-28,46.75,46.93,46.06,46.3,40.22,3414200
2017-07-31,46.3,46.42,46.16,46.24,40.16,1940600
2017-08-01,46.28,46.75,46.26,46.64,40.51,3845100
2017-08-02,46.27,46.65,45.98,46.64,40.8,1454900
2017-08-03,46.51,47.07,46.5,47.02,41.14,1537600
2017-08-04,46.87,47.08,46.65,47.03,41.14,2044900
2017-08-07,47.04,47.19,46.89,47.19,41.28,1147800
2017-08-08,47.09,47.42,47.08,47.42,41.49,1374700
2017-08-09,47.56,47.56,47.29,47.38,41.45,1990500
2017-08-10,47.34,47.55,47.09,47.48,41.54,1363100
2017-08-11,47.5,47.55,47.11,47.31,41.39,1193800
2017-08-14,47.36,47.55,47.31,47.46,41.52,1361700
2017-08-15,47.31,47.79,47.18,47.76,41.78,865800
2017-08-16,47.86,48.02,47.7,48.01,42.0,1056600
2017-08-17,48.01,48.13,47.77,47.84,41.85,1708100
2017-08-18,47.85,48.5,47.61,48.21,42.18,3358400
2017-08-21,48.23,48.38,48.12,48.28,42.24,942300
2017-08-22,48.25,48.33,48.09,48.26,42.22,1412300
2017-08-23,48.28,48.59,48.14,48.58,42.5,909900
2017-08-24,48.57,48.64,48.33,48.34,42.29,1159200
2017-08-25,48.48,48.75,48.4,48.5,42.43,1424500
2017-08-28,48.57,48.7,48.41,48.63,42.54,1184600
2017-08-29,48.75,48.91,48.59,48.74,42.64,903000
2017-08-30,48.67,48.77,48.51,48.57,42.49,884700
2017-08-31,48.61,48.7,48.5,48.54,42.47,1580600
2017-09-01,48.63,48.66,48.32,48.42,42.36,1004000
2017-09-05,48.5,48.5,48.18,48.43,42.37,1158700
2017-09-06,48.52,48.52,48.04,48.18,42.15,995100
2017-09-07,48.29,48.53,48.18,48.46,42.4,1072800
2017-09-08,48.43,48.78,48.31,48.66,42.57,1528700
2017-09-11,48.62,49.11,48.54,49.1,42.96,1308000
2017-09-12,49.06,49.09,47.94,48.08,42.06,1623100
2017-09-13,48.0,48.08,47.49,47.5,41.56,2639200
2017-09-14,47.41,47.9,47.27,47.89,41.9,2518300
2017-09-15,47.77,47.91,47.49,47.87,41.88,3244200
2017-09-18,47.86,47.96,47.25,47.63,41.67,2205000
2017-09-19,47.68,47.72,47.37,47.39,41.46,2299200
2017-09-20,47.5,47.63,47.0,47.07,41.18,4414600
2017-09-21,46.92,47.37,46.92,47.06,41.17,1475000
2017-09-22,47.3,47.3,46.27,46.47,40.65,2774000
2017-09-25,46.43,47.1,46.36,47.1,41.21,2317000
2017-09-26,46.98,47.06,46.67,46.94,41.07,1786400
2017-09-27,46.68,46.78,45.92,46.23,40.45,1459800
2017-09-28,46.13,46.46,45.93,46.35,40.55,1221600
2017-09-29,46.36,46.51,46.19,46.32,40.52,1499800
2017-10-02,46.42,46.57,46.1,46.42,40.61,1460000
2017-10-03,46.38,46.38,45.87,45.97,40.22,1925300
2017-10-04,46.0,46.5,45.82,46.49,40.67,2030400
2017-10-05,46.53,46.59,46.15,46.53,40.71,2778800
2017-10-06,46.36,46.5,46.15,46.3,40.51,2510200
2017-10-09,46.42,46.62,46.31,46.48,40.66,1057800
2017-10-10,46.55,47.02,46.39,47.0,41.12,2633200
2017-10-11,47.0,47.49,46.97,47.35,41.42,2545700
2017-10-12,47.39,47.72,47.39,47.72,41.75,1490200
2017-10-13,47.84,48.08,47.43,47.54,41.59,1108800
2017-10-16,47.44,47.64,47.19,47.41,41.48,1138400
2017-10-17,47.27,47.84,47.2,47.81,41.83,1331400
2017-10-18,47.66,47.85,47.44,47.81,41.83,2042200
2017-10-19,47.88,48.21,47.74,48.19,42.16,1538700
2017-10-20,48.13,48.28,47.96,48.18,42.15,1205500
2017-10-23,48.28,48.32,48.02,48.21,42.18,1362800
2017-10-24,48.45,48.47,48.09,48.42,42.36,1580700
2017-10-25,48.2,48.31,47.54,47.97,41.97,2722400
2017-10-26,48.44,48.92,47.9,47.94,41.94,2385500
2017-10-27,47.94,48.37,47.77,48.2,42.17,1689900
2017-10-30,48.14,48.29,47.73,47.8,41.82,3372000
2017-10-31,47.71,48.44,47.71,48.37,42.32,2753600
2017-11-01,48.5,48.69,47.89,48.07,42.05,2056900
2017-11-02,47.83,48.25,47.76,48.12,42.39,2076300
2017-11-03,48.06,48.54,48.02,48.13,42.4,2281100
2017-11-06,48.19,48.43,47.99,48.05,42.33,1883700
2017-11-07,48.14,48.93,47.84,48.91,43.09,2165400
2017-11-08,48.79,49.17,48.72,49.13,43.28,2918800
2017-11-09,49.0,49.41,48.88,49.28,43.41,2343200
2017-11-10,49.02,49.35,48.91,49.27,43.41,2010400
2017-11-13,49.35,49.85,49.29,49.63,43.72,1875800
2017-11-14,49.59,50.71,49.59,50.55,44.53,3279300
2017-11-15,50.62,50.85,50.2,50.22,44.24,2034900
2017-11-16,50.1,50.3,50.0,50.17,44.2,1355600
2017-11-17,50.04,50.26,49.52,49.59,43.69,1628800
2017-11-20,49.62,49.76,49.35,49.41,43.53,1356200
2017-11-21,49.53,49.65,49.4,49.48,43.59,1433500
2017-11-22,49.42,49.54,49.26,49.4,43.52,1078600
2017-11-24,49.51,49.71,49.44,49.44,43.56,435200
2017-11-27,49.62,49.85,49.42,49.75,43.83,1569000
2017-11-28,49.76,49.98,49.64,49.7,43.78,1954600
2017-11-29,49.63,50.09,49.51,49.61,43.7,2248700
2017-11-30,49.68,50.05,49.11,49.9,43.96,3715200
2017-12-01,50.09,50.25,49.54,49.74,43.82,2304100
2017-12-04,49.91,50.01,49.58,49.76,43.84,1767300
2017-12-05,49.83,49.85,49.05,49.31,43.44,1991300
2017-12-06,49.45,49.56,49.19,49.41,43.53,1409500
2017-12-07,49.45,49.58,49.11,49.58,43.68,1918300
2017-12-08,49.51,49.91,49.34,49.87,43.93,2842100
2017-12-11,49.71,50.11,49.55,50.09,44.13,1984000
2017-12-12,50.0,50.15,49.16,49.17,43.32,1715600
2017-12-13,49.24,49.51,49.04,49.25,43.39,1569500
2017-12-14,49.01,49.38,48.74,49.07,43.23,1251000
2017-12-15,49.19,49.43,49.04,49.25,43.39,2696400
2017-12-18,49.44,49.44,48.57,48.65,42.86,1617000
2017-12-19,48.71,48.71,47.7,47.72,42.04,2551000
2017-12-20,47.69,47.76,47.09,47.16,41.55,2392500
