Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,80.35,80.35,79.75,79.92,73.47,1582300
2017-05-25,79.9,80.51,79.18,79.51,73.1,2122400
2017-05-26,79.5,80.11,79.08,79.79,73.35,2365600
2017-05-30,79.4,79.59,78.23,78.28,71.96,2361700
2017-05-31,78.39,78.39,76.05,76.92,70.71,4272400
2017-06-01,77.46,77.97,76.81,77.92,71.63,3298700
2017-06-02,77.42,78.34,76.91,78.04,71.74,2529400
2017-06-05,78.05,78.83,77.78,78.33,72.01,2017300
2017-06-06,77.77,78.43,77.1,78.27,71.96,2507300
2017-06-07,78.52,79.52,78.21,78.9,72.53,2442400
2017-06-08,78.9,80.16,78.79,79.42,73.01,2328600
2017-06-09,80.07,80.42,79.31,80.07,73.61,3484200
2017-06-12,80.15,80.96,79.61,80.17,73.7,2638200
2017-06-13,80.5,80.92,79.85,80.57,74.07,2690700
2017-06-14,79.46,80.2,78.46,80.09,73.63,2858400
2017-06-15,79.61,81.55,79.49,81.35,74.79,3871300
2017-06-16,81.46,81.65,80.93,81.31,74.75,3266400
2017-06-19,81.73,81.95,81.29,81.73,75.14,3232200
2017-06-20,81.63,81.75,81.09,81.22,74.67,2695800
2017-06-21,81.3,81.3,80.69,80.88,74.35,2602300
2017-06-22,80.73,80.83,80.07,80.39,73.9,2241000
2017-06-23,80.75,80.78,79.37,79.52,73.1,3163900
2017-06-26,79.89,80.84,79.62,80.59,74.09,2149000
2017-06-27,80.85,82.24,80.76,81.38,74.81,2045500
2017-06-28,82.12,83.52,82.05,82.98,76.29,3789300
2017-06-29,81.75,83.0,80.47,81.47,74.9,6081700
2017-06-30,82.02,83.18,81.59,82.62,75.95,2969600
2017-07-03,83.42,84.48,83.22,83.56,76.82,1558400
2017-07-05,83.39,83.81,82.05,82.7,76.03,2883500
2017-07-06,82.32,82.94,81.94,82.11,75.49,3517800
2017-07-07,82.66,82.68,81.92,82.5,75.84,1635300
2017-07-10,82.38,82.48,81.96,82.05,75.43,2387600
2017-07-11,82.08,82.16,80.8,81.04,74.5,2743500
2017-07-12,80.99,82.38,80.64,82.2,75.57,2477500
2017-07-13,82.25,82.78,82.02,82.59,75.93,1641400
2017-07-14,81.84,82.86,81.18,82.5,75.84,1966200
2017-07-17,82.41,82.59,81.89,82.17,75.54,1922600
2017-07-18,81.72,81.87,80.97,81.57,74.99,1343000
2017-07-19,81.95,81.99,80.77,81.38,74.81,3167500
2017-07-20,81.21,81.52,80.04,81.01,74.47,4966700
2017-07-21,85.37,88.24,84.55,87.94,80.85,9687000
2017-07-24,87.52,87.55,86.65,87.12,80.09,3908500
2017-07-25,88.0,88.2,86.66,87.09,80.06,3267400
2017-07-26,87.18,87.22,85.62,85.71,78.79,2504300
2017-07-27,85.92,85.95,84.4,84.8,77.96,2884200
2017-07-28,84.85,85.14,83.81,84.97,78.11,3164200
2017-07-31,85.42,86.65,85.16,86.18,79.23,2927400
2017-08-01,86.64,86.73,85.64,86.01,79.07,2276400
2017-08-02,85.85,86.02,85.38,85.71,78.79,2696300
2017-08-03,85.31,85.63,84.49,84.59,78.13,2505000
2017-08-04,85.33,85.42,84.26,84.41,77.96,2624000
2017-08-07,84.62,85.42,84.38,85.15,78.65,1388300
2017-08-08,85.03,87.37,85.03,85.51,78.98,1993600
2017-08-09,84.96,85.28,84.45,85.14,78.64,1338100
2017-08-10,84.5,84.64,82.99,83.06,76.72,2037000
2017-08-11,83.37,83.47,82.33,82.8,76.48,1989300
2017-08-14,83.81,84.71,83.53,84.26,77.83,1782700
2017-08-15,84.93,85.12,83.32,84.15,77.72,2313700
2017-08-16,84.73,85.0,83.6,83.82,77.42,1192600
2017-08-17,83.79,84.04,81.96,81.99,75.73,1758100
2017-08-18,81.68,82.49,81.32,81.53,75.3,2415300
2017-08-21,81.64,81.73,81.09,81.42,75.2,1409900
2017-08-22,81.71,82.07,80.79,81.44,75.22,1878500
2017-08-23,81.02,82.12,81.0,81.29,75.08,1150800
2017-08-24,81.5,81.84,81.16,81.43,75.21,908800
2017-08-25,81.75,82.37,81.44,81.49,75.27,1204500
2017-08-28,81.69,81.76,80.35,80.55,74.4,1356100
2017-08-29,79.75,79.91,78.93,79.74,73.65,3162800
2017-08-30,79.74,80.75,79.53,80.09,73.97,2096300
2017-08-31,80.52,80.66,79.5,79.61,73.53,3606100
2017-09-01,79.86,80.76,79.61,80.31,74.18,2438600
2017-09-05,79.64,79.75,78.28,78.66,72.65,2581400
2017-09-06,78.99,80.0,78.8,79.47,73.4,3434300
2017-09-07,79.53,79.58,77.76,78.23,72.26,3655300
2017-09-08,77.45,78.56,76.98,78.21,72.24,2945500
2017-09-11,78.88,79.62,78.39,79.06,73.02,2388400
2017-09-12,79.39,80.0,79.19,79.57,73.49,2270300
2017-09-13,79.44,80.58,79.2,80.21,74.08,3485200
2017-09-14,80.17,80.58,78.46,78.7,72.69,4228500
2017-09-15,78.6,80.13,78.57,80.04,73.93,4445800
2017-09-18,80.19,80.54,79.69,80.25,74.12,3766200
2017-09-19,80.2,81.37,80.2,80.96,74.78,2693700
2017-09-20,81.21,82.07,80.65,81.8,75.55,3187500
2017-09-21,81.56,82.15,80.89,81.58,75.35,2699800
2017-09-22,81.31,82.08,81.15,81.94,75.68,1716700
2017-09-25,81.89,82.72,81.79,82.48,76.18,1812300
2017-09-26,82.68,83.15,82.25,82.8,76.48,1735000
2017-09-27,83.8,84.44,83.18,83.93,77.52,2402300
2017-09-28,83.95,84.45,83.34,84.12,77.7,1997800
2017-09-29,84.36,84.88,83.8,84.66,78.19,1978100
2017-10-02,84.98,86.03,84.69,85.92,79.36,3815400
2017-10-03,85.93,86.39,85.53,86.37,79.77,2660000
2017-10-04,86.4,86.61,85.97,86.34,79.75,2034200
2017-10-05,86.46,87.43,86.04,87.09,80.44,1681700
2017-10-06,87.05,87.22,86.43,87.04,80.39,1914800
2017-10-09,87.49,87.72,87.06,87.3,80.63,1436100
2017-10-10,87.35,87.99,87.21,87.3,80.63,1299200
2017-10-11,87.5,87.5,86.71,86.75,80.13,1570400
2017-10-12,86.4,86.6,84.5,84.59,78.13,2795700
2017-10-13,84.3,85.83,83.88,85.36,78.84,1931700
2017-10-16,85.79,86.87,85.52,86.85,80.22,2217300
2017-10-17,86.98,86.98,85.91,86.07,79.5,1450500
2017-10-18,86.33,86.77,85.95,86.66,80.04,1167600
2017-10-19,85.81,87.5,85.6,87.48,80.8,2045100
2017-10-20,88.56,89.68,88.4,89.67,82.82,3763100
2017-10-23,89.61,90.0,89.01,89.72,82.87,2221200
2017-10-24,89.94,90.0,88.79,89.52,82.68,2685200
2017-10-25,91.1,92.0,89.97,90.82,83.88,5992500
2017-10-26,91.0,92.72,90.98,92.52,85.45,3210100
2017-10-27,92.67,92.98,92.0,92.78,85.69,2235500
2017-10-30,92.1,93.4,92.1,92.43,85.37,1847600
2017-10-31,92.63,93.0,92.01,92.18,85.14,2184700
2017-11-01,92.66,92.99,91.41,91.9,84.88,1701800
2017-11-02,91.49,92.69,91.0,92.45,85.39,1337100
2017-11-03,92.09,92.4,91.42,91.6,84.6,2052000
2017-11-06,91.85,92.37,91.33,92.3,85.25,1369900
2017-11-07,92.29,92.56,89.96,90.12,83.24,1846600
2017-11-08,89.8,89.99,88.58,88.97,82.18,2240900
2017-11-09,88.38,88.62,86.81,88.11,81.38,2148000
2017-11-10,87.19,87.53,86.78,87.15,80.86,1591700
2017-11-13,86.62,87.18,86.01,86.95,80.68,2370400
2017-11-14,86.43,86.6,85.41,86.0,79.79,3369500
2017-11-15,85.18,87.96,85.17,87.63,81.31,2842800
2017-11-16,87.92,88.56,86.94,87.15,80.86,2017600
2017-11-17,86.93,88.23,86.89,87.83,81.49,1687300
2017-11-20,87.99,88.46,87.68,88.27,81.9,1602200
2017-11-21,88.84,89.04,87.58,87.95,81.6,1298800
2017-11-22,87.98,88.14,87.1,87.26,80.96,1265200
2017-11-24,87.8,87.8,87.24,87.38,81.07,506400
2017-11-27,87.33,87.38,86.57,86.87,80.6,1629500
2017-11-28,87.22,89.85,86.7,89.75,83.27,2161700
2017-11-29,90.58,92.31,89.73,90.97,84.41,3229400
2017-11-30,91.67,93.42,91.41,92.0,85.36,3712000
2017-12-01,92.18,92.77,89.68,92.72,86.03,2647700
2017-12-04,94.44,96.24,94.16,94.89,88.04,3425700
2017-12-05,93.76,95.62,93.72,93.91,87.13,2262400
2017-12-06,93.62,94.19,93.11,93.87,87.1,1465600
2017-12-07,93.52,95.25,93.32,95.07,88.21,1745700
2017-12-08,95.5,95.79,94.18,95.79,88.88,1701800
2017-12-11,96.0,96.09,95.23,95.97,89.05,1404300
2017-12-12,96.14,96.67,95.89,96.21,89.27,1828100
2017-12-13,96.25,96.4,94.7,94.72,87.89,1907000
2017-12-14,95.0,95.46,93.85,94.06,87.27,2001500
2017-12-15,95.1,97.31,94.85,96.31,89.36,4266600
2017-12-18,98.0,99.95,97.6,99.31,92.14,3005500
2017-12-19,99.8,99.89,98.66,98.74,91.62,2461400
2017-12-20,99.43,99.43,98.31,98.59,91.48,2031200
2017-12-21,98.8,99.73,98.71,99.52,92.34,1581800
2017-12-22,100.0,101.43,99.62,100.5,93.25,2065500
2017-12-26,100.3,100.6,99.27,99.92,92.71,1170700
2017-12-27,99.63,99.91,99.22,99.75,92.55,1183700
2017-12-28,100.09,100.58,99.64,100.3,93.06,1040900
2017-12-29,100.63,100.63,99.56,99.58,92.39,1119400
2018-01-02,100.08,100.2,98.76,99.61,92.42,1663700
2018-01-03,99.5,99.78,98.75,99.44,92.26,2323700
2018-01-04,100.36,102.16,99.69,101.42,94.1,2149100
2018-01-05,101.58,101.7,100.74,101.43,94.11,2058500
2018-01-08,101.42,101.45,100.51,100.8,93.53,1763400
2018-01-09,101.05,101.97,100.64,101.69,94.35,2164200
2018-01-10,101.69,103.7,101.3,103.14,95.7,2620600
2018-01-11,103.49,104.46,102.9,104.42,96.89,2177700
2018-01-12,104.92,106.4,104.56,105.43,97.82,2298000
2018-01-16,106.0,106.47,103.74,104.42,96.89,2675500
2018-01-17,105.01,105.54,103.25,104.39,96.86,2287300
2018-01-18,104.43,104.64,103.13,103.41,95.95,2637800
2018-01-19,102.7,104.41,102.11,104.38,96.85,2928900
2018-01-22,104.33,105.54,103.75,105.49,97.88,2407000
2018-01-23,105.2,105.92,103.87,105.71,98.08,2904100
2018-01-24,104.25,106.5,104.03,105.26,97.66,4170600
