Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,217.79,218.18,215.55,217.67,217.46,240700
2017-05-25,217.76,218.68,216.23,218.32,218.11,380700
2017-05-26,218.33,218.89,217.12,217.46,217.25,157100
2017-05-30,216.52,218.66,216.03,218.2,217.99,293400
2017-05-31,218.52,219.8,216.93,218.75,218.54,384000
2017-06-01,219.2,219.81,215.24,219.79,219.57,586200
2017-06-02,227.65,240.42,226.72,238.32,238.09,1153400
2017-06-05,239.35,243.37,238.68,240.89,240.65,845300
2017-06-06,240.53,242.24,238.9,241.62,241.38,333300
2017-06-07,242.8,243.89,241.03,243.1,242.86,454100
2017-06-08,243.1,243.1,239.92,241.76,241.52,582800
2017-06-09,241.5,242.48,235.04,237.43,237.2,818000
2017-06-12,237.13,237.48,231.27,236.75,236.52,537400
2017-06-13,237.37,242.1,237.11,240.88,240.64,321100
2017-06-14,241.88,242.36,237.71,238.99,238.76,312900
2017-06-15,237.93,240.4,236.52,239.84,239.61,377700
2017-06-16,240.08,241.5,238.86,238.95,238.72,585600
2017-06-19,239.52,243.49,237.94,242.11,241.87,440800
2017-06-20,242.81,245.89,242.5,242.79,242.55,257000
2017-06-21,243.24,245.21,242.37,243.86,243.62,268900
2017-06-22,244.04,247.8,243.36,245.06,244.82,499100
2017-06-23,245.66,246.8,244.82,246.19,245.95,405500
2017-06-26,246.55,248.5,245.53,246.76,246.52,266300
2017-06-27,245.68,246.69,243.23,243.25,243.01,396100
2017-06-28,244.95,245.3,241.56,242.35,242.11,495100
2017-06-29,241.03,242.69,235.75,237.12,236.89,949100
2017-06-30,238.27,241.25,237.02,239.42,239.19,490100
2017-07-03,239.42,239.92,236.02,236.38,236.15,189300
2017-07-05,236.48,238.55,234.55,238.03,237.8,465300
2017-07-06,237.45,239.25,235.29,236.19,235.96,293700
2017-07-07,237.18,243.27,236.75,242.73,242.49,586600
2017-07-10,242.31,244.67,240.9,244.14,243.9,710500
2017-07-11,244.34,245.01,242.58,244.53,244.29,438900
2017-07-12,245.41,248.83,244.65,247.91,247.67,511600
2017-07-13,248.45,248.95,243.91,246.45,246.21,494000
2017-07-14,246.96,252.05,245.45,250.36,250.11,549200
2017-07-17,251.44,252.85,250.72,251.98,251.73,518300
2017-07-18,251.84,253.32,249.05,253.2,252.95,449800
2017-07-19,254.71,256.39,254.29,254.9,254.68,355200
2017-07-20,254.89,255.87,253.8,254.0,253.78,228800
2017-07-21,250.9,251.74,246.2,248.41,248.2,370500
2017-07-24,248.33,250.76,247.49,250.62,250.4,252500
2017-07-25,250.76,251.56,247.99,250.83,250.61,364700
2017-07-26,250.49,250.56,246.16,247.01,246.8,287700
2017-07-27,247.38,247.62,243.65,246.64,246.43,294700
2017-07-28,246.04,246.99,244.43,246.6,246.39,216300
2017-07-31,247.0,247.18,243.0,243.87,243.66,453800
2017-08-01,245.13,246.22,243.05,245.29,245.08,332300
2017-08-02,245.44,246.35,241.16,244.27,244.06,296300
2017-08-03,244.07,245.19,243.17,244.78,244.57,260700
2017-08-04,244.9,245.62,242.82,243.72,243.51,140600
2017-08-07,243.95,245.04,242.74,244.63,244.42,262300
2017-08-08,244.63,245.37,243.04,243.59,243.38,148100
2017-08-09,242.98,244.51,242.38,242.71,242.5,238000
2017-08-10,241.29,243.11,239.18,239.99,239.78,334100
