Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,172.95,173.13,171.8,173.01,161.08,1420800
2017-05-25,173.47,175.05,173.3,174.73,162.69,2726900
2017-05-26,180.25,180.34,177.52,177.86,165.6,4471300
2017-05-30,177.68,179.39,177.5,178.92,166.59,2086300
2017-05-31,179.24,180.47,178.78,180.43,167.99,2456200
2017-06-01,180.81,181.1,179.86,180.63,168.18,2028300
2017-06-02,180.58,181.25,179.87,180.97,168.5,2239900
2017-06-05,181.1,182.21,180.6,182.08,169.53,1561100
2017-06-06,181.7,182.72,181.01,181.45,168.94,2248900
2017-06-07,181.44,182.24,181.14,182.2,169.64,1246200
2017-06-08,181.92,182.5,180.84,181.41,168.91,1823600
2017-06-09,181.71,181.93,179.92,180.38,167.95,2167600
2017-06-12,179.58,180.87,178.79,179.64,167.26,2395200
2017-06-13,179.9,180.79,179.03,180.51,168.07,1745400
2017-06-14,180.83,181.96,180.23,181.67,169.15,1440400
2017-06-15,180.39,181.33,178.37,180.06,167.65,1753800
2017-06-16,170.4,170.6,165.0,167.11,155.59,24233000
2017-06-19,167.05,167.38,162.39,164.34,153.01,13809100
2017-06-20,165.5,165.5,162.43,162.9,151.67,7337600
2017-06-21,163.49,163.77,162.75,163.15,151.9,3421700
2017-06-22,163.17,163.3,159.01,159.79,148.78,8043100
2017-06-23,159.4,159.8,156.56,157.13,146.3,9506700
2017-06-26,158.15,160.99,158.1,160.2,149.16,6473900
2017-06-27,160.66,161.55,159.2,159.26,148.28,5533800
2017-06-28,159.59,160.5,159.5,160.17,149.13,3234400
2017-06-29,160.21,160.47,157.8,158.68,147.74,3664200
2017-06-30,159.6,160.54,158.79,159.93,148.91,4755100
2017-07-03,160.21,160.53,158.69,158.82,147.87,1994300
2017-07-05,158.93,159.5,157.86,158.02,147.13,3770400
2017-07-06,161.11,161.35,157.05,157.09,146.26,6963400
2017-07-07,157.36,157.55,154.09,154.11,143.49,7688400
2017-07-10,153.51,153.6,150.96,151.0,140.59,8999800
2017-07-11,151.45,153.09,150.93,151.11,140.69,6275600
2017-07-12,151.46,152.9,151.42,151.75,141.29,5112200
2017-07-13,153.23,153.93,152.62,153.6,143.01,5673500
2017-07-14,154.26,154.27,152.9,153.0,142.45,4368400
2017-07-17,153.0,153.44,152.52,152.84,142.3,3096500
2017-07-18,152.61,152.84,150.94,151.5,141.06,3256900
2017-07-19,151.81,152.16,150.9,151.24,140.81,4100000
2017-07-20,151.47,152.19,150.88,150.99,140.58,3207400
2017-07-21,150.94,151.23,150.0,150.44,140.07,4078000
2017-07-24,150.45,151.47,150.11,151.0,140.59,3655600
2017-07-25,151.41,153.7,151.4,153.17,142.61,4605700
2017-07-26,153.41,153.5,151.55,152.09,141.61,3017200
2017-07-27,152.01,152.99,151.44,152.52,142.01,3637900
2017-07-28,152.67,153.3,152.11,152.89,142.35,2779500
2017-07-31,153.08,158.66,153.03,158.51,147.58,6937100
2017-08-01,159.1,159.97,157.91,159.72,148.71,4787500
2017-08-02,159.13,161.55,158.44,161.28,150.16,5486300
2017-08-03,161.61,162.35,157.06,157.91,147.03,5562600
2017-08-04,158.34,158.44,155.83,156.44,145.66,3117900
2017-08-07,156.5,157.58,155.34,156.95,146.13,2629500
2017-08-08,157.1,159.44,157.03,157.75,146.88,2569200
2017-08-09,157.14,157.57,156.2,156.86,146.05,2157600
2017-08-10,156.17,157.57,155.37,156.64,145.84,2764600
2017-08-11,156.51,157.8,156.41,156.65,145.85,1887000
2017-08-14,157.59,158.2,156.54,157.91,147.03,2028400
2017-08-15,158.0,158.38,156.79,156.88,146.07,1869100
2017-08-16,157.28,159.88,157.11,159.76,149.22,3381800
2017-08-17,158.48,159.95,157.64,158.57,148.11,2650000
2017-08-18,157.98,158.69,156.92,157.08,146.72,2747900
2017-08-21,157.19,158.17,155.96,157.07,146.71,1857400
2017-08-22,157.53,159.45,157.53,158.7,148.23,2204600
2017-08-23,158.62,159.44,157.78,159.37,148.86,1731400
2017-08-24,160.0,160.66,151.09,151.33,141.35,10301700
2017-08-25,152.37,152.94,150.06,152.45,142.4,5703500
2017-08-28,151.9,153.28,151.2,152.55,142.49,3776400
2017-08-29,152.38,153.99,151.46,153.56,143.43,2446200
2017-08-30,153.71,154.74,152.88,154.44,144.25,2493500
2017-08-31,156.22,157.26,153.95,156.74,146.4,4567700
2017-09-01,157.59,158.55,157.2,158.24,147.8,2833500
2017-09-05,157.96,159.72,157.47,159.14,148.64,3413000
2017-09-06,159.19,159.94,158.09,158.86,148.38,2873700
2017-09-07,158.97,159.6,157.57,159.28,148.77,2479300
2017-09-08,158.37,158.5,155.03,157.31,146.93,3364600
