Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,58.16,58.43,57.93,58.38,49.71,2204000
2017-05-25,58.45,58.86,57.65,58.83,50.09,1858600
2017-05-26,58.92,59.14,58.61,58.96,50.2,1509200
2017-05-30,58.66,58.78,57.64,57.88,49.28,1510300
2017-05-31,57.95,57.95,57.3,57.65,49.09,3337200
2017-06-01,57.75,57.96,57.57,57.96,49.35,1820600
2017-06-02,58.16,58.33,57.64,57.73,49.15,2040500
2017-06-05,57.53,57.8,57.18,57.48,48.94,1975800
2017-06-06,57.45,57.66,57.31,57.57,49.02,1917900
2017-06-07,57.45,57.74,57.32,57.35,48.83,1388100
2017-06-08,57.35,57.48,56.6,56.66,48.24,1236800
2017-06-09,56.71,56.79,56.4,56.54,48.14,1303000
2017-06-12,56.49,57.1,56.39,56.89,48.44,1305100
2017-06-13,56.91,57.05,56.38,56.97,48.51,734100
2017-06-14,57.26,57.47,56.86,56.99,48.52,1107700
2017-06-15,56.9,57.06,56.59,56.96,48.5,1008000
2017-06-16,56.68,56.68,54.9,55.05,46.87,2618200
2017-06-19,55.32,55.32,54.49,54.82,46.68,2248900
2017-06-20,54.8,55.06,54.47,54.67,46.55,1738400
2017-06-21,54.75,54.79,53.95,54.1,46.06,1659200
2017-06-22,54.32,54.52,53.9,53.95,45.94,1661900
2017-06-23,53.98,54.16,53.52,53.58,45.62,2576800
2017-06-26,53.77,54.14,53.59,53.79,45.8,952000
2017-06-27,53.5,53.72,52.74,52.88,45.02,1684200
2017-06-28,53.25,53.49,52.69,52.89,45.03,1365700
2017-06-29,52.78,53.32,51.64,51.99,44.27,2844000
2017-06-30,52.1,52.65,52.01,52.15,44.4,1787900
2017-07-03,52.3,52.65,52.16,52.19,44.44,1066200
2017-07-05,52.13,52.49,51.85,52.0,44.28,2127700
2017-07-06,51.8,52.24,51.62,51.68,44.0,2150900
2017-07-07,51.79,52.09,51.55,51.58,43.92,1475600
2017-07-10,51.69,51.77,50.94,50.96,43.39,1906700
2017-07-11,50.98,51.28,50.62,51.11,43.82,2251900
2017-07-12,51.38,51.87,51.26,51.39,44.06,1704400
2017-07-13,51.39,51.69,51.22,51.35,44.02,1161000
2017-07-14,51.53,51.79,51.48,51.73,44.35,1236300
2017-07-17,51.76,51.9,51.67,51.79,44.4,1161800
2017-07-18,51.69,51.85,50.97,50.99,43.72,2067200
2017-07-19,51.3,52.79,51.23,52.57,45.07,2677400
2017-07-20,52.36,52.39,51.59,51.92,44.51,1613700
2017-07-21,51.81,52.02,51.58,52.0,44.58,1078300
2017-07-24,52.01,52.19,51.66,52.01,44.59,1125900
2017-07-25,52.16,52.64,52.04,52.53,45.04,1474300
2017-07-26,52.62,52.73,52.37,52.61,45.1,1222200
2017-07-27,52.57,53.07,52.48,53.07,45.5,987400
2017-07-28,53.0,53.07,52.69,52.85,45.31,854900
2017-07-31,52.71,52.9,52.4,52.83,45.29,1045200
2017-08-01,52.71,52.82,52.22,52.52,45.03,1629600
2017-08-02,52.5,52.96,52.07,52.71,45.19,1498200
2017-08-03,52.75,53.27,52.62,53.01,45.45,1468100
2017-08-04,52.99,53.4,52.99,53.18,45.59,1324300
2017-08-07,53.08,53.45,52.99,53.24,45.64,1323000
2017-08-08,53.03,53.37,52.81,53.25,45.65,1411100
2017-08-09,53.23,53.6,53.08,53.21,45.62,1666700
2017-08-10,53.05,53.41,52.88,53.25,45.65,1290200
2017-08-11,53.22,53.85,53.16,53.61,45.96,1480500
2017-08-14,53.83,54.14,53.63,53.85,46.17,850200
2017-08-15,53.86,53.97,53.61,53.73,46.06,608100
2017-08-16,53.73,54.01,53.73,53.99,46.29,626800
2017-08-17,53.76,54.27,53.65,53.96,46.26,856000
2017-08-18,53.87,53.95,53.38,53.69,46.03,1523000
2017-08-21,53.84,54.07,53.63,53.82,46.14,1247500
2017-08-22,53.79,54.05,53.56,54.0,46.3,1228800
2017-08-23,53.94,54.37,53.8,54.19,46.46,1984000
2017-08-24,53.95,53.96,52.31,52.48,44.99,2587000
2017-08-25,52.67,52.71,51.4,51.4,44.07,3719900
2017-08-28,51.52,51.59,50.33,50.74,43.5,3410700
2017-08-29,50.81,51.13,50.69,50.81,43.56,2419800
2017-08-30,50.74,51.0,50.18,50.25,43.08,4388500
2017-08-31,46.99,48.38,46.2,46.2,39.61,8726900
2017-09-01,46.43,46.54,45.3,45.4,38.92,5639500
2017-09-05,45.35,46.68,45.31,46.67,40.01,4797500
2017-09-06,46.74,47.55,46.46,47.53,40.75,3741800
2017-09-07,47.57,47.93,46.99,47.39,40.63,3733300
2017-09-08,47.33,48.28,47.12,47.92,41.08,2871200
2017-09-11,47.94,48.39,47.71,47.73,40.92,2184300
2017-09-12,47.76,48.12,47.3,47.38,40.62,2571200
2017-09-13,47.38,47.92,47.26,47.69,40.89,1540100
2017-09-14,47.7,47.88,47.53,47.75,40.94,1454300
2017-09-15,47.76,48.74,47.76,48.73,41.78,3905200
2017-09-18,48.62,48.73,48.01,48.07,41.21,2311900
2017-09-19,48.06,48.18,47.32,47.32,40.57,2552500
2017-09-20,46.25,46.84,45.28,46.51,39.87,4954300
2017-09-21,46.8,46.8,45.44,45.66,39.15,3886700
2017-09-22,45.86,46.0,45.0,45.13,38.69,3461200
2017-09-25,45.16,46.81,45.14,46.58,39.93,2959700
2017-09-26,46.64,46.95,46.3,46.67,40.01,1783300
2017-09-27,46.65,47.07,46.23,47.05,40.34,2346900
2017-09-28,46.98,47.3,46.67,47.05,40.34,1916600
2017-09-29,47.16,47.59,46.78,46.82,40.14,2144000
2017-10-02,46.8,47.15,46.52,46.86,40.17,2102500
2017-10-03,46.79,46.86,46.06,46.19,39.6,2145800
2017-10-04,46.14,47.04,45.95,46.56,39.92,1960100
2017-10-05,46.66,46.88,46.5,46.59,39.94,1692800
2017-10-06,46.61,46.73,46.25,46.48,39.85,1526100
2017-10-09,46.53,46.53,45.37,45.51,39.02,2438400
2017-10-10,45.67,46.34,45.47,46.24,39.64,2623900
2017-10-11,46.3,46.51,45.44,45.74,39.21,2107100
2017-10-12,45.28,46.13,45.28,45.99,39.73,1905400
2017-10-13,46.24,46.41,45.86,46.18,39.9,1882800
2017-10-16,46.17,46.84,45.93,46.65,40.3,1997000
2017-10-17,46.63,46.74,45.9,46.14,39.86,2170400
2017-10-18,46.09,46.25,45.59,45.64,39.43,2162900
2017-10-19,45.62,46.03,45.32,45.37,39.2,2151100
2017-10-20,45.5,46.21,45.21,45.97,39.72,2164400
2017-10-23,46.09,46.5,45.81,46.45,40.13,2207600
2017-10-24,46.47,46.53,46.0,46.13,39.85,2108100
2017-10-25,46.0,46.35,45.19,46.21,39.92,2801300
2017-10-26,46.25,47.59,46.09,47.52,41.05,3831200
2017-10-27,47.66,48.25,47.25,48.13,41.58,4279500
2017-10-30,47.92,48.1,46.22,46.36,40.05,5008100
2017-10-31,46.81,48.0,46.81,47.37,40.92,3252400
2017-11-01,47.57,47.79,46.93,47.53,41.06,1701400
2017-11-02,47.5,47.53,46.33,46.85,40.48,1560800
2017-11-03,46.61,47.08,46.44,46.48,40.16,1086500
2017-11-06,46.48,46.51,45.07,45.43,39.25,2398400
2017-11-07,45.53,46.3,45.35,46.23,39.94,1636500
2017-11-08,46.27,47.27,46.21,47.16,40.74,1744600
2017-11-09,46.64,47.04,45.58,45.64,39.43,3015200
2017-11-10,45.67,47.5,45.67,47.42,40.97,2385100
