Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,122.75,124.87,122.4,124.69,117.84,471200
2017-05-25,125.08,125.89,124.64,125.55,118.66,296400
2017-05-26,125.15,125.59,124.5,125.16,118.29,278000
2017-05-30,124.59,124.95,123.77,124.75,117.9,333900
2017-05-31,125.05,125.94,124.53,125.88,118.97,671300
2017-06-01,126.12,126.93,124.78,126.93,119.96,391400
2017-06-02,127.21,128.72,127.0,128.28,121.24,319000
2017-06-05,128.5,128.54,126.5,126.61,119.66,360200
2017-06-06,126.5,126.79,124.57,124.63,117.79,358300
2017-06-07,125.05,125.36,124.01,124.49,117.65,334500
2017-06-08,124.35,124.44,123.0,123.67,116.88,513800
2017-06-09,123.76,124.05,123.26,123.7,116.91,411100
2017-06-12,123.51,126.37,123.51,126.3,119.37,471000
2017-06-13,126.25,127.65,125.99,127.25,120.26,376700
2017-06-14,127.88,128.67,126.86,127.96,120.93,445200
2017-06-15,127.41,128.05,126.44,127.79,120.77,326700
2017-06-16,127.02,130.46,127.02,130.45,123.29,974500
2017-06-19,130.81,131.41,129.61,131.35,124.14,516300
2017-06-20,131.38,131.38,129.81,130.07,122.93,319300
2017-06-21,129.99,130.19,128.9,129.61,122.49,298700
2017-06-22,129.73,129.73,129.07,129.16,122.07,306900
2017-06-23,129.31,130.29,129.03,129.41,122.3,373800
2017-06-26,130.01,130.48,129.13,129.5,122.39,190000
2017-06-27,128.0,128.86,125.74,125.82,118.91,629900
2017-06-28,126.83,127.52,125.81,126.76,119.8,334800
2017-06-29,126.5,126.5,123.63,124.35,117.52,454500
2017-06-30,125.3,126.53,125.09,126.04,119.12,468400
2017-07-03,126.77,127.11,125.94,125.99,119.07,276200
2017-07-05,126.09,128.26,125.46,126.12,119.2,729900
2017-07-06,125.41,125.48,123.42,123.73,116.94,610300
2017-07-07,124.04,126.63,124.04,126.13,119.2,511600
2017-07-10,125.8,126.99,125.47,126.54,119.59,546100
2017-07-11,126.02,126.46,124.85,125.83,118.92,337200
2017-07-12,126.95,127.44,126.4,127.16,120.18,308900
2017-07-13,127.35,127.88,125.79,126.47,119.53,284500
2017-07-14,126.74,126.93,126.27,126.43,119.49,430600
2017-07-17,126.38,126.59,125.6,126.19,119.26,390200
2017-07-18,126.17,126.31,125.34,125.42,118.53,339200
2017-07-19,125.62,126.16,125.05,126.08,119.16,484900
2017-07-20,126.55,126.95,125.36,126.78,119.82,496500
2017-07-21,131.24,139.39,131.13,138.43,130.83,2340900
2017-07-24,138.39,139.25,136.49,138.19,130.6,1116200
2017-07-25,138.7,138.7,136.71,137.3,129.76,823500
2017-07-26,137.21,137.97,136.69,137.11,129.58,523200
2017-07-27,137.04,137.04,135.2,135.82,128.36,629700
2017-07-28,135.84,136.32,135.1,135.61,128.16,569800
2017-07-31,135.7,135.9,134.54,134.85,127.45,637100
2017-08-01,137.7,139.74,134.35,135.52,128.08,592000
2017-08-02,135.11,135.59,133.77,135.0,127.59,660400
2017-08-03,135.03,135.59,133.66,134.14,126.77,484700
2017-08-04,134.64,135.28,133.48,135.0,127.59,355800
2017-08-07,134.84,135.36,134.16,134.45,127.07,443300
2017-08-08,134.4,134.95,133.07,133.39,126.07,762600
2017-08-09,133.26,133.73,132.53,133.3,125.98,552500
2017-08-10,132.87,133.09,130.68,130.81,123.63,703700
2017-08-11,131.32,131.73,130.09,130.33,123.17,474600
2017-08-14,131.4,133.34,131.2,132.95,125.65,400600
2017-08-15,132.78,133.79,132.22,133.15,125.84,425500
2017-08-16,133.31,134.14,133.17,133.34,126.02,327700
2017-08-17,133.17,133.17,130.92,131.19,123.99,434900
2017-08-18,130.91,132.88,130.17,132.61,125.33,925800
2017-08-21,132.6,134.87,132.06,133.87,126.52,880600
2017-08-22,133.92,135.43,133.92,135.26,127.83,371900
2017-08-23,134.95,134.95,134.0,134.05,126.69,579300
2017-08-24,134.09,134.1,131.62,133.2,125.89,590800
2017-08-25,133.9,135.1,133.34,133.82,126.47,454400
2017-08-28,134.35,134.73,133.2,133.86,126.51,413700
2017-08-29,133.13,133.61,132.59,132.97,125.67,396500
2017-08-30,132.88,134.0,132.49,133.77,126.43,301800
2017-08-31,133.91,135.28,133.57,135.01,127.6,466600
2017-09-01,135.64,135.64,134.29,134.56,127.17,320800
2017-09-05,134.22,134.71,132.6,133.29,125.97,428300
2017-09-06,133.74,134.16,132.83,133.4,126.08,524300
