Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,34.83,35.76,34.69,35.63,35.63,1148100
2017-05-25,35.86,35.99,35.06,35.39,35.39,952500
2017-05-26,35.4,36.2,35.3,35.99,35.99,617900
2017-05-30,35.94,36.07,35.25,35.51,35.51,691500
2017-05-31,35.68,35.91,35.08,35.53,35.53,1013500
2017-06-01,35.54,36.4,35.48,36.38,36.38,867900
2017-06-02,36.5,37.71,36.5,37.12,37.12,733600
2017-06-05,37.05,37.57,36.91,37.25,37.25,571300
2017-06-06,37.06,37.33,36.83,36.95,36.95,644900
2017-06-07,37.07,37.29,36.79,36.85,36.85,1043300
2017-06-08,36.97,37.26,36.76,36.93,36.93,1012500
2017-06-09,36.85,37.6,36.49,37.3,37.3,1181700
2017-06-12,37.3,37.35,36.86,37.01,37.01,978200
2017-06-13,37.02,37.02,36.57,36.83,36.83,888900
2017-06-14,36.97,37.04,36.6,36.74,36.74,842300
2017-06-15,36.35,37.03,36.16,36.97,36.97,1181500
2017-06-16,36.75,37.25,36.49,36.9,36.9,1628100
2017-06-19,37.36,37.69,37.13,37.46,37.46,721900
2017-06-20,37.54,37.79,37.27,37.38,37.38,1027600
2017-06-21,37.46,38.73,37.46,38.02,38.02,1023700
2017-06-22,37.99,38.28,37.78,37.8,37.8,790700
2017-06-23,37.55,37.79,37.11,37.22,37.22,4440600
2017-06-26,37.15,37.26,36.44,36.72,36.72,2182900
2017-06-27,36.8,36.8,35.69,35.77,35.77,1321300
2017-06-28,36.11,36.14,35.65,35.79,35.79,1751500
2017-06-29,36.13,36.13,34.81,35.34,35.34,1451700
2017-06-30,35.3,35.47,34.74,35.1,35.1,1354200
2017-07-03,35.12,35.74,34.9,35.65,35.65,364000
2017-07-05,35.58,35.74,35.26,35.28,35.28,573000
2017-07-06,34.97,35.4,34.81,35.22,35.22,1188200
2017-07-07,35.42,35.75,35.38,35.63,35.63,960200
2017-07-10,35.49,36.11,35.47,35.81,35.81,1415800
2017-07-11,35.91,36.3,35.56,35.73,35.73,995500
2017-07-12,35.98,36.53,35.84,36.26,36.26,831500
2017-07-13,36.32,36.32,35.27,35.4,35.4,899300
2017-07-14,35.36,36.06,35.3,35.82,35.82,909800
2017-07-17,35.89,36.01,35.71,35.89,35.89,857300
2017-07-18,35.8,36.01,35.56,35.76,35.76,666500
2017-07-19,35.85,36.09,35.73,36.07,36.07,846400
2017-07-20,36.06,36.35,35.78,35.85,35.85,940800
2017-07-21,36.09,36.18,35.54,35.79,35.79,617800
2017-07-24,35.71,36.22,35.49,36.02,36.02,623400
2017-07-25,36.14,36.25,35.6,35.68,35.68,934400
2017-07-26,35.64,35.66,35.38,35.39,35.39,1315000
2017-07-27,35.1,35.35,34.63,35.02,35.02,987900
2017-07-28,35.01,35.39,34.96,34.97,34.97,652200
2017-07-31,35.14,35.14,34.67,34.7,34.7,749700
2017-08-01,35.0,35.04,34.71,34.8,34.8,861300
2017-08-02,34.84,34.84,34.39,34.48,34.48,663400
2017-08-03,34.43,34.57,34.11,34.28,34.28,771200
2017-08-04,34.27,34.46,34.07,34.25,34.25,1279600
2017-08-07,34.22,34.71,34.18,34.59,34.59,634800
2017-08-08,34.6,35.14,34.41,34.63,34.63,662800
2017-08-09,34.59,34.73,34.35,34.48,34.48,559600
2017-08-10,34.26,34.39,33.74,33.75,33.75,748000
2017-08-11,33.57,34.22,33.42,34.15,34.15,1055600
2017-08-14,34.44,34.78,34.3,34.75,34.75,466500
2017-08-15,34.82,35.49,34.74,35.31,35.31,513400
2017-08-16,35.39,35.51,35.11,35.3,35.3,371200
2017-08-17,35.17,35.38,34.18,34.19,34.19,596700
2017-08-18,33.83,34.99,33.75,34.55,34.55,3170900
2017-08-21,34.54,34.92,34.54,34.77,34.77,635100
2017-08-22,34.86,35.81,34.85,35.68,35.68,417600
2017-08-23,35.41,35.72,34.9,34.91,34.91,444200
2017-08-24,35.21,35.51,35.03,35.21,35.21,640700
2017-08-25,35.31,35.5,35.19,35.2,35.2,696800
2017-08-28,35.31,35.65,34.97,35.36,35.36,1700300
2017-08-29,38.54,41.37,38.2,40.27,40.27,5609000
2017-08-30,40.3,40.44,39.36,39.37,39.37,2515800
2017-08-31,39.63,41.4,39.63,41.29,41.29,1500900
2017-09-01,41.35,41.46,40.51,40.66,40.66,619900
2017-09-05,40.52,41.67,40.51,41.37,41.37,882200
2017-09-06,41.5,42.05,41.41,41.67,41.67,806000
2017-09-07,41.93,42.22,41.32,41.35,41.35,947100
2017-09-08,39.9,41.71,39.9,40.35,40.35,1306500
2017-09-11,40.89,41.15,40.63,40.79,40.79,1347000
2017-09-12,40.88,41.15,40.55,40.79,40.79,552300
2017-09-13,40.55,41.05,40.52,40.59,40.59,732600
2017-09-14,40.53,40.92,40.16,40.24,40.24,793000
