Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,66.17,66.61,65.85,66.49,62.6,3092700
2017-05-25,66.67,67.04,66.54,66.88,62.97,4639800
2017-05-26,67.13,67.13,66.7,66.79,62.89,2559400
2017-05-30,66.69,66.69,66.29,66.49,62.6,5077500
2017-05-31,66.64,67.1,66.43,66.91,63.0,3847900
2017-06-01,66.91,67.44,66.66,67.39,63.45,3770300
2017-06-02,67.5,67.56,66.66,67.47,63.53,6531000
2017-06-05,67.49,67.88,67.31,67.56,63.61,2297700
2017-06-06,67.29,67.77,67.15,67.41,63.47,5665700
2017-06-07,67.04,67.39,66.5,66.96,63.05,4746600
2017-06-08,66.41,66.92,66.3,66.87,62.96,3341500
2017-06-09,67.13,67.13,65.83,66.31,62.43,4296100
2017-06-12,65.91,66.33,65.59,66.29,62.42,4236200
2017-06-13,66.43,66.64,65.8,66.43,62.55,4601200
2017-06-14,66.44,66.93,65.94,66.47,62.59,3198400
2017-06-15,66.11,66.55,65.79,66.39,62.51,4005700
2017-06-16,66.13,66.64,65.87,66.59,62.7,10421500
2017-06-19,66.85,67.46,66.85,67.4,63.46,3263700
2017-06-20,67.01,67.72,67.01,67.27,63.34,2722800
2017-06-21,67.34,68.18,67.14,67.91,63.94,3428400
2017-06-22,67.89,68.11,66.87,67.12,63.2,5048400
2017-06-23,67.02,67.78,66.86,67.38,63.44,4543900
2017-06-26,67.8,68.1,67.31,67.46,63.52,3139900
2017-06-27,67.31,67.68,66.52,66.53,62.64,3051700
2017-06-28,66.81,67.24,66.53,67.03,63.11,4151700
2017-06-29,67.02,67.16,65.6,66.14,62.27,3701700
2017-06-30,66.55,66.9,66.17,66.4,62.52,3926900
2017-07-03,66.93,66.98,66.4,66.7,62.8,1294300
2017-07-05,66.81,67.25,66.14,66.89,62.98,2612900
2017-07-06,66.46,66.69,66.05,66.29,62.42,2362400
2017-07-07,66.4,67.32,66.37,66.96,63.05,2529500
2017-07-10,66.99,67.32,66.65,67.28,63.35,2212400
2017-07-11,67.18,67.66,67.06,67.6,63.65,1904100
2017-07-12,68.05,68.37,67.91,68.13,64.15,3177100
2017-07-13,68.26,68.26,67.61,67.9,63.93,3844800
2017-07-14,68.28,68.91,68.13,68.83,64.81,3136600
2017-07-17,68.78,69.0,68.52,68.89,64.86,2507100
2017-07-18,68.78,68.96,68.42,68.79,64.77,2436400
2017-07-19,68.8,69.5,68.65,69.5,65.44,2798200
2017-07-20,69.75,70.3,69.63,69.96,65.87,2617100
2017-07-21,69.67,70.06,69.6,69.98,65.89,2888600
2017-07-24,69.96,70.06,69.64,69.96,65.87,3488200
2017-07-25,69.96,70.35,69.73,69.97,65.88,2599300
2017-07-26,70.21,70.45,69.89,70.05,65.96,2206100
2017-07-27,70.06,70.49,69.25,69.72,65.65,3359600
2017-07-28,69.54,69.9,69.18,69.32,65.27,3926100
2017-07-31,69.55,69.75,69.24,69.32,65.27,4589400
2017-08-01,69.39,70.02,69.39,69.51,65.45,4516800
2017-08-02,69.44,69.52,68.04,68.52,64.52,8021600
2017-08-03,67.83,70.05,67.72,69.95,65.86,5882700
2017-08-04,70.8,71.57,70.6,71.18,67.02,4555400
2017-08-07,71.09,71.17,69.53,69.59,65.52,4235100
2017-08-08,69.99,70.75,69.52,70.28,66.17,3709200
2017-08-09,70.02,71.08,69.73,71.01,66.86,3718600
2017-08-10,70.51,71.08,69.92,70.01,65.92,3098900
2017-08-11,70.13,70.71,69.96,70.61,66.48,3453500
2017-08-14,71.1,71.87,70.94,71.84,67.64,2598300
2017-08-15,71.86,71.91,71.5,71.67,67.48,4298000
2017-08-16,71.98,72.07,71.56,72.06,67.85,2392100
2017-08-17,71.82,71.98,70.36,70.39,66.28,3098800
2017-08-18,69.7,70.51,69.58,70.07,66.12,2636100
2017-08-21,70.17,70.17,69.33,69.52,65.6,2429400
2017-08-22,69.72,70.3,69.6,70.15,66.19,2918300
2017-08-23,70.01,70.13,69.84,70.02,66.07,2021400
2017-08-24,70.12,70.34,69.52,69.82,65.88,1473600
2017-08-25,70.09,70.74,69.77,69.78,65.84,2959000
2017-08-28,69.98,70.29,69.81,69.96,66.01,2961900
2017-08-29,69.39,69.78,69.24,69.65,65.72,1666300
2017-08-30,69.58,69.88,69.37,69.67,65.74,1943400
2017-08-31,69.84,71.0,69.7,70.77,66.78,3379100
2017-09-01,70.85,71.23,70.75,70.83,66.83,2862100
2017-09-05,70.57,70.73,69.88,70.54,66.56,1983000
2017-09-06,70.73,71.07,70.53,70.93,66.93,1636700
2017-09-07,71.02,71.8,70.95,71.42,67.39,2174500
2017-09-08,71.22,71.63,71.0,71.1,67.09,2479700
2017-09-11,71.72,72.33,71.21,72.18,68.11,3161000
2017-09-12,72.38,73.0,72.1,72.84,68.73,2854300
2017-09-13,72.82,72.99,72.19,72.27,68.19,3279600
2017-09-14,71.99,72.24,71.5,71.74,67.69,3333300
2017-09-15,71.77,71.93,71.41,71.82,67.77,3927800
2017-09-18,72.13,72.32,71.81,72.04,67.97,1565500
2017-09-19,72.25,72.82,72.13,72.5,68.41,2620400
2017-09-20,72.63,72.84,72.01,72.46,68.37,2568500
2017-09-21,72.37,72.58,71.86,71.86,67.8,2382300
2017-09-22,71.96,72.47,71.91,72.06,67.99,3568300
2017-09-25,71.91,72.05,71.04,71.69,67.64,2195600
2017-09-26,71.93,72.52,71.51,71.62,67.58,3768000
2017-09-27,72.03,72.33,71.53,71.91,67.85,2037400
2017-09-28,71.48,72.17,71.39,72.14,68.07,1640800
2017-09-29,71.99,72.65,71.93,72.54,68.45,1953100
2017-10-02,72.51,73.28,72.35,72.45,68.36,1897100
2017-10-03,72.46,72.92,72.22,72.55,68.46,2638600
2017-10-04,72.5,73.03,72.26,72.65,68.55,4474400
2017-10-05,73.06,73.23,72.63,73.2,69.07,3628200
2017-10-06,73.0,73.83,73.0,73.8,69.64,2249300
2017-10-09,73.91,73.91,73.2,73.65,69.49,1925400
2017-10-10,73.62,74.1,73.62,74.0,69.82,2089200
2017-10-11,73.89,74.01,73.15,73.6,69.45,2468200
2017-10-12,73.74,74.47,73.74,74.09,69.91,2675600
2017-10-13,74.61,74.77,74.23,74.38,70.18,1467000
2017-10-16,74.44,74.51,73.79,74.17,69.98,1214400
2017-10-17,74.12,74.13,73.6,73.97,69.8,1387200
2017-10-18,74.0,74.33,73.64,73.94,69.77,2050400
2017-10-19,73.61,74.47,73.42,74.27,70.08,1658800
2017-10-20,74.5,74.82,74.19,74.8,70.58,2905200
2017-10-23,74.98,75.0,74.3,74.4,70.2,2665600
2017-10-24,74.32,74.7,74.15,74.69,70.48,3549200
2017-10-25,74.43,74.75,74.1,74.25,70.06,2375000
2017-10-26,74.65,75.51,74.54,74.58,70.37,3390200
2017-10-27,74.71,75.5,74.0,75.39,71.14,3424300
2017-10-30,75.32,75.62,74.75,75.51,71.25,4155400
2017-10-31,75.73,76.51,75.36,75.67,71.4,6126500
2017-11-01,74.64,75.0,70.53,73.54,69.39,9994900
2017-11-02,74.14,75.11,73.73,74.36,70.16,4426300
2017-11-03,74.33,74.72,73.77,74.27,70.08,3792500
2017-11-06,74.11,75.29,74.0,74.78,70.56,3183300
2017-11-07,74.81,75.06,74.53,74.65,70.44,3161600
2017-11-08,74.85,75.08,74.27,74.38,70.18,2556300
2017-11-09,73.86,74.24,73.5,73.94,69.77,2138000
2017-11-10,73.59,74.44,73.42,74.26,70.07,2591900
2017-11-13,74.0,74.66,73.81,74.56,70.35,1743800
2017-11-14,73.84,75.19,73.78,74.97,70.74,2261400
2017-11-15,74.94,75.11,73.97,74.09,69.91,3244000
2017-11-16,74.4,75.77,74.39,75.38,71.13,3370800
2017-11-17,75.07,75.16,72.88,72.91,68.93,4754900
2017-11-20,72.74,72.91,71.57,71.9,67.98,5894900
