Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,82.44,82.44,81.56,82.3,78.9,874900
2017-05-25,82.53,83.4,82.3,83.15,79.72,964900
2017-05-26,82.84,83.04,82.25,82.49,79.08,1028800
2017-05-30,82.18,82.44,81.66,82.15,78.76,1821500
2017-05-31,82.45,82.6,81.33,82.54,79.13,1773900
2017-06-01,82.74,83.03,82.15,82.86,79.44,2646300
2017-06-02,83.0,83.49,82.53,83.43,79.98,1648200
2017-06-05,83.55,84.01,83.31,83.32,79.88,1009400
2017-06-06,83.1,83.61,82.56,82.85,79.43,974200
2017-06-07,82.82,83.34,82.57,83.27,79.83,965100
2017-06-08,83.15,83.4,82.74,83.21,79.77,941400
2017-06-09,83.27,83.27,77.83,78.32,75.08,2886700
2017-06-12,77.4,80.98,77.22,80.85,77.51,3031000
2017-06-13,81.1,81.36,80.26,80.75,77.41,1593400
2017-06-14,80.96,81.23,79.13,79.97,76.67,1012000
2017-06-15,79.17,79.54,78.26,79.26,75.99,1430600
2017-06-16,79.19,79.94,78.82,79.92,76.62,3030700
2017-06-19,80.2,81.73,79.68,81.41,78.05,1437200
2017-06-20,81.18,81.42,80.21,80.35,77.03,838800
2017-06-21,80.68,81.24,80.55,80.68,77.35,920100
2017-06-22,80.68,81.5,80.04,81.18,77.83,966200
2017-06-23,81.33,82.09,80.65,81.41,78.05,1413600
2017-06-26,81.46,82.58,81.02,81.27,77.91,763900
2017-06-27,81.12,81.27,80.31,80.46,77.14,700800
2017-06-28,80.84,81.34,79.72,81.23,77.87,783600
2017-06-29,81.02,81.14,78.62,79.51,76.23,1079900
2017-06-30,79.91,80.15,78.95,79.58,76.29,936200
2017-07-03,79.97,80.42,78.69,78.78,75.53,457800
2017-07-05,78.98,79.95,78.47,79.4,76.12,1346700
2017-07-06,78.81,79.53,78.49,78.67,75.42,676300
2017-07-07,78.93,79.65,78.93,79.27,76.0,909000
2017-07-10,79.29,80.33,78.83,79.93,76.63,826900
2017-07-11,78.0,79.55,77.1,78.56,75.31,2574800
2017-07-12,79.4,80.47,79.01,80.43,77.11,1135400
2017-07-13,80.55,80.64,79.29,80.37,77.05,1290100
2017-07-14,80.65,81.07,79.81,80.99,77.64,1310500
2017-07-17,80.99,81.65,80.56,81.43,78.07,1384300
2017-07-18,81.25,81.61,80.36,81.21,77.86,866700
2017-07-19,81.24,82.86,80.96,82.78,79.36,1370800
2017-07-20,82.82,83.0,82.11,82.58,79.17,1258600
2017-07-21,82.18,82.66,81.68,81.86,78.48,576800
2017-07-24,81.76,81.82,81.17,81.58,78.21,714000
2017-07-25,81.59,82.32,81.52,81.79,78.41,829800
2017-07-26,82.0,82.0,81.24,81.52,78.15,767900
2017-07-27,81.8,81.8,78.47,79.74,76.45,1196600
2017-07-28,79.33,80.17,79.06,79.71,76.42,854700
2017-07-31,79.99,79.99,78.25,78.98,75.72,1517800
2017-08-01,79.19,79.67,78.81,79.61,76.32,1281300
2017-08-02,79.55,79.55,77.91,79.11,75.84,1943000
2017-08-03,79.32,79.32,75.68,77.51,74.31,4432500
2017-08-04,77.51,78.48,77.26,78.16,74.93,1499900
2017-08-07,78.06,79.13,77.82,78.47,75.23,1720000
2017-08-08,78.18,78.42,76.47,76.75,73.58,2287800
2017-08-09,76.24,76.65,76.06,76.22,73.07,1858600
2017-08-10,75.63,76.14,74.53,74.67,71.59,1653500
