Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,77.31,77.54,76.32,76.42,66.32,5488800
2017-05-25,76.62,76.69,75.69,75.95,65.91,5539200
2017-05-26,76.0,76.65,75.94,76.64,66.51,3613000
2017-05-30,76.41,76.98,76.4,76.77,66.62,5116600
2017-05-31,76.78,76.97,76.25,76.83,66.68,6857200
2017-06-01,76.84,78.29,76.69,78.29,67.94,4827300
2017-06-02,78.51,79.08,78.35,79.05,68.6,6454100
2017-06-05,79.0,79.05,78.24,78.79,68.38,6272300
2017-06-06,78.48,78.52,77.64,77.9,67.61,4880800
2017-06-07,78.05,78.37,77.38,78.16,67.83,5108500
2017-06-08,78.2,78.56,77.93,78.43,68.07,4096400
2017-06-09,78.61,79.74,78.17,79.71,69.18,5652600
2017-06-12,79.86,80.91,78.9,79.68,69.15,6339700
2017-06-13,79.64,79.99,78.99,79.85,69.3,5044300
2017-06-14,80.02,80.86,79.66,80.8,70.12,5075900
2017-06-15,80.68,80.9,79.65,80.09,69.51,4655800
2017-06-16,79.22,79.46,75.46,77.06,66.88,15507200
2017-06-19,77.3,78.1,76.53,78.1,67.78,5949700
2017-06-20,78.19,78.57,77.69,77.78,67.5,5729100
2017-06-21,77.97,79.07,77.75,78.16,67.83,4777400
2017-06-22,77.94,78.24,77.21,77.22,67.02,5369700
2017-06-23,77.36,77.94,76.93,77.41,67.18,21808600
2017-06-26,77.88,80.58,77.88,80.12,69.53,8655700
2017-06-27,80.23,81.15,79.95,80.49,69.85,8974300
2017-06-28,80.6,82.0,80.54,81.25,70.51,6693100
2017-06-29,81.65,82.15,79.54,80.27,69.66,6378800
2017-06-30,80.52,80.71,79.78,80.46,69.83,4425700
2017-07-03,80.77,81.34,80.46,80.62,69.97,2379800
2017-07-05,80.4,80.63,79.65,79.66,69.13,4695700
2017-07-06,79.81,79.93,78.66,78.71,68.31,4425500
2017-07-07,78.8,79.13,78.05,78.64,68.25,3442500
2017-07-10,78.64,78.86,77.77,78.14,67.81,4852700
2017-07-11,78.18,78.23,77.36,77.64,67.38,4656100
2017-07-12,77.89,78.43,77.35,77.45,67.21,4671800
2017-07-13,77.67,78.24,77.61,77.92,67.62,4885800
2017-07-14,77.94,78.28,77.66,77.93,67.63,4130300
2017-07-17,78.19,78.45,77.9,78.3,67.95,4642800
2017-07-18,78.25,78.38,77.49,78.0,67.69,4808500
2017-07-19,78.12,78.74,77.34,77.39,67.16,6929700
2017-07-20,77.12,77.6,76.48,77.16,67.4,6117500
2017-07-21,77.09,77.37,76.61,77.03,67.28,3429300
2017-07-24,76.93,77.35,76.67,77.1,67.35,2967300
2017-07-25,77.48,78.97,77.25,78.91,68.93,4683700
2017-07-26,78.97,78.97,77.03,78.29,68.39,6600300
2017-07-27,78.18,78.92,77.63,78.92,68.94,3751700
2017-07-28,78.91,79.95,78.84,79.75,69.66,3974400
2017-07-31,80.0,80.61,79.62,79.93,69.82,5058800
2017-08-01,79.9,80.3,79.45,79.7,69.62,4147700
2017-08-02,79.61,80.28,79.5,79.75,69.66,4534600
2017-08-03,79.38,79.81,78.53,78.6,68.66,5055200
2017-08-04,79.22,79.25,77.92,77.97,68.11,6059700
2017-08-07,78.0,79.28,77.99,79.12,69.11,4604000
2017-08-08,78.64,79.0,76.72,78.57,68.63,8639800
2017-08-09,78.43,79.49,78.06,79.43,69.38,4902200
2017-08-10,79.11,80.3,78.89,79.14,69.13,4612800
2017-08-11,78.95,79.81,78.95,79.41,69.36,2985500
2017-08-14,79.54,80.14,79.17,79.3,69.27,3800600
2017-08-15,79.46,79.67,78.91,79.11,69.1,3104200
2017-08-16,79.44,80.13,79.0,79.25,69.22,3573900
2017-08-17,79.07,79.78,78.87,78.89,68.91,4470500
2017-08-18,78.45,78.75,77.55,77.66,67.84,5005400
2017-08-21,77.69,77.92,77.52,77.64,67.82,3636900
2017-08-22,77.85,78.39,77.65,77.76,67.92,5409100
2017-08-23,77.5,77.88,77.1,77.61,67.79,3343300
2017-08-24,77.19,77.64,74.59,75.39,65.85,9495500
2017-08-25,75.57,76.28,75.33,75.35,65.82,6416500
2017-08-28,75.5,75.96,75.17,75.46,65.91,5068300
2017-08-29,75.43,76.32,75.0,76.09,66.46,4516200
2017-08-30,76.09,76.66,75.98,76.38,66.72,3607000
2017-08-31,76.5,77.78,76.49,77.34,67.56,5518700
2017-09-01,77.54,78.44,77.3,77.92,68.06,4653600
2017-09-05,77.61,78.95,77.53,78.69,68.73,4469000
2017-09-06,78.83,80.0,78.83,79.88,69.77,5106200
2017-09-07,79.98,80.61,79.55,80.41,70.24,5556100
2017-09-08,80.01,80.55,79.48,79.72,69.63,4252900
2017-09-11,80.0,80.0,79.33,79.72,69.63,3784300
2017-09-12,80.0,82.79,79.83,82.43,72.0,8048700
2017-09-13,82.3,83.69,82.13,83.08,72.57,6813800
2017-09-14,82.88,83.06,82.37,82.64,72.19,4583500
2017-09-15,82.21,83.36,81.48,83.17,72.65,7483200
2017-09-18,83.19,83.53,82.86,83.31,72.77,4333300
2017-09-19,83.75,84.0,82.9,83.1,72.59,4568200
2017-09-20,83.2,83.76,80.16,80.7,70.49,9944300
2017-09-21,80.65,80.72,79.18,79.56,69.49,5253400
2017-09-22,79.2,79.9,78.62,79.63,69.56,6534100
2017-09-25,79.82,81.62,79.63,81.37,71.08,5065300
2017-09-26,81.43,81.89,81.15,81.65,71.32,2785800
2017-09-27,81.72,82.0,80.8,81.47,71.16,3308400
2017-09-28,81.26,81.48,80.73,81.26,70.98,3442200
2017-09-29,81.39,81.68,80.81,81.32,71.03,4118100
2017-10-02,81.35,81.61,80.6,80.77,70.55,4688500
2017-10-03,80.52,81.31,80.52,80.91,70.67,6732600
2017-10-04,80.9,80.96,79.93,80.07,69.94,4356800
2017-10-05,80.1,80.94,80.05,80.9,70.67,6090800
2017-10-06,80.39,80.47,76.54,76.92,67.19,11795600
2017-10-09,77.05,77.22,73.76,74.3,64.9,13362400
2017-10-10,74.29,75.43,73.3,74.71,65.26,10715900
2017-10-11,74.71,74.97,73.78,73.9,64.55,7087400
2017-10-12,73.9,74.57,73.51,73.78,64.45,6176400
2017-10-13,74.11,74.2,72.52,72.6,63.42,6716300
2017-10-16,72.5,73.4,72.12,72.44,63.28,5916900
2017-10-17,72.41,72.91,72.12,72.63,63.44,6068700
2017-10-18,72.88,74.56,72.28,74.1,64.73,10479600
2017-10-19,74.26,75.2,74.2,74.63,65.19,8056700
2017-10-20,74.98,76.5,74.52,76.49,66.81,9144900
2017-10-23,76.03,76.48,75.79,75.91,66.74,7487100
2017-10-24,76.17,76.43,75.4,76.01,66.83,5940200
2017-10-25,76.48,76.62,74.48,75.53,66.41,6648700
2017-10-26,75.79,76.47,70.78,73.31,64.46,21982500
2017-10-27,73.89,74.99,68.16,68.99,60.66,32616300
2017-10-30,68.77,69.66,68.01,68.45,60.18,10400900
2017-10-31,68.36,69.34,68.36,68.53,60.25,7199300
2017-11-01,68.82,69.53,68.19,69.0,60.67,8433800
2017-11-02,69.14,69.92,69.11,69.38,61.0,5378500
2017-11-03,69.3,69.67,68.12,69.25,60.89,9901200
2017-11-06,68.23,69.82,66.45,66.8,58.73,14183100
2017-11-07,66.86,69.42,66.68,68.95,60.62,12134800
2017-11-08,68.91,69.09,68.4,68.99,60.66,8661700
2017-11-09,69.2,69.43,68.46,69.02,60.68,6992100
2017-11-10,69.63,71.51,69.19,70.99,62.42,10300000
2017-11-13,71.18,74.0,70.29,71.48,62.85,9874900
2017-11-14,71.15,71.44,69.91,70.44,61.93,5964000
2017-11-15,70.0,70.38,69.4,69.8,61.37,5333900
2017-11-16,70.1,71.05,69.55,70.26,61.78,6447600
2017-11-17,70.25,71.03,70.0,70.68,62.14,5382200
2017-11-20,70.58,71.0,69.77,70.38,61.88,8490300
2017-11-21,70.68,71.63,70.53,71.5,62.87,9609100
2017-11-22,71.39,72.07,71.2,71.48,62.85,5315400
2017-11-24,71.89,71.93,70.5,70.55,62.03,2992900
2017-11-27,70.62,70.94,70.21,70.4,61.9,6146300
2017-11-28,70.64,72.71,70.0,72.7,63.92,8348500
2017-11-29,72.76,74.68,72.75,73.4,64.54,7329900
2017-11-30,73.69,77.79,73.55,76.6,67.35,20281300
2017-12-01,75.62,76.59,73.63,75.12,66.05,10586500
2017-12-04,72.95,73.28,70.19,71.69,63.03,40464600
2017-12-05,71.92,72.15,70.5,71.01,62.43,15424000
2017-12-06,70.62,71.57,70.2,71.38,62.76,12371700
2017-12-07,71.13,71.33,69.52,71.09,62.5,12365800
2017-12-08,73.09,73.8,70.89,73.09,64.26,12510500
2017-12-11,72.91,73.6,72.56,73.08,64.25,6687000
2017-12-12,72.85,73.19,72.17,72.85,64.05,8233100
2017-12-13,72.77,72.9,71.0,71.62,62.97,9940400
2017-12-14,71.63,71.89,70.47,70.8,62.25,8214300
2017-12-15,71.33,73.68,70.76,73.08,64.25,14334100
2017-12-18,73.17,73.39,71.65,71.67,63.01,12709300
2017-12-19,71.65,72.98,71.6,72.31,63.58,11825600
2017-12-20,72.65,74.18,72.61,73.56,64.68,10571600
2017-12-21,73.51,75.87,73.39,74.64,65.63,10518500
2017-12-22,74.61,74.72,73.3,73.41,64.54,5282400
2017-12-26,73.5,74.0,72.76,73.68,64.78,4801700
2017-12-27,73.81,73.9,72.65,72.76,63.97,5248600
2017-12-28,72.87,73.23,72.47,73.05,64.23,4196600
2017-12-29,72.96,73.1,72.44,72.5,63.74,4757500
2018-01-02,73.06,74.03,72.87,73.52,64.64,5878300
2018-01-03,73.73,73.9,73.06,73.2,64.36,6139500
2018-01-04,75.19,76.67,74.68,75.13,66.06,13715500
2018-01-05,76.31,78.56,76.14,78.45,68.98,15338100
2018-01-08,78.32,78.78,77.15,77.77,68.38,9589200
2018-01-09,77.98,78.33,77.44,77.69,68.31,7778400
2018-01-10,77.16,77.63,76.6,77.44,68.09,8772200
2018-01-11,78.01,79.06,77.68,79.02,69.48,7158200
2018-01-12,78.92,79.68,78.51,78.78,69.27,7098200
2018-01-16,78.83,80.15,78.83,79.44,69.85,8437300
2018-01-17,79.6,79.97,78.93,79.5,69.9,7448700
2018-01-18,79.92,80.69,79.26,79.35,69.77,8065800
2018-01-19,79.58,80.04,79.11,79.86,70.22,7963600
2018-01-22,80.09,80.98,79.93,80.95,71.17,7016200
2018-01-23,80.48,80.7,79.7,80.44,71.17,5780600
2018-01-24,80.76,81.19,80.35,80.92,71.59,7308500
2018-01-25,81.3,81.99,80.76,81.58,72.17,6357400
2018-01-26,81.64,82.01,80.92,82.01,72.55,5883300
2018-01-29,82.0,83.88,81.75,83.63,73.99,8372900
2018-01-30,78.49,80.94,78.18,80.19,70.94,16517900
2018-01-31,80.6,81.27,78.04,78.69,69.62,12472400
2018-02-01,78.3,79.2,77.6,78.79,69.71,9150000
2018-02-02,78.36,78.54,75.58,76.45,67.64,10395600
2018-02-05,75.31,76.4,73.29,73.32,64.87,12199500
2018-02-06,72.5,74.65,71.77,74.02,65.49,11241200
2018-02-07,73.84,75.56,73.57,74.35,65.78,9611100
2018-02-08,74.0,75.34,70.5,70.55,62.42,11725200
2018-02-09,71.01,71.35,67.31,69.39,61.39,16718500
2018-02-12,70.09,70.64,69.5,69.87,61.81,8943800
2018-02-13,69.71,71.22,69.6,70.11,62.03,8796200
2018-02-14,69.66,70.22,69.56,69.79,61.74,6577000
2018-02-15,70.59,70.94,69.09,70.49,62.36,6770200
2018-02-16,70.37,72.21,70.32,71.9,63.61,6469900
2018-02-20,71.25,71.45,69.73,70.66,62.51,6415200
2018-02-21,70.59,70.9,68.72,68.76,60.83,10624800
2018-02-22,68.96,69.14,67.56,68.0,60.16,10061500
2018-02-23,68.51,68.78,67.43,68.16,60.3,5804800
2018-02-26,68.2,68.47,67.57,68.23,60.36,7837600
2018-02-27,69.3,69.66,68.12,68.25,60.38,7391900
2018-02-28,68.37,68.69,67.61,67.73,59.92,10799800
2018-03-01,67.7,68.53,66.76,67.15,59.41,9556400
2018-03-02,67.11,67.61,66.63,67.46,59.68,10613900
2018-03-05,67.5,68.6,66.99,68.31,60.43,7754200
2018-03-06,68.38,68.47,67.06,67.65,59.85,8838300
2018-03-07,66.96,67.89,66.54,67.51,59.73,6790100
2018-03-08,67.85,69.36,67.85,68.36,60.48,8374000
2018-03-09,68.77,69.37,68.23,69.27,61.28,5795600
2018-03-12,69.27,69.56,68.77,69.01,61.05,4752600
2018-03-13,69.27,69.33,68.08,68.25,60.38,7210600
2018-03-14,68.31,68.5,66.63,67.05,59.32,7622400
2018-03-15,67.23,67.58,65.66,65.86,58.27,9485300
2018-03-16,66.09,66.45,65.65,65.65,58.08,15281600
2018-03-19,65.72,65.88,63.31,63.63,56.29,8883200
2018-03-20,63.97,64.09,61.87,62.94,55.68,9700600
2018-03-21,62.96,63.24,62.4,62.42,55.22,7525700
2018-03-22,62.06,63.26,61.74,61.79,54.67,8590500
2018-03-23,62.0,62.45,60.78,60.86,53.84,6976900
2018-03-26,61.28,61.83,61.05,61.6,54.5,7496700
2018-03-27,61.73,61.87,60.14,60.6,53.61,7843700
2018-03-28,60.88,62.97,60.81,62.71,55.48,10253800
2018-03-29,62.69,63.4,61.34,62.21,55.04,8096400
2018-04-02,62.06,62.2,60.45,61.04,54.0,7863600
2018-04-03,61.57,62.72,61.13,62.58,55.36,7793800
2018-04-04,62.38,64.99,62.12,64.28,56.87,10281600
2018-04-05,64.49,65.16,64.2,64.66,57.2,5471500
2018-04-06,64.37,64.77,62.86,63.38,56.07,5114800
2018-04-09,63.64,64.53,62.77,63.31,56.01,6096500
2018-04-10,63.72,64.32,63.04,63.97,56.59,6417000
2018-04-11,63.88,64.3,62.91,63.07,55.8,7493700
2018-04-12,63.71,64.34,63.48,64.0,56.62,5500000
2018-04-13,64.23,64.4,62.67,63.43,56.12,5825200
2018-04-16,63.78,68.92,63.25,66.1,58.48,19008400
2018-04-17,66.91,67.38,65.24,67.11,59.37,11059100
2018-04-18,67.07,67.91,66.56,66.61,58.93,6047900
2018-04-19,66.65,66.84,65.12,65.86,58.27,6371800
2018-04-20,65.66,66.29,64.69,65.12,58.05,6169600
2018-04-23,65.51,65.93,64.95,65.68,58.55,6282800
2018-04-24,65.86,67.25,65.76,66.6,59.37,10204500
2018-04-25,66.25,68.09,66.18,67.73,60.38,7379300
2018-04-26,67.76,69.38,67.7,68.69,61.23,10664500
2018-04-27,68.82,71.08,68.61,69.95,62.36,7486500
2018-04-30,70.14,70.63,69.0,69.83,62.25,18378800
2018-05-01,69.23,69.75,68.0,68.0,60.62,9569900
2018-05-02,66.99,67.5,65.51,65.94,58.78,14322500
2018-05-03,65.78,65.83,62.25,62.27,55.51,17123400
2018-05-04,62.04,63.39,61.31,63.1,56.25,12251800
2018-05-07,63.12,63.25,61.39,61.75,55.05,11944900
2018-05-08,62.0,62.0,60.32,60.71,54.12,10412800
2018-05-09,60.89,62.36,60.65,61.21,54.57,9062300
2018-05-10,61.7,63.62,61.56,62.44,55.66,10115800
2018-05-11,62.71,65.61,60.9,64.41,57.42,15335100
2018-05-14,64.61,67.07,64.58,66.82,59.57,12415100
2018-05-15,66.48,66.82,65.48,65.84,58.69,6510100
2018-05-16,66.1,66.45,65.59,66.13,58.95,5965300
2018-05-17,66.06,66.3,65.52,65.76,58.62,6605200
2018-05-18,65.98,66.09,64.59,64.92,57.87,4734500
2018-05-21,65.1,65.67,64.74,65.5,58.39,4958900
