Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,48.67,48.97,48.48,48.87,45.52,5139600
2017-05-25,48.99,50.43,48.96,50.4,46.94,7421000
2017-05-26,50.31,50.95,50.31,50.8,47.32,5778500
2017-05-30,50.59,50.59,49.04,49.06,45.69,10523500
2017-05-31,49.19,49.35,48.52,49.13,45.76,8088900
2017-06-01,49.32,50.07,49.3,49.85,46.43,7431600
2017-06-02,50.55,51.88,50.5,51.19,47.68,11872100
2017-06-05,50.99,51.49,50.57,51.39,47.86,9018000
2017-06-06,51.15,51.69,51.05,51.23,47.72,6826300
2017-06-07,51.01,52.5,50.65,52.27,48.68,10888400
2017-06-08,52.27,53.45,52.2,52.84,49.22,9057200
2017-06-09,52.9,53.57,52.66,53.01,49.37,9709000
2017-06-12,52.95,52.97,51.37,52.25,48.67,9751100
2017-06-13,52.26,52.84,51.46,51.87,48.31,8280600
2017-06-14,52.01,52.2,51.54,51.91,48.35,6019000
2017-06-15,51.63,51.84,50.92,51.56,48.02,6871200
2017-06-16,51.55,52.0,51.25,52.0,48.43,6254500
2017-06-19,52.1,52.63,51.94,52.51,48.91,7674700
2017-06-20,52.68,52.8,51.66,51.76,48.21,7050100
2017-06-21,52.05,52.58,51.75,52.27,48.68,5135100
2017-06-22,52.99,53.2,52.17,52.81,49.19,7240900
2017-06-23,52.8,53.17,52.62,52.92,49.29,15792900
2017-06-26,53.02,53.79,52.7,52.87,49.24,6127500
2017-06-27,52.86,53.21,52.6,52.84,49.22,5921800
2017-06-28,53.25,54.2,53.25,53.84,50.15,6745200
2017-06-29,54.11,54.53,53.68,53.87,50.17,7188300
2017-06-30,54.0,54.28,53.73,53.74,50.05,5012800
2017-07-03,54.26,54.71,53.74,54.06,50.35,3532100
2017-07-05,54.15,54.61,53.74,54.33,50.6,5793000
2017-07-06,54.18,54.84,53.89,54.37,50.64,6221400
2017-07-07,54.55,55.5,54.28,55.46,51.66,7493300
2017-07-10,55.04,55.75,54.64,54.81,51.05,7971800
2017-07-11,54.82,55.04,54.18,54.28,50.56,5442100
2017-07-12,54.8,55.59,54.75,55.48,51.67,12101600
2017-07-13,54.55,55.03,53.82,54.5,50.76,13257400
2017-07-14,54.5,55.39,54.4,55.13,51.35,9228700
2017-07-17,55.2,55.29,54.61,54.64,50.89,5387400
2017-07-18,54.5,54.5,53.88,53.96,50.26,6421200
2017-07-19,53.77,54.34,53.1,53.79,50.1,10733000
2017-07-20,53.79,53.91,52.76,52.83,49.21,8418300
2017-07-21,52.55,52.7,52.07,52.26,48.68,6847600
2017-07-24,52.16,52.41,51.42,51.53,48.0,8208700
2017-07-25,51.92,52.21,51.08,51.14,47.63,5815200
2017-07-26,51.15,51.27,50.63,51.13,47.62,8065100
2017-07-27,50.4,50.98,49.53,50.08,46.64,12402000
2017-07-28,49.99,50.38,49.4,50.33,46.88,8652600
2017-07-31,50.47,50.7,49.26,49.36,45.97,9575700
2017-08-01,49.78,50.2,49.26,50.07,46.64,7849800
2017-08-02,50.01,50.3,49.48,50.01,46.58,5215100
2017-08-03,50.12,50.74,49.93,50.57,47.1,5250300
2017-08-04,50.74,50.8,50.34,50.61,47.14,4426500
2017-08-07,51.2,51.55,50.69,50.75,47.27,6241700
2017-08-08,50.75,51.04,50.23,50.31,46.86,5847200
2017-08-09,50.0,50.1,49.5,49.67,46.26,6692200
2017-08-10,49.57,49.65,48.98,49.04,45.68,8925200
2017-08-11,48.95,49.58,48.46,49.48,46.09,6318900
2017-08-14,49.99,50.24,49.66,50.07,46.64,4666000
2017-08-15,50.25,50.33,49.86,49.92,46.5,4067600
