Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,86.78,88.1,86.73,87.46,78.76,3846284
2017-05-25,87.84,88.07,85.95,86.32,77.73,3167425
2017-05-26,86.05,87.05,86.02,86.9,78.26,2194595
2017-05-30,86.48,86.96,86.26,86.66,78.04,2786752
2017-05-31,86.81,88.21,86.19,88.19,79.41,7733601
2017-06-01,88.19,89.47,88.07,89.32,80.43,4110184
2017-06-02,89.62,90.28,89.38,89.74,80.81,3267968
2017-06-05,89.67,90.15,89.45,89.96,81.01,3897083
2017-06-06,89.67,91.17,89.47,90.7,81.68,4406052
2017-06-07,91.0,91.23,90.01,91.06,82.0,4496126
2017-06-08,91.06,91.42,90.49,91.05,81.98,3820639
2017-06-09,91.19,92.37,91.08,92.14,82.97,5874572
2017-06-12,92.14,92.14,90.7,91.1,82.04,3849938
2017-06-13,91.03,92.95,91.03,92.88,83.64,3817969
2017-06-14,93.0,93.11,91.37,91.84,82.7,3693467
2017-06-15,91.22,91.8,89.92,91.23,82.15,5114561
2017-06-16,92.01,92.16,90.86,91.64,82.52,6640062
2017-06-19,92.03,93.18,92.03,92.83,83.59,3064704
2017-06-20,92.74,93.05,92.16,92.65,83.43,5162198
2017-06-21,92.65,92.78,90.42,90.63,81.61,4206160
2017-06-22,90.69,91.27,90.48,90.85,81.81,3362188
2017-06-23,90.86,91.09,90.08,90.33,81.34,5044581
2017-06-26,90.43,91.03,90.09,90.48,81.47,3224125
2017-06-27,90.61,90.72,89.65,89.79,80.86,3700142
2017-06-28,90.26,90.46,89.75,90.02,81.66,3594399
2017-06-29,90.06,90.99,88.95,89.25,80.96,3116697
2017-06-30,89.5,90.29,89.1,89.77,81.43,4713161
2017-07-03,90.26,91.43,90.11,91.0,82.55,2117729
2017-07-05,91.09,91.23,89.72,90.26,81.88,2706444
2017-07-06,90.06,91.02,89.44,90.46,82.06,2366733
2017-07-07,90.53,91.06,90.04,90.93,82.48,2315443
2017-07-10,90.93,92.28,90.43,91.83,83.3,2526506
2017-07-11,91.91,91.96,90.98,91.87,83.34,2317129
2017-07-12,92.38,94.53,92.11,94.33,85.57,4802252
2017-07-13,94.32,94.62,93.15,93.38,84.7,3406733
2017-07-14,93.57,94.53,93.27,94.28,85.52,2207382
2017-07-17,94.29,94.59,93.75,94.11,85.36,2050419
