Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,121.96,122.82,121.79,122.78,113.21,1990100
2017-05-25,123.0,123.43,122.06,122.43,112.88,2792200
2017-05-26,122.8,123.59,122.36,122.79,113.21,2132000
2017-05-30,122.0,122.65,121.85,122.26,112.73,3261600
2017-05-31,123.05,123.21,122.11,122.46,112.91,2341900
2017-06-01,125.25,125.98,124.12,124.7,114.98,4198000
2017-06-02,125.89,126.0,124.44,124.91,115.17,2428400
2017-06-05,124.63,126.44,124.63,125.33,115.56,2098400
2017-06-06,124.8,125.75,124.64,125.05,115.3,2051300
2017-06-07,125.05,125.67,124.79,125.29,115.52,2144800
2017-06-08,125.29,126.29,125.16,126.0,116.17,2267000
2017-06-09,126.27,127.04,125.32,125.95,116.13,2395400
2017-06-12,125.89,126.4,124.39,126.0,116.17,1997300
2017-06-13,126.0,126.65,126.0,126.42,116.56,1171200
2017-06-14,126.42,126.55,125.94,126.43,116.57,1836700
2017-06-15,125.7,126.55,125.41,126.37,116.52,3859900
2017-06-16,126.58,128.21,126.53,127.9,117.93,4207100
2017-06-19,128.37,128.37,126.5,126.99,117.09,2089800
2017-06-20,126.63,127.08,126.04,126.04,116.21,2204300
2017-06-21,126.3,126.4,124.13,124.78,115.05,1850600
2017-06-22,124.98,125.27,123.51,123.86,114.2,1979900
2017-06-23,123.81,124.47,123.35,123.6,113.96,7209800
2017-06-26,124.17,124.52,122.24,123.35,113.73,1714400
2017-06-27,123.94,124.27,121.94,122.0,112.49,1465800
2017-06-28,122.26,123.67,121.51,123.47,114.4,2375100
2017-06-29,123.38,123.41,120.92,121.91,112.96,1817800
2017-06-30,122.59,124.34,122.26,123.59,114.52,2305600
2017-07-03,124.19,125.5,123.79,124.95,115.78,1681900
2017-07-05,124.75,125.87,124.11,125.6,116.38,2293000
2017-07-06,125.29,125.47,124.69,125.09,115.91,1851900
2017-07-07,125.13,126.82,125.05,126.64,117.34,1584600
2017-07-10,126.71,128.5,126.67,128.14,118.73,3103800
2017-07-11,128.01,128.8,127.32,128.06,118.66,1834800
2017-07-12,128.8,129.0,123.46,123.48,114.41,4848200
2017-07-13,123.59,125.05,123.25,124.42,115.28,2894800
2017-07-14,124.52,125.78,124.27,125.47,116.26,1777000
2017-07-17,125.46,126.02,125.01,125.88,116.64,1573400
2017-07-18,125.89,126.44,125.34,126.09,116.83,1869400
2017-07-19,126.35,126.74,125.85,126.31,117.04,1474300
2017-07-20,126.25,126.72,125.35,125.6,116.38,2074100
2017-07-21,124.74,126.1,124.61,125.75,116.52,1455800
2017-07-24,125.92,126.65,125.7,126.55,117.26,1291200
2017-07-25,127.93,128.75,126.81,127.9,118.51,2128000
2017-07-26,128.05,128.18,127.0,127.82,118.43,1959300
2017-07-27,128.14,128.53,127.32,128.44,119.01,1472900
2017-07-28,128.44,129.02,128.06,128.91,119.44,1261200
2017-07-31,128.92,129.54,128.15,128.28,118.86,1273300
