Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,59.74,59.91,59.15,59.2,53.34,2635900
2017-05-25,59.43,59.62,58.87,59.04,53.19,5743000
2017-05-26,58.98,59.94,58.86,59.8,53.88,2660000
2017-05-30,59.65,59.72,58.84,58.86,53.03,2889800
2017-05-31,59.07,59.27,57.82,58.7,52.89,3250800
2017-06-01,58.88,59.43,58.58,59.07,53.22,2376000
2017-06-02,58.75,59.49,58.75,58.91,53.07,2830600
2017-06-05,58.93,59.37,58.83,59.02,53.17,2340800
2017-06-06,58.7,58.99,58.24,58.69,52.88,3329400
2017-06-07,58.76,59.82,58.6,59.37,53.49,2646500
2017-06-08,59.37,60.4,59.37,59.73,53.81,2897400
2017-06-09,60.16,60.72,59.98,60.57,54.57,2805700
2017-06-12,60.61,61.5,60.26,60.73,54.71,3039100
2017-06-13,60.94,61.62,60.51,61.36,55.28,2557000
2017-06-14,60.88,60.9,59.42,60.63,54.62,2869800
2017-06-15,60.45,61.41,60.2,60.72,54.71,2163400
2017-06-16,60.95,61.27,60.58,61.1,55.05,3531900
2017-06-19,61.24,61.47,60.82,61.14,55.08,1641600
2017-06-20,60.86,61.19,60.55,60.78,54.76,1824500
2017-06-21,60.92,60.92,60.11,60.36,54.38,1991700
2017-06-22,60.24,60.6,59.9,60.24,54.27,1860400
2017-06-23,60.32,60.63,59.8,60.04,54.09,8458100
2017-06-26,60.18,60.91,60.08,60.61,54.61,1827300
2017-06-27,60.76,61.5,60.48,61.07,55.02,2456800
2017-06-28,61.45,62.32,61.43,61.88,55.75,3106400
2017-06-29,63.05,63.28,61.26,61.51,55.42,5274700
2017-06-30,61.8,62.62,61.28,62.19,56.03,3156100
2017-07-03,62.42,63.02,62.18,62.27,56.1,1629900
2017-07-05,62.47,62.5,61.36,61.51,55.42,3526300
2017-07-06,61.3,62.01,61.09,61.2,55.14,3159100
2017-07-07,61.42,61.73,61.06,61.37,55.29,2808900
2017-07-10,61.17,61.28,60.79,61.1,55.05,2870300
2017-07-11,61.1,61.25,60.41,60.76,54.74,2748800
2017-07-12,60.5,61.34,60.32,61.14,55.08,2237300
2017-07-13,61.2,61.59,61.08,61.42,55.34,3226600
2017-07-14,60.99,61.43,60.42,61.26,55.19,2119000
2017-07-17,61.19,61.37,60.78,61.07,55.02,2510100
2017-07-18,60.78,61.06,60.56,61.04,54.99,1518900
2017-07-19,61.16,61.4,60.91,61.14,55.08,1940200
2017-07-20,61.0,61.56,60.94,61.37,55.29,1940300
2017-07-21,61.76,62.86,61.7,62.53,56.34,3646300
2017-07-24,62.45,62.72,61.94,62.53,56.34,2296300
2017-07-25,62.95,63.93,62.95,63.79,57.47,3321500
2017-07-26,64.0,64.0,63.04,63.13,56.88,3782800
2017-07-27,61.32,62.09,59.92,60.44,54.45,7624600
2017-07-28,60.4,60.89,60.2,60.26,54.29,3526900
2017-07-31,60.4,61.3,60.35,60.94,54.9,2341800
2017-08-01,61.29,61.48,60.59,60.61,54.61,2926700
2017-08-02,60.54,61.03,60.4,60.78,54.76,2256700
2017-08-03,60.65,60.84,60.31,60.46,54.47,2224500
2017-08-04,61.0,61.33,60.93,61.04,54.99,1829900
2017-08-07,60.86,61.5,60.86,61.39,55.31,2020500
2017-08-08,61.28,62.54,61.01,61.96,55.82,2902100
2017-08-09,61.49,61.63,60.97,61.26,55.19,1834000
2017-08-10,60.89,61.08,60.09,60.1,54.15,2280900
2017-08-11,60.12,60.22,59.56,59.64,53.73,2163700
2017-08-14,60.21,60.68,60.12,60.5,54.51,1802400
2017-08-15,61.03,62.11,61.03,61.87,55.74,2876300
2017-08-16,62.18,62.47,61.59,61.71,55.6,2309300
2017-08-17,61.45,61.67,59.9,59.9,53.97,1905600
2017-08-18,59.73,60.0,59.4,59.43,53.54,2044300
2017-08-21,59.49,59.58,59.11,59.27,53.4,1555900
2017-08-22,59.25,59.58,58.97,59.5,53.92,2627800
2017-08-23,59.14,59.71,58.92,59.31,53.75,1498600
2017-08-24,59.42,59.73,59.24,59.47,53.9,1730200
