Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,106.51,106.86,106.11,106.54,96.41,705900
2017-05-25,106.75,108.52,106.5,108.14,97.86,678500
2017-05-26,108.26,108.61,107.77,107.98,97.71,572900
2017-05-30,107.95,108.77,107.75,107.89,97.63,615000
2017-05-31,108.06,108.9,108.06,108.77,98.43,872600
2017-06-01,108.96,109.83,108.64,109.72,99.29,717300
2017-06-02,109.9,110.28,109.65,109.94,99.49,691100
2017-06-05,109.81,110.28,109.24,109.34,98.95,734400
2017-06-06,108.98,109.49,108.83,109.14,98.76,615900
2017-06-07,109.36,109.64,108.62,108.93,98.57,659100
2017-06-08,108.93,109.07,107.78,108.32,98.02,853900
2017-06-09,108.34,108.84,108.04,108.41,98.1,826200
2017-06-12,108.38,108.66,106.38,107.44,97.23,1340600
2017-06-13,107.87,108.49,107.72,108.43,98.12,997900
2017-06-14,108.65,108.65,106.77,107.23,97.04,599000
2017-06-15,106.64,107.73,106.54,107.73,97.49,630800
2017-06-16,107.82,108.09,107.28,107.67,97.43,915700
2017-06-19,107.67,108.18,107.1,108.14,97.86,850100
2017-06-20,108.17,109.07,108.11,108.34,98.04,1288500
2017-06-21,108.33,109.09,108.33,109.03,98.66,762400
2017-06-22,109.06,110.38,108.96,109.56,99.14,774200
2017-06-23,109.66,109.89,109.01,109.7,99.27,1260500
2017-06-26,109.74,110.65,109.49,110.05,99.59,828600
2017-06-27,109.91,110.26,108.94,109.47,99.06,975600
2017-06-28,110.19,111.43,109.85,111.11,100.55,851500
2017-06-29,111.32,111.87,109.61,110.54,100.03,1059900
2017-06-30,110.84,111.76,110.74,111.16,100.59,893600
2017-07-03,111.76,112.97,110.66,110.66,100.14,845600
2017-07-05,111.26,111.99,110.43,110.79,100.26,657800
2017-07-06,110.19,110.26,108.65,109.01,99.05,1050400
2017-07-07,109.23,109.82,108.39,109.73,99.7,971500
2017-07-10,109.52,109.71,108.54,108.59,98.67,936600
2017-07-11,108.58,108.93,107.82,108.56,98.64,667800
2017-07-12,109.05,109.42,108.7,108.9,98.95,647000
2017-07-13,109.0,109.0,108.03,108.67,98.74,505500
2017-07-14,108.71,109.36,108.45,109.03,99.07,635500
2017-07-17,109.0,109.73,108.89,109.66,99.64,520300
2017-07-18,109.67,109.84,108.89,109.61,99.59,795900
2017-07-19,109.75,110.28,109.34,109.93,99.89,682200
2017-07-20,110.05,110.35,109.32,109.65,99.63,1129000
2017-07-21,109.58,109.95,108.95,109.39,99.39,713000
2017-07-24,109.26,109.65,108.61,109.44,99.44,1007700
2017-07-25,108.0,108.74,105.07,108.18,98.3,1776000
2017-07-26,108.4,110.8,108.16,108.22,98.33,1468700
2017-07-27,108.22,109.7,107.54,108.99,99.03,990900
2017-07-28,109.1,109.6,108.61,109.51,99.5,617300
2017-07-31,109.61,109.76,108.25,108.31,98.41,747100
2017-08-01,108.57,109.21,108.3,108.34,98.44,731300
2017-08-02,108.23,108.27,107.28,107.97,98.1,735200
2017-08-03,107.76,108.32,107.3,107.56,97.73,647800
2017-08-04,107.82,107.82,106.36,106.97,97.2,618200
2017-08-07,106.98,107.25,105.92,106.73,96.98,1347600
2017-08-08,106.66,107.29,106.01,106.21,96.51,885000
2017-08-09,106.22,106.8,105.76,106.5,96.77,740200
2017-08-10,106.13,106.44,105.38,105.61,95.96,690600
2017-08-11,105.71,107.04,105.71,106.1,96.41,849400
2017-08-14,106.77,106.87,106.35,106.46,96.73,697300
2017-08-15,106.94,107.43,106.22,106.6,96.86,639400
2017-08-16,106.81,107.45,106.64,106.75,97.0,587200
2017-08-17,106.68,107.27,104.91,105.37,95.74,496900
2017-08-18,105.27,105.67,104.63,104.87,95.29,779200
2017-08-21,105.07,105.53,104.85,105.0,95.41,673400
2017-08-22,105.19,106.89,105.15,106.84,97.08,702300
2017-08-23,106.46,106.92,106.02,106.74,96.99,659700
2017-08-24,106.96,107.21,106.51,106.57,96.83,511400
2017-08-25,106.74,107.52,106.65,107.02,97.24,335800
2017-08-28,107.35,107.45,106.44,107.04,97.26,912700
2017-08-29,106.61,107.35,106.47,106.79,97.03,753900
2017-08-30,106.72,107.41,106.57,107.26,97.46,477100
2017-08-31,107.41,108.46,107.22,108.35,98.45,795700
2017-09-01,108.46,108.78,107.65,108.17,98.29,516400
2017-09-05,107.82,108.12,107.11,107.42,97.6,814200
2017-09-06,107.63,107.65,106.58,107.26,97.46,758600
2017-09-07,107.42,107.63,106.7,107.29,97.49,552400
2017-09-08,107.21,107.64,106.93,107.54,97.71,654100
2017-09-11,108.33,108.54,107.69,108.23,98.34,625200
2017-09-12,108.36,108.63,107.26,107.53,97.7,512000
2017-09-13,107.37,107.64,106.63,106.89,97.12,980300
2017-09-14,106.72,106.73,105.0,105.6,95.95,1131300
2017-09-15,105.52,105.97,104.49,104.96,95.37,1252300
2017-09-18,105.03,105.38,103.62,103.86,94.37,959200
2017-09-19,103.78,103.91,101.37,101.86,92.55,1231100
2017-09-20,101.62,102.63,101.16,101.8,92.5,2385100
2017-09-21,101.77,102.13,100.01,101.55,92.27,1359100
2017-09-22,101.55,102.51,100.63,102.11,92.78,1026600
2017-09-25,95.47,96.65,92.64,94.57,85.93,4661500
2017-09-26,94.5,95.96,93.83,94.3,85.68,2414000
2017-09-27,94.3,94.67,92.79,93.09,84.58,1989200
2017-09-28,92.6,93.23,91.67,91.96,83.56,2312200
2017-09-29,91.98,94.42,91.78,93.64,85.08,2451300
2017-10-02,93.49,93.99,93.0,93.57,85.43,1534400
2017-10-03,93.21,94.04,92.42,92.89,84.81,1581700
2017-10-04,92.84,93.34,92.53,92.96,84.87,1432100
2017-10-05,93.12,93.41,92.12,92.44,84.4,1072600
2017-10-06,92.48,92.77,91.94,92.42,84.38,1160600
2017-10-09,92.51,92.58,90.93,91.06,83.14,965000
2017-10-10,90.67,90.93,90.18,90.86,82.96,1840600
2017-10-11,91.06,91.93,90.83,91.45,83.5,1318300
2017-10-12,91.44,92.04,90.94,91.52,83.56,1615000
2017-10-13,91.16,91.61,90.59,91.06,83.14,785800
2017-10-16,90.93,91.56,90.69,91.53,83.57,1064400
2017-10-17,91.5,92.28,90.79,92.18,84.16,1393000
2017-10-18,92.18,93.09,91.6,92.05,84.04,1916300
2017-10-19,92.89,94.11,90.1,93.23,85.12,2452900
2017-10-20,93.61,95.29,93.55,95.08,86.81,1806800
2017-10-23,95.19,96.0,94.94,95.2,86.92,1418200
2017-10-24,95.1,95.49,94.45,95.27,86.98,1125400
2017-10-25,94.86,94.95,93.67,94.21,86.01,1927700
2017-10-26,94.89,95.75,94.16,94.8,86.55,1216600
2017-10-27,95.12,95.84,94.45,95.68,87.36,887500
2017-10-30,95.43,95.43,92.7,93.78,85.62,1398600
2017-10-31,93.35,94.27,93.07,93.78,85.62,1217600
2017-11-01,93.91,94.49,93.0,93.1,85.0,1371700
2017-11-02,93.2,94.7,93.08,93.75,85.59,1263300
2017-11-03,93.86,94.42,93.7,94.09,85.91,658400
2017-11-06,93.83,94.57,93.14,93.15,85.05,1165600
2017-11-07,93.4,93.92,92.43,92.66,84.6,904300
2017-11-08,92.38,93.76,91.76,93.15,85.05,928900
2017-11-09,92.94,93.92,92.16,93.02,84.93,1843500
2017-11-10,92.8,93.07,92.04,92.05,84.04,1056000
2017-11-13,92.0,92.43,91.86,92.0,84.0,1058500
2017-11-14,91.64,92.62,91.42,92.42,84.38,1359800
2017-11-15,92.14,92.41,91.44,91.85,83.86,736500
2017-11-16,92.17,93.38,92.17,92.94,84.86,850600
2017-11-17,92.63,93.72,92.02,93.04,84.95,2013400
2017-11-20,92.25,92.75,90.31,92.41,84.37,2092800
2017-11-21,91.81,93.52,91.8,92.46,84.42,1328400
