Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,33.27,33.61,32.99,33.6,31.7,2865400
2017-05-25,33.72,33.76,33.02,33.22,31.34,2570500
2017-05-26,33.17,33.28,33.02,33.11,31.24,2343900
2017-05-30,33.06,33.14,32.65,32.93,31.07,2026800
2017-05-31,33.1,33.13,32.47,32.69,30.84,3070400
2017-06-01,32.76,33.11,32.53,33.1,31.23,3141600
2017-06-02,33.1,33.9,33.09,33.79,31.88,3018000
2017-06-05,33.75,33.88,33.16,33.29,31.41,3326700
2017-06-06,33.1,33.34,32.89,33.21,31.33,3138500
2017-06-07,33.21,33.9,33.19,33.7,31.8,8315200
2017-06-08,33.7,33.96,33.41,33.54,31.64,4588200
2017-06-09,33.62,33.82,33.25,33.62,31.72,3401600
2017-06-12,33.58,33.95,33.33,33.39,31.5,3632800
2017-06-13,33.45,34.19,33.31,33.98,32.06,3603400
2017-06-14,34.1,34.94,33.84,34.37,32.43,6314000
2017-06-15,34.12,34.39,33.74,33.82,31.91,5598400
2017-06-16,33.71,33.74,33.27,33.65,31.75,3902000
2017-06-19,33.74,34.05,33.62,33.85,31.94,2906900
2017-06-20,34.62,34.84,34.07,34.17,32.24,4682400
2017-06-21,33.77,34.3,33.51,33.97,32.05,3145000
2017-06-22,33.77,33.82,33.46,33.47,31.58,2033400
2017-06-23,33.78,34.14,33.52,33.88,31.97,3641100
2017-06-26,33.93,34.02,33.75,33.95,32.03,1409900
2017-06-27,33.95,34.24,33.65,33.77,31.86,2530100
2017-06-28,34.02,34.53,33.75,34.27,32.33,3428500
2017-06-29,34.21,34.21,33.58,33.79,31.88,2929700
2017-06-30,33.98,34.88,33.98,34.57,32.62,3967100
2017-07-03,34.9,34.9,34.34,34.36,32.42,1268500
2017-07-05,34.43,34.67,34.06,34.63,32.67,2742800
2017-07-06,34.54,34.62,34.31,34.49,32.54,6048900
2017-07-07,34.62,36.05,34.62,35.79,33.77,7295700
2017-07-10,35.89,37.43,35.76,37.17,35.07,15457300
2017-07-11,36.9,37.07,36.35,36.98,34.89,7934900
2017-07-12,37.26,37.44,36.2,36.58,34.51,4591000
2017-07-13,36.68,36.98,36.4,36.5,34.44,3770400
2017-07-14,36.58,37.05,36.55,36.7,34.63,2422000
2017-07-17,36.76,37.07,36.59,36.68,34.61,1886900
2017-07-18,36.58,36.74,35.91,36.41,34.35,4026000
2017-07-19,36.49,36.85,36.35,36.64,34.57,2618900
2017-07-20,36.63,36.67,36.02,36.33,34.28,3110300
2017-07-21,36.3,37.06,36.3,36.61,34.54,2650100
2017-07-24,36.53,36.64,36.24,36.56,34.49,2113800
2017-07-25,36.65,37.19,36.52,37.0,34.91,4532700
2017-07-26,36.77,36.77,35.55,36.29,34.24,4902600
2017-07-27,36.37,36.43,35.96,36.07,34.03,4719700
2017-07-28,36.07,36.28,35.47,35.85,33.82,3593800
2017-07-31,35.93,36.16,35.45,35.69,33.67,3896300
2017-08-01,35.76,36.26,35.53,36.08,34.04,3588300
2017-08-02,36.2,36.58,35.88,36.45,34.39,4164400
2017-08-03,36.35,36.41,35.82,36.33,34.28,5040500
2017-08-04,36.44,36.76,36.38,36.59,34.52,2346600
2017-08-07,36.55,36.64,36.27,36.41,34.45,2810300
2017-08-08,36.4,36.55,36.13,36.25,34.3,3885000
2017-08-09,36.22,36.55,36.0,36.37,34.41,3948400
2017-08-10,36.19,36.3,35.87,35.89,33.95,2472400
2017-08-11,35.83,36.2,35.67,36.09,34.14,1877800
2017-08-14,36.3,36.8,36.13,36.62,34.65,2064900
2017-08-15,36.65,36.99,36.35,36.78,34.8,2678600
2017-08-16,36.88,36.98,36.55,36.83,34.84,1603100
2017-08-17,36.74,36.89,36.03,36.05,34.11,2243400
2017-08-18,35.85,36.0,35.63,35.69,33.77,2609100
2017-08-21,35.66,35.97,35.5,35.78,33.85,1921700
2017-08-22,35.73,35.82,35.3,35.57,33.65,2681300
2017-08-23,35.45,35.74,35.18,35.44,33.53,3306500
2017-08-24,35.57,35.69,35.34,35.38,33.47,3198500
2017-08-25,35.6,35.95,35.4,35.78,33.85,2993900
2017-08-28,35.81,35.95,35.18,35.31,33.41,3213200
2017-08-29,35.01,35.5,34.95,35.28,33.38,3194200
2017-08-30,35.27,35.66,35.04,35.44,33.53,2878300
2017-08-31,35.57,36.23,35.48,36.15,34.2,3532700
2017-09-01,36.26,36.47,36.09,36.24,34.29,1596800
2017-09-05,36.18,36.27,35.29,35.71,33.78,2550000
2017-09-06,35.78,36.12,35.43,36.1,34.15,4399200
2017-09-07,36.23,36.23,35.82,35.97,34.03,3547100
2017-09-08,35.92,36.48,35.75,36.25,34.3,3741400
2017-09-11,36.42,37.09,36.2,36.93,34.94,4833100
2017-09-12,37.0,37.78,36.9,37.74,35.71,4650000
2017-09-13,37.65,37.68,36.39,37.16,35.16,7766300
2017-09-14,36.92,37.48,36.63,37.33,35.32,5949100
2017-09-15,37.23,37.38,36.89,37.17,35.17,5452100
2017-09-18,37.21,37.63,37.15,37.49,35.47,4623500
2017-09-19,37.42,37.78,37.37,37.57,35.54,4713000
2017-09-20,37.56,37.61,36.79,37.05,35.05,4139400
2017-09-21,37.04,37.15,36.69,36.86,34.87,2653200
2017-09-22,36.88,37.13,36.72,36.9,34.91,3201200
2017-09-25,36.7,37.15,36.56,37.08,35.08,3074400
2017-09-26,37.2,37.61,37.17,37.44,35.42,3708300
2017-09-27,37.68,38.22,37.33,38.15,36.09,7984900
2017-09-28,38.1,39.01,38.02,38.98,36.88,9560600
2017-09-29,39.29,40.01,39.1,39.93,37.78,9041700
2017-10-02,40.37,40.37,39.7,39.98,37.82,6194700
2017-10-03,40.14,40.64,39.84,40.27,38.1,7443100
2017-10-04,40.35,40.85,40.15,40.84,38.64,4156600
2017-10-05,40.81,41.06,40.52,40.62,38.43,3681500
2017-10-06,40.71,41.3,40.65,41.08,38.87,4131700
2017-10-09,41.08,41.45,40.96,41.23,39.01,3540600
2017-10-10,41.36,41.51,40.81,41.28,39.05,2726100
2017-10-11,41.25,41.57,41.16,41.48,39.24,2005000
2017-10-12,41.36,41.54,41.26,41.28,39.05,2865300
2017-10-13,41.35,41.51,41.25,41.34,39.11,2126200
2017-10-16,41.5,41.61,41.25,41.37,39.14,1818600
2017-10-17,41.38,41.64,40.99,41.49,39.25,2979900
2017-10-18,41.49,41.6,41.07,41.51,39.27,3648700
2017-10-19,41.4,42.59,41.25,42.53,40.24,4084000
2017-10-20,42.7,43.04,42.62,42.67,40.37,3634200
2017-10-23,43.05,43.47,42.83,42.87,40.56,3926300
2017-10-24,43.07,43.45,42.88,43.32,40.98,3796400
2017-10-25,43.65,43.82,42.92,43.26,40.93,3428300
2017-10-26,43.6,44.06,43.32,44.0,41.63,3086700
2017-10-27,44.02,44.4,43.71,44.3,41.91,2482400
2017-10-30,44.22,44.58,43.73,44.31,41.92,3827800
2017-10-31,44.35,44.57,44.11,44.21,41.83,4224500
2017-11-01,44.46,44.92,44.37,44.73,42.32,3436800
2017-11-02,44.75,44.87,43.1,44.63,42.22,6204000
2017-11-03,44.59,44.91,44.31,44.32,41.93,3547700
2017-11-06,44.45,44.99,44.27,44.84,42.42,3484300
2017-11-07,44.96,45.5,44.79,44.95,42.53,3783100
2017-11-08,44.74,45.78,44.63,45.41,42.96,5728900
2017-11-09,44.6,46.78,44.31,45.99,43.51,9955800
2017-11-10,46.8,46.8,45.53,46.0,43.52,8271800
2017-11-13,45.92,47.29,45.81,47.09,44.55,5762300
2017-11-14,46.86,47.91,46.57,47.64,45.07,4560800
2017-11-15,47.47,47.8,46.93,47.53,44.97,3473700
2017-11-16,47.58,47.9,47.38,47.52,44.96,4211100
2017-11-17,47.43,48.31,47.41,48.13,45.54,3078600
2017-11-20,48.21,48.57,47.99,48.2,45.6,4630800
2017-11-21,48.74,49.54,48.63,49.35,46.69,5487100
2017-11-22,49.3,49.67,49.0,49.58,46.91,4039800
2017-11-24,49.62,50.06,49.56,50.0,47.3,1366400
2017-11-27,50.0,50.0,49.39,49.47,46.8,3753900
2017-11-28,49.54,50.14,49.26,50.11,47.41,5216500
2017-11-29,50.11,50.95,49.79,50.66,47.93,4073700
2017-11-30,50.73,51.53,50.54,51.0,48.37,4194200
2017-12-01,50.95,51.21,49.17,50.43,47.83,4203700
2017-12-04,51.37,51.47,50.53,50.58,47.97,4122300
2017-12-05,49.65,50.8,49.25,50.24,47.65,4400300
2017-12-06,50.02,50.56,49.62,49.71,47.15,4999100
2017-12-07,50.16,50.76,49.41,50.16,47.57,3927600
2017-12-08,49.85,50.94,49.85,50.78,48.16,3109000
2017-12-11,50.81,50.98,50.25,50.47,47.87,3459600
2017-12-12,49.96,50.88,49.85,50.0,47.42,3755400
2017-12-13,50.21,50.34,49.79,49.81,47.24,3685500
2017-12-14,50.06,50.86,49.85,50.34,47.74,3708200
