Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,107.15,107.83,106.93,107.71,103.15,4366700
2017-05-25,108.13,108.13,106.78,107.27,102.72,8030400
2017-05-26,107.71,108.49,107.48,108.41,103.82,6236800
2017-05-30,108.49,108.6,107.95,108.34,103.75,4813400
2017-05-31,108.4,108.65,107.64,107.94,103.37,9963600
2017-06-01,107.73,108.21,107.17,108.21,103.62,5907400
2017-06-02,108.46,108.64,106.95,107.18,102.64,10876900
2017-06-05,107.04,107.22,106.11,106.52,102.01,6372800
2017-06-06,106.17,106.19,104.61,105.5,101.03,9589500
2017-06-07,105.79,106.25,105.54,105.92,101.43,5777700
2017-06-08,105.92,105.92,104.16,104.32,99.9,11002400
2017-06-09,104.28,105.92,104.08,105.62,101.14,9392500
2017-06-12,105.62,107.2,105.62,107.04,102.5,8049500
2017-06-13,107.14,107.26,106.16,106.56,102.04,4918900
2017-06-14,106.95,107.01,105.76,106.14,101.64,4781100
2017-06-15,105.94,106.16,105.23,105.98,101.49,5309900
2017-06-16,106.28,106.35,104.77,105.51,101.04,8683400
2017-06-19,105.6,106.0,105.19,105.37,100.9,5956200
2017-06-20,105.07,105.3,103.81,103.94,99.54,7895700
2017-06-21,104.39,105.08,103.54,104.8,100.36,7765700
2017-06-22,104.71,104.77,104.09,104.22,99.8,6156000
2017-06-23,103.83,104.58,103.17,104.36,99.94,18147900
2017-06-26,104.6,105.85,104.56,105.57,101.1,5867000
2017-06-27,105.33,106.15,105.14,105.41,100.94,5694500
2017-06-28,106.02,107.54,104.52,106.86,102.33,7874400
2017-06-29,106.8,107.41,105.33,105.71,101.23,7268700
2017-06-30,106.25,106.56,105.5,106.25,101.75,5113800
2017-07-03,106.76,108.62,106.76,107.46,102.91,5399400
2017-07-05,107.83,107.85,105.29,105.63,101.15,8049700
2017-07-06,104.61,104.69,102.94,103.35,99.71,8690800
2017-07-07,103.51,103.73,102.72,103.32,99.68,6030900
2017-07-10,103.3,103.91,102.87,103.59,99.94,4421300
2017-07-11,103.6,104.19,103.19,103.84,100.18,4557300
2017-07-12,104.34,104.65,103.65,104.38,100.7,5203300
2017-07-13,104.45,105.34,104.04,104.29,100.61,5339500
2017-07-14,104.43,105.25,104.41,105.09,101.38,4370300
2017-07-17,105.17,105.42,104.71,104.79,101.1,3973800
2017-07-18,104.6,105.8,104.31,105.75,102.02,5740500
2017-07-19,106.13,106.87,106.05,106.82,103.05,5789400
2017-07-20,106.99,107.71,106.75,107.36,103.57,6185500
2017-07-21,107.1,107.33,106.81,107.09,103.31,4328500
2017-07-24,107.31,107.54,106.9,107.0,103.23,4615500
2017-07-25,107.6,107.74,106.2,106.42,102.67,5394700
2017-07-26,106.55,107.03,106.31,106.94,103.17,4149000
2017-07-27,107.69,110.0,107.44,110.0,106.12,10468700
2017-07-28,109.98,110.19,109.67,109.96,106.08,4864500
2017-07-31,110.02,110.14,109.34,109.93,106.05,6815300
2017-08-01,109.98,110.83,109.95,110.61,106.71,5987200
2017-08-02,109.88,109.88,107.52,108.67,104.84,8812700
2017-08-03,108.52,109.17,108.05,109.12,105.27,6895800
2017-08-04,108.23,108.5,107.32,107.69,103.89,8503800
2017-08-07,107.59,107.65,106.11,106.35,102.6,8093100
2017-08-08,106.55,107.14,106.18,106.98,103.21,9787100
2017-08-09,100.71,103.0,100.5,102.83,99.2,27877600
2017-08-10,102.5,102.82,101.22,101.35,97.78,12259900
2017-08-11,101.25,102.51,101.03,101.99,98.39,9410400
2017-08-14,102.8,102.81,101.26,101.4,97.83,9707300
2017-08-15,101.63,102.1,101.36,101.51,97.93,8868500
2017-08-16,101.84,102.65,101.72,102.2,98.6,6698800
2017-08-17,102.24,102.59,101.34,101.38,97.81,6612400
2017-08-18,101.32,101.74,100.66,100.7,97.15,6893900
2017-08-21,100.64,101.42,100.53,101.17,97.6,6492700
2017-08-22,101.41,102.91,101.17,102.77,99.15,6888700
2017-08-23,102.48,102.98,101.48,101.5,97.92,5954400
2017-08-24,101.82,102.03,101.43,101.52,97.94,6976600
2017-08-25,101.69,102.69,101.56,102.41,98.8,6186900
2017-08-28,102.49,102.85,102.08,102.56,98.94,5630400
2017-08-29,102.0,102.99,101.82,102.57,98.95,6011700
2017-08-30,102.48,103.45,102.48,102.87,99.24,6573200
2017-08-31,103.0,103.19,101.0,101.2,97.63,9823800
2017-09-01,101.65,101.92,101.36,101.5,97.92,7827400
2017-09-05,102.0,102.55,100.9,101.6,98.02,9346100
2017-09-06,101.76,102.04,100.89,101.5,97.92,7531000
2017-09-07,101.55,101.86,96.2,97.06,93.64,26419400
2017-09-08,96.49,97.49,96.26,97.07,93.65,13147700
2017-09-11,97.9,98.02,96.96,97.09,93.67,9610300
2017-09-12,97.59,98.36,97.13,97.89,94.44,9151700
2017-09-13,98.24,98.95,98.02,98.82,95.34,7615300
2017-09-14,98.79,98.84,97.54,97.9,94.45,9710000
2017-09-15,98.05,98.93,98.0,98.52,95.05,23870300
2017-09-18,98.39,98.72,97.72,98.1,94.64,7013600
2017-09-19,98.23,98.67,98.08,98.43,94.96,6970300
2017-09-20,98.76,99.28,98.62,99.21,95.71,6459100
2017-09-21,99.19,99.39,98.75,98.89,95.4,4958000
2017-09-22,98.55,98.99,98.53,98.6,95.12,6359100
2017-09-25,98.6,99.65,98.42,99.57,96.06,7492500
2017-09-26,99.64,99.74,98.61,98.63,95.15,6220500
2017-09-27,98.97,99.53,98.02,99.24,95.74,7596600
2017-09-28,98.77,99.05,98.0,98.05,94.59,7149600
2017-09-29,97.89,98.59,97.66,98.57,95.09,8185900
2017-10-02,99.31,100.44,99.11,99.86,96.34,6923300
2017-10-03,100.05,100.85,99.91,100.79,97.24,5447700
2017-10-04,100.74,100.93,100.2,100.55,97.01,5126100
2017-10-05,100.64,100.87,100.02,100.11,96.58,4736700
2017-10-06,99.95,100.27,99.34,100.07,96.54,4360200
2017-10-09,100.81,100.98,99.45,99.57,96.06,5429600
2017-10-10,99.99,100.07,98.66,99.58,96.07,7704400
2017-10-11,99.58,99.58,98.05,98.55,95.08,7984000
2017-10-12,97.56,97.82,96.81,96.93,93.51,11018200
2017-10-13,96.8,97.68,96.8,97.38,93.95,6858000
2017-10-16,97.64,98.27,97.54,98.13,94.67,4911600
2017-10-17,98.4,98.47,97.86,98.36,94.89,5942500
2017-10-18,98.36,98.49,97.55,98.25,94.79,5404300
2017-10-19,98.19,99.3,98.11,99.01,95.52,5634300
2017-10-20,99.45,99.66,98.94,99.4,95.9,5938700
2017-10-23,99.12,99.18,98.63,98.7,95.22,5888200
2017-10-24,98.52,98.86,98.06,98.29,94.82,4966200
2017-10-25,98.05,98.22,97.45,97.8,94.35,5144400
2017-10-26,97.58,99.48,97.25,98.56,95.09,6167500
2017-10-27,97.9,98.36,96.89,98.31,94.84,7868700
2017-10-30,98.12,98.33,97.7,98.04,94.58,7093200
2017-10-31,97.94,98.09,97.38,97.81,94.36,5701700
2017-11-01,98.13,99.46,98.0,99.03,95.54,6920400
2017-11-02,98.87,99.12,98.02,98.35,94.88,6799200
2017-11-03,98.36,99.38,97.9,98.64,95.16,5416900
2017-11-06,98.37,101.13,98.35,100.64,97.09,14728700
2017-11-07,101.29,102.9,100.74,101.61,98.03,12177500
2017-11-08,101.88,102.0,100.42,101.18,97.61,8023200
2017-11-09,100.83,103.91,100.8,102.68,99.06,13172500
2017-11-10,104.99,106.24,104.08,104.78,101.09,16701500
2017-11-13,104.14,105.14,103.98,104.74,101.05,7856000
2017-11-14,104.57,104.57,103.0,103.17,99.53,6929300
2017-11-15,102.75,103.96,102.45,103.69,100.03,5691500
2017-11-16,103.63,103.98,102.76,103.6,99.95,6410900
2017-11-17,103.22,103.99,102.97,103.44,99.79,7500800
2017-11-20,103.42,103.42,102.7,102.75,99.13,5112600
2017-11-21,102.97,103.17,102.79,103.0,99.37,5725900
2017-11-22,103.22,103.32,102.69,102.74,99.12,4140700
2017-11-24,102.91,102.92,102.45,102.64,99.02,2217600
2017-11-27,102.63,102.97,102.38,102.79,99.17,4007500
2017-11-28,102.56,103.88,102.17,103.41,99.76,8401100
2017-11-29,103.5,106.26,103.43,105.24,101.53,14503100
2017-11-30,105.36,105.71,104.47,104.82,101.12,9949000
2017-12-01,104.58,105.85,103.87,105.25,101.54,9258400
2017-12-04,106.5,112.67,106.5,110.22,106.33,17824000
2017-12-05,109.53,110.04,106.52,107.22,103.44,13055600
2017-12-06,107.17,107.99,105.36,105.46,101.74,8121700
2017-12-07,105.74,106.0,104.49,105.26,101.55,9948600
2017-12-08,104.91,104.98,104.08,104.23,101.36,6536600
2017-12-11,104.87,106.84,104.77,106.83,103.89,7434000
2017-12-12,107.14,107.83,106.59,107.43,104.48,8147000
2017-12-13,108.15,108.19,106.75,107.61,104.65,10368300
2017-12-14,107.29,111.54,107.2,110.57,107.53,27571300
2017-12-15,111.98,112.0,110.6,111.27,108.21,19978600
2017-12-18,111.84,111.99,110.31,111.03,107.98,12270000
2017-12-19,111.33,112.39,110.77,111.81,108.74,10546600
2017-12-20,111.62,112.3,109.69,109.69,106.67,8661100
2017-12-21,109.72,111.09,109.19,109.57,106.56,9372800
2017-12-22,109.49,109.69,108.45,108.67,105.68,7378400
2017-12-26,108.49,109.37,107.89,108.12,105.15,3982400
2017-12-27,108.42,108.55,107.46,107.64,104.68,5624000
2017-12-28,108.0,108.05,107.06,107.77,104.81,3477700
2017-12-29,108.05,108.34,107.51,107.51,104.55,4538400
2018-01-02,108.95,111.81,108.56,111.8,108.73,11014300
2018-01-03,112.19,113.19,111.45,112.28,109.19,9237900
2018-01-04,112.95,113.0,111.63,112.23,109.14,7417400
2018-01-05,112.68,112.68,111.24,111.62,108.55,6008300
2018-01-08,110.89,111.28,109.54,110.02,106.99,8052600
2018-01-09,110.13,110.86,109.86,109.94,106.92,5838000
2018-01-10,109.96,110.5,109.01,109.47,106.46,6060000
2018-01-11,110.25,111.08,109.51,110.99,107.94,6427000
2018-01-12,111.32,112.72,111.0,112.47,109.38,5899900
2018-01-16,113.07,113.16,110.62,110.69,107.65,8069200
2018-01-17,111.2,112.21,110.57,111.97,108.89,7030700
2018-01-18,111.74,111.99,110.2,110.42,107.38,8070900
2018-01-19,110.97,111.09,109.84,110.59,107.55,10514300
2018-01-22,110.27,111.56,110.06,111.1,108.05,8073600
2018-01-23,110.27,111.14,109.89,110.41,107.37,7477300
2018-01-24,110.96,111.43,110.29,110.5,107.46,7211800
2018-01-25,110.6,111.82,110.12,110.55,107.51,6291000
2018-01-26,110.81,112.53,110.67,112.19,109.11,7743800
2018-01-29,112.1,112.45,111.24,111.54,108.47,6847800
2018-01-30,111.42,112.42,110.1,110.11,107.08,8393900
2018-01-31,110.08,110.12,108.47,108.67,105.68,9841400
