Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,63.53,63.83,61.62,63.33,63.33,3362800
2017-05-25,63.61,64.76,62.52,63.9,63.9,3043700
2017-05-26,64.03,64.15,63.48,64.12,64.12,1553000
2017-05-30,64.07,64.26,62.33,63.63,63.63,1126500
2017-05-31,63.76,64.15,63.2,63.77,63.77,1994200
2017-06-01,63.99,65.25,63.53,65.21,65.21,2298600
2017-06-02,65.45,66.31,64.85,66.08,66.08,1974800
2017-06-05,66.2,66.44,65.37,66.19,66.19,2318300
2017-06-06,66.21,66.27,64.3,64.58,64.58,2059200
2017-06-07,64.69,65.06,64.54,64.89,64.89,1541000
2017-06-08,63.68,64.77,63.39,63.97,63.97,2033200
2017-06-09,65.44,66.25,64.51,65.02,65.02,4855800
2017-06-12,64.63,65.38,64.29,64.99,64.99,2168200
2017-06-13,64.71,66.33,64.71,66.04,66.04,1794500
2017-06-14,66.34,66.48,64.61,64.88,64.88,1624500
2017-06-15,64.61,65.35,64.21,65.28,65.28,1249300
2017-06-16,65.21,65.21,63.7,64.5,64.5,2803400
2017-06-19,64.66,65.29,64.23,64.98,64.98,1370900
2017-06-20,65.06,65.06,63.1,63.24,63.24,1479100
2017-06-21,63.4,63.47,62.75,63.24,63.24,1741400
2017-06-22,63.24,63.77,62.56,63.02,63.02,1815000
2017-06-23,63.12,64.01,62.62,63.89,63.89,1197200
2017-06-26,64.04,64.46,63.65,63.85,63.85,882500
2017-06-27,63.81,64.98,63.65,63.83,63.83,1580900
2017-06-28,64.04,65.19,64.04,64.74,64.74,1427200
2017-06-29,64.41,64.46,62.27,62.69,62.69,2292300
2017-06-30,63.23,63.29,62.04,62.76,62.76,1597500
2017-07-03,63.29,63.72,62.86,62.88,62.88,597200
2017-07-05,62.89,63.22,62.22,62.77,62.77,1482700
2017-07-06,62.84,64.12,62.48,63.4,63.4,2827300
2017-07-07,63.65,64.62,63.46,63.89,63.89,1554000
2017-07-10,63.83,64.43,63.54,64.3,64.3,1061300
2017-07-11,64.36,65.31,64.25,64.78,64.78,1507200
2017-07-12,65.14,65.66,64.73,65.19,65.19,1614800
2017-07-13,65.14,65.14,64.5,64.65,64.65,2359100
2017-07-14,64.97,66.26,64.94,66.0,66.0,1899000
2017-07-17,66.05,66.5,65.47,65.87,65.87,1426700
2017-07-18,65.67,65.77,64.96,65.53,65.53,1572500
2017-07-19,65.79,66.0,65.0,65.09,65.09,1671400
2017-07-20,65.25,66.0,65.01,65.09,65.09,1318300
2017-07-21,64.84,65.27,64.15,64.72,64.72,1761000
2017-07-24,64.66,64.92,64.14,64.33,64.33,2041300
2017-07-25,64.51,65.16,64.04,64.44,64.44,1408300
2017-07-26,62.99,64.3,62.71,64.27,64.27,2193700
2017-07-27,64.4,64.62,62.9,63.88,63.88,2131200
2017-07-28,63.8,64.19,63.5,63.94,63.94,1160500
2017-07-31,63.98,64.5,63.32,64.03,64.03,1310100
2017-08-01,64.19,66.48,63.53,65.49,65.49,3444700
2017-08-02,65.17,65.17,63.4,64.0,64.0,3198000
2017-08-03,63.53,63.73,60.7,61.11,61.11,4822900
2017-08-04,60.83,61.39,60.16,60.62,60.62,2401700
2017-08-07,60.5,60.59,59.7,60.04,60.04,1386600
2017-08-08,59.89,60.49,59.33,59.71,59.71,1393900
2017-08-09,59.3,59.92,58.96,59.74,59.74,1376900
2017-08-10,59.19,59.62,58.15,58.19,58.19,1907500
2017-08-11,58.41,58.66,58.02,58.46,58.46,1211500
2017-08-14,58.74,59.46,58.59,58.72,58.72,1722600
2017-08-15,58.64,58.83,57.99,58.15,58.15,1191400
2017-08-16,58.46,58.75,57.82,58.46,58.46,1670000
